id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[3d8ca312e9],[93edd078e7],分享图片 ,[9b2d5b4678],[4d54b04bf1],[9b2d5b4678],,2024-04-25T22:46:07,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-25 22:46:07
[363ef08b77],[ad469781cb],"抑郁症
 好像我从来不是一个值得的人 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T02:27:35,抑郁症超话,2,5,"[{'id': 5027025759243595, 'created_at': '17小时前', 'source': '来自北京', 'user': {'id': 7603246895, 'screen_name': '一个吃货该怎么办'}, 'text': '我也没觉得自己是什么必须存在的人类，让我悄悄消失吧', 'like_counts': 0, 'liked': False}, {'id': 5026959416888376, 'created_at': '22小时前', 'source': '来自四川', 'user': {'id': 6156479838, 'screen_name': '椰椰小提'}, 'text': '你值得', 'like_counts': 0, 'liked': False}, {'id': 5026957890951684, 'created_at': '22小时前', 'source': '来自江苏', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '你值得 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5026947615426548, 'created_at': '22小时前', 'source': '来自辽宁', 'user': {'id': 6288202296, 'screen_name': '可可首席真爱粉'}, 'text': '我也是 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5026876567585076, 'created_at': '昨天 02:43', 'source': '来自北京', 'user': {'id': 5556238287, 'screen_name': 'MoonMale'}, 'text': '( ´･･)ﾉ(._.`)', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-25 02:27:35
[fd88dbe537],[7849a596f7],在那之前我从未怪过你 我只是觉得 是我不够漂亮 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T02:21:24,iPhone客户端,0,1,"[{""id"": ""[1884219bdb]"", ""created_at"": ""昨天 05:47"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""外表并不是衡量一个人价值的唯一标准，你的内在美同样值得被欣赏和珍视"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 02:21:24
[817a849ae6],[ea1f5f7437],我恨你 我没有勇气接受现在的一切 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T02:14:25,iPhone客户端,0,1,"[{""id"": ""[8c3d101864]"", ""created_at"": ""昨天 05:38"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""我能理解这种感受 但希望你能找到力量去面对"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 02:14:25
[7d49c6362a],[06724c9561],分享图片 ,[9b2d5b4678],[3d738c4906],[9b2d5b4678],,2024-04-25T02:08:56,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-25 02:08:56
[6f8370019e],[80e3072843],当初你抛下我的时候 到底是怎么想的 人真的是一瞬间变的吗 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T02:06:44,iPhone客户端,0,1,"[{""id"": ""[2a9d088bab]"", ""created_at"": ""昨天 05:32"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""人非草木，孰能无情。但过去的就让它过去吧"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 02:06:44
[e29771181e],[7c8e810bd8],能把我关在医院里吗 这样我做的一切都是可理解的因为我就是名副其实的神经病 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T01:20:15,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-25 01:20:15
[d59c5eede5],[9f8ef07f75],有时候我其实也知道 那么多人不喜欢我 肯定就是我自己的原因 但我还是很委屈 明明以前不是这样 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T01:03:28,iPhone客户端,0,1,"[{""id"": ""[74bdb38dcb]"", ""created_at"": ""昨天 04:33"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""这种感受真的很真实 但是也要相信自己是值得被爱的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 01:03:28
[7a8d878ed9],[c1020a51d5],突然好难过 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T00:45:36,iPhone客户端,3,0,,0,,[9b2d5b4678],2024-04-16 00:45:36
[51182f365f],[73e80a1126],很多时候你以为很好的关系 其实也就那样吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T22:43:08,iPhone客户端,1,1,"[{""id"": ""[1055b2aeac]"", ""created_at"": ""04-14"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""确实如此"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 22:43:08
