id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[367bcd0473],[450f944b60],如果考上，想去看海 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T22:45:18,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-20 22:45:18
[e7a8a08c98],[0952e8f60d],"备考日记day27补充
我买了个美瞳，看是个棕色准备日常戴，拿到手一看幸亏没买那个同款的另一个蓝色，那戴上就是哈士奇成精跑出来了。
今天化了妆戴这个美瞳看能不能带出门，结果发现这眼镜遮瞳，那个妆就是不能笑，一笑就变二傻子了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T00:26:57,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-19 00:26:57
[35b1afbe20],[14be4711a4],"备考日记day27
昨晚突然被热醒，体温一下到了38度6，嗓子巨疼，鼻子也塞住了，身上全是汗头发都被打湿了。之后降到了正常体温早上一量就只有35度多了，因为焦虑吃不下东西去还一个劲上厕所，体温还一直不升上来。
真的是很不舒服，怎么弄不舒服，胃也难受。
等考上了，想趁着假期攒攒钱，然后去看海， ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T23:48:26,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-18 23:48:26
[2c25cafc88],[854f692bd7],"备考日记day27
因为焦虑所以导致身体出现一些状况，今天刷了比平常多两倍的题目，希望能用上吧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T23:32:54,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-17 23:32:54
[e952f7c02b],[deaba13f19],"备考日记day26
刚做完题，还有两章就结束了，陷入考试的焦虑中。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T00:56:50,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-17 00:56:50
[7e4951160e],[dadfe37222],"备考日记day25
今天退烧了，没敢吹风怕重新再烧起来。
做了些题，真的好难啊，很绕又很难搞。
明天早起继续吃黄瓜鸡蛋面 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-15T23:17:17,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-05-15 23:17:17
[60c7e72ce3],[4e3a091336],"备考日记day24
今天没咋学，因为今天发烧了。
真的很无语，我的扁桃体真的很爱发炎，只要一发炎就会发烧。
半夜就烧起来了，一天基本都没有降烧，做饭的时候出了一身汗这个烧才开始降下去了，现在体温36.9，希望半夜不会烧起来 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-14T23:22:17,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-14 23:22:17
[50304afd35],[17aeaefbe2],"备考日记day23
快了快了马上就结束了，芜湖芜湖，马上就解放。一整本题终于做了一半了，有种要解放的感觉。
考完这个试就好像人生中一件大事直接完结了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T23:21:43,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-13 23:21:43
[cf2756d057],[6726c89646],"备考日记day22
昨天洗完热敷眼睛因为太舒服了加上一直在听知识点磨耳就睡过去了一会，醒来就忘了写了。
今天去拿快递，很不巧快递正好关门了。吃了好多好吃的东西，下周就考试了，题马上就做完了可以在刷一遍，就这样慢慢过下去吧，无所谓是什么了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T22:33:06,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-12 22:33:06
[5a055d046f],[95c5989a21],"备考日记day21
今天风好大，树都刮断了些细小的枝桠。马上就能做完那本题了，最近在背范文。
在文笔不好的前提下背范文是我能在短时间内快速提高的最好的方式了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-10T23:49:48,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-10 23:49:48
[3f01d05a1a],[5631362e43],"备考日记day20
昨天晚上忘写了，今天一气补上。
最近就一直在做不同的题，感觉背了忘忘了背的，再背几篇范文。
今天晚上出门买了些生活必需品，换了个妆还挺好看。吼吼吼
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-10T00:15:22,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-10 00:15:22
[81b7716956],[d603441e0f],"备考日记day19
昨晚学到凌晨，弄完一切的事物已经是凌晨三点多了，今天上午就踏实睡了一上午。
身体之前出现了一些不正常的状况，现在压力一下子没了之后感觉身体也好多了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T22:33:04,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-07 22:33:04
[d12ea0bd35],[0dd005e131],"备考日记day18
崩溃了，一边哭一边学。因为真的很多知识点，自己老记不住而且时间还特别紧张。
也很迷茫，感觉考不上这个试自己真的就完了。
特别焦虑，止不住的哭。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T00:41:14,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-05-06 00:41:14
[0bc0cb3765],[9d7f8b929d],"备考日记day16
还有两堂课就可以结束现在的章节，因为之前的课有很多缺少，又找了新的课重新再听一遍。
知识量大，时间紧，只能是能补多少是多少了。
学到现在实在是有点困的扛不住了，答题的时候脑袋都迟缓了，还是休息一下明日继续。
明天早上想吃黄瓜鸡蛋面，但好像忘记买黄瓜了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T00:23:19,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-05-04 00:23:19
[3ffe09dcf0],[f9e888535e],有一种考不上我就要死了的感觉 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T23:30:31,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-30 23:30:31
[c8b6775442],[fbf32f3a60],"备考日记day13
一整本书终于全部学完，终于看到一些胜利的曙光。明天把最后的章节内容搞完就正式进入了题海战术阶段。
希望我能上岸 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-29T23:51:33,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-29 23:51:33
[2c59a62c31],[3f3fa499bd],"备考日记day12
今天提前结束了半小时，实在是有些累，困的睁不开眼。这个状态在学下去也不进脑子索性就提前休息了。
明天又想吃一个面哈哈哈 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T23:33:06,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-04-28 23:33:06
[b31daeef63],[5f62924159],"备考日记 day12
快要学完所有课程了，心里松了一口气。
希望我能考上，最近处于有点想摆烂但是又摆不烂那种。
加油吧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T00:06:30,iPhone客户端,2,0,,0,,[9b2d5b4678],2024-04-28 00:06:30
