id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[7bd2972739],[6528006f1d],"抑郁症
 三个月一次的心理咨询是我唯一倾诉的地方 没有任何顾虑
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T21:28:43,抑郁症超话,1,1,"[{""id"": ""[a89420229f]"", ""created_at"": ""04-15"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 21:28:43
[f046868f97],[0e3095884c],"抑郁症
 活着好累… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T23:51:35,抑郁症超话,1,2,"[{""id"": ""[e0a376d403]"", ""created_at"": ""04-14"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3cdb36d166]"", ""created_at"": ""04-13"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 23:51:35
[4905adb16f],[cd96fec1dc],"师生粉
 无关爱情的喜欢 是我对光的仰慕
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T15:11:55,师生粉超话,0,0,,0,,[9b2d5b4678],2024-04-13 15:11:55
[41d8d2de0a],[563db7432e],"抑郁症
 逃死不难逃罪恶难… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T23:48:50,抑郁症超话,1,1,"[{""id"": ""[b1f35dc03f]"", ""created_at"": ""04-13"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 23:48:50
[987511a35f],[f251dcde84],"抑郁症
 我也变成天天喝酒的坏小孩咯
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T20:47:18,抑郁症超话,2,8,"[{""id"": ""[dbb1594a4e]"", ""created_at"": ""04-09"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2b00e93797]"", ""created_at"": ""04-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@小TWG:不哭不哭抱抱"", ""reply_id"": 5021017540132895, ""reply_text"": ""回复@要长记性的木子: [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6e5b5e0133]"", ""created_at"": ""04-08"", ""source"": ""来自四川"", ""user"": {""id"": ""[51471ca5a7]"", ""screen_name"": ""[b3b52694b8]""}, ""text"": ""回复@管制丧尸101-顾许: [悲伤]"", ""reply_id"": 5020994674625525, ""reply_text"": ""摸摸乖乖 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bcd4f21e84]"", ""created_at"": ""04-08"", ""source"": ""来自四川"", ""user"": {""id"": ""[51471ca5a7]"", ""screen_name"": ""[b3b52694b8]""}, ""text"": ""回复@要长记性的木子: [泪]"", ""reply_id"": 5020993068205604, ""reply_text"": ""呜呜呜不要喝酒"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[01766cd75c]"", ""created_at"": ""04-08"", ""source"": ""来自四川"", ""user"": {""id"": ""[51471ca5a7]"", ""screen_name"": ""[b3b52694b8]""}, ""text"": ""回复@摇摇小风车:最多也就喝五度 我也知道不好 但真的难受"", ""reply_id"": 5020996006576788, ""reply_text"": ""不要超过10度吧，度数高有点难喝，对身体也不好，生病很浪费钱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a2712a0644]"", ""created_at"": ""04-08"", ""source"": ""来自陕西"", ""user"": {""id"": ""[b61c40289d]"", ""screen_name"": ""[a05ca740d3]""}, ""text"": ""不要超过10度吧，度数高有点难喝，对身体也不好，生病很浪费钱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[201935c931]"", ""created_at"": ""04-08"", ""source"": ""来自河南"", ""user"": {""id"": ""[0f9721a69b]"", ""screen_name"": ""[357305c0b7]""}, ""text"": ""摸摸乖乖 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[91809b832f]"", ""created_at"": ""04-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""呜呜呜不要喝酒"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 20:47:18
[939f897595],[5ec585c3e6],"抑郁症
 心累…有人一起聊天嘛 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T01:08:06,抑郁症超话,1,2,"[{""id"": ""[ea31123864]"", ""created_at"": ""04-07"", ""source"": ""来自四川"", ""user"": {""id"": ""[58fffc6c2e]"", ""screen_name"": ""[606f6dafa1]""}, ""text"": ""有"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5b0504c578]"", ""created_at"": ""04-07"", ""source"": ""来自浙江"", ""user"": {""id"": ""[46d2f040cf]"", ""screen_name"": ""[99d392fe75]""}, ""text"": ""早些歇息"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-07 01:08:06
[0b75a255b5],[c8479265cc],"抑郁症
 晚安
 ",[9b2d5b4678],[2b20df8d6f],[9b2d5b4678],,2024-04-04T22:20:10,抑郁症超话,2,2,"[{""id"": ""[5e29dff04b]"", ""created_at"": ""04-05"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": ""晚安 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d175c0ab2b]"", ""created_at"": ""04-05"", ""source"": ""来自山东"", ""user"": {""id"": ""[8f3077ebfa]"", ""screen_name"": ""[3fe493c133]""}, ""text"": ""晚安"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-04 22:20:10
[25b08a588d],[15d1dcab91],"师生粉
 今天去学校终于见到她了虽然我们没咋聊天
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-03T11:41:22,师生粉超话,2,0,,0,,[9b2d5b4678],2024-04-03 11:41:22
[c044860cdc],[6472a716e3],"师生粉
 又是被她治愈的一天 心情不好找她聊天聊完瞬间好多了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-02T19:16:51,师生粉超话,3,2,"[{'id': 5018859824481422, 'created_at': '04-02', 'source': '来自四川', 'user': {'id': 7781304167, 'screen_name': '小TWG'}, 'text': '回复@wwzzxx1106:其实我跟她也就一周聊一次 第一句话永远是问她在忙嘛她也没有刻意安慰我但我跟她聊一会秒开心 [允悲]', 'reply_id': 5018837709754836, 'reply_text': '哭哭 羡慕了她最近一直特别忙，好像还又生病了，可是我又恰好情绪泛滥，需要她还没机会找她，自己特别努力的消化情绪，但真的有点应付不来……太难了 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5018837709754836, 'created_at': '04-02', 'source': '来自黑龙江', 'user': {'id': 7481407060, 'screen_name': 'wwzzxx1106'}, 'text': '哭哭 羡慕了她最近一直特别忙，好像还又生病了，可是我又恰好情绪泛滥，需要她还没机会找她，自己特别努力的消化情绪，但真的有点应付不来……太难了 ""[苦涩]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-02 19:16:51
[bd16f1cc70],[b983fd1c85],"抑郁症
 好想就这样安安静静的睡过去… ",[9b2d5b4678],[b396d7e47d],[9b2d5b4678],,2024-04-01T22:29:53,抑郁症超话,3,5,"[{""id"": ""[87dd31753c]"", ""created_at"": ""04-07"", ""source"": ""来自江西"", ""user"": {""id"": ""[dfbdb375d2]"", ""screen_name"": ""[d73e15a141]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6547ef237d]"", ""created_at"": ""04-02"", ""source"": ""来自河北"", ""user"": {""id"": ""[454102c621]"", ""screen_name"": ""[d61092c070]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[928ee86f2a]"", ""created_at"": ""04-02"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b9d58e6a03]"", ""created_at"": ""04-01"", ""source"": ""来自山东"", ""user"": {""id"": ""[ce05672617]"", ""screen_name"": ""[2e9585267e]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f96bc35837]"", ""created_at"": ""04-01"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-01 22:29:53
[8df820adef],[829672c8c7],"抑郁症
 你们加油 我贱命一条不值得活了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-30T00:35:46,抑郁症超话,3,4,"[{""id"": ""[a3ba9c88b7]"", ""created_at"": ""03-30"", ""source"": ""来自贵州"", ""user"": {""id"": ""[8b8959ba2c]"", ""screen_name"": ""[af670fc45a]""}, ""text"": ""宝贝抱抱 [抱一抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[f1672b6b90]"", ""created_at"": ""03-30"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2f798792b0]"", ""created_at"": ""03-30"", ""source"": ""来自江西"", ""user"": {""id"": ""[4fe8c95959]"", ""screen_name"": ""[09bfc17302]""}, ""text"": ""不要这么说是很好的宝宝 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1a6d69ed54]"", ""created_at"": ""03-30"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": ""宝贝，别放弃！你也很好的 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-30 00:35:46
