id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[92c431cb2b],[84bef5f90f],"双相情感障碍
 双相的各位有没有跟我一样特别善变的，就是一会儿想要做这个工作一会儿又想要去做另一个工作，今天是这个兴趣爱好明天又变一个了，我就感觉我的职业规划和兴趣爱好，甚至性格，就是朝三暮四的，好像做什么都是一时兴起三分钟热度。这是双相的缘故吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T02:33:27,双相情感障碍超话,1,4,"[{""id"": ""[d4231d6930]"", ""created_at"": ""2小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[f88b705f2a]"", ""screen_name"": ""[6273254156]""}, ""text"": ""我也是"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[16c8e540ad]"", ""created_at"": ""4小时前"", ""source"": ""来自浙江"", ""user"": {""id"": ""[d220337fbd]"", ""screen_name"": ""[ab9484e78c]""}, ""text"": ""我也不知道反正我也这样，上班上不久，有一点不好就想辞职"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f30c58c466]"", ""created_at"": ""4小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[7f338aa7bc]"", ""screen_name"": ""[9caaa2d642]""}, ""text"": ""工作没多久就想辞职"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ca687dd8e4]"", ""created_at"": ""4小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[7f338aa7bc]"", ""screen_name"": ""[9caaa2d642]""}, ""text"": ""我也这样"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 02:33:27
[4ca224552c],[0e670ff63b],"抑郁症
 每天早晨醒来都感觉浑身无力累的跟瘫痪了一样，明明只是躺着都有点气喘吁吁的感觉，这是什么恐怖躯体化 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-21T11:00:13,抑郁症超话,1,3,"[{""id"": ""[a1761fb7de]"", ""created_at"": ""05-23"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[f08ad9c19a]"", ""screen_name"": ""[b13d028154]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2ef1ab95b7]"", ""created_at"": ""05-21"", ""source"": ""来自河北"", ""user"": {""id"": ""[865987c8eb]"", ""screen_name"": ""[7a7ec866ea]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ff914405b0]"", ""created_at"": ""05-21"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-21 11:00:13
[cdd336aec8],[80d439d341],印象派孤独一点没逝的，我将开拓新的天堂 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T23:16:09,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-19 23:16:09
[81096afc2e],[79c844d434],"抑郁症
 各位停药后戒断反应都是怎么个症状啊？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T12:56:27,抑郁症超话,0,1,"[{""id"": ""[a89332127b]"", ""created_at"": ""05-17"", ""source"": ""来自新疆"", ""user"": {""id"": ""[80da049361]"", ""screen_name"": ""[ca7c4b7ee9]""}, ""text"": ""我是好了一段时间之后更加难受，各种症状都很明显的回来了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-17 12:56:27
[67162da4b0],[60dfaace82],"抑郁症
 这两天按医嘱把丙戊酸钠停了，剩下碳酸锂和舍曲林和喹硫平继续吃，但是就感觉整个人一点力气都没啥事都不想做，在床上瘫了两天，请问这是药物戒断反应的缘故么，还是减药又恶化了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T16:45:02,抑郁症超话,0,1,"[{""id"": ""[e29a42279d]"", ""created_at"": ""05-16"", ""source"": ""来自河南"", ""user"": {""id"": ""[707485943a]"", ""screen_name"": ""[f07755f2f4]""}, ""text"": ""我停药了，剩余两盒恩华碳酸锂新日期没拆封，你需要吗？便宜转让"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-16 16:45:02
[50c9998780],[9836e100a6],"抑郁症
 大家会不会被忽然的响声吓到魂飞魄散，比正常人格外敏感 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T10:21:46,抑郁症超话,3,4,"[{'id': 5028837054222164, 'created_at': '04-30', 'source': '来自河北', 'user': {'id': 7808368490, 'screen_name': '竹I绘'}, 'text': '会 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5028829865182116, 'created_at': '04-30', 'source': '来自浙江', 'user': {'id': 7492762054, 'screen_name': '柒月报刊-'}, 'text': '电话铃声。真的很吓人 [跪了]', 'like_counts': 0, 'liked': False}, {'id': 5028816514712463, 'created_at': '04-30', 'source': '来自广东', 'user': {'id': 6263261317, 'screen_name': '丢丢爱小羊yyh'}, 'text': '我怕敲门声。怕电话铃声。怕微信通话请求声。甚至怕消息提示音。所以我手机常年静音🔇，能不能联系到我全凭缘分和我的心情。 我有时候情愿自己什么声音都听不见。一点点声音就会让我感觉恐惧', 'like_counts': 0, 'liked': False}, {'id': 5028810544644377, 'created_at': '04-30', 'source': '来自广东', 'user': {'id': 6442005218, 'screen_name': '晴天QT-lcmfs'}, 'text': '会的有时候车的喇叭声都会被吓到 ""[苦涩]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-30 10:21:46
[ade96ef2d1],[8c09205fe3],"抑郁症
 我怀疑我根本没有得抑郁症
怀疑的很对，我确实没得抑郁症，因为我得的是双相情感障碍，现在我满意了吧？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T12:26:50,抑郁症超话,2,2,"[{""id"": ""[f13d8556d5]"", ""created_at"": ""04-28"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[7ac50204cb]"", ""screen_name"": ""[96543d3ee8]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[260dc903ed]"", ""created_at"": ""04-28"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": ""抱抱姐姐 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-28 12:26:50
[da985432f2],[1501f818cb],"双相情感障碍
 只睡了五个小时，迫不及待想起来拼模型了，昨天又激情下单了一些彩漆和光油等等，看来是躁狂发作了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T06:10:29,双相情感障碍超话,0,0,,0,,[9b2d5b4678],2024-04-27 06:10:29
[c12098ff53],[8dea0848e0],"双相情感障碍
 昨天还在快速循环，今天立刻进入抑郁。我终于知道为什么我一激动就会全身肌肉紧绷大声骂人大口呼吸，原来是因为这样可以快速让大脑缺氧，然后抑制住激动的情绪 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T21:29:55,双相情感障碍超话,0,0,,0,,[9b2d5b4678],2024-04-22 21:29:55
[bfd5628ba9],[af5a7ff2f9],"抑郁症
 痛苦难以表达，我沉默的承受着 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T21:26:15,抑郁症超话,3,2,"[{""id"": ""[70ce5407db]"", ""created_at"": ""04-22"", ""source"": ""来自江西"", ""user"": {""id"": ""[43f583004c]"", ""screen_name"": ""[b6a91cdd56]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5441b85979]"", ""created_at"": ""04-22"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-22 21:26:15
