id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[1ac74b64a7],[ccacd4fc6e],"抑郁症
 有人知道阿立哌唑的副作用是什么吗？会不会总是想吐？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T02:57:18,抑郁症超话,0,4,"[{""id"": ""[159b956386]"", ""created_at"": ""昨天 03:39"", ""source"": ""来自山东"", ""user"": {""id"": ""[684c886036]"", ""screen_name"": ""[768fc4dbc1]""}, ""text"": ""我对这个有依赖性 [委屈]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c7cd4f7edf]"", ""created_at"": ""昨天 03:37"", ""source"": ""来自河北"", ""user"": {""id"": ""[81168912cb]"", ""screen_name"": ""[f0780ac90a]""}, ""text"": ""阿立哌唑常见副作用有静坐不能"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fe3235207f]"", ""created_at"": ""昨天 03:37"", ""source"": ""来自广东"", ""user"": {""id"": ""[9723d85dbb]"", ""screen_name"": ""[6649d56d29]""}, ""text"": ""我吃阿立哌唑就吐了，然后就停药了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5efd1ab02f]"", ""created_at"": ""昨天 03:36"", ""source"": ""来自四川"", ""user"": {""id"": ""[6cdd19ec3e]"", ""screen_name"": ""[77b0300117]""}, ""text"": ""我吃完晕晕的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-28 02:57:18
[a5d7bdaceb],[b6496b6670],"抑郁症
 今天连着做了两个噩梦，都是和我妈吵架有关。都是被吓醒的…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T16:23:20,抑郁症超话,0,1,"[{""id"": ""[a4a33e9045]"", ""created_at"": ""04-25"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 16:23:20
[4179c6f2a4],[6764a884e8],"抑郁症
 喹硫平发胖太厉害，换了一种药阿立哌唑，睡眠质量差了一个度。想问一下这个药有什么副作用吗？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T21:30:29,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-21 21:30:29
[cc537245ec],[382dd6946b],"抑郁症
 碳酸锂，喹硫平，草酸艾司西酞普兰，究竟哪一个发胖啊！！！！！胖了不是一点半点！！！！！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T08:54:44,抑郁症超话,0,4,"[{""id"": ""[452c1fcbbd]"", ""created_at"": ""04-18"", ""source"": ""来自四川"", ""user"": {""id"": ""[89e5c6ff7d]"", ""screen_name"": ""[6939be8e2d]""}, ""text"": ""klp"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[500a902b93]"", ""created_at"": ""04-18"", ""source"": ""来自河北"", ""user"": {""id"": ""[81168912cb]"", ""screen_name"": ""[f0780ac90a]""}, ""text"": ""喹硫平"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a9161bc285]"", ""created_at"": ""04-18"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""喹硫平"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cb5d0fcbdb]"", ""created_at"": ""04-18"", ""source"": ""来自江苏"", ""user"": {""id"": ""[0e37f09eb7]"", ""screen_name"": ""[7c72ef63a2]""}, ""text"": ""喹硫平吧"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-18 08:54:44
[806967ace5],[68c41ef38b],"抑郁症
 失业了，真好嘻嘻
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T19:42:49,抑郁症超话,0,1,"[{""id"": ""[747d0096c0]"", ""created_at"": ""04-17"", ""source"": ""来自四川"", ""user"": {""id"": ""[6cdd19ec3e]"", ""screen_name"": ""[77b0300117]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 19:42:49
[b4c81ebee1],[e01eb721c8],"抑郁症
 又把做的梦当成现实了，如果是真的该有多好 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T08:15:49,抑郁症超话,0,1,"[{""id"": ""[091d2c755e]"", ""created_at"": ""04-17"", ""source"": ""来自江西"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 08:15:49
[e422e0153b],[63bb26bfd6],"抑郁症
 疯狂的嫉妒，亲戚这个暑假能出国研学，而我三十了还没出过远门，现在还要面临失业 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T15:11:09,抑郁症超话,0,2,"[{""id"": ""[459650a7e9]"", ""created_at"": ""04-13"", ""source"": ""来自河北"", ""user"": {""id"": ""[81168912cb]"", ""screen_name"": ""[f0780ac90a]""}, ""text"": ""我也是，为什么都是别人在幸福，我明明什么恶都没有做，世界让我有一个好的心态会爆炸吗 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[77e11c4df1]"", ""created_at"": ""04-13"", ""source"": ""来自江西"", ""user"": {""id"": ""[ee5f4c7bbb]"", ""screen_name"": ""[7193813d6f]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 15:11:09
[9bf79c8364],[6e685002d9],"抑郁症
 刚刚得知我们项目要散摊子了，我又要没工作。我不理解为什么这个世界总是在我稍稍妥协满足于现状之后又给我沉重的打击，我已经快承受不住了。或许直接死了，才能解开这个死结吧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T15:05:34,抑郁症超话,2,3,"[{""id"": ""[c2a9884bcc]"", ""created_at"": ""04-14"", ""source"": ""来自重庆"", ""user"": {""id"": ""[fe11d59f8c]"", ""screen_name"": ""[0a70221dc3]""}, ""text"": ""回复@且衔半青篁:不出所料又失败了，站在人来人往的街头好茫然，我什么都没有，没有人等我没有人没有人嘘寒问暖没有目的地"", ""reply_id"": 5022751465675637, ""reply_text"": ""我也好久没工作了，紧张焦虑，明天去面试"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[60ab174319]"", ""created_at"": ""04-13"", ""source"": ""来自重庆"", ""user"": {""id"": ""[fe11d59f8c]"", ""screen_name"": ""[0a70221dc3]""}, ""text"": ""我也好久没工作了，紧张焦虑，明天去面试"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[2717c744db]"", ""created_at"": ""04-13"", ""source"": ""来自江西"", ""user"": {""id"": ""[ee5f4c7bbb]"", ""screen_name"": ""[7193813d6f]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 15:05:34
[252cf9a6cb],[491c6764f4],"抑郁症
 也许是因为压力点大了，或者因为前几天刚和妈妈小吵的原因才做噩梦的吧，明明好久都没做噩梦了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T15:26:46,抑郁症超话,1,1,"[{""id"": ""[b8d5f92a39]"", ""created_at"": ""04-12"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[a066924ffc]"", ""screen_name"": ""[8e39996ac7]""}, ""text"": ""抱抱 [给你小心心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 15:26:46
[06237acee1],[b3dd78979d],"抑郁症
 做噩梦难受醒了，又是和家庭有关的。梦里我和妈妈吵架，没有一个人站在我这边，我只能扔东西哭泣发泄，我说我要搬出去不和他们一起住没有人当真，后来我拿了一把剪子想要剪掉天台门的束缚跳楼，可是我却连家里的门都打不开然后我用剪刀凿门，直戳开了一个小洞就被难受醒了，窒息感笼罩 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T15:25:17,抑郁症超话,0,2,"[{""id"": ""[ce1a0ab7bb]"", ""created_at"": ""04-12"", ""source"": ""来自安徽"", ""user"": {""id"": ""[18102f265e]"", ""screen_name"": ""[6821184644]""}, ""text"": ""不喜欢的人就不要太在意 [爱你]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f0ff0eea0c]"", ""created_at"": ""04-12"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": ""抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 15:25:17
