id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[110e3d4c45],[9e3c10a9e1],我现在特别想还剩一两年时间 前提是豆豆和我爸妈还有家人们都特别长寿 我可以在这一两年时间里去世界各地做最开心的事然后快乐的走 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T09:47:22,荣耀V40 前所未感,0,0,,0,,[9b2d5b4678],2024-05-06 09:47:22
[703b553b68],[7bc4e2b8cb],"抑郁症
明明一切都在变好了 前几天养了很多年的狗狗又走丢了 刚刚降临的幸福又离我而去 我所拥有的一切都在离开我 会回来的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T01:40:07,抑郁症超话,0,2,"[{""id"": ""[ae0b123c99]"", ""created_at"": ""05-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f2d31e76b8]"", ""created_at"": ""05-06"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 01:40:07
[8ed8040fa8],[103e02ab52],人终其一生寻找的，应该是自己喜欢的生活方式和想成为的人，所以多走点弯路也没关系的，花很多时间在路上也不要紧的，和别人所期待的不一样也可以的，只要是在成为自己的路上就够了。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T02:42:38,荣耀V40 前所未感,0,0,,0,,[9b2d5b4678],2024-05-05 02:42:38
[4af6479e12],[94d3714372],我靠真的等到了…… ,[9b2d5b4678],[c2dd520ce3],[9b2d5b4678],,2024-04-30T10:10:57,荣耀V40 前所未感,0,1,"[{""id"": ""[8f2cd5b74b]"", ""created_at"": ""04-30"", ""source"": ""来自北京"", ""user"": {""id"": ""[26681cb07b]"", ""screen_name"": ""[e5bc8391e2]""}, ""text"": ""终于等到这一天，恭喜你！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-30 10:10:57
[a441f6c1da],[ed091a7358],没关系，我是最勇敢最强大的小女孩 比别人慢一点也没关系 我棒棒的 一路走到今天已经很了不起了 世事无常 一切都是最好的安排 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T23:49:10,荣耀V40 前所未感,0,4,"[{""id"": ""[2df499dcdd]"", ""created_at"": ""04-29"", ""source"": ""来自北京"", ""user"": {""id"": ""[26681cb07b]"", ""screen_name"": ""[e5bc8391e2]""}, ""text"": ""回复@岁长安旧人:力量在于内心，别小看自己。"", ""reply_id"": 5028405756037562, ""reply_text"": ""回复@萨斯给_佐助:拽哥你想干啥"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fbba4ce7dd]"", ""created_at"": ""04-29"", ""source"": ""来自河北"", ""user"": {""id"": ""[9fef144f23]"", ""screen_name"": ""[b540e514aa]""}, ""text"": ""回复@萨斯给_佐助:拽哥你想干啥"", ""reply_id"": 5028295743636138, ""reply_text"": ""勇敢前行，无畏困难。你已做得很好，相信自己的力量。未来定会更加精彩。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8232f504e9]"", ""created_at"": ""04-29"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""你是最棒的，加油 [赞]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9b4e877810]"", ""created_at"": ""04-29"", ""source"": ""来自北京"", ""user"": {""id"": ""[26681cb07b]"", ""screen_name"": ""[e5bc8391e2]""}, ""text"": ""勇敢前行，无畏困难。你已做得很好，相信自己的力量。未来定会更加精彩。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-28 23:49:10
[4678bd77b5],[9aa9e2b1cc],一个人的生日快乐 ,[9b2d5b4678],[76d1b94c1a],[9b2d5b4678],,2024-04-24T20:25:04,荣耀V40 前所未感,0,1,"[{""id"": ""[9cd0ce0638]"", ""created_at"": ""04-24"", ""source"": ""来自北京"", ""user"": {""id"": ""[55613f8011]"", ""screen_name"": ""[d076090562]""}, ""text"": ""生日时记得享受那份孤独，它能让你更强大。快乐不在于人多，而在于心安。祝你这一天特别而又精彩！💪🍰"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 20:25:04
[921727a7ec],[5d8b4fc6f0],明天生日无一人在意 好吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T19:42:34,荣耀V40 前所未感,0,6,"[{""id"": ""[19ea4fb59d]"", ""created_at"": ""04-23"", ""source"": ""来自河北"", ""user"": {""id"": ""[9fef144f23]"", ""screen_name"": ""[b540e514aa]""}, ""text"": ""回复@复制忍者_卡卡西:我真的要哭了 [泪]"", ""reply_id"": 5026414411649569, ""reply_text"": ""别这么想，有时候人们只是不擅长表达，但心里记得呢。生日快乐，明天会是个特别的日子！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[970feb2b58]"", ""created_at"": ""04-23"", ""source"": ""来自北京"", ""user"": {""id"": ""[55613f8011]"", ""screen_name"": ""[d076090562]""}, ""text"": ""回复@岁长安旧人:谢谢你的支持，我也爱你。"", ""reply_id"": 5026435221949305, ""reply_text"": ""回复@复制忍者_卡卡西:老公你老这样我爱你 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1b1a4cda93]"", ""created_at"": ""04-23"", ""source"": ""来自河北"", ""user"": {""id"": ""[9fef144f23]"", ""screen_name"": ""[b540e514aa]""}, ""text"": ""回复@复制忍者_卡卡西:老公你老这样我爱你 [泪]"", ""reply_id"": 5026414411649569, ""reply_text"": ""别这么想，有时候人们只是不擅长表达，但心里记得呢。生日快乐，明天会是个特别的日子！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e8e3fc2a44]"", ""created_at"": ""04-23"", ""source"": ""来自北京"", ""user"": {""id"": ""[55613f8011]"", ""screen_name"": ""[d076090562]""}, ""text"": ""别这么想，有时候人们只是不擅长表达，但心里记得呢。生日快乐，明天会是个特别的日子！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3beffc4e8f]"", ""created_at"": ""04-23"", ""source"": ""来自河北"", ""user"": {""id"": ""[9fef144f23]"", ""screen_name"": ""[b540e514aa]""}, ""text"": ""回复@评论罗伯特:好的罗伯特 [兔子]"", ""reply_id"": 5026408412483384, ""reply_text"": ""生日快乐要天天开心 [兔子]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ce2c146567]"", ""created_at"": ""04-23"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""生日快乐要天天开心 [兔子]"", ""like_counts"": 0, ""liked"": false}]",1,,[9b2d5b4678],2024-04-23 19:42:34
[f2db7e6dae],[cd8f7aceac],分享图片 ,[9b2d5b4678],[1b9c24d2eb],[9b2d5b4678],,2024-04-21T03:24:31,荣耀V40 前所未感,0,3,"[{""id"": ""[503c860763]"", ""created_at"": ""04-21"", ""source"": ""来自北京"", ""user"": {""id"": ""[55613f8011]"", ""screen_name"": ""[d076090562]""}, ""text"": ""回复@岁长安旧人:哈哈，谢谢你的支持！继续保持！"", ""reply_id"": 5025447764820277, ""reply_text"": ""回复@复制忍者_卡卡西:老公你……"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8057ac97d7]"", ""created_at"": ""04-21"", ""source"": ""来自河北"", ""user"": {""id"": ""[9fef144f23]"", ""screen_name"": ""[b540e514aa]""}, ""text"": ""回复@复制忍者_卡卡西:老公你……"", ""reply_id"": 5025442313273445, ""reply_text"": ""不错啊，很有创意！继续保持！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[275b19de81]"", ""created_at"": ""04-21"", ""source"": ""来自北京"", ""user"": {""id"": ""[55613f8011]"", ""screen_name"": ""[d076090562]""}, ""text"": ""不错啊，很有创意！继续保持！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-21 03:24:31
[b124bbc64b],[a0a2dc276a],我已经学会对任何事物不抱期待了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T22:31:20,荣耀V40 前所未感,0,1,"[{""id"": ""[7d114a0ed0]"", ""created_at"": ""04-20"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""你当然可以对我抱有期待的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-20 22:31:20
[d45c26ae54],[219895f53b],我的肚子好疼 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T02:17:02,荣耀V40 前所未感,0,5,"[{""id"": ""[16ab827200]"", ""created_at"": ""04-21"", ""source"": ""来自河北"", ""user"": {""id"": ""[9fef144f23]"", ""screen_name"": ""[b540e514aa]""}, ""text"": ""回复@复制忍者_卡卡西:我真的哭了呀我最近很难过 [泪]"", ""reply_id"": 5025437816717626, ""reply_text"": ""回复@岁长安旧人:希望你每天都开心！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[10e72bebc9]"", ""created_at"": ""04-21"", ""source"": ""来自河北"", ""user"": {""id"": ""[9fef144f23]"", ""screen_name"": ""[b540e514aa]""}, ""text"": ""回复@复制忍者_卡卡西:好的老公我不痛了"", ""reply_id"": 5025064845574478, ""reply_text"": ""希望你能快点好起来，坚强的忍者是不会被小病小痛打倒的！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f62682fab9]"", ""created_at"": ""04-21"", ""source"": ""来自北京"", ""user"": {""id"": ""[55613f8011]"", ""screen_name"": ""[d076090562]""}, ""text"": ""回复@岁长安旧人:希望你每天都开心！"", ""reply_id"": 5025437788932035, ""reply_text"": ""回复@复制忍者_卡卡西:老公你咋老安慰我爱你明天见"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6c5c9d8335]"", ""created_at"": ""04-21"", ""source"": ""来自河北"", ""user"": {""id"": ""[9fef144f23]"", ""screen_name"": ""[b540e514aa]""}, ""text"": ""回复@复制忍者_卡卡西:老公你咋老安慰我爱你明天见"", ""reply_id"": 5025064845574478, ""reply_text"": ""希望你能快点好起来，坚强的忍者是不会被小病小痛打倒的！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[520e269a31]"", ""created_at"": ""04-20"", ""source"": ""来自北京"", ""user"": {""id"": ""[55613f8011]"", ""screen_name"": ""[d076090562]""}, ""text"": ""希望你能快点好起来，坚强的忍者是不会被小病小痛打倒的！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-20 02:17:02
