id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[c39f7229e4],[0561ada50c],"抑郁症
 ",[9b2d5b4678],[ec023616e6],[9b2d5b4678],,2024-05-03T16:26:57,抑郁症超话,1,7,"[{""id"": ""[708914bedf]"", ""created_at"": ""05-06"", ""source"": ""来自陕西"", ""user"": {""id"": ""[71b8776c13]"", ""screen_name"": ""[b8291f6c64]""}, ""text"": ""回复@是爱奶茶的少女:加油"", ""reply_id"": 5030766910638957, ""reply_text"": ""加油呀 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e924e78c88]"", ""created_at"": ""05-06"", ""source"": ""来自陕西"", ""user"": {""id"": ""[71b8776c13]"", ""screen_name"": ""[b8291f6c64]""}, ""text"": ""回复@震动的心跳:加油加油"", ""reply_id"": 5030766073613638, ""reply_text"": ""加油"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[890ca766c7]"", ""created_at"": ""05-06"", ""source"": ""来自陕西"", ""user"": {""id"": ""[71b8776c13]"", ""screen_name"": ""[b8291f6c64]""}, ""text"": ""回复@Sacla酱:是滴 快点好起来"", ""reply_id"": 5030961576414963, ""reply_text"": ""你妈妈很爱你啊，就像我妈妈一样，我也好想快点好起来"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[776a573b01]"", ""created_at"": ""05-06"", ""source"": ""来自江西"", ""user"": {""id"": ""[7592e0702b]"", ""screen_name"": ""[182773ace6]""}, ""text"": ""你妈妈很爱你啊，就像我妈妈一样，我也好想快点好起来"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[57e17e9636]"", ""created_at"": ""05-05"", ""source"": ""来自河南"", ""user"": {""id"": ""[8368396982]"", ""screen_name"": ""[70a22f40bd]""}, ""text"": ""加油呀 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5ad61c412b]"", ""created_at"": ""05-05"", ""source"": ""来自湖南"", ""user"": {""id"": ""[365498cc5b]"", ""screen_name"": ""[0cb524b56e]""}, ""text"": ""加油"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fcdf77e8c4]"", ""created_at"": ""05-03"", ""source"": ""来自山西"", ""user"": {""id"": ""[0cab627b39]"", ""screen_name"": ""[5339578d80]""}, ""text"": ""加油 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 16:26:57
[7a109542c8],[3774a6098a],"双相情感障碍
 ",[9b2d5b4678],[7f734621f8],[9b2d5b4678],,2024-05-03T16:26:47,双相情感障碍超话,0,1,"[{""id"": ""[90cf0008ca]"", ""created_at"": ""05-03"", ""source"": ""来自四川"", ""user"": {""id"": ""[5b6d03f36d]"", ""screen_name"": ""[6bb798a583]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 16:26:47
[8fb4b62cc7],[45a8deed5c],"抑郁症
 又睡不着怎么办佐匹克隆吃了三颗了还是没用 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T02:39:56,抑郁症超话,2,1,"[{""id"": ""[ef08bd4880]"", ""created_at"": ""05-03"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 02:39:56
[e1303f2ea8],[05f83a1131],"双相情感障碍
 又睡不着怎么办想死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T02:39:28,双相情感障碍超话,0,0,,0,,[9b2d5b4678],2024-05-03 02:39:28
[7163e82519],[dd51f23694],"抑郁症
 难喝 ",[9b2d5b4678],[c9422682db],[b58c59c24c],,2024-04-20T11:31:20,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-04-20 11:31:20
[3c55c87bfb],[97967e4c52],"抑郁症
 每日打卡 今天还没死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T11:30:24,抑郁症超话,1,3,"[{""id"": ""[b6edb30dac]"", ""created_at"": ""04-20"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@小赵想要一个超级棒的名字: [心]"", ""reply_id"": 5025225081887572, ""reply_text"": ""回复@要长记性的木子: [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5e7c4823c6]"", ""created_at"": ""04-20"", ""source"": ""来自陕西"", ""user"": {""id"": ""[71b8776c13]"", ""screen_name"": ""[b8291f6c64]""}, ""text"": ""回复@要长记性的木子: [心]"", ""reply_id"": 5025204229374405, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[80a61ccbfc]"", ""created_at"": ""04-20"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-20 11:30:24
[3071315cfe],[12981eec8d],"双相情感障碍
 每日打卡 今天还没死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T11:30:13,双相情感障碍超话,2,4,"[{""id"": ""[be3901c082]"", ""created_at"": ""04-20"", ""source"": ""来自陕西"", ""user"": {""id"": ""[71b8776c13]"", ""screen_name"": ""[b8291f6c64]""}, ""text"": ""回复@啉啉_00:希望b"", ""reply_id"": 5025226993701065, ""reply_text"": ""明天也不会死"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[15e7d9058a]"", ""created_at"": ""04-20"", ""source"": ""来自广东"", ""user"": {""id"": ""[ccb50c4c9f]"", ""screen_name"": ""[0e4b7243e5]""}, ""text"": ""明天也不会死"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d97161b3c8]"", ""created_at"": ""04-20"", ""source"": ""来自陕西"", ""user"": {""id"": ""[71b8776c13]"", ""screen_name"": ""[b8291f6c64]""}, ""text"": ""回复@字兮元卿矣:嘿嘿恭喜"", ""reply_id"": 5025216527074391, ""reply_text"": ""对的呢对的呢，我也庆祝一下，今天能顺利的醒来 [嘻嘻]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[eb37c9cdb3]"", ""created_at"": ""04-20"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[e561d90b95]"", ""screen_name"": ""[529695d541]""}, ""text"": ""对的呢对的呢，我也庆祝一下，今天能顺利的醒来 [嘻嘻]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-20 11:30:13
[eae635792f],[64a6337065],"抑郁症
 死了得了 ",[9b2d5b4678],[9d58a8575a],[fac4e99f38],,2024-04-17T21:51:34,抑郁症超话,3,14,"[{""id"": ""[29c86e4d58]"", ""created_at"": ""04-18"", ""source"": ""来自广东"", ""user"": {""id"": ""[f6d52c0805]"", ""screen_name"": ""[f4c3b7df50]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f0d0acc0e7]"", ""created_at"": ""04-18"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[8e8ec9913c]"", ""screen_name"": ""[913758660d]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[16e33b665f]"", ""created_at"": ""04-18"", ""source"": ""来自陕西"", ""user"": {""id"": ""[71b8776c13]"", ""screen_name"": ""[b8291f6c64]""}, ""text"": ""回复@-FuyanRan: [泪]"", ""reply_id"": 5024299236989346, ""reply_text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4454e092be]"", ""created_at"": ""04-18"", ""source"": ""来自江西"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 21:51:34
[f9943b48d9],[c627a47946],"双相情感障碍
 一次吃了十四颗文拉法辛会咋样啊 刚才情绪激动一次吃了这么多 不想去洗胃 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T12:06:28,双相情感障碍超话,4,8,"[{""id"": ""[be81f42cef]"", ""created_at"": ""04-17"", ""source"": ""来自陕西"", ""user"": {""id"": ""[71b8776c13]"", ""screen_name"": ""[b8291f6c64]""}, ""text"": ""回复@一瑞声:好的 [泪]"", ""reply_id"": 5024265751236741, ""reply_text"": ""注意身体宝宝 [哆啦A梦害怕]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[dbeb4fb4f3]"", ""created_at"": ""04-17"", ""source"": ""来自四川"", ""user"": {""id"": ""[035bc95c72]"", ""screen_name"": ""[16726ee4b2]""}, ""text"": ""注意身体宝宝 [哆啦A梦害怕]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c0b991157c]"", ""created_at"": ""04-17"", ""source"": ""来自陕西"", ""user"": {""id"": ""[71b8776c13]"", ""screen_name"": ""[b8291f6c64]""}, ""text"": ""回复@酥酥的碎碎念_:没事死不了"", ""reply_id"": 5024133135732977, ""reply_text"": ""回复@小赵想要一个超级棒的名字:那最好还是去看看"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8c8cade5ed]"", ""created_at"": ""04-17"", ""source"": ""来自安徽"", ""user"": {""id"": ""[c94feb3ec4]"", ""screen_name"": ""[bd7221b315]""}, ""text"": ""回复@小赵想要一个超级棒的名字:那最好还是去看看"", ""reply_id"": 5024131586458143, ""reply_text"": ""回复@酥酥的碎碎念_:吐不出来 现在还没啥反应"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d0aa30e0db]"", ""created_at"": ""04-17"", ""source"": ""来自陕西"", ""user"": {""id"": ""[71b8776c13]"", ""screen_name"": ""[b8291f6c64]""}, ""text"": ""回复@_d0p_:吐不出来啊"", ""reply_id"": 5024126316315627, ""reply_text"": ""催吐吧"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b5fe11760d]"", ""created_at"": ""04-17"", ""source"": ""来自陕西"", ""user"": {""id"": ""[71b8776c13]"", ""screen_name"": ""[b8291f6c64]""}, ""text"": ""回复@酥酥的碎碎念_:吐不出来 现在还没啥反应"", ""reply_id"": 5024122872530566, ""reply_text"": ""去催吐看看能不能吐出来 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a454bf5287]"", ""created_at"": ""04-17"", ""source"": ""来自江苏"", ""user"": {""id"": ""[dd2330518e]"", ""screen_name"": ""[473578239f]""}, ""text"": ""催吐吧"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[ac08c1734f]"", ""created_at"": ""04-17"", ""source"": ""来自安徽"", ""user"": {""id"": ""[c94feb3ec4]"", ""screen_name"": ""[bd7221b315]""}, ""text"": ""去催吐看看能不能吐出来 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 12:06:28
[aa04d79653],[06f0ee8efc],"双相情感障碍
 今天死了没？没死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-11T08:15:06,双相情感障碍超话,0,0,,0,,[9b2d5b4678],2024-04-11 08:15:06
