id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[5d700164cd],[32703e8937],据说可以网上开药就去看了眼，然后终于想起之前停药的其中一个原因了，药真贵啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T22:09:14,Android,0,0,,0,,[9b2d5b4678],2024-06-07 22:09:14
[b8caad898b],[0eb7e86f9b],"去年外公去世时我就一直没哭过，
昨天因为梦到想去埋一个流浪猫的尸体，不知道埋哪，然后有人推荐我去一处地方的时候放起了往生咒（但响起的音乐是大悲咒因为我只记得到大悲咒）然后来到一个寺庙的佛堂，我外婆也在里面，先进去在像候客厅一样的地方等，外婆一进去就背对着我面向一边不说话，然后我知 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T06:25:00,Android,0,0,,0,,[9b2d5b4678],2024-06-07 06:25:00
[0f5b5e5934],[700c1ee995],在思考自己是不是确实有童年创伤。。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T14:21:28,Android,0,0,,0,,[9b2d5b4678],2024-06-06 14:21:28
[5406c39109],[645f1e5254],焦虑得很厉害。。好想死。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T09:50:31,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-06-06 09:50:31
[265552adcb],[45b312b1cc],想死的一天 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T22:14:49,Redmi Note 12 Turbo,0,1,"[{""id"": ""[79f320ec5d]"", ""created_at"": ""06-01"", ""source"": ""来自福建"", ""user"": {""id"": ""[1971d28981]"", ""screen_name"": ""[b9caa22d03]""}, ""text"": ""想死每一天"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 22:14:49
[84e26c12e6],[4ffeb4cbc0],原来我去年这个时候在自残啊） ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T14:46:55,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-06-01 14:46:55
[219d297bac],[2609782338],"昨天梦到在嘶声力竭的控诉我妈，大概就是我的行为又不如我妈意了然后她拿以前对我怎么怎么好来说我，然后我在外面直接爆发了，控制不住自己的说怎么就好了我以前有什么值得回忆的吗然后情绪很崩溃
笑了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T06:25:59,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-06-01 06:25:59
[0d977df5d2],[70e3426217],我真的，一天比一天不知道未来有啥期待的了，期待我的死亡吗 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T11:58:31,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-31 11:58:31
[20345d6ef8],[202e1a5cd4],好绝望啊。。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T11:56:11,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-31 11:56:11
[d4753dcae1],[e84b4f5bc0],好想死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T15:01:52,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-22 15:01:52
[07cfe93399],[0980f6a38d],"昨天做了个这阵子记得最清楚的梦，大概是古代时期我陪老大调查一个事件，然后这个地方开始一个祭祀，祭司要往天上投箭，然后箭往下坠的时候无法避免的往围观群众方向射下。旁边的人都往别处跑了，然后我不想走太远就只是在那个范围躲箭，看到有个要接近的箭就拿手里的东西打开了，然后箭好像变密了，我 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T11:51:35,Redmi Note 12 Turbo,0,1,"[{""id"": ""[b50dac02bf]"", ""created_at"": ""05-22"", ""source"": ""来自福建"", ""user"": {""id"": ""[1971d28981]"", ""screen_name"": ""[b9caa22d03]""}, ""text"": ""但后面是个比我人高的台阶，但心里想着必须得躲开治疗然后超能力起来了我移到了后方一个屋子里。然后半梦半醒了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 11:51:35
[dc2b7ab328],[1806a02d61],好想死。。。好厌恶这生活 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-21T12:12:09,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-21 12:12:09
[a654dedd4e],[939db9bcb5],好焦虑，我服啦 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-21T12:04:23,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-21 12:04:23
[1e58ad88e3],[86386078ed],唉真不想活 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-21T11:31:22,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-21 11:31:22
[c7af527f62],[553ec581ea],情绪崩溃想要自残宣泄了。。。要不明天去穿孔吧。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T21:55:13,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-18 21:55:13
[9f4c67912e],[a2e016451a],有点崩溃了，想吃药了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T21:50:35,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-18 21:50:35
[b3230450ca],[69547869f8],好想发疯，内心不断尖叫 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T21:44:53,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-18 21:44:53
[c66e53d973],[b397aba3ab],厌我的心达到顶峰 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T17:25:56,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-18 17:25:56
[8f285f98be],[d23ba40e4e],贴钱式出物，我还是去死一死吧，我要不就死死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T17:16:06,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-18 17:16:06
[a8b29d84eb],[a45023bf79],不想活了，虽然说有推会想为了推的活，但是想着这样的人生好悲哀我还是别活了吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T14:39:32,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-18 14:39:32
[0c79caa63c],[2732d6c7b1],好行尸走肉，不觉得像活着 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T00:06:38,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-17 00:06:38
[3f40b40044],[1cfce68629],好自闭好抑郁，好不真实 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T23:47:54,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-16 23:47:54
[5395f00a6e],[c2a6d3ae07],感觉生活好不真实 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-11T17:27:27,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-11 17:27:27
[15e53ca6c7],[2080a7320c],感觉我是真的膈应我妈了，我妈打死也想不到吧她亲爱的乖乖女会这样 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T14:46:12,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-08 14:46:12
[c5ea22d42b],[4eb5c88d53],做梦梦到接受表白后竟是害怕的，感觉不敢想象我得和别人在一起了，然后梦里安慰自己其实拒绝了然后顺心了。发现原来我内核是真的恐婚啊。感觉起因是我妈昨天又打电话问我这问我那，笑死，每次我妈给我打电话都不会有什么好梦，我内心是真的拒绝我妈了，真是谢谢我妈啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T09:10:40,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-08 09:10:40
[7176055296],[878a9a669b],失败的，没有热爱的，没有希望的，人 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T01:53:36,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-05-03 01:53:36
[0bc7b32c80],[8e23934f00],又有点自闭咯 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T19:51:34,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-04-27 19:51:34
[9f20401813],[70a20be2a4],今天回去一定画画 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T15:18:52,Redmi Note 12 Turbo,0,0,,0,,[9b2d5b4678],2024-04-26 15:18:52
