id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[8ec2fc3b44],[975c3b8ef2],"以前我觉得结局是最重要的 只要结局是好的 过程让我怎么哭都行 但现在我不觉得 最重要的是 要做自己 就算有一天 我没有办法再在这个physical的世俗的物质的世界上生存下去 我嘎了 ok没问题 嘎了不是整个人生的轰然倒塌 只是我选择的或者说本来我就是我的这条路上一个小小的plan而已 一个分支而已
虽然 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T04:13:08,Android,0,0,,1,,[9b2d5b4678],2024-04-19 04:13:08
[5f31e30385],[5d892a7113],好久没上课了 好想死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T10:02:15,Android,0,0,,0,,[9b2d5b4678],2024-04-15 10:02:15
[9cba24416f],[168ff7c237],有一种感觉 做什么都很费劲 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T00:51:50,Android,0,0,,0,,[9b2d5b4678],2024-04-13 00:51:50
[1ed3b4f59c],[3247a57173], ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T17:54:54,Android,0,0,,0,,[9b2d5b4678],2024-04-12 17:54:54
[9d2e9c3e66],[b0cc2193bb],想死 ,[9b2d5b4678],[ea75f82a0f],[9b2d5b4678],,2024-04-11T17:15:35,Android,0,0,,0,,[9b2d5b4678],2024-04-11 17:15:35
[dad6e14fa6],[4760047145],吃药吃得晕乎乎的，身体精神四分五裂，有想找个地方跳下去的冲动 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-09T12:27:36,Android,0,1,"[{""id"": ""[c05e3b0838]"", ""created_at"": ""04-09"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""宝宝加油！一定要坚强"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-09 12:27:36
[5dd65239c7],[60acdd7753],说我不是双相谁信呢 突然地开心 突然地绝望想哭 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T00:38:55,Android,0,0,,0,,[9b2d5b4678],2024-04-06 00:38:55
[c0d337ebaf],[bea11799b9],"抑郁症
富马酸喹硫平不是双相可以吃吗？我每次都问医生我是不是双相，因为我会抑郁一星期开心两小时，医生每次都说不是，但给我吃的是喹硫平和碳酸锂 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T17:32:10,抑郁症超话,0,6,"[{""id"": ""[6453aebd48]"", ""created_at"": ""04-04"", ""source"": ""来自山西"", ""user"": {""id"": ""[2a17257421]"", ""screen_name"": ""[785b0e01e5]""}, ""text"": ""不过碳酸锂肝毒性大，问问医生能不能换成丙戊酸钠"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3e8473d0bf]"", ""created_at"": ""04-04"", ""source"": ""来自山西"", ""user"": {""id"": ""[2a17257421]"", ""screen_name"": ""[785b0e01e5]""}, ""text"": ""回复@用户7884204701:ssri是一类药，叫选择性5-羟色胺再摄取抑制剂，抗抑郁药用的最多的是这一类"", ""reply_id"": 5019547953005666, ""reply_text"": ""回复@云霄雨霁喵:请问ssri是？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3768b79dfd]"", ""created_at"": ""04-04"", ""source"": ""来自马来西亚"", ""user"": {""id"": ""[58dc5f731d]"", ""screen_name"": ""[ba5f2fd9a9]""}, ""text"": ""回复@云霄雨霁喵:请问ssri是？"", ""reply_id"": 5019515936839102, ""reply_text"": ""可以啊，喹硫平主要是心境稳定剂然后有镇静助眠的效果。但是如果你是双相，是不可以用ssri的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[987b300c38]"", ""created_at"": ""04-04"", ""source"": ""来自山西"", ""user"": {""id"": ""[2a17257421]"", ""screen_name"": ""[785b0e01e5]""}, ""text"": ""可以啊，喹硫平主要是心境稳定剂然后有镇静助眠的效果。但是如果你是双相，是不可以用ssri的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b35ca81973]"", ""created_at"": ""04-04"", ""source"": ""来自浙江"", ""user"": {""id"": ""[fe1957d9b8]"", ""screen_name"": ""[b1ee140b61]""}, ""text"": ""我也不是双相 但是有睡眠障碍所以吃 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[58f41d5244]"", ""created_at"": ""04-04"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""可以呀 我把喹硫平当安眠药吃的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-04 17:32:10
[5471fb2df9],[c96c0be932],"我跟你们拼了
 ",[9b2d5b4678],[350f88328e],[9b2d5b4678],,2024-04-04T04:37:35,Android,0,0,,0,,[9b2d5b4678],2024-04-04 04:37:35
[84899f4def],[40a6219cbd],已经焦虑得什么都不知道了 永远都写不完 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-03T06:13:52,Android,0,0,,0,,[9b2d5b4678],2024-04-03 06:13:52
