id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[fe4fbc6e87],[b34928af81],"抑郁症
 没有任何人有责任安慰我一辈子…
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T20:56:57,抑郁症超话,1,1,"[{""id"": ""[36177311c6]"", ""created_at"": ""05-31"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 20:56:57
[ce58fa5eee],[5caf1b5696],"抑郁症
 蹲蹲蹲，怎么都蹲不到，结果才发现那天端午节，停诊
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T20:56:55,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-26 20:56:55
[25228fc71f],[7701da1a03],"抑郁症
 我很想做，可是我做不到
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T20:46:02,抑郁症超话,0,11,,0,,[9b2d5b4678],2024-05-23 20:46:02
[d818e3b7fe],[acde530bef],"抑郁症
 对于未知，还是会害怕，把结果想的很糟糕，万一真的这么糟，也有个心理准备，尽管第一反应还是惊吓
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T20:52:02,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-09 20:52:02
[15114e4408],[5f3f39b8b5],"抑郁症
 睡不着+起不来，到底是要怎样
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T23:52:40,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-06 23:52:40
[2aa447daab],[b8c7c57153],"抑郁症
 没动力…
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T20:41:16,抑郁症超话,1,5,"[{""id"": ""[70090f9304]"", ""created_at"": ""06-01"", ""source"": ""来自广东"", ""user"": {""id"": ""[d7d3203121]"", ""screen_name"": ""[bc9436aaae]""}, ""text"": ""回复@小机灵_X-LANCE:谢谢你呀 [心]"", ""reply_id"": 5040472062165509, ""reply_text"": ""相信自己，慢慢地，你会重新找到动力的！加油！💪🌟"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c3114153ef]"", ""created_at"": ""06-01"", ""source"": ""来自湖北"", ""user"": {""id"": ""[627c7e690d]"", ""screen_name"": ""[32e2f29035]""}, ""text"": ""相信自己，慢慢地，你会重新找到动力的！加油！💪🌟"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fd5471736f]"", ""created_at"": ""05-27"", ""source"": ""来自上海"", ""user"": {""id"": ""[113212b01e]"", ""screen_name"": ""[bf8e284a5f]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[078664a8d4]"", ""created_at"": ""05-02"", ""source"": ""来自广东"", ""user"": {""id"": ""[d7d3203121]"", ""screen_name"": ""[bc9436aaae]""}, ""text"": ""回复@活着是常态-死亡是奢望:谢谢你呀 [抱一抱]"", ""reply_id"": 5029708427956622, ""reply_text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3675ee8ee5]"", ""created_at"": ""05-02"", ""source"": ""来自安徽"", ""user"": {""id"": ""[3501260cd5]"", ""screen_name"": ""[8cb37a01ed]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-02 20:41:16
[7a6f1648a6],[62efdb388a],"抑郁症
 好困
困到都不知道睡觉到底是件好事还是坏事
没动力，感觉复诊和心理治疗都快不能把我扯出门了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T19:53:00,抑郁症超话,0,3,"[{""id"": ""[5cae48b22b]"", ""created_at"": ""04-24"", ""source"": ""来自广东"", ""user"": {""id"": ""[a9fb4ee7ad]"", ""screen_name"": ""[a12ad97cca]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[030b213999]"", ""created_at"": ""04-23"", ""source"": ""来自广东"", ""user"": {""id"": ""[d7d3203121]"", ""screen_name"": ""[bc9436aaae]""}, ""text"": ""回复@急撒事:谢谢你呀 [心]"", ""reply_id"": 5026418575279228, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[26c40b683f]"", ""created_at"": ""04-23"", ""source"": ""来自湖南"", ""user"": {""id"": ""[02eb58ae07]"", ""screen_name"": ""[14089c1076]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-23 19:53:00
[24eaa455ec],[d760e10744],"抑郁症
 脑壳疼，积食，药代谢问题，我成功跪了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T21:58:41,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-14 21:58:41
[7ac19fb010],[b086b41a85],"抑郁症
 兰释这影响其他药代谢的作用，我真的给跪了，哪哪都困都难受
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T23:14:04,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-13 23:14:04
[05818c6e1e],[d9f7506237],"抑郁症
 好困，药全部都是超时吃的，救命 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-09T14:24:36,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-09 14:24:36
