id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[1a4827070c],[0ed5c53d47],有时候痴迷游戏，有时候痴迷电视剧，不然无聊我就只想买买买的逛淘宝了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T16:02:35,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-20 16:02:35
[0ce3f230dd],[562dc2eb0a],有钱可能会抑郁，没钱也不一定会抑郁啊！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T22:17:50,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-19 22:17:50
[67770ae12b],[47e0733ba4],"抑郁症
 那些先嘴见，甩锅的玩意儿能不能去死啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T13:32:59,抑郁症超话,0,1,"[{""id"": ""[9011ceb0a7]"", ""created_at"": ""05-19"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-19 13:32:59
[7d5527c866],[b647ec5bc6],"抑郁症
 最近吃啥都没胃口，对啥也不感兴趣 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T14:20:36,抑郁症超话,0,1,"[{""id"": ""[51d9937b10]"", ""created_at"": ""05-17"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-17 14:20:36
[df1045e5df],[b5f27fc04e],"抑郁症
 抑郁这些年，我比以前成长了，从最初5颗，到中间重度13颗，到现在2颗。
我不麻烦别人，也不给他人负能量，自己消耗，难受了哭一哭，痛一痛，只有自己才是自己的救赎，只有爱自己珍惜该珍惜的才是最重要的！ ！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T14:10:41,抑郁症超话,1,2,"[{""id"": ""[9447561d88]"", ""created_at"": ""05-16"", ""source"": ""来自云南"", ""user"": {""id"": ""[3fae88d981]"", ""screen_name"": ""[180d874bc7]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[88f3c5342a]"", ""created_at"": ""05-16"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""爱自己 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-16 14:10:41
[d3af3a0f0b],[d669ab2843],"抑郁症
 抑郁症与善良不善良无关吧。每个人的经历都不一样，有些人从小就抑郁了，童年的不幸那也是无能？是虚伪？是懦弱？
对……看到这种我还是挺伤心的，不过也允许存在别人不同的观点，接受善与恶的发言，只不过还是挺难过的！ ",[9b2d5b4678],[9d466d5b29],[9b2d5b4678],,2024-05-16T12:44:06,抑郁症超话,13,7,"[{""id"": ""[eabd93ac4b]"", ""created_at"": ""16小时前"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[6bd112391d]"", ""screen_name"": ""[bf4e993b84]""}, ""text"": ""每个人都是从自己的角度去看问题的，只要不违法犯罪，我就允许任何人的存在，允许任何事发生"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4612a14293]"", ""created_at"": ""05-19"", ""source"": ""来自广东"", ""user"": {""id"": ""[5f03c37ee9]"", ""screen_name"": ""[2b28f244b8]""}, ""text"": ""有点无语 每个人经历不一样 不能感同身受就不要随意评论"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[e38d726a58]"", ""created_at"": ""05-18"", ""source"": ""来自广东"", ""user"": {""id"": ""[3fa1fdc9dd]"", ""screen_name"": ""[196b02d26a]""}, ""text"": ""另外，感觉对方只是不会换位思考而已。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[10ae26958f]"", ""created_at"": ""05-18"", ""source"": ""来自广东"", ""user"": {""id"": ""[3fa1fdc9dd]"", ""screen_name"": ""[196b02d26a]""}, ""text"": ""p1前半段感觉挺对的，确实不敢面对世界的恶，但是唯独是直面了自己的恶，是组成世界的恶的其中之一，才会特别有负罪感，抑郁症的症状之一。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a621088612]"", ""created_at"": ""05-16"", ""source"": ""来自江西"", ""user"": {""id"": ""[24825cff26]"", ""screen_name"": ""[1d7b3e3e69]""}, ""text"": ""有点离谱了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[da09e62b59]"", ""created_at"": ""05-16"", ""source"": ""来自广东"", ""user"": {""id"": ""[e3ef855667]"", ""screen_name"": ""[be36d2a6c2]""}, ""text"": ""回复@浮生梦黎:刚刷到的时候挺难过的，冷静下来觉得也正常，每个人都有自己的发言观点，有恶有善。随她去吧"", ""reply_id"": 5034643940445401, ""reply_text"": ""他就是给自己作恶找理由"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3925c763e5]"", ""created_at"": ""05-16"", ""source"": ""来自河南"", ""user"": {""id"": ""[891736d3e8]"", ""screen_name"": ""[b857287eea]""}, ""text"": ""他就是给自己作恶找理由"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-16 12:44:06
[5b59b4c86d],[bf02dbbc19],"善良的人往往容易相信别人的善良，
并因此低估了恶人存在并且作恶的可能性！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T12:29:06,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-16 12:29:06
[7f57d3f48e],[e675d936ff],"抑郁症
 今天哭了好几次，眼睛好痛啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T23:39:46,抑郁症超话,0,2,"[{""id"": ""[db9ee34b19]"", ""created_at"": ""05-14"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住不哭不哭"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[290e080d1e]"", ""created_at"": ""05-14"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": ""抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-13 23:39:46
[3a8165a070],[43a06192cc],"抑郁症
 我麻木了，以前我会争辩，现在……算了他们说什么都是对，我抑郁是耻辱是错，是无病呻吟，是太闲，是想太多！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T16:27:29,抑郁症超话,1,7,"[{""id"": ""[87f19ae40a]"", ""created_at"": ""05-13"", ""source"": ""来自广东"", ""user"": {""id"": ""[e3ef855667]"", ""screen_name"": ""[be36d2a6c2]""}, ""text"": ""回复@userr-:没必要了，一条人命别人都不会在意，更何况这些他们觉得不痛不痒的话呢。"", ""reply_id"": 5033629627713372, ""reply_text"": ""回复@黑夜里哭着走的:现在懒得争辩了，管别人咋说"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e7333290d1]"", ""created_at"": ""05-13"", ""source"": ""来自河南"", ""user"": {""id"": ""[8a3b6588e0]"", ""screen_name"": ""[290b828262]""}, ""text"": ""回复@黑夜里哭着走的:现在懒得争辩了，管别人咋说"", ""reply_id"": 5033629520758447, ""reply_text"": ""回复@userr-:确实啊，可是大部分人都会说我们太闲了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f6ffa13dd1]"", ""created_at"": ""05-13"", ""source"": ""来自广东"", ""user"": {""id"": ""[e3ef855667]"", ""screen_name"": ""[be36d2a6c2]""}, ""text"": ""回复@userr-:确实啊，可是大部分人都会说我们太闲了"", ""reply_id"": 5033629239741732, ""reply_text"": ""回复@黑夜里哭着走的:对啊，所以不是闲的才抑郁"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b29eca602d]"", ""created_at"": ""05-13"", ""source"": ""来自河南"", ""user"": {""id"": ""[8a3b6588e0]"", ""screen_name"": ""[290b828262]""}, ""text"": ""回复@黑夜里哭着走的:对啊，所以不是闲的才抑郁"", ""reply_id"": 5033629062007754, ""reply_text"": ""回复@userr-:医生说的也不一定是对的吧，我之前每天都有很多事做，可就是会在很忙的时候突然就焉了暴哭，会在坐车去工作的时侯哭，会在下班地铁，公交车上暴哭，每天特忙，那会子我也是一天10多颗药，忙也止不住我抑郁啊！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[72bca6de8d]"", ""created_at"": ""05-13"", ""source"": ""来自广东"", ""user"": {""id"": ""[e3ef855667]"", ""screen_name"": ""[be36d2a6c2]""}, ""text"": ""回复@userr-:医生说的也不一定是对的吧，我之前每天都有很多事做，可就是会在很忙的时候突然就焉了暴哭，会在坐车去工作的时侯哭，会在下班地铁，公交车上暴哭，每天特忙，那会子我也是一天10多颗药，忙也止不住我抑郁啊！"", ""reply_id"": 5033627978825758, ""reply_text"": ""连医生都说是因为闲"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[14adad7508]"", ""created_at"": ""05-13"", ""source"": ""来自河南"", ""user"": {""id"": ""[8a3b6588e0]"", ""screen_name"": ""[290b828262]""}, ""text"": ""连医生都说是因为闲"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[dec1760b65]"", ""created_at"": ""05-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [二哈]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-13 16:27:29
[75f031fa28],[7c9685ebaa],"抑郁症
 不想吃饭，没有任何胃口，只想躺着不动，流眼泪，觉得自己真不该活着但是又不能不活所以克制住自己想死的念头，我啊，可能就是太闲了！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T14:44:06,抑郁症超话,1,2,"[{""id"": ""[727a400526]"", ""created_at"": ""05-13"", ""source"": ""来自广东"", ""user"": {""id"": ""[2e927d8efe]"", ""screen_name"": ""[fe1fbc5c36]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a2f4de2825]"", ""created_at"": ""05-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-13 14:44:06
