id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[8d68ae3c7c],[889f09f9ad],"之前一起玩的又莫名其妙不一起玩了。
虽然对我来说都没啥区别，人越年长无论友情还是爱情都是相互利用的存在，对我来说。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T23:06:15,真我GT Neo3,0,4,"[{""id"": ""[ead7ceffff]"", ""created_at"": ""13小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[d1677989b2]"", ""screen_name"": ""[646b8df312]""}, ""text"": ""回复@月亮倒落天际:不合适一起玩了，都很累的啊。虽然我也会想她，但是我们都看不懂对方要表达的意思了，她曾经也说过大家还活着好好的就行了。我现在也是这样认同的哦"", ""reply_id"": 5040029615525475, ""reply_text"": ""回复@卿言-会吉星高照鸿运当头:十几年诶，好长"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[452ca96b65]"", ""created_at"": ""13小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[dbed66765f]"", ""screen_name"": ""[bf6c965df5]""}, ""text"": ""回复@卿言-会吉星高照鸿运当头:十几年诶，好长"", ""reply_id"": 5039994949600940, ""reply_text"": ""很正常哦，我还和我初中的朋友结束了友谊。十几年哦。但是也有新的人来捏"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[32cf75b289]"", ""created_at"": ""15小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[d1677989b2]"", ""screen_name"": ""[646b8df312]""}, ""text"": ""很正常哦，我还和我初中的朋友结束了友谊。十几年哦。但是也有新的人来捏"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d522cfa42e]"", ""created_at"": ""23小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[d1677989b2]"", ""screen_name"": ""[646b8df312]""}, ""text"": ""阶段式友谊"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 23:06:15
[49c39648f9],[81114a6cc7],"怪奇物语要看完了
真的好看！！！！！！！！！！！！！！！！！！终于知道还没看之前说对剧里每个人的第一印象可能都是错的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T22:59:04,真我GT Neo3,0,2,"[{""id"": ""[17c84d3fa2]"", ""created_at"": ""昨天 22:59"", ""source"": ""来自广东"", ""user"": {""id"": ""[dbed66765f]"", ""screen_name"": ""[bf6c965df5]""}, ""text"": ""等我看完我要列个感动名场面"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e7fb801840]"", ""created_at"": ""昨天 22:59"", ""source"": ""来自广东"", ""user"": {""id"": ""[dbed66765f]"", ""screen_name"": ""[bf6c965df5]""}, ""text"": ""是啥意思了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 22:59:04
[aa6a6c06aa],[5cc7154238],好想阿瑟…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T19:31:21,真我GT Neo3,0,0,,0,,[9b2d5b4678],2024-05-29 19:31:21
[e1b658aa15],[4b66b037b4],挂坠丢了真的伤心 ,[9b2d5b4678],[7e0253b0ae],[9b2d5b4678],,2024-05-29T11:06:54,真我GT Neo3,0,1,"[{""id"": ""[890e7397d9]"", ""created_at"": ""05-29"", ""source"": ""来自广东"", ""user"": {""id"": ""[f96d52cf04]"", ""screen_name"": ""[536f9fd488]""}, ""text"": ""是因为里面的留言吧"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-29 11:06:54
[f7133be420],[df2261f841],"流泪了Max，真的是个勇敢宝宝
 ",[9b2d5b4678],[34259001fe],[9b2d5b4678],,2024-05-28T13:26:29,真我GT Neo3,0,2,"[{'id': 5038997379747391, 'created_at': '05-28', 'source': '来自广东', 'user': {'id': 7292523215, 'screen_name': '月亮倒落天际'}, 'text': '我之前不咋喜欢她的这一季太让人流泪了 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5038997243953725, 'created_at': '05-28', 'source': '来自广东', 'user': {'id': 7292523215, 'screen_name': '月亮倒落天际'}, 'text': '会看怪奇物语就是因为这一集的片尾曲', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-28 13:26:29
[6af4d06f34],[c3c8186290],"从我生病的那一天起到现在，没发生过一件好事
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T13:56:42,真我GT Neo3,1,0,,0,,[9b2d5b4678],2024-05-27 13:56:42
[13bc7d2131],[58beae1799],我觉得我很会花小钱，但是一旦花点超过几张的东西的时候我就不行了，可能我觉得我不配花大钱吧。感觉身边的朋友，都是有目的的存钱，买手机，买衣服，去旅游或者说谈恋爱这样。但是我存钱没有什么目的地，好像就是为了存钱而存钱，噢，应该是为了什么时候都能拿的出来吧。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T22:49:01,真我GT Neo3,0,3,"[{""id"": ""[062b411658]"", ""created_at"": ""05-27"", ""source"": ""来自四川"", ""user"": {""id"": ""[d1677989b2]"", ""screen_name"": ""[646b8df312]""}, ""text"": ""回复@月亮倒落天际:我也差不多啦"", ""reply_id"": 5038437810307214, ""reply_text"": ""回复@卿言-会吉星高照鸿运当头:还是我太穷了 [跪了]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[90d5c59344]"", ""created_at"": ""05-27"", ""source"": ""来自广东"", ""user"": {""id"": ""[dbed66765f]"", ""screen_name"": ""[bf6c965df5]""}, ""text"": ""回复@卿言-会吉星高照鸿运当头:还是我太穷了 [跪了]"", ""reply_id"": 5038419719752122, ""reply_text"": ""也不错滴"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cdcf245b5e]"", ""created_at"": ""05-26"", ""source"": ""来自四川"", ""user"": {""id"": ""[d1677989b2]"", ""screen_name"": ""[646b8df312]""}, ""text"": ""也不错滴"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-26 22:49:01
[8f3a21c839],[4d72ef5191],"拿来插流量卡的备用机坏掉了，我自己的只有一个卡槽，吐了，这个月就只剩下几g流量了。
倒霉事一件接一件我真的绝了…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T22:41:44,真我GT Neo3,1,2,"[{""id"": ""[261de62484]"", ""created_at"": ""05-27"", ""source"": ""来自河南"", ""user"": {""id"": ""[942f9db0b5]"", ""screen_name"": ""[0b0d75fb32]""}, ""text"": ""@我不做白日梦-"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[9214183c2b]"", ""created_at"": ""05-26"", ""source"": ""来自四川"", ""user"": {""id"": ""[d1677989b2]"", ""screen_name"": ""[646b8df312]""}, ""text"": ""啊"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-26 22:41:44
[0ec3f97973],[34ec8a4985],"昨晚梦见天刀在qq搞活动抽衣服，分头发衣服鞋子部件的那种，然后很艰难的全抽中了，结果发现只是抽齐这套衣服后，能去抽天刀实物周边，就一个挂幅，就当我准备抽的时候，它提醒我需要充个两年qq会员权益才能抽
在梦里也全是套路真的服了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T12:03:11,真我GT Neo3,2,0,,0,,[9b2d5b4678],2024-05-26 12:03:11
[59de29c676],[de7cd05989],啊啊啊啊啊啊啊啊我好想阿撒啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T23:22:35,真我GT Neo3,0,1,"[{""id"": ""[ae2e782e89]"", ""created_at"": ""05-27"", ""source"": ""来自湖北"", ""user"": {""id"": ""[5bd7eb7375]"", ""screen_name"": ""[7798357195]""}, ""pic"": {""pid"": ""0061WuqKgy1hq3dg11mlhj30u01t1jww"", ""url"": ""https://wx2.sinaimg.cn/orj360/0061WuqKgy1hq3dg11mlhj30u01t1jww.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 360, ""height"": 780, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx2.sinaimg.cn/large/0061WuqKgy1hq3dg11mlhj30u01t1jww.jpg"", ""geo"": {""width"": ""1080"", ""height"": ""2341"", ""croped"": false}}}, ""text"": ""宝子可以去公众号【套餐不烦恼】办理超值套餐，19元190G，黄金速率不限流，无合约随时线上注销，可选号码和归属地，官方可查，有交流售后群。 [给力]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-25 23:22:35
