id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[589043bc6a],[3ac0283bbc],"抑郁症
我总不能一直受委屈吧 ",[9b2d5b4678],[d0de8ba8c0],[9b2d5b4678],,2024-05-26T08:41:27,抑郁症超话,2,2,"[{""id"": ""[e1e1fe5a34]"", ""created_at"": ""05-26"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""不会的 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[da01de2866]"", ""created_at"": ""05-26"", ""source"": ""来自北京"", ""user"": {""id"": ""[0cab627b39]"", ""screen_name"": ""[5339578d80]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-26 08:41:27
[5264db4b14],[69bba14d0b],"抑郁症
如果你也对我好就好了 
凉快的小鱼儿的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[33a5f63f9e],,2024-05-25T23:23:06,抑郁症超话,0,1,"[{""id"": ""[8a3aae9b4f]"", ""created_at"": ""05-25"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""会有的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-25 23:23:06
[9d37e3c095],[5eb25ab884],"抑郁症
太消耗了
怎么办，应该快刀斩乱麻的断掉吗 ",[9b2d5b4678],[d5f07b3745],[9b2d5b4678],,2024-05-24T20:42:14,抑郁症超话,0,3,"[{""id"": ""[c0b2aeb57e]"", ""created_at"": ""05-25"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@凉快的小鱼儿:爱自己"", ""reply_id"": 5038057970208563, ""reply_text"": ""回复@要长记性的木子:断了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2afe652fd2]"", ""created_at"": ""05-25"", ""source"": ""来自山西"", ""user"": {""id"": ""[61a3b295ff]"", ""screen_name"": ""[c0524e01da]""}, ""text"": ""回复@要长记性的木子:断了"", ""reply_id"": 5037664287327352, ""reply_text"": ""断"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[586d880af7]"", ""created_at"": ""05-24"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""断"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 20:42:14
[5df9618102],[953019bd91],"抑郁症
过去了 ",[9b2d5b4678],[29f925666b],[9b2d5b4678],,2024-05-21T07:00:20,抑郁症超话,1,3,"[{'id': 5036391618838788, 'created_at': '05-21', 'source': '来自内蒙古', 'user': {'id': 6592579231, 'screen_name': '·阿蛇·'}, 'text': '回复@·阿蛇·:我养的多肉成大绿菜了 ""[苦涩]""', 'reply_id': 5036391510314505, 'reply_text': '好美', 'like_counts': 0, 'liked': False}, {'id': 5036391510314505, 'created_at': '05-21', 'source': '来自内蒙古', 'user': {'id': 6592579231, 'screen_name': '·阿蛇·'}, 'text': '好美', 'like_counts': 0, 'liked': False}, {'id': 5036385297240831, 'created_at': '05-21', 'source': '来自湖南', 'user': {'id': 3568383450, 'screen_name': '21America'}, 'text': '好漂亮', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-21 07:00:20
[11989b1847],[575406ae71],"抑郁症
还是会委屈 ",[9b2d5b4678],[c18395f7bf],[9b2d5b4678],,2024-05-20T11:20:54,抑郁症超话,0,1,"[{""id"": ""[e43740fc4a]"", ""created_at"": ""05-20"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""哇"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 11:20:54
[6b7090047c],[dd41b4beb4],"抑郁症
今天已经觉得不是很喜欢他了，我上头快下头也快，不知道是不是太容易觉得一个人不好，一感受到创伤就激活小时候的记忆所以选择远离，或许他没有那么不好？世界上没有人会那么有耐心抚平我的创伤？ ",[9b2d5b4678],[e1bd037b50],[9b2d5b4678],,2024-05-19T21:29:27,抑郁症超话,0,1,"[{""id"": ""[863849af3a]"", ""created_at"": ""05-19"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""爱自己"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-19 21:29:27
[48af8222a5],[6ec1589ae5],"抑郁症
好想跟他聊天，但是怕他嫌我烦，所以克制着 ",[9b2d5b4678],[3e9a9d1ab9],[9b2d5b4678],,2024-05-18T23:34:12,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-18 23:34:12
[14b6583d81],[fa8b36af36],"抑郁症
抑郁症
我是不是有病，，不喜欢的时候觉得他烦死了，喜欢了就想一直粘着他，反差太大了(ಥ_ಥ)太毫无保留了(╥﹏╥) ",[9b2d5b4678],[b3361f91f9],[9b2d5b4678],,2024-05-17T20:29:57,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-05-17 20:29:57
[4a65725a79],[b06b458b7c],"抑郁症
已经爱上了 ",[9b2d5b4678],[0739f23f1d],[9b2d5b4678],,2024-05-14T22:30:35,抑郁症超话,2,1,"[{""id"": ""[125410bbc8]"", ""created_at"": ""05-15"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""🌸"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-14 22:30:35
[6e294854ee],[a8faf94adc],"抑郁症
我无法否认他让我感觉很好 ",[9b2d5b4678],[decf773c8b],[9b2d5b4678],,2024-05-07T20:45:27,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-07 20:45:27
