id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[c3b0aa20e6],[10722c3807],"抑郁症
刚刚一直兴致勃勃在打包，还和老师发消息，刷屏了都不觉得怎么样，现在打包完了突然冷静下来好后悔，对之前做的所有事都感觉好后悔。想死呃呃呃啊啊！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T21:17:57,抑郁症超话,1,1,"[{""id"": ""[df98468e03]"", ""created_at"": ""05-31"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 21:17:57
[8a38b4aee3],[a2e0136197],能不能快点躁啊我这样郁怎么写作业啊我草。。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T21:16:21,Note 9,0,0,,0,,[9b2d5b4678],2024-05-30 21:16:21
[b8d94e7a66],[67b6bb300c],"抑郁症
今天有筒靴感叹要是自己感受不到情绪就好了，唉…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T21:12:03,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-30 21:12:03
[4f99e34d15],[163b92424a],手电筒下的伤疤像加了亮片一样，神奇 ,[9b2d5b4678],[465bf64a5b],[9b2d5b4678],,2024-05-30T21:09:50,Note 9,0,3,"[{""id"": ""[ae78160ba6]"", ""created_at"": ""05-30"", ""source"": ""来自广东"", ""user"": {""id"": ""[283de07dd9]"", ""screen_name"": ""[c230d8149d]""}, ""text"": ""祝你今天万事如意。。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[80b819b372]"", ""created_at"": ""05-30"", ""source"": ""来自广东"", ""user"": {""id"": ""[283de07dd9]"", ""screen_name"": ""[c230d8149d]""}, ""text"": ""对不起审核员，我忘记了还要审核，让你看见了对不起"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6bfd9fe46e]"", ""created_at"": ""05-30"", ""source"": ""来自广东"", ""user"": {""id"": ""[283de07dd9]"", ""screen_name"": ""[c230d8149d]""}, ""text"": ""死掉了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 21:09:50
[ea849a78b3],[8d0d0a5b89],"抑郁症
手麻麻的，拿东西不能拿太久很无力，是割太深了吗，我之前都不会啊，可是我觉得跟以前深度差不多啊…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T17:37:31,抑郁症超话,1,2,"[{""id"": ""[a291f3b8a8]"", ""created_at"": ""05-30"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[99a2e774ce]"", ""screen_name"": ""[f98bc8ac8e]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c81d38e433]"", ""created_at"": ""05-30"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 17:37:31
[e95a3846c4],[d92dc5ed58],我的力气居然这么大，用指甲戳出疤了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T17:24:56,Note 9,0,0,,0,,[9b2d5b4678],2024-05-30 17:24:56
[6239078ac1],[81ee22cbcb],我也想成为一个健康的人，身体不会这么虚弱，跑完步还可以痛快地喘气，自由自在地沐浴在阳光下，而不是头晕目眩，满头大汗，一年发的烧两只手数不过来。我也想追赶风。我也想呼吸新鲜的空气，感受悠闲舒适的气氛。可我现在头好痛啊，正在吃药，喝白开水，月经还没走，夏季炎热的空气掐得我喘不过气。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T11:13:57,Note 9,0,0,,0,,[9b2d5b4678],2024-05-29 11:13:57
[6741d88bc8],[544d3e3333],"梦到喝的可乐喝到底了才发现有很多虫子在里面爬来爬去，甚至外面还有一只小蟑螂
服了。。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T07:17:20,Note 9,0,0,,0,,[9b2d5b4678],2024-05-26 07:17:20
[d48d569290],[5feaa4aa56],昨天没撑住睡了过去，姐姐回来之后看着我说“知道你是突然睡过去的了，蚊帐都没塞进去。”然后帮我塞进去了，我迷迷糊糊醒过来就只听见这句话 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T07:14:42,Note 9,0,0,,0,,[9b2d5b4678],2024-05-26 07:14:42
[912a2c71cd],[78c0956456],我所做的一切都是在报复未来的我，我恨她 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T16:16:30,Note 9,0,0,,0,,[9b2d5b4678],2024-05-19 16:16:30
