id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[78e25d275e],[3bdc25fe0e],"抑郁症
我要想着几点钟起来迟，要定好几个闹钟，我要想着做什么才能时间刚好，不会等老妈回到家了还没做好，我要担心做什么菜我会的，之前做的好多我都不记得不知道怎么做了，我觉得好麻烦，我怕的是我不知道怎么做菜了，我要想家里的菜做完了要去买要什么时候起来要怎么做，我不是不想做，我就 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T23:14:46,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-06 23:14:46
[780663f6f5],[d29914cb7d],"抑郁症
我感觉真的很对不起妈妈，我第一反应是想到我自己，没有为他们考虑过一点，我真该死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T01:01:34,抑郁症超话,0,2,"[{""id"": ""[20b015c1bc]"", ""created_at"": ""05-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f1f8e810f4]"", ""created_at"": ""05-05"", ""source"": ""来自云南"", ""user"": {""id"": ""[eb08cd08c1]"", ""screen_name"": ""[64e2c45b6a]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 01:01:34
[f9803b209f],[5e74a8abbb],"抑郁症
妈妈一定很累，可是我没有帮她，没有和她一起分担，我真该死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T23:00:54,抑郁症超话,0,1,"[{""id"": ""[8321a6415d]"", ""created_at"": ""05-02"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""你已经很棒了 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-01 23:00:54
[0444ab263e],[dfb0262dec],"抑郁症
爸爸又问我找工作的事情了，我真的好没用啊  我多希望我有一点本事，找到个工作养活自己，不用再让爸爸妈妈替我操心，可是我真的很没用，什么都做不了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-29T22:40:41,抑郁症超话,1,1,"[{""id"": ""[5ce0a368ad]"", ""created_at"": ""04-29"", ""source"": ""来自江苏"", ""user"": {""id"": ""[5a06861257]"", ""screen_name"": ""[4df9061259]""}, ""text"": ""我妈也一直催我找工作"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-29 22:40:41
[25106cb1c0],[c2add7c531],"抑郁症
抑郁症
没有办法快乐起来，无论做什么都是不开心的，高兴真的好难啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T00:56:47,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-23 00:56:47
[cec171d25a],[142a060d6e],"抑郁症
抑郁症
我问我的朋友说她以后还会和我一起玩吗？她说我这样让她压力很大，我觉得我以后可能会和她远离，我害怕，她是我最好的朋友，如果她也不要我了，我就没有朋友了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T23:53:40,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-17 23:53:40
[c2590ae053],[a6b71900ef],"抑郁症
和妈妈在一起经常会觉得很窒息，可是又总是觉得待在妈妈身边才会安全，总是对她很不耐烦，不肯好好跟她说话，不肯好好陪陪她，可是她又总是不知不觉让我不高兴，我觉得很对不起妈妈，我总是对她脾气，我也不能让她高兴，我好没用啊，对不起妈妈 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T00:14:39,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-15 00:14:39
[49f49f4cd3],[3b2f57a283],"抑郁症
好想哭 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T18:33:19,抑郁症超话,0,2,"[{""id"": ""[67e1c29ae2]"", ""created_at"": ""04-14"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""哭吧 哭出来会舒服很多 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e2d827836f]"", ""created_at"": ""04-14"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住不哭不哭"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 18:33:19
[c551d19208],[95fc56257f],"抑郁症
为什么我的帖子发不出去 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T13:46:41,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-04-14 13:46:41
[2324d249f6],[015b040369],"抑郁症
没钱真的很可怕 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T17:44:30,抑郁症超话,0,1,"[{""id"": ""[4fdc19bc6e]"", ""created_at"": ""04-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""是呀"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 17:44:30
[864a51aa84],[1caeab2f7f],"抑郁症
我好像个乞丐啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-03T21:06:59,抑郁症超话,1,1,"[{""id"": ""[6f67c70209]"", ""created_at"": ""04-03"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[d4d900f2b3]"", ""screen_name"": ""[8d9e1cc4fe]""}, ""text"": "" [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-03 21:06:59
[ec1f30fbed],[65c29de1b2],"抑郁症
妈妈让我帮她涂药，看见她腰痛不舒服我就难受，我帮不上她，我宁愿我自己痛，我好想哭 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-31T00:02:08,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-31 00:02:08
[d2ab7f9fa6],[3effddcfb2],"抑郁症
根本没有办法开心起来 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-29T18:28:03,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-29 18:28:03
