id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[147c5e4fe2],[dffebb30a5],"抑郁症
dougeilaoziqus8 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T19:34:11,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-04 19:34:11
[891ecd8af2],[b5623475b6],"抑郁症
都给我去死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T18:10:48,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-04 18:10:48
[a7808a3b58],[bd9d043049],"抑郁症
不想活了
向我这样的废物就该死掉 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T03:29:37,抑郁症超话,0,1,"[{""id"": ""[b3aa2bcffd]"", ""created_at"": ""04-30"", ""source"": ""来自河北"", ""user"": {""id"": ""[865987c8eb]"", ""screen_name"": ""[7a7ec866ea]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-30 03:29:37
[9921ac2c55],[4ccbee9906],"抑郁症
时间都去哪啦
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T23:01:59,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-13 23:01:59
[9fea72cc62],[2d7b39bc7b],"抑郁症
早睡第一天 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-01T01:09:18,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-01 01:09:18
[a40187ba64],[2b5ce22f1f],"抑郁症
今天湿着头发睡的，真的好伤心 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-29T01:30:28,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-29 01:30:28
[1cf706faea],[428a1cf810],"抑郁症
妈的都去死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-28T15:17:40,抑郁症超话,1,2,"[{""id"": ""[6a744ffbef]"", ""created_at"": ""03-28"", ""source"": ""来自广东"", ""user"": {""id"": ""[e2e16122d0]"", ""screen_name"": ""[5757c81389]""}, ""text"": ""消消气 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[90f93fc433]"", ""created_at"": ""03-28"", ""source"": ""来自浙江"", ""user"": {""id"": ""[eb7ffb71d3]"", ""screen_name"": ""[6501acbdbb]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-28 15:17:40
[9cb7c6ffdf],[24459ffe62],"抑郁症
不需要为别人的精神病愧疚 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-27T09:14:54,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-03-27 09:14:54
[3a2b2df21b],[ece2dd5228],"抑郁症
zyr，mdn，zx，dqf，qbdousbrs
es
edu d r
ex d xx ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-26T20:28:46,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-26 20:28:46
[1c82372a51],[439ce21d6b],"抑郁症
super gross ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-26T12:03:47,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-26 12:03:47
[81381d2ab4],[1dc08f0e02],"抑郁症
不要放弃
、 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-25T01:01:16,抑郁症超话,0,1,"[{""id"": ""[25a983a741]"", ""created_at"": ""03-25"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[8e8ec9913c]"", ""screen_name"": ""[913758660d]""}, ""text"": ""对，别放弃 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-25 01:01:16
[68f5d0cb3a],[ab45f607ad],"抑郁症
早睡，早睡，看我神速 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-25T00:56:57,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-25 00:56:57
[6cee799afd],[59e7572035],"抑郁症
请脱离手机刷短视频的乐趣 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-25T00:21:09,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-25 00:21:09
