id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[2d03702ec9],[7692fa6f80],"抑郁症
吃东西一点胃口都没有 反胃 现在吃面如嚼蜡一口口硬吞下去 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T08:27:39,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-02 08:27:39
[e940cb35d8],[8b6036ac90],"抑郁症
我活着只有这样了 都认为我是装的那我去死好吗 都觉得她们那个年代都没事她们也焦虑那就全都去死 我是神经病 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T07:36:22,抑郁症超话,0,1,"[{""id"": ""[2831a8eaa3]"", ""created_at"": ""17分钟前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-02 07:36:22
[85017cb7fc],[4808f06027],"抑郁症
呆呆的 睡不着却要去上课了 一直玩到了这个时候。突然想哭 不想上课 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T05:47:51,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-06-02 05:47:51
[0328e91b7f],[0ef039138c],"抑郁症
腿突然很疼 脑袋昏整个人都感觉蒙蒙的 突然觉得想死 我活着的意义是什么？心痛头昏 我快死了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T00:00:45,抑郁症超话,0,1,"[{""id"": ""[2a769146c0]"", ""created_at"": ""9小时前"", ""source"": ""来自山西"", ""user"": {""id"": ""[56ba9d5519]"", ""screen_name"": ""[c37706f9af]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-02 00:00:45
[30e511dfd6],[ec3a860f5f],"抑郁症
抑郁症
再也过不下去再也无法忍受 想要有人给我打电话告诉我别害怕 同时也怕情绪传染给别人 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T23:58:24,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-01 23:58:24
[f2c8304b51],[0afffe4ca6],"抑郁症
记录 六月一晚上七点四十七 头昏昏的感觉身体发软 最主要的感官就是想吐犯恶心 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T19:47:50,抑郁症超话,0,1,"[{""id"": ""[2074529a9f]"", ""created_at"": ""12小时前"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[f08ad9c19a]"", ""screen_name"": ""[b13d028154]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 19:47:50
[e8e8f92ea4],[8f00b0d944],"抑郁症
心跳的很快 手抖整个人头晕 告诉了朋友她想跟我打电话但我不想影响别人 有点不知道自己是不是装的抑郁症了感觉自己根本没事 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T18:59:35,抑郁症超话,3,5,"[{""id"": ""[e13a7ede2a]"", ""created_at"": ""13小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[8b65ebeeac]"", ""screen_name"": ""[14d91aeb55]""}, ""text"": ""回复@栀栀喜欢你:积极配合治疗喔宝宝 [抱抱]"", ""reply_id"": 5040541119284762, ""reply_text"": ""回复@哪里来的小露:去过了宝宝 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9ed9d458a6]"", ""created_at"": ""14小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[78710e8d44]"", ""screen_name"": ""[c2f44edd44]""}, ""text"": ""回复@哪里来的小露:去过了宝宝 [泪]"", ""reply_id"": 5040533699561469, ""reply_text"": ""宝宝有去医院看医生吗？感觉自己有问题要及时就医！ [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[2105bc69b9]"", ""created_at"": ""14小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[78710e8d44]"", ""screen_name"": ""[c2f44edd44]""}, ""text"": ""回复@哪里来的小露:好的宝宝"", ""reply_id"": 5040533504263110, ""reply_text"": ""跟好朋友聊聊会好点喔宝宝 她或许也希望能听听你的心里话 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ce4f207b5e]"", ""created_at"": ""14小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[8b65ebeeac]"", ""screen_name"": ""[14d91aeb55]""}, ""text"": ""宝宝有去医院看医生吗？感觉自己有问题要及时就医！ [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a9f6cf7650]"", ""created_at"": ""14小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[8b65ebeeac]"", ""screen_name"": ""[14d91aeb55]""}, ""text"": ""跟好朋友聊聊会好点喔宝宝 她或许也希望能听听你的心里话 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 18:59:35
[ec547945c1],[83769e1b7d],"抑郁症
突然心慌 心闷呼吸困难手抖
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T18:15:35,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-01 18:15:35
[b5198e3262],[f2d1c65e8f],#抑郁症[超话]#喝完奶茶下意识就吐了 吐到后面开始干呕 这是为什么。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T15:16:35,抑郁症超话,1,2,"[{""id"": ""[350d96956f]"", ""created_at"": ""17小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[742108dd85]"", ""screen_name"": ""[c0d3412449]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ab6ecb7309]"", ""created_at"": ""18小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 15:16:35
[85c8248b05],[2c10bbdca5],"抑郁症
前面还因为焦虑内耗问题崩溃手抖大哭 缓了一下看到自己荔枝还没吃。又笑着吃了 我这情绪转变的
包的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T14:56:11,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-06-01 14:56:11
