id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[e6853174c3],[8ad7abc9fd],"#刘亦菲一出场我就恋爱了#姐姐
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T21:38:14,荣耀畅玩40 Plus,0,0,,0,刘亦菲一出场我就恋爱了,[9b2d5b4678],2024-06-08 21:38:14
[1942c014f5],[81912813af],"#刘亦菲梦女#姐真的特别漂亮…
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T21:36:47,荣耀畅玩40 Plus,0,0,,0,刘亦菲梦女,[9b2d5b4678],2024-06-08 21:36:47
[eec573995d],[edcf3bf82b],"抑郁症
本来想睡觉结果看了半天幻觉
幻觉真的挺好看的
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T05:29:08,抑郁症超话,0,1,"[{""id"": ""[9c57c55b83]"", ""created_at"": ""昨天 10:55"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-08 05:29:08
[87bdb21883],[c810e6e78c],"抑郁症
我从来没觉得我的死讯能给谁带来痛苦，我只希望我死后变成鬼来折磨、弄死那些我憎恨的人。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T12:10:10,抑郁症超话,1,2,"[{""id"": ""[5346357fb5]"", ""created_at"": ""06-07"", ""source"": ""来自安徽"", ""user"": {""id"": ""[94427544dd]"", ""screen_name"": ""[0257843b53]""}, ""text"": ""我也是"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6652fdc743]"", ""created_at"": ""06-07"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""呜呜呜抱住"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-07 12:10:10
[6f5f0e9563],[c698c40ba6],#高考#加油加油 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T07:21:01,荣耀畅玩40 Plus,0,1,"[{""id"": ""[c518699602]"", ""created_at"": ""06-07"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""你好，你感兴趣的“高考”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 高考[超话]"", ""like_counts"": 0, ""liked"": false}]",0,高考,[9b2d5b4678],2024-06-07 07:21:01
[8425dc3251],[264f1129f3],"抑郁症
好累啊，我现在每天能睡四小时都能让我开心一下
为什么疾病老缠着我精神上没弄死我就开始从身体上下手是吧
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T04:55:44,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-04 04:55:44
[d38d2b0ff5],[798c2889d6],"刘端端
宝宝早点休息
会越来越好的宝宝，一切都会越来越好的
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T00:31:28,刘端端超话,0,0,,0,,[9b2d5b4678],2024-06-04 00:31:28
[43199b35cc],[edb68cf9d9],"刘端端
端端生日快乐！！@刘端端 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T00:01:58,刘端端超话,0,0,,0,,[2ffd2d855c],2024-06-04 00:01:58
[6053c838e2],[66a9ab0bdd],"抑郁症
怎么什么病都让我碰上了
这恶毒的现实… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T21:04:43,抑郁症超话,1,1,"[{""id"": ""[86e674e4a9]"", ""created_at"": ""06-03"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 21:04:43
[0c7a6a12a3],[eaf415d857],"刘端端
宝宝晚安🌕好好休息吧，睡个好觉，做个好梦。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T23:41:36,刘端端超话,1,0,,0,,[9b2d5b4678],2024-05-31 23:41:36
[96c7a00320],[dad4974560],"刘端端
早安
八级了发个帖庆祝一下
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T09:45:36,刘端端超话,3,0,,0,,[9b2d5b4678],2024-05-31 09:45:36
[7aa2af7e82],[8f62e769de],"抑郁症
好不爽，我说你们老一辈自己管不住下半身得了x病还要连累我，一轮轮传下来我一个死宅连门都不出几次的人又是梅d又是什么什么的你们有病…
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T21:14:35,抑郁症超话,2,3,"[{""id"": ""[82bc8a38e1]"", ""created_at"": ""05-29"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@静享江安:不用谢呀"", ""reply_id"": 5039478695526845, ""reply_text"": ""回复@要长记性的木子:谢谢宝宝 [单身狗]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[28b0c5d073]"", ""created_at"": ""05-29"", ""source"": ""来自福建"", ""user"": {""id"": ""[b65abf7374]"", ""screen_name"": ""[c4afaeeab5]""}, ""text"": ""回复@要长记性的木子:谢谢宝宝 [单身狗]"", ""reply_id"": 5039478558955859, ""reply_text"": ""给你抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2c7d0ade86]"", ""created_at"": ""05-29"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""给你抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-29 21:14:35
[0ab0705055],[70739da9d6],"#陈晓光头走红毯#光头也这么帅，不愧是我童年男神
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T20:50:46,荣耀畅玩40 Plus,0,0,,0,陈晓光头走红毯,[9b2d5b4678],2024-05-28 20:50:46
[bc583e3a53],[59e10a0022],"抑郁症
我说怎么头晕晕的后脑勺酸酸的，原来是我忘记呼吸大脑缺氧了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T17:33:14,抑郁症超话,2,3,"[{""id"": ""[0d06994e22]"", ""created_at"": ""05-28"", ""source"": ""来自福建"", ""user"": {""id"": ""[b65abf7374]"", ""screen_name"": ""[c4afaeeab5]""}, ""text"": ""回复@雾中的小树林:没紧张，我就躺在家里自己一个人没啥好紧张的，但也可能是我自己感觉不到紧张吧 [允悲]"", ""reply_id"": 5039060913488247, ""reply_text"": ""人紧张了确实经常下意识屏气。 情绪来了忘了呼吸的人，不少。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6b314b3a22]"", ""created_at"": ""05-28"", ""source"": ""来自美国"", ""user"": {""id"": ""[f61377f17b]"", ""screen_name"": ""[e234dce883]""}, ""text"": ""人紧张了确实经常下意识屏气。 情绪来了忘了呼吸的人，不少。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 17:33:14
[9a4128d08d],[7efbba525c],"李承泽
说实话剧里泽灵我磕不下去，但能这些看出来承泽是个随和缺爱的人，看到他在叶灵儿面前的表情还是动作我只觉得有些苦涩，但想想能多一个人爱他也是极好的，毕竟庆帝也不拿他当儿子，淑贵妃也淡淡的不怎么表达自己的感情，唉
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T07:10:39,李承泽超话,43,10,"[{""id"": ""[e5b071ae47]"", ""created_at"": ""05-29"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[3f406dca68]"", ""screen_name"": ""[2d6f066b32]""}, ""text"": ""磕cp本身就是自己的爱好，磕不下就不磕了 [爱你]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ba6b3a83ff]"", ""created_at"": ""05-29"", ""source"": ""来自中国香港"", ""user"": {""id"": ""[6b4c273462]"", ""screen_name"": ""[40485b2aaa]""}, ""text"": ""回复@刘荌坤:對 他旁邊放根木頭我都覺得他眼神深情 [doge]"", ""reply_id"": 5039276624972147, ""reply_text"": ""回复@一起逃命的火星人_yu:就是这对CP百分之90靠端端的演技，剩下百分之十，只要是个人人形木偶，我都可以磕到 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[14407925b5]"", ""created_at"": ""05-29"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[2c59efe0d6]"", ""screen_name"": ""[e528ae80e7]""}, ""text"": ""回复@一起逃命的火星人_yu:就是这对CP百分之90靠端端的演技，剩下百分之十，只要是个人人形木偶，我都可以磕到 [允悲]"", ""reply_id"": 5039127344448330, ""reply_text"": ""弱弱的說…感覺劇裏就是承澤自己發揮好所以有感覺，但女對手就…"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[85cb9fc255]"", ""created_at"": ""05-29"", ""source"": ""来自上海"", ""user"": {""id"": ""[146b14d73f]"", ""screen_name"": ""[45e4d8a8f0]""}, ""text"": ""李承泽死后叶灵儿最后不是还跟王十三郎有点东西泽灵简单来说就是没有什么buff加持 像宿敌啦贵人啦这种萌点所以很多人不磕 李承泽没有经历过什么真挚的感情 更希望自己能有可以抓住的东西 所以只要是一个还可以的女子慢慢相处大概都会是这个走向 不想磕就不磕嘛 本来也不是言情 爱他就好啦 [思考]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[4df5138b56]"", ""created_at"": ""05-29"", ""source"": ""来自福建"", ""user"": {""id"": ""[b65abf7374]"", ""screen_name"": ""[c4afaeeab5]""}, ""text"": ""回复@炁气炁炁:嗯嗯！ [给你小心心]"", ""reply_id"": 5039161926484871, ""reply_text"": ""不舒服就不磕，也不是给要磕官配的，反正不喜欢不去嘴就行啦~我也不是很吃得下和剧灵的CP，嗑CP就是要自己快乐的！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bd7cdacda4]"", ""created_at"": ""05-29"", ""source"": ""来自浙江"", ""user"": {""id"": ""[88a6f584f9]"", ""screen_name"": ""[f2bf94bcd5]""}, ""text"": ""不舒服就不磕，也不是给要磕官配的，反正不喜欢不去嘴就行啦~我也不是很吃得下和剧灵的CP，嗑CP就是要自己快乐的！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bda918e109]"", ""created_at"": ""05-28"", ""source"": ""来自福建"", ""user"": {""id"": ""[b65abf7374]"", ""screen_name"": ""[c4afaeeab5]""}, ""text"": ""回复@nice小鲨瓜:不看…不磕我素李泽唯粉我眼红 [单身狗]"", ""reply_id"": 5039151596965558, ""reply_text"": ""肿么说呢？要不去B站看看剪辑hhh，今天灵儿说要送李泽回府的时候，感觉甜甜"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[823252498f]"", ""created_at"": ""05-28"", ""source"": ""来自湖南"", ""user"": {""id"": ""[8d65aad88b]"", ""screen_name"": ""[d9649a4506]""}, ""text"": ""肿么说呢？要不去B站看看剪辑hhh，今天灵儿说要送李泽回府的时候，感觉甜甜"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[76bd4605d2]"", ""created_at"": ""05-28"", ""source"": ""来自中国香港"", ""user"": {""id"": ""[6b4c273462]"", ""screen_name"": ""[40485b2aaa]""}, ""text"": ""弱弱的說…感覺劇裏就是承澤自己發揮好所以有感覺，但女對手就…"", ""like_counts"": 6, ""liked"": false}, {""id"": ""[b8591056a7]"", ""created_at"": ""05-28"", ""source"": ""来自福建"", ""user"": {""id"": ""[b65abf7374]"", ""screen_name"": ""[c4afaeeab5]""}, ""text"": ""哪有什么兄弟姐妹之间的和和睦睦，谁不想有个团结友爱的家庭，这能怪谁那 [微笑]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 07:10:39
[db09fcd8fb],[96baf9bde8],"刘端端
端端端端晚上好宝宝
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T19:45:12,刘端端超话,1,0,,0,,[9b2d5b4678],2024-05-24 19:45:12
[35c32a9b54],[fe8efa77f5],"抑郁症
我家里人是真的有病是不是前几天才成年就张口闭口要把我嫁出去换彩礼钱，你们全都有病要是擅自把我卖了换钱我就把你们都埋了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T12:36:32,抑郁症超话,0,5,"[{""id"": ""[8e4d2bcdeb]"", ""created_at"": ""05-24"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b6817c3717]"", ""screen_name"": ""[44eda581ca]""}, ""text"": ""这个结婚不是他们说了算的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[41389d4ae9]"", ""created_at"": ""05-24"", ""source"": ""来自河南"", ""user"": {""id"": ""[3f74fdefed]"", ""screen_name"": ""[7808ad7252]""}, ""text"": "" [悲伤]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[eb0e7840e3]"", ""created_at"": ""05-24"", ""source"": ""来自广东"", ""user"": {""id"": ""[23b3a94531]"", ""screen_name"": ""[d8603d2a89]""}, ""text"": ""别说了我妈让我弟读私立不让我读 他升初我升高 结果和别人说当嫁妆自己到处打听那个学校好不好 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5f57a708dc]"", ""created_at"": ""05-24"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 12:36:32
[4ab5881b17],[0bcbae092b],"闲泽
 黑血源源不断的从李承泽的唇齿间溢出，染湿了青色的衣衫。
  五腔六腑都被鸩酒所牵扯，阵阵疼痛却只让李承泽感到麻木。微抬眼，虚无力，李承泽看着眼前失神的宿敌，微羞笑道
  “范闲，你总是不懂我的；曾如此，今如此。”  ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T05:20:14,闲泽超话,5,1,"[{""id"": ""[67ebe5a43b]"", ""created_at"": ""05-23"", ""source"": ""来自福建"", ""user"": {""id"": ""[b65abf7374]"", ""screen_name"": ""[c4afaeeab5]""}, ""text"": ""字打错了，改一个 [单身狗]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 05:20:14
[b62c1da74c],[e368a7fc87],"李承泽
都有点累了，早该记着跟宁愿断章取义胡搅蛮缠的人争辩没有结果，真是何必去气自己
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T03:44:46,李承泽超话,5,3,"[{""id"": ""[4e42e24a1c]"", ""created_at"": ""05-23"", ""source"": ""来自北京"", ""user"": {""id"": ""[e3be733be4]"", ""screen_name"": ""[5b286a5716]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1e4b25cd4c]"", ""created_at"": ""05-23"", ""source"": ""来自福建"", ""user"": {""id"": ""[b65abf7374]"", ""screen_name"": ""[c4afaeeab5]""}, ""text"": ""头晕恶心该死的王倦我要是猝死了做鬼也不放过你 [允悲]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 03:44:46
[97f16d5334],[9002a4fd27],"刘端端
伤心到睡不着…
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T03:28:58,刘端端超话,1,2,"[{""id"": ""[23f6c66813]"", ""created_at"": ""05-23"", ""source"": ""来自浙江"", ""user"": {""id"": ""[7fa6294db3]"", ""screen_name"": ""[f9d91c741f]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2595a11846]"", ""created_at"": ""05-23"", ""source"": ""来自福建"", ""user"": {""id"": ""[b65abf7374]"", ""screen_name"": ""[c4afaeeab5]""}, ""text"": ""本来就失眠了的说，，日思夜想…要是睡着了怕也是做噩梦"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 03:28:58
