id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[c001c51ceb],[4df6495d0e],所以安抚一下自己，我相信自己也是可以解决情绪问题的。或者睡觉吧，但我约了事情，不知道她何时能给我答复？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T21:39:45,Redmi K70,1,1,"[{""id"": ""[ff0d0afc8a]"", ""created_at"": ""24分钟前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[4439d59679]"", ""screen_name"": ""[c7d1041d51]""}, ""text"": ""好多了"", ""like_counts"": 0, ""liked"": false}]",1,,[9b2d5b4678],2024-06-04 21:39:45
[2faa1e1041],[c41f136bd0],情绪怎么变那么差了？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T21:28:08,Redmi K70,1,8,"[{""id"": ""[cf14ad3387]"", ""created_at"": ""9小时前"", ""source"": ""来自浙江"", ""user"": {""id"": ""[b25ef931ad]"", ""screen_name"": ""[f0389392fd]""}, ""text"": ""抱抱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6855f77b65]"", ""created_at"": ""9小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[4439d59679]"", ""screen_name"": ""[c7d1041d51]""}, ""text"": ""回复@星银祈盼:也没发生一些事情然后还是很小的一件事。就是因为对方像吃枪子一样的不好能量，然后我就受影响了。"", ""reply_id"": 5041656993153711, ""reply_text"": ""努力的去解决问题，然后再安抚自己的情绪。有时候真的没发生那么多事情但我就是很容易超敏，对待事情容易想多，然后偏激。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7f3403568a]"", ""created_at"": ""9小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[4439d59679]"", ""screen_name"": ""[c7d1041d51]""}, ""text"": ""努力的去解决问题，然后再安抚自己的情绪。有时候真的没发生那么多事情但我就是很容易超敏，对待事情容易想多，然后偏激。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c63ecb8cd3]"", ""created_at"": ""9小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[4439d59679]"", ""screen_name"": ""[c7d1041d51]""}, ""text"": ""但我总想自残和毁灭东西，不知道为什么，我也不太清楚。可能我有病？之前一个人把我单曲了，可能我太负面了，但我真的需要一个出口，或者解决问题的方法。有时候想的越多越不是很好的先兆。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c91d4415ae]"", ""created_at"": ""9小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[4439d59679]"", ""screen_name"": ""[c7d1041d51]""}, ""text"": ""回复@星银祈盼:好好爱自己才是第一事情"", ""reply_id"": 5041655778641283, ""reply_text"": ""就是本身就是不太正常就不要想着拯救他人。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[82c08e440d]"", ""created_at"": ""9小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[4439d59679]"", ""screen_name"": ""[c7d1041d51]""}, ""text"": ""就是本身就是不太正常就不要想着拯救他人。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[da4f1771af]"", ""created_at"": ""9小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[4439d59679]"", ""screen_name"": ""[c7d1041d51]""}, ""text"": ""如何与自己的不好情绪相处，慢慢的走出来，才是最重要的。我不太喜欢把负面情绪传给其他人，但我善于接受别人的负面情绪。但最近这段时间我有慢慢建立边界感。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bc0d67a9df]"", ""created_at"": ""9小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[4439d59679]"", ""screen_name"": ""[c7d1041d51]""}, ""text"": ""我感觉没有负面情绪是不正常的，我也不主张一味的把负面情绪传给别人，毕竟大家都不容易。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-04 21:28:08
[77c249cd14],[9f13852530],给于爱，真的水晶能变好看(｡･ω･｡)ﾉ♡ ,[9b2d5b4678],[e4a1c9045e],[9b2d5b4678],,2024-06-04T19:25:55,Redmi K70,2,0,,0,,[9b2d5b4678],2024-06-04 19:25:55
[0bd1dae948],[347ea23e45],刺猬啊，快点来吧，我快成为望猬石了🥹🥹🥹 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T18:28:38,Redmi K70,1,0,,0,,[9b2d5b4678],2024-06-04 18:28:38
[24c17692e5],[1a06c07d0d],"分享单曲 
Not My Time To Die
 (@网易云音乐) 给各位🤪 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T18:15:32,网易云音乐,0,0,,0,,[4a366fb92e],2024-06-04 18:15:32
[4c81b6f205],[f602e07876],🤝 ,[9b2d5b4678],[e44f61dce4],[9b2d5b4678],,2024-06-04T15:56:05,Redmi K70,1,11,"[{""id"": ""[943252a521]"", ""created_at"": ""15小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[4439d59679]"", ""screen_name"": ""[c7d1041d51]""}, ""text"": ""伊利亚，星星是最好的，但不要砸手机啊啊，可害怕你要重新买手机了(╥﹏╥)。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-04 15:56:05
[3b4b61d37c],[709b8c6746],我头好痛。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T14:17:34,Redmi K70,1,0,,0,,[9b2d5b4678],2024-06-04 14:17:34
[a546813985],[d516cfeb5e],为什么没人告诉我这些事情，我好痛苦。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T13:34:04,Redmi K70,2,2,"[{""id"": ""[72a7aabe91]"", ""created_at"": ""16小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[c99246ef31]"", ""screen_name"": ""[e69456f73b]""}, ""text"": ""(づ′▽`)づ [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2efd19f437]"", ""created_at"": ""17小时前"", ""source"": ""来自浙江"", ""user"": {""id"": ""[b25ef931ad]"", ""screen_name"": ""[f0389392fd]""}, ""text"": ""抱抱"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-04 13:34:04
[e6272eddb1],[9aadb22ee7],"为什么又想摔手机了。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T10:37:37,Redmi K70,1,2,"[{""id"": ""[7e3d8d0491]"", ""created_at"": ""17小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[4439d59679]"", ""screen_name"": ""[c7d1041d51]""}, ""text"": ""回复@金闳韬:摸摸"", ""reply_id"": 5041534462592871, ""reply_text"": ""抱抱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[dcf8f940f7]"", ""created_at"": ""17小时前"", ""source"": ""来自浙江"", ""user"": {""id"": ""[b25ef931ad]"", ""screen_name"": ""[f0389392fd]""}, ""text"": ""抱抱"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-04 10:37:37
[d8bbefe95d],[a675851735],沉浸式看我推。 ,[9b2d5b4678],[aa0aeade9b],[9b2d5b4678],,2024-06-02T13:26:30,Redmi K70,1,0,,0,,[9b2d5b4678],2024-06-02 13:26:30
[54daaa76df],[c9c52247da],遇到喜欢的谷也会吃一口的程度。蒙眛时代太火了，就是柄图太绝了。等一等价格不高的时候我再收一个。 ,[9b2d5b4678],[8165a832cd],[9b2d5b4678],,2024-06-01T21:21:28,Redmi K70,1,2,"[{""id"": ""[3d430407e4]"", ""created_at"": ""06-01"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[4439d59679]"", ""screen_name"": ""[c7d1041d51]""}, ""text"": ""回复@悠心来福汐静暮:一眼心动(´∀｀)💗"", ""reply_id"": 5040577515101057, ""reply_text"": ""好康就吃！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[17dd78111b]"", ""created_at"": ""06-01"", ""source"": ""来自广东"", ""user"": {""id"": ""[ee92608ebf]"", ""screen_name"": ""[792b63aa49]""}, ""text"": ""好康就吃！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 21:21:28
