id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[abe8f2ab85],[046bb91ea4],"『六一｜vlog』
三年没进去的罗中立美术馆！
 
爱数学的勾股的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[91d73671b3],,2024-06-02T12:37:57,太康摸过的iPhone 13,2,0,,0,,[9b2d5b4678],2024-06-02 12:37:57
[cbcbcfd795],[280336732c],"被@懒癌晚期含义章 感动了
知道我心情不好 这货刚从医院回来呢特地上门给我送这个她还没吃饭呢
何其有幸
对于道德绑架的家庭伦理我已经没什么起伏 刚任由他们怎么说哭得怎么稀里哗啦我都没反应
麻木了
不过她来了一趟 话多了两句 
看到这些 我才有了反应才特别想哭 ",[9b2d5b4678],[17106bcaa5],[9b2d5b4678],,2024-05-30T20:02:37,太康摸过的iPhone 13,5,2,"[{""id"": ""[264d9a1144]"", ""created_at"": ""05-30"", ""source"": ""来自北京"", ""user"": {""id"": ""[b23f537886]"", ""screen_name"": ""[b691c6523a]""}, ""text"": ""抱抱勾老师 阿冰美美的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[7122002eaa],2024-05-30 20:02:37
[6339d8c233],[76ffd71297],"来大开眼界 实在是太糟心了
校园80还能这样盖过去
【一编】女方昨天（周五晚）跟班主任谈，被班主任强烈斥责，并且哭成泪失禁班主任屁也不管一下，还在自顾自地处理自己那点事。
“全部都是你的错”
“他来缠着你你就应该找班主任来帮你”
“你有什么理由哭呢？”
“要善始善终，本来就不该谈”
你 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T00:32:28,太康摸过的iPhone 13,12,11,"[{""id"": ""[c3f582837a]"", ""created_at"": ""05-25"", ""source"": ""来自重庆"", ""user"": {""id"": ""[a6db14933a]"", ""screen_name"": ""[c7ee6e2f36]""}, ""text"": ""回复@sky温酒煮茶橙子:对吧…"", ""reply_id"": 5037858706424414, ""reply_text"": ""好离谱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bf2edb1191]"", ""created_at"": ""05-25"", ""source"": ""来自重庆"", ""user"": {""id"": ""[00b9307cab]"", ""screen_name"": ""[0adcff69d5]""}, ""text"": ""好离谱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[309285f705]"", ""created_at"": ""05-25"", ""source"": ""来自重庆"", ""user"": {""id"": ""[a6db14933a]"", ""screen_name"": ""[c7ee6e2f36]""}, ""text"": ""回复@爱数学的勾股:本来被受到惩罚的人被包庇得只剩下一个“阴阳怪气”，阴阳怪气这行为确实有，觉得自己施暴行为多元化很丰富是吧？就以此来盖过所有了？想整也一直不动手，反过头来说动手是最低级的霸凌。我就只问一句，你敢跟我动手打一架吗？"", ""reply_id"": 5037837025805443, ""reply_text"": ""我深刻意识到根深蒂固的大男子主义是多恶心多窒息，我没有指名道姓。后期父母会去找校方说明，如果无果，我会走媒体买热搜直接爆校名了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b8c5883661]"", ""created_at"": ""05-25"", ""source"": ""来自重庆"", ""user"": {""id"": ""[a6db14933a]"", ""screen_name"": ""[c7ee6e2f36]""}, ""text"": ""回复@爱数学的勾股:我不会偃旗息鼓，不会息事宁人，没有得到妥善解决就要追究到底。受害者在班主任眼里摇身一变成了男方，全部归咎到女方拉群上，女方哭得很伤心班主任冷眼旁观“你有什么理由哭呢” 从头至尾我都没觉得这位班主任有多么有能力和管理实力，温和亲切感从来没有。到这一步我只想说我们忍过头来"", ""reply_id"": 5037837025805443, ""reply_text"": ""我深刻意识到根深蒂固的大男子主义是多恶心多窒息，我没有指名道姓。后期父母会去找校方说明，如果无果，我会走媒体买热搜直接爆校名了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[89614b2a24]"", ""created_at"": ""05-25"", ""source"": ""来自重庆"", ""user"": {""id"": ""[a6db14933a]"", ""screen_name"": ""[c7ee6e2f36]""}, ""text"": ""回复@爱数学的勾股:既然不留情遏制女性的男的起堆，并且还逍遥地告诉别人“班主任基本半小时全在骂阳xx”，我提到的比较委婉，他让我说不了后来的问题。不过是我委婉得太礼貌了"", ""reply_id"": 5037837025805443, ""reply_text"": ""我深刻意识到根深蒂固的大男子主义是多恶心多窒息，我没有指名道姓。后期父母会去找校方说明，如果无果，我会走媒体买热搜直接爆校名了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e72139c7f7]"", ""created_at"": ""05-25"", ""source"": ""来自重庆"", ""user"": {""id"": ""[a6db14933a]"", ""screen_name"": ""[c7ee6e2f36]""}, ""text"": ""我深刻意识到根深蒂固的大男子主义是多恶心多窒息，我没有指名道姓。后期父母会去找校方说明，如果无果，我会走媒体买热搜直接爆校名了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ab9b59ed14]"", ""created_at"": ""05-25"", ""source"": ""来自重庆"", ""user"": {""id"": ""[a6db14933a]"", ""screen_name"": ""[c7ee6e2f36]""}, ""text"": ""回复@听闻之风:离谱死了"", ""reply_id"": 5037715351670448, ""reply_text"": ""哦，离谱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3a744d13e8]"", ""created_at"": ""05-25"", ""source"": ""来自河北"", ""user"": {""id"": ""[e20ecd7376]"", ""screen_name"": ""[98824d2877]""}, ""text"": ""哦，离谱"", ""like_counts"": 3, ""liked"": false}]",1,,[9b2d5b4678],2024-05-25 00:32:28
[eeb736adfd],[376801de24],"叶罗丽爵冰
💜#爵冰以雪染颜# 💙 #篁竹寻雪霁•曲吟爵冰#『冰川处，雪崩下淹埋着色彩之狐。他每日都念着，再瞧见那袭蓝裙，及地长发。但这些，都被大雪盖住了。』
可乐 全文4.2k+
 
可乐
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T06:35:38,叶罗丽爵冰超话,51,28,,5,"爵冰以雪染颜,篁竹寻雪霁•曲吟爵冰",[9b2d5b4678],2024-05-23 06:35:38
[40f35651a0],[4a18c56fb1],"真不是我想嗑
可是蒸煮她舞脸啊！@俞柒__ 
鱼钩这波上分了
 ",[9b2d5b4678],[83a2ee9e9d],[9b2d5b4678],,2024-05-15T23:30:50,太康摸过的iPhone 13,1,3,"[{""id"": ""[710d029891]"", ""created_at"": ""05-16"", ""source"": ""来自重庆"", ""user"": {""id"": ""[a6db14933a]"", ""screen_name"": ""[c7ee6e2f36]""}, ""text"": ""回复@俞柒__:好好，嘴一个 [亲亲]"", ""reply_id"": 5034465157972665, ""reply_text"": ""回复@俞柒__:咱就是说 嘴一个还不简单吗！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f43f6bf18f]"", ""created_at"": ""05-16"", ""source"": ""来自福建"", ""user"": {""id"": ""[2f36f15b9b]"", ""screen_name"": ""[a3fa982511]""}, ""text"": ""回复@俞柒__:咱就是说 嘴一个还不简单吗！"", ""reply_id"": 5034465062290277, ""reply_text"": ""hhhhhhh"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[245367892e]"", ""created_at"": ""05-16"", ""source"": ""来自福建"", ""user"": {""id"": ""[2f36f15b9b]"", ""screen_name"": ""[a3fa982511]""}, ""text"": ""hhhhhhh"", ""like_counts"": 0, ""liked"": false}]",0,,[a3fa982511],2024-05-15 23:30:50
[c0edde2bfb],[c01f1b05c1],"#某勾今天无证驾驶了吗# 
今天偶然看到的 小孩子写写画画
以及今天吃的梅菜扣肉饼真的超级好吃
天真无邪 ",[9b2d5b4678],[1a312c8b5b],[9b2d5b4678],,2024-05-15T22:52:55,太康摸过的iPhone 13,2,0,,0,某勾今天无证驾驶了吗,[9b2d5b4678],2024-05-15 22:52:55
[0a9b18e72c],[392c9d8892],"叶罗丽爵冰
 💜#爵冰以雪染颜# 💙
来了，五月顺利。
这篇6.5k+
是跟俞柒柒半夜连麦干坏事的成果@俞柒__ 
BE 注意避雷‼️
 
若梦：恃瑟
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T02:30:20,叶罗丽爵冰超话,33,34,,0,爵冰以雪染颜,[a3fa982511],2024-05-01 02:30:20
[ca7aa81762],[d3049bcfb6],"画个饼（）
要是明天的400米我跑完没废就小小扌由一下
 ",[9b2d5b4678],[70c16d5160],[9b2d5b4678],,2024-04-29T20:45:56,太康摸过的iPhone 13,1,4,"[{""id"": ""[dc76c5bd91]"", ""created_at"": ""05-01"", ""source"": ""来自四川"", ""user"": {""id"": ""[a6db14933a]"", ""screen_name"": ""[c7ee6e2f36]""}, ""text"": ""回复@毛十二今天晚睡了么:其实跑完还是废了 [doge]"", ""reply_id"": 5028768249021821, ""reply_text"": ""肯定没问题"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[02b655e23a]"", ""created_at"": ""04-30"", ""source"": ""来自江苏"", ""user"": {""id"": ""[3341517519]"", ""screen_name"": ""[ee5284728d]""}, ""text"": ""肯定没问题"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[facc690e1f]"", ""created_at"": ""04-30"", ""source"": ""来自重庆"", ""user"": {""id"": ""[a6db14933a]"", ""screen_name"": ""[c7ee6e2f36]""}, ""text"": ""回复@feishi娃儿:我也觉得 [喵喵]"", ""reply_id"": 5028627529335060, ""reply_text"": ""你肯定没问题撒 [喵喵]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[00a5ce1c99]"", ""created_at"": ""04-29"", ""source"": ""来自重庆"", ""user"": {""id"": ""[89e8015591]"", ""screen_name"": ""[408ccc70f9]""}, ""text"": ""你肯定没问题撒 [喵喵]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-29 20:45:56
[07e3112839],[419a2c2765],"突然翻到霸总
那就来个九宫格吧～～
下次我一定整相机
 ",[9b2d5b4678],[ec05321293],[9b2d5b4678],,2024-04-26T17:33:36,太康摸过的iPhone 13,3,2,"[{""id"": ""[dd50ddb0a4]"", ""created_at"": ""04-26"", ""source"": ""来自重庆"", ""user"": {""id"": ""[a6db14933a]"", ""screen_name"": ""[c7ee6e2f36]""}, ""text"": ""回复@评论罗伯特:哈哈哈哈你 [doge]"", ""reply_id"": 5027463254769881, ""reply_text"": ""霸总九宫格安排上了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8bc6602295]"", ""created_at"": ""04-26"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""霸总九宫格安排上了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 17:33:36
[f9dfb775f3],[2c6002eeab],"乱就对了
『4.21』 ",[9b2d5b4678],[7ff7f67e31],[9b2d5b4678],,2024-04-21T11:00:58,太康摸过的iPhone 13,1,0,,0,,[9b2d5b4678],2024-04-21 11:00:58
