id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[40e5a9c93e],[2eb1932318],"抑郁症
e……网上买东西被骗了250，现在难受的想死…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T00:48:07,抑郁症超话,0,10,"[{""id"": ""[c0c20e5446]"", ""created_at"": ""05-06"", ""source"": ""来自四川"", ""user"": {""id"": ""[1f4626981f]"", ""screen_name"": ""[cde9ab017e]""}, ""text"": ""回复@要长记性的木子:呜呜呜，谢谢你宝宝，我被骗了现在都不敢给我家人说 [悲伤]"", ""reply_id"": 5031012549790509, ""reply_text"": ""回复@沧鸢-:抱住"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7dd8ef34c5]"", ""created_at"": ""05-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@沧鸢-:抱住"", ""reply_id"": 5031011572515085, ""reply_text"": ""回复@要长记性的木子:真的好难受π_π"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[99b5ab04b8]"", ""created_at"": ""05-06"", ""source"": ""来自四川"", ""user"": {""id"": ""[1f4626981f]"", ""screen_name"": ""[cde9ab017e]""}, ""text"": ""回复@要长记性的木子:真的好难受π_π"", ""reply_id"": 5031010809418478, ""reply_text"": ""回复@沧鸢-: [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[505fbf095a]"", ""created_at"": ""05-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@沧鸢-:嗯嗯"", ""reply_id"": 5031010566145436, ""reply_text"": ""回复@要长记性的木子:嗯嗯 [悲伤]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f69346ec19]"", ""created_at"": ""05-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@沧鸢-: [心]"", ""reply_id"": 5031010566145436, ""reply_text"": ""回复@要长记性的木子:嗯嗯 [悲伤]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[96ffa3ca0c]"", ""created_at"": ""05-06"", ""source"": ""来自四川"", ""user"": {""id"": ""[1f4626981f]"", ""screen_name"": ""[cde9ab017e]""}, ""text"": ""回复@要长记性的木子:嗯嗯 [悲伤]"", ""reply_id"": 5030990555122183, ""reply_text"": ""抱抱抱注意他也是骗子 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4b34fe74b6]"", ""created_at"": ""05-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱注意他也是骗子 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[58f7b4ca77]"", ""created_at"": ""05-06"", ""source"": ""来自四川"", ""user"": {""id"": ""[1f4626981f]"", ""screen_name"": ""[cde9ab017e]""}, ""text"": ""回复@鱼鱼tvaizj:嗨没有……你怎么追回来的呀"", ""reply_id"": 5030847897665604, ""reply_text"": ""宝宝我也是被骗了你的追回来了没有，我的已经追回来了 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 00:48:07
[500d719237],[93111d59a7],"Les表白墙
求08到10xxm教程 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T16:22:47,Les表白墙超话,0,6,"[{""id"": ""[342b627189]"", ""created_at"": ""05-05"", ""source"": ""来自北京"", ""user"": {""id"": ""[6a18ac27b6]"", ""screen_name"": ""[b360a85632]""}, ""text"": ""我有啦 [右哼哼]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d7621d8133]"", ""created_at"": ""05-05"", ""source"": ""来自四川"", ""user"": {""id"": ""[1f4626981f]"", ""screen_name"": ""[cde9ab017e]""}, ""text"": ""回复@甘蔗神: [爱你]"", ""reply_id"": 5030709519451755, ""reply_text"": ""是窝"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4132a3f258]"", ""created_at"": ""05-05"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[b02701934d]"", ""screen_name"": ""[3a7a9d3ba8]""}, ""text"": ""回复@SamanYT:心选妹 [女孩儿]"", ""reply_id"": 5030710324499707, ""reply_text"": ""xxm是什么意思…求解果咩 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e4496c15bf]"", ""created_at"": ""05-05"", ""source"": ""来自浙江"", ""user"": {""id"": ""[a8269fb70f]"", ""screen_name"": ""[ab927155d4]""}, ""text"": ""xxm是什么意思…求解果咩 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[beabaee116]"", ""created_at"": ""05-05"", ""source"": ""来自江苏"", ""user"": {""id"": ""[5c4da7a0ee]"", ""screen_name"": ""[5544f6ad02]""}, ""text"": ""是窝"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a49bc8bcf8]"", ""created_at"": ""05-05"", ""source"": ""来自广西"", ""user"": {""id"": ""[f3ff1d3aeb]"", ""screen_name"": ""[36e38080d3]""}, ""text"": ""求"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 16:22:47
[25a5acefc1],[c1370b549f],"Les表白墙
我！作业！写完了！哈哈哈哈哈哈哈哈哈哈哈哈哈哈！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T13:18:44,Les表白墙超话,0,6,"[{""id"": ""[3d061faf6c]"", ""created_at"": ""05-05"", ""source"": ""来自海南"", ""user"": {""id"": ""[f1d914d0fc]"", ""screen_name"": ""[18ac1525fa]""}, ""text"": ""可是你要上学诶！我不上哦"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0afaf04c92]"", ""created_at"": ""05-05"", ""source"": ""来自山东"", ""user"": {""id"": ""[0b69e6e768]"", ""screen_name"": ""[3cdf3fcdf8]""}, ""text"": ""回复@沧鸢-:哈哈哈哈"", ""reply_id"": 5030660662362978, ""reply_text"": ""回复@有点晕雨_:要是不收我就要爆炸了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8c18a8ecdb]"", ""created_at"": ""05-05"", ""source"": ""来自四川"", ""user"": {""id"": ""[1f4626981f]"", ""screen_name"": ""[cde9ab017e]""}, ""text"": ""回复@有点晕雨_:要是不收我就要爆炸了"", ""reply_id"": 5030660461037180, ""reply_text"": ""哇塞我不收 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8c27f4a472]"", ""created_at"": ""05-05"", ""source"": ""来自四川"", ""user"": {""id"": ""[1f4626981f]"", ""screen_name"": ""[cde9ab017e]""}, ""text"": ""回复@周易不喝粥:额，谁让你说了 [拜拜]"", ""reply_id"": 5030660297200515, ""reply_text"": ""没作业"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e5ed83c014]"", ""created_at"": ""05-05"", ""source"": ""来自山东"", ""user"": {""id"": ""[0b69e6e768]"", ""screen_name"": ""[3cdf3fcdf8]""}, ""text"": ""哇塞我不收 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ce00a164c5]"", ""created_at"": ""05-05"", ""source"": ""来自广东"", ""user"": {""id"": ""[4fb3896687]"", ""screen_name"": ""[3e27b9db74]""}, ""text"": ""没作业"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 13:18:44
[6c6d9693a9],[953fc4016d],"Les表白墙
OK，睡觉，晚安妹子们 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T03:13:52,Les表白墙超话,1,1,"[{""id"": ""[98b6e1698c]"", ""created_at"": ""05-05"", ""source"": ""来自江西"", ""user"": {""id"": ""[263e145c8c]"", ""screen_name"": ""[15650aa37d]""}, ""text"": ""晚安妹子"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 03:13:52
[2a323089df],[98948aa8a2],"Les表白墙
睡不着 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T01:58:52,Les表白墙超话,1,1,"[{""id"": ""[75d499efc9]"", ""created_at"": ""05-04"", ""source"": ""来自江苏"", ""user"": {""id"": ""[36da3aaf6a]"", ""screen_name"": ""[b350e8570e]""}, ""text"": ""好巧肉波特也是"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 01:58:52
[70e7be6d60],[2304a096c5],妹子们你们咋都那么漂亮，求教程 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T03:16:22,Les表白墙超话,1,10,"[{'id': 5029784859443541, 'created_at': '05-03', 'source': '来自广东', 'user': {'id': 7484691805, 'screen_name': 'iisleykk'}, 'text': '都是漂亮宝宝 [笑哈哈]', 'like_counts': 0, 'liked': False}, {'id': 5029784673321088, 'created_at': '05-03', 'source': '来自江西', 'user': {'id': 7651715805, 'screen_name': '2hooii'}, 'text': '求', 'like_counts': 0, 'liked': False}, {'id': 5029784596251519, 'created_at': '05-03', 'source': '来自浙江', 'user': {'id': 7779290477, 'screen_name': '叉烧啾啾'}, 'text': '我不漂亮。求不到', 'like_counts': 0, 'liked': False}, {'id': 5029784340136130, 'created_at': '05-03', 'source': '来自重庆', 'user': {'id': 5708153224, 'screen_name': '刃审'}, 'text': '米米嘟', 'like_counts': 0, 'liked': False}, {'id': 5029784157421809, 'created_at': '05-03', 'source': '来自广西', 'user': {'id': 7853379696, 'screen_name': '小貓睡不醒z-'}, 'text': '你也很美', 'like_counts': 0, 'liked': False}, {'id': 5029784153227633, 'created_at': '05-03', 'source': '来自四川', 'user': {'id': 7742503559, 'screen_name': '沧鸢-'}, 'text': '你们咋回复这么快，我有点社恐了……', 'like_counts': 0, 'liked': False}, {'id': 5029783962911146, 'created_at': '05-03', 'source': '来自河南', 'user': {'id': 7831397279, 'screen_name': '我是小椰老师'}, 'text': '你也美美的 ""[春游家族]""', 'like_counts': 0, 'liked': False}, {'id': 5029783949541857, 'created_at': '05-03', 'source': '来自安徽', 'user': {'id': 7466108907, 'screen_name': '青笋枝子'}, 'text': '我也求', 'like_counts': 0, 'liked': False}, {'id': 5029783945348197, 'created_at': '05-03', 'source': '来自辽宁', 'user': {'id': 6477160460, 'screen_name': '咬哼'}, 'text': '你也漂亮 [赞]', 'like_counts': 0, 'liked': False}, {'id': 5029783924376661, 'created_at': '05-03', 'source': '来自陕西', 'user': {'id': 7673882297, 'screen_name': '咚旼季'}, 'text': '同求', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-03 03:16:22
[9984c6313b],[e0f3360644],"抑郁症
好像紫餐，但是我的刀又丢了，我已经被收了三把刀，掉了两把刀了…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T00:10:46,抑郁症超话,0,3,"[{""id"": ""[fa152f159f]"", ""created_at"": ""04-27"", ""source"": ""来自江苏"", ""user"": {""id"": ""[8873ca7ff4]"", ""screen_name"": ""[23407a8f58]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[aac8ae0351]"", ""created_at"": ""04-25"", ""source"": ""来自四川"", ""user"": {""id"": ""[1f4626981f]"", ""screen_name"": ""[cde9ab017e]""}, ""text"": ""回复@睡不着再来杯美式: [单身狗]"", ""reply_id"": 5026846724850017, ""reply_text"": ""别这样啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b95351dbd9]"", ""created_at"": ""04-25"", ""source"": ""来自天津"", ""user"": {""id"": ""[1825a41f10]"", ""screen_name"": ""[3722beda4d]""}, ""text"": ""别这样啊"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 00:10:46
[16c52be1dd],[6143033965],"抑郁症
已经是第三次了，每次打我都下那么重的手，我基本上没有打过你吧，就算打你也没有你打的这么重吧，小姐姐你真的无敌了，就这样吧，我真的已经不想在和你玩了，随便吧，不和你玩我还学的好点，你爱怎么样怎么样吧，我真的不想和你玩了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T00:08:53,抑郁症超话,0,4,"[{""id"": ""[f5478e784b]"", ""created_at"": ""04-25"", ""source"": ""来自四川"", ""user"": {""id"": ""[1f4626981f]"", ""screen_name"": ""[cde9ab017e]""}, ""text"": ""回复@睡不着再来杯美式:我也不知道，刚和她玩的时候觉得她挺好相处的，但是时间久了就这样了，我们也才认识不到一年，和我认识九年的朋友都不会这么打我，她还说过她的原生家庭，我觉得她挺可怜的就比较包容她，…但是我真的有点忍够了，不想和她玩了……"", ""reply_id"": 5026840402198550, ""reply_text"": ""回复@沧鸢-:只要两种可能。1.这种人就是很2b，不明白别人烦她。2.她羡慕嫉妒你某些方面的优势，她自卑了，赶不上所以伤害你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a353e58293]"", ""created_at"": ""04-25"", ""source"": ""来自天津"", ""user"": {""id"": ""[1825a41f10]"", ""screen_name"": ""[3722beda4d]""}, ""text"": ""回复@沧鸢-:只要两种可能。1.这种人就是很2b，不明白别人烦她。2.她羡慕嫉妒你某些方面的优势，她自卑了，赶不上所以伤害你"", ""reply_id"": 5026839955247267, ""reply_text"": ""回复@睡不着再来杯美式:对啊，她真的让人挺讨厌的，我刚和她玩的时候觉得她还好，但是玩久了她就开始打我，我基本上没还过手，她就一直打我，我也不知道为什么打我，然后今天她应该是心情不好我就想让她好一点，结果她就打我，她还说，你真的好烦，怪不得你白月光不喜欢你。我真的……我已经不知道怎么说了 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4200dcbda4]"", ""created_at"": ""04-25"", ""source"": ""来自四川"", ""user"": {""id"": ""[1f4626981f]"", ""screen_name"": ""[cde9ab017e]""}, ""text"": ""回复@睡不着再来杯美式:对啊，她真的让人挺讨厌的，我刚和她玩的时候觉得她还好，但是玩久了她就开始打我，我基本上没还过手，她就一直打我，我也不知道为什么打我，然后今天她应该是心情不好我就想让她好一点，结果她就打我，她还说，你真的好烦，怪不得你白月光不喜欢你。我真的……我已经不知道怎么说了 [允悲]"", ""reply_id"": 5026838782935283, ""reply_text"": ""她怎么这么讨厌"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7eb8134900]"", ""created_at"": ""04-25"", ""source"": ""来自天津"", ""user"": {""id"": ""[1825a41f10]"", ""screen_name"": ""[3722beda4d]""}, ""text"": ""她怎么这么讨厌"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 00:08:53
[13c5646221],[a126227798],"抑郁症
我真的觉得我的同学好恶心，不就是在班上关系和我比较好吗，你真的觉得你什么都可以干了是吗。老是无缘无故打我有时候还骂我，神经病吗，你有多动症吗，你真的就是活该。我怎么了呢，我就该你的吗？我们四个人都在说话老师让投一个人出来诶打我连说什么都没听清你们三个就全都指我了，我 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T00:06:44,抑郁症超话,1,3,"[{""id"": ""[5cdd61ab5a]"", ""created_at"": ""04-25"", ""source"": ""来自四川"", ""user"": {""id"": ""[1f4626981f]"", ""screen_name"": ""[cde9ab017e]""}, ""text"": ""回复@理里离力:嗯…但是也不知道该怎么说"", ""reply_id"": 5026992209264642, ""reply_text"": ""宝宝你要不要和她们好好沟通一下 把你的委屈都说出来呢"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[20af0155de]"", ""created_at"": ""04-25"", ""source"": ""来自安徽"", ""user"": {""id"": ""[a7ccd995eb]"", ""screen_name"": ""[af4ec13f68]""}, ""text"": ""宝宝你要不要和她们好好沟通一下 把你的委屈都说出来呢"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[93561953f4]"", ""created_at"": ""04-25"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [跪了]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 00:06:44
[43b4ac1ef5],[aca3a1a7d1],"Les表白墙
天要亮了我还没睡…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T04:21:48,Les表白墙超话,2,0,,0,,[9b2d5b4678],2024-04-06 04:21:48
