id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[4a4cf5b2b8],[17803a653b],"抑郁症
 三年前的一天，我住在大学宿舍里。
九十点钟睡到自然醒，起床，洗漱完出去吃饭，吃完饭回来打开电脑，准备第二天的“一纸开卷”考试。
很专注，没人打扰我，也没有其它的事情分散我的注意力，身边还可能有一点水果和小零食。
到了大约晚饭时间，我终于把所有的知识点整理好了，正好能打 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T14:39:41,抑郁症超话,0,2,"[{""id"": ""[74b32b96e4]"", ""created_at"": ""昨天 16:22"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d6edd37a1d]"", ""screen_name"": ""[cf63dde91a]""}, ""text"": ""回复@SingingZhang:我本来就比较擅长写文字的 [抱抱]"", ""reply_id"": 5031058259314118, ""reply_text"": ""我连这么长的文字都写不出来了。。。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0694e38f45]"", ""created_at"": ""昨天 15:40"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""我连这么长的文字都写不出来了。。。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 14:39:41
[f3e05fff8e],[d16ce58859],"抑郁症
 一天过得这么快吗？早上醒来在床上玩会手机就到吃晚饭的时间了？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T16:53:22,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-05 16:53:22
[6063a4e63a],[1b19601fb7],"抑郁症
 如果分裂出另一个我，就可以保护我安慰我了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T22:55:44,抑郁症超话,3,8,"[{""id"": ""[250324768b]"", ""created_at"": ""05-04"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d6edd37a1d]"", ""screen_name"": ""[cf63dde91a]""}, ""text"": ""回复@你头发掉了椰: [抱抱]"", ""reply_id"": 5030098874925764, ""reply_text"": ""我也想"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[927503ca8e]"", ""created_at"": ""05-04"", ""source"": ""来自安徽"", ""user"": {""id"": ""[66a33d2b48]"", ""screen_name"": ""[e8f7c46895]""}, ""text"": ""我也想"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[60804f5630]"", ""created_at"": ""05-03"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d6edd37a1d]"", ""screen_name"": ""[cf63dde91a]""}, ""text"": ""回复@还没成熟的香蕉: [抱抱]"", ""reply_id"": 5030083498607905, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[557d03269a]"", ""created_at"": ""05-03"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d6edd37a1d]"", ""screen_name"": ""[cf63dde91a]""}, ""text"": ""回复@收彩虹的兔子:是的 [心]"", ""reply_id"": 5030095318419154, ""reply_text"": ""我想分裂出另一个我，我们互帮互助，至少世界不会只剩我一个人"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2845972b0a]"", ""created_at"": ""05-03"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[3433e5651d]"", ""screen_name"": ""[0539760cd1]""}, ""text"": ""我想分裂出另一个我，我们互帮互助，至少世界不会只剩我一个人"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[307298cfeb]"", ""created_at"": ""05-03"", ""source"": ""来自广东"", ""user"": {""id"": ""[e8df55f957]"", ""screen_name"": ""[aec550e68b]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6d43f3cac7]"", ""created_at"": ""05-03"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d6edd37a1d]"", ""screen_name"": ""[cf63dde91a]""}, ""text"": ""回复@我想要变成吃货: [抱抱]"", ""reply_id"": 5030081750370127, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e5fef0bd62]"", ""created_at"": ""05-03"", ""source"": ""来自安徽"", ""user"": {""id"": ""[60fa5bcd4b]"", ""screen_name"": ""[154aa3f39f]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 22:55:44
[f2542c7010],[eb587b7068],"抑郁症
 今天要早睡！宝宝们晚安♪🌙 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T23:18:28,抑郁症超话,1,1,"[{""id"": ""[75cd27af1c]"", ""created_at"": ""04-28"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": ""晚安 [月亮]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-28 23:18:28
[134c56245e],[e486a354da],"抑郁症
 妈妈刚才给我发红包，说我这几天累了。我说，我要是 gua 科了怎么办，她说，不能挂，我女儿是学霸，到考场就来灵感了，你还得奖学金呢，怎么会gua科呢？
好好好，我这辈子算是完了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T16:49:39,抑郁症超话,3,1,"[{""id"": ""[d396c7c10b]"", ""created_at"": ""04-27"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-27 16:49:39
[ec61fb8288],[b8fa9530d2],"抑郁症
 会有人天生缺爱吗？我从小没有受过太多不好的待遇，身边的人也比较好相处那种，但是我就是感觉没有人爱我。我需要得到很多很饱满的爱，但是没有人可以给我这些。转念一想，我自己都不知道怎么给予爱，又怎么能要求别人多么地爱我。我没有一个强大到可以支撑自己生活，让自己自洽的内心 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T11:32:59,抑郁症超话,2,9,"[{""id"": ""[4056f9e5e1]"", ""created_at"": ""04-26"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d6edd37a1d]"", ""screen_name"": ""[cf63dde91a]""}, ""text"": ""回复@夕阳下的热情相拥:谢谢你，是这样的 [抱抱]"", ""reply_id"": 5027443726091038, ""reply_text"": ""他们给的是粗糙的爱，你需要细腻的爱，待你将来将粗糙之爱打磨，或保持距离并产生新的细腻之爱。 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5013e27dfe]"", ""created_at"": ""04-26"", ""source"": ""来自陕西"", ""user"": {""id"": ""[39b29c95a5]"", ""screen_name"": ""[eeb988aab0]""}, ""text"": ""他们给的是粗糙的爱，你需要细腻的爱，待你将来将粗糙之爱打磨，或保持距离并产生新的细腻之爱。 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2111074b58]"", ""created_at"": ""04-26"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d6edd37a1d]"", ""screen_name"": ""[cf63dde91a]""}, ""text"": ""回复@下雪时相爱: [抱抱]"", ""reply_id"": 5027401098334369, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2cb8b8157d]"", ""created_at"": ""04-26"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d6edd37a1d]"", ""screen_name"": ""[cf63dde91a]""}, ""text"": ""回复@上官迟柒: [抱抱]"", ""reply_id"": 5027378403215449, ""reply_text"": ""宝宝，你不矫情 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4068a7567d]"", ""created_at"": ""04-26"", ""source"": ""来自湖南"", ""user"": {""id"": ""[87f4001553]"", ""screen_name"": ""[6bed14dace]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d45cc30481]"", ""created_at"": ""04-26"", ""source"": ""来自江西"", ""user"": {""id"": ""[43f583004c]"", ""screen_name"": ""[b6a91cdd56]""}, ""text"": ""宝宝，你不矫情 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[670d9b09b2]"", ""created_at"": ""04-26"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@Raseannn: [心]"", ""reply_id"": 5027376100805680, ""reply_text"": ""回复@要长记性的木子: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[835f470c3c]"", ""created_at"": ""04-26"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d6edd37a1d]"", ""screen_name"": ""[cf63dde91a]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5027375152893932, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a59e14b2aa]"", ""created_at"": ""04-26"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 11:32:59
[8447054406],[69b297cebd],"抑郁症
 我的人生好像完了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T22:04:04,抑郁症超话,7,12,"[{""id"": ""[f9f1f5a569]"", ""created_at"": ""04-24"", ""source"": ""来自上海"", ""user"": {""id"": ""[6da439bc09]"", ""screen_name"": ""[3fe0fc1150]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[57d1325662]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""不是的 [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 22:04:04
[d6a8d6deb9],[2898e7fdc5],"抑郁症
 其实前两天导师给我打电话了。他说，“我不知道你天天都在干啥”。好好好。不知道我在干啥。好好好，其实说的也没错，也不知道我天天都在干什么。感觉什么有意义的事情都没有做。放下电话我哭了很久，没有人可以救我。就让我自生自灭吧。导师，你选我是你的错误，因为我不能给你创造任 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T19:15:16,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-20 19:15:16
[cb60a2c6d3],[f95e085db1],"抑郁症
 你是一栋房子，明媚温暖的阳光环绕着你。可惜你没有窗户。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T11:52:59,抑郁症超话,5,2,"[{""id"": ""[60acab2733]"", ""created_at"": ""04-18"", ""source"": ""来自江苏"", ""user"": {""id"": ""[019424a817]"", ""screen_name"": ""[7446bfde5a]""}, ""text"": ""好诗 [赞]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[7a4d148147]"", ""created_at"": ""04-18"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-18 11:52:59
[caa2d08754],[abea5f0490],"抑郁症
 是不是一个敏感的人，如果没有得到足够的爱，鼓励和陪伴，她就会抑郁。但是现实生活中哪有那么多的爱呢？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T18:31:33,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-16 18:31:33
