id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[060dd6efe7],[cfc26f3d3f],我刚刚整合了一下我拥有的小卡，有被小小的震惊到。EXO除lay之外，8位成员的小卡我都有了。seventeen13位成员的小卡我也都有了。啊啊啊啊啊啊啊啊!!! ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T20:10:06,ASH具熊Android,0,2,"[{""id"": ""[f29a8b14eb]"", ""created_at"": ""2小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""text"": ""下一次冲EXO旧专，试试艺兴"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[21dbed5b4d]"", ""created_at"": ""2小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""text"": ""艺兴的小卡属实是有点难得了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 20:10:06
[5ba502e18e],[1d2e464d4a],我朋友🐿给我拍的，有一种岁月静好的感觉，拍的好好!!!但其实当时内心的OS是：🐿快点拍，千万不要有人来啊，好慌 ,[9b2d5b4678],[1b0809f5de],[9b2d5b4678],,2024-05-19T17:02:41,ASH具熊Android,1,1,"[{""id"": ""[ebc6a5bd51]"", ""created_at"": ""昨天 17:04"", ""source"": ""来自北京"", ""user"": {""id"": ""[c017d2eda2]"", ""screen_name"": ""[cdebd11fe2]""}, ""text"": ""内心戏十足，但照片确实很美呢 [赞]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-19 17:02:41
[16e2189527],[4f32e2a057],"郑州之行顺利完成✅   现在我正在返程的高铁上/昨天和我的朋友🐶去外面逛了逛   聊了好多事情   晚上陪我朋友🐶看了最新一期和第一季五哈   一起笑得感觉真的好好/希望所有的事情都有一个好结果/希望我的朋友🐶一直都无忧无虑  开开心心/“十个勤天  做大做强”真的做到了  昨天一直守在直播间   ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T15:04:45,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-19 15:04:45
[5890ba0a07],[7cc025c98f],"昨天是我和我朋友🐿待在一起的最后一天   晚上想到分别时  情绪有点没hold住   朋友说手机是用来干嘛的   很神奇的是之前搭乘地铁的时候都是我目送她离开   这次是她目送我离开  这几天和我朋友在一起很开心   还一起拍了拍立得/希望我的朋友🐿能顺利拿到想要的offer   万事顺意   早日亲眼看到后 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T22:35:12,ASH具熊Android,1,0,,0,,[9b2d5b4678],2024-05-17 22:35:12
[0f12f0e315],[d94a0aca12],love can fight everything！ ,[9b2d5b4678],[fe24f52532],[9b2d5b4678],,2024-05-17T16:13:41,ASH具熊Android,1,0,,0,,[9b2d5b4678],2024-05-17 16:13:41
[27e194a83a],[3859b10eab],"今天我在一页一页的翻看次的pb，看到最后13人群像的时候，心灵感觉被击中了，就是一种很奇妙的感觉。我追星好像也是与这个世界不断产生链接的一种方式，因为喜欢他们让我的世界不断丰富起来。我和我最好的朋友🐰结识的开端，正是因为同担。虽然她现在对追星的热度下降了，更加专注于自己生活本身，可 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T13:08:22,ASH具熊Android,1,0,,0,,[9b2d5b4678],2024-05-16 13:08:22
[26085f8d6e],[075f09702c],我的情绪稳定剂是changmo和棋魂 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T10:03:09,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-16 10:03:09
[8c9e2c8806],[a1ad441d4c],"昨天下午背着我朋友🐨亲手织的绝美包包去找她  待在一起一天半  超开心/第一次去线下专辑店  买到了想要版本的专辑  运气爆棚  我担基本都在   可能是因为2gg快入伍了  所以我拆出了好多2gg  心软软    我朋友🐨还帮我拍了超好看的小卡照片/《棋魂》我真的常看常新/两件比较离谱的小事/我朋友🐨 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-14T21:58:11,ASH具熊Android,1,0,,0,,[9b2d5b4678],2024-05-14 21:58:11
[a9d02ab49e],[eaaffd6a90],超幸运以及超幸福!!! ,[9b2d5b4678],[88c6d48349],[9b2d5b4678],,2024-05-14T18:54:41,ASH具熊Android,0,1,"[{""id"": ""[ecbdc0c641]"", ""created_at"": ""05-14"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""text"": ""我朋友🐨帮拍的!!!"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-14 18:54:41
[aae9af8206],[300ec8b813],"昨天顺利和我朋友🐿见面    下午和朋友🐿在酒店看了综艺   之后在湖边逛了一圈   看了夕阳   听了会儿音乐   很放松   就是我朋友被可恶的蚊虫叮了   希望能快点好呀/我和朋友🐿都很喜欢冬天诶/朋友🐿送了我好多十个晴天的小卡和贴纸  喜欢/我的朋友🐰在我心中就是最好的  我很骄傲有她这样 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T09:29:49,ASH具熊Android,3,0,,0,,[9b2d5b4678],2024-05-13 09:29:49
[70ae2af8b5],[e64e3fc8ed],王楚钦好棒!!!而且今天正好是大头生日，最好的生日礼物献给自己!!!(中途大屏拍到那位看手机的小孩子好可爱!) ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-11T21:19:42,ASH具熊Android,2,0,,0,,[9b2d5b4678],2024-05-11 21:19:42
[6d6e2f48ba],[83f44b9a5d],"我不想  迷失在  这片荒野
若能握住那阵风或许我们就不会被吹得太远
 @QQ音乐 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-11T09:12:50,ASH具熊Android,1,1,"[{""id"": ""[c658f4eaf3]"", ""created_at"": ""05-11"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""text"": ""赤红的太阳，将点燃所有的悲伤而无憾。漆黑的过往，终将淡去这样也不算太坏。"", ""like_counts"": 0, ""liked"": false}]",0,,[3ef42060a2],2024-05-11 09:12:50
[ea251c9115],[b40d9b4db0],希望我的朋友🐱一切顺利!!! ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-11T09:12:24,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-11 09:12:24
[e1dfca085b],[8d235446bd],"每当骑车面朝夕阳时  总会想起梁博的《日落大道》/今晚的我是愤怒苏苏  明天我要化身为温柔妮达/每天都要庆幸自己有一个哥哥/我和我家狗有cp名了  就叫“大小two”/我朋友🐿说 果然J人的每一步都要计划  我本来觉得自己没那么J的  现在有点意识到了/买到了很香的纸巾   现在我的房间充斥着花香味/我 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-11T00:16:56,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-11 00:16:56
[31931c87d6],[6f682d879b],"宇野昌磨退役的好突然   三大三小就剩天天了希望天天能顺利坚持到米兰/庆余年2定档了诶/突然发现自己左边脸上的酒窝有点小明显   所以我应该多笑一笑  好喜欢酒窝啊/发现自己有时候做事的timing掌握的恰到好处  不经意的/希望失眠离我朋友远一点  退退退/今日份计划已完成/我现在的文字口头禅是 哦吼/ ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T21:55:53,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-09 21:55:53
[8ade805707],[c0a2a8515e],我何德何能有你们这样一群朋友啊，心软软 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T23:04:57,ASH具熊Android,1,0,,0,,[9b2d5b4678],2024-05-07 23:04:57
[4cf2dd4e2f],[b56432261c],"今晚我的朋友🐨突然说去年的生日礼物还没给我   我还好奇她给我准备了什么准备那么久  结果是她亲手给我织的小包   直接给我干感动了 怪不得去年她问我我喜欢什么颜色  但之后没了后续  我也没多想  结果是她亲手给我织的小包   心软的直接化成一滩水从眼睛里流出来/我朋友🐨的第二只小猫猫叫来钱  ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T23:03:02,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-07 23:03:02
[ed03e895be],[de9d852120],我的朋友🐰真的很美丽很优秀！一切都在往好的方向发展！一直走花路吧🐰！！！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T11:56:21,ASH具熊Android,1,2,"[{""id"": ""[93daab1dfb]"", ""created_at"": ""05-11"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""text"": ""希望一切顺利！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d40470f238]"", ""created_at"": ""05-09"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""text"": ""希望我的朋友一切都好!顺顺利利的"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-07 11:56:21
[117160659e],[b5b344e4b1],买到了买到了呜呜呜呜，此刻我相信光了！ ,[9b2d5b4678],[73e3282a33],[9b2d5b4678],,2024-05-06T14:57:22,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-06 14:57:22
[44b394ca3b],[7fa355d699],"今晚和朋友🐶见面啦  一起吃了饭聊了好多话题  还收到了她送的小八  真的超级无敌巨可爱哦  我的朋友🐶也超级无敌巨美丽哦  希望她一直做一个开心小狗  万事顺意哦/今晚时隔好久在朋友🐰家睡  哦吼 希望她一直幸福下去哦/人生歌单+1/我今天的状态还挺好的希望能一直保持下去  虽然朋友🐶说我之 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T00:25:03,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-06 00:25:03
[8597e2040f],[41d4f9d923],"今天朋友🐨跟我分享了她看完演唱会的心情  拍到了两张人生级别的照片  虽然过程中有些许遗憾   但依旧能感受到我的朋友充满着开心和幸福   希望这种开心和幸福能一直围绕在我朋友身边呀/今晚被朋友🦝小夸了一下  心软软/希望大家每天都过得开心  晚安  好梦
                                      ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T22:41:39,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-04 22:41:39
[005e02ef58],[f062781e5c],"“人生就像每天打一个木桩
这个木桩的意义可能暂时看不出来
但等到某一天
你打的木桩足够多了
它们就会连成一座桥
带你去到你想去的地方” ",[9b2d5b4678],[f133b7ea7c],[9b2d5b4678],,2024-05-04T22:33:28,ASH具熊Android,0,3,"[{""id"": ""[04a59b8ea5]"", ""created_at"": ""11小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""pic"": {""pid"": ""005GGxqbly1hpdvdd2gpbj30u00ar3z2"", ""url"": ""https://wx2.sinaimg.cn/orj360/005GGxqbly1hpdvdd2gpbj30u00ar3z2.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 753, ""height"": 270, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx2.sinaimg.cn/large/005GGxqbly1hpdvdd2gpbj30u00ar3z2.jpg"", ""geo"": {""width"": ""1080"", ""height"": ""387"", ""croped"": false}}}, ""text"": ""某种意义上19岁的我和21岁的我共存了吧"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ce851515b3]"", ""created_at"": ""11小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""pic"": {""pid"": ""005GGxqbly1hpdv53242pj31jk0v84av"", ""url"": ""https://wx4.sinaimg.cn/orj360/005GGxqbly1hpdv53242pj31jk0v84av.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 480, ""height"": 270, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx4.sinaimg.cn/large/005GGxqbly1hpdv53242pj31jk0v84av.jpg"", ""geo"": {""width"": ""2000"", ""height"": ""1124"", ""croped"": false}}}, ""text"": ""图片评论"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[568178011e]"", ""created_at"": ""11小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""pic"": {""pid"": ""005GGxqbly1hpduvpk3qbj31jk15oayr"", ""url"": ""https://wx3.sinaimg.cn/orj360/005GGxqbly1hpduvpk3qbj31jk15oayr.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 360, ""height"": 270, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx3.sinaimg.cn/large/005GGxqbly1hpduvpk3qbj31jk15oayr.jpg"", ""geo"": {""width"": ""2000"", ""height"": ""1500"", ""croped"": false}}}, ""text"": ""图片评论"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 22:33:28
[586cb88d58],[4af72ae173],今日份第一哭：翻看之前的微博看到的，心软软。那个时候我还在医院里......... ,[9b2d5b4678],[c4a80dd5c9],[9b2d5b4678],,2024-05-04T17:15:14,ASH具熊Android,0,4,"[{""id"": ""[c05e7736ab]"", ""created_at"": ""11小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""text"": ""love🐰"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f57fb05229]"", ""created_at"": ""17小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""text"": ""我把所以东西都整理出来，虽然希望不要再有之前的那种情况，但万一再出现，我就多看几遍。没错就是你！你多看几遍！再控制不了，我就过去骂你了！！！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7e06dc36e4]"", ""created_at"": ""17小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""text"": ""对不起"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[851c898252]"", ""created_at"": ""17小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""text"": ""前几个月时的我真的太TM混蛋了，真想回到那个时候把自己从床上拽起来扇醒，超级无敌大混蛋"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 17:15:14
[9b07b47de3],[497dccdac0],！！！ ,[9b2d5b4678],[4ea1e2b1ce],[9b2d5b4678],,2024-05-04T16:17:10,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-04 16:17:10
[bfa37bc53f],[24c4774c83],"“铃声响起时会感到害怕
最近心脏会先漏拍受惊
想要自己一个人过不想一个人待着
我也搞不懂我自己
我的幸福到底在哪里呢
谁也没办法回答我
看着我倒映在熄灭的
手机屏幕里的样子我要说
今天在回家的路上对我说辛苦了
虽然不太容易但是也不算糟糕
在这令人室息的世界里
因为一件小事
而暂时展露笑颜
因 ...
全文",[9b2d5b4678],[4e6ef0f41e],[9b2d5b4678],,2024-05-03T18:06:44,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-03 18:06:44
[7f726aed72],[4f77407dcd],#李嘉格万妮达是在说相声吧#乘风里最喜欢的就是嘉格和妮达，真的搞不懂她俩为什么会垫底啊啊啊啊啊啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T14:47:11,ASH具熊Android,1,3,"[{""id"": ""[1a02081889]"", ""created_at"": ""05-03"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""text"": ""回复@吃瓜罗伯特:你的另一个哥们能做到楼中楼回复，为什么你不行?！"", ""reply_id"": 5029957835425358, ""reply_text"": ""每个人都有自己喜欢的类型嘛~ 不必纠结于排名哦"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7a6e57f841]"", ""created_at"": ""05-03"", ""source"": ""来自河南"", ""user"": {""id"": ""[ac5bb42953]"", ""screen_name"": ""[d04329da3a]""}, ""text"": ""回复@吃瓜罗伯特:可是她们的实力都很强啊，真的搞不懂为什么排名那么低！"", ""reply_id"": 5029957835425358, ""reply_text"": ""每个人都有自己喜欢的类型嘛~ 不必纠结于排名哦"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[821cd03d45]"", ""created_at"": ""05-03"", ""source"": ""来自吃瓜罗伯特"", ""user"": {""id"": ""[a62cc587f6]"", ""screen_name"": ""[7a599876e9]""}, ""text"": ""每个人都有自己喜欢的类型嘛~ 不必纠结于排名哦"", ""like_counts"": 0, ""liked"": false}]",0,李嘉格万妮达是在说相声吧,[9b2d5b4678],2024-05-03 14:47:11
[faf9eff760],[f29d524aff],希望我们能像余华和史铁生一样 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T14:05:38,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-03 14:05:38
[036af788ed],[c77f857396],就像今晚沙一汀说的“我们要成为更好的自己，yeah！”你已经做的很好了，请相信你是最棒的，我的朋友们，我们的存在都是地球送给凡间的一首赞美诗歌！大家晚安，好梦哦！ ,[9b2d5b4678],[25623e1841],[9b2d5b4678],,2024-05-02T22:35:23,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-02 22:35:23
[f217958c1b],[fb46c2448e],真的好喜欢看运动向的东西啊！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T21:49:27,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-01 21:49:27
[66e739e04b],[d2050f60f0],"我们能走出这黑昼
Everything will be right 
分享单曲 
都市霓虹
 (@网易云音乐) ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T08:57:16,ASH具熊Android,0,0,,0,,[4a366fb92e],2024-05-01 08:57:16
[5b2ef37059],[da34ed514c],我真的有好多新鲜的蜜蜂啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T08:46:39,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-05-01 08:46:39
[d27246e1a5],[7b76cdb4e5],"今天吃到了狗粮  不过是来自朋友幸福的狗粮 希望我的朋友一天比一天开心和幸福/今天吃到了久违的糖  想起来那句  不会哭的小孩儿也会有糖吃/今天有一个好久没联系的妹妹点赞了我的动态  不晓得她现在过得如何  希望她一切都好/今天我终于感受到我是一个有温度的人  真真实实的存在/希望大家每天都过得 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T23:46:57,ASH具熊Android,1,0,,0,,[9b2d5b4678],2024-04-30 23:46:57
[3616dd81cf],[24ed671cc1],"TABLO 和杨和苏的那个cypher拍的帅爆了！！！啊啊啊啊啊真的好帅啊啊啊啊啊啊啊！！！ 唱的好帅，拍的也好帅啊啊啊啊啊怎么能那么帅啊啊啊啊啊呜呜呜呜呜呜 
TABLO 一开口就将我硬控住了，啊啊啊啊怎么能那么帅啊
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-29T21:42:01,ASH具熊Android,0,1,"[{""id"": ""[c50b93b7a7]"", ""created_at"": ""04-29"", ""source"": ""来自吃瓜罗伯特"", ""user"": {""id"": ""[a62cc587f6]"", ""screen_name"": ""[7a599876e9]""}, ""text"": ""我承认我被他们帅到了 [害羞]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-29 21:42:01
[04ee23d363],[fb15231bec],"今天🐯这张照片我看了好久......
希望我的朋友们能拥有这个世界上最真挚的快乐和幸福，永远年少意气风发，拥有向前走的无所畏惧和回顾的勇气，希望点点星光融入眼中，谈谈笑笑，蹦蹦跳跳!
Q🐰Y🐨L🐱T🐶 Z🐏W🐼 W🐿 M🦊M🦝
May we have long—term happiness and dreams!
PS：晚上 ...
全文",[9b2d5b4678],[9c76a358f3],[9b2d5b4678],,2024-04-21T01:17:11,ASH具熊Android,0,0,,0,,[9b2d5b4678],2024-04-21 01:17:11
