id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[17ef4fcc5f],[561a73f6ef],"抑郁症
 明天要去上海精卫住院了 有没有去过的宝宝知道里面是什么样的啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T21:22:15,抑郁症超话,4,10,"[{""id"": ""[4eeb932db2]"", ""created_at"": ""05-31"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@面包狗面包狗面包狗:好谢谢 [泪]"", ""reply_id"": 5040025150686721, ""reply_text"": ""回复@时_停_:不能诶，除非是看病不然出不去，我当时是这样的（不知道是不是疫情管控原因）。现在不确定。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a78a0249cd]"", ""created_at"": ""05-31"", ""source"": ""来自上海"", ""user"": {""id"": ""[d0a49b961d]"", ""screen_name"": ""[1d685e6ba5]""}, ""text"": ""回复@时_停_:不能诶，除非是看病不然出不去，我当时是这样的（不知道是不是疫情管控原因）。现在不确定。"", ""reply_id"": 5040019733219589, ""reply_text"": ""回复@面包狗面包狗面包狗:不是封闭平时能出入吗，下周二有个活动，我真的很想去，准备了很久了 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c3aa0557da]"", ""created_at"": ""05-31"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@面包狗面包狗面包狗:不是封闭平时能出入吗，下周二有个活动，我真的很想去，准备了很久了 [泪]"", ""reply_id"": 5039856545956200, ""reply_text"": ""我住过，但是是三年多以前（也许吧，我记不清了）。你住的是哪个病区呀？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9c15d6ae43]"", ""created_at"": ""05-31"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@面包狗面包狗面包狗:我什么也不知道，医生也没告诉我住几天，是不是封闭，直接让我办入院 [泪]"", ""reply_id"": 5039856545956200, ""reply_text"": ""我住过，但是是三年多以前（也许吧，我记不清了）。你住的是哪个病区呀？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9553139967]"", ""created_at"": ""05-30"", ""source"": ""来自上海"", ""user"": {""id"": ""[d0a49b961d]"", ""screen_name"": ""[1d685e6ba5]""}, ""text"": ""回复@面包狗面包狗面包狗:还有不能带手机，除了集体上课以外不能私藏笔 ，不能有绳状的东西（反正一切可能危害自己和他人安全的都不行）"", ""reply_id"": 5039857312992385, ""reply_text"": ""封闭病房比较压抑，里面会有一些没有自知力的人，监管比较严格，伙食一般般。比如上厕所不能关门，洗澡不是天天都能洗的。但我现在回想起来在里面也得到了一些病友的帮助，还是挺怀念的。就是物质条件差一些。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1cfad89074]"", ""created_at"": ""05-30"", ""source"": ""来自上海"", ""user"": {""id"": ""[d0a49b961d]"", ""screen_name"": ""[1d685e6ba5]""}, ""text"": ""VIP很贵，我住了没几天就以要考试为由逃出去了物质条件比较好，也相对自由，病人年龄偏小一点。必须要陪护，当时我家人来不了，就请了陪护，500一天，消费还是很大的。 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b8930cbbe7]"", ""created_at"": ""05-30"", ""source"": ""来自上海"", ""user"": {""id"": ""[d0a49b961d]"", ""screen_name"": ""[1d685e6ba5]""}, ""text"": ""封闭病房比较压抑，里面会有一些没有自知力的人，监管比较严格，伙食一般般。比如上厕所不能关门，洗澡不是天天都能洗的。但我现在回想起来在里面也得到了一些病友的帮助，还是挺怀念的。就是物质条件差一些。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[550acb29cc]"", ""created_at"": ""05-30"", ""source"": ""来自上海"", ""user"": {""id"": ""[d0a49b961d]"", ""screen_name"": ""[1d685e6ba5]""}, ""text"": ""我住过封闭病房，还有VIP，因为心境情感障碍（当时是四楼四病区）排队太久住不进去"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[424e5d0e90]"", ""created_at"": ""05-30"", ""source"": ""来自上海"", ""user"": {""id"": ""[d0a49b961d]"", ""screen_name"": ""[1d685e6ba5]""}, ""text"": ""我住过，但是是三年多以前（也许吧，我记不清了）。你住的是哪个病区呀？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d93d79c47e]"", ""created_at"": ""05-30"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""看看我呢 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 21:22:15
[9bfd953c63],[7ca9a05768],"抑郁症
 够了😇要不你别跳了 ",[9b2d5b4678],[58070d8635],[9b2d5b4678],,2024-05-29T21:28:35,抑郁症超话,0,7,"[{""id"": ""[a055abe4e7]"", ""created_at"": ""05-30"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@蓝蓝的丹:好吧 [泪]"", ""reply_id"": 5039638341746839, ""reply_text"": ""回复@时_停_:焦虑症引起的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[215f5cde45]"", ""created_at"": ""05-30"", ""source"": ""来自浙江"", ""user"": {""id"": ""[b259d642a8]"", ""screen_name"": ""[7a19db2522]""}, ""text"": ""回复@时_停_:焦虑症引起的"", ""reply_id"": 5039633314350043, ""reply_text"": ""回复@蓝蓝的丹:知道什么原因吗 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[26f13f3736]"", ""created_at"": ""05-30"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@蓝蓝的丹:知道什么原因吗 [抱抱]"", ""reply_id"": 5039516546500734, ""reply_text"": ""我心脏也跳得很快"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f4e6160c20]"", ""created_at"": ""05-29"", ""source"": ""来自浙江"", ""user"": {""id"": ""[b259d642a8]"", ""screen_name"": ""[7a19db2522]""}, ""text"": ""我心脏也跳得很快"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[139f39805c]"", ""created_at"": ""05-29"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@我真的不是古天乐:嗯嗯"", ""reply_id"": 5039481872450543, ""reply_text"": ""这是什么手表？华为吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c3e7b9e938]"", ""created_at"": ""05-29"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[382da75240]"", ""screen_name"": ""[d06cd752f7]""}, ""text"": ""这是什么手表？华为吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[764a4b7b95]"", ""created_at"": ""05-29"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-29 21:28:35
[944bd36754],[56f14f8d6f],"抑郁症
 想问问大家，我一见到医生就说不出话，尤其是我的那些不好的想法，已经两三次了，每次进诊室之前都准备的好好的，一进去就什么都想不起来了。这种情况怎么办
星期四又要去，感觉如果一直说不出来，这样治下去也没用 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T21:24:27,抑郁症超话,1,7,"[{""id"": ""[ff18deedac]"", ""created_at"": ""05-29"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@邹老师课堂:好滴 [抱一抱]"", ""reply_id"": 5039248652894978, ""reply_text"": ""我每次都要写好字条，有时也怕忘记。写字条也是一个整理思绪的过程。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[acf8933554]"", ""created_at"": ""05-29"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@buyaozhaodaowo88:是啊 一出诊室又想起来了又后悔 然后又开始难受 [泪]"", ""reply_id"": 5039202140160955, ""reply_text"": ""我也是，一见到主治就紧张得说不出话，本来要说的也全忘光了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f2c5186179]"", ""created_at"": ""05-29"", ""source"": ""来自澳大利亚"", ""user"": {""id"": ""[e0611e252a]"", ""screen_name"": ""[b3a80b9b3e]""}, ""text"": ""我每次都要写好字条，有时也怕忘记。写字条也是一个整理思绪的过程。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[facfca5bd1]"", ""created_at"": ""05-29"", ""source"": ""来自广东"", ""user"": {""id"": ""[9723d85dbb]"", ""screen_name"": ""[6649d56d29]""}, ""text"": ""我也是，一见到主治就紧张得说不出话，本来要说的也全忘光了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[11c56a90de]"", ""created_at"": ""05-28"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@等待紫色光芒再次到来的那天:好的谢谢 [抱一抱]"", ""reply_id"": 5039123973020650, ""reply_text"": ""你可以整理一下写纸上或者打在备忘录上，想不起来说什么就直接给医生看吧。我一般都会先打下来顺一顺再说。或许你也可以试一试这样有没有用。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[66dc7306c7]"", ""created_at"": ""05-28"", ""source"": ""来自贵州"", ""user"": {""id"": ""[43e60bf0ca]"", ""screen_name"": ""[c41b08f884]""}, ""text"": ""你可以整理一下写纸上或者打在备忘录上，想不起来说什么就直接给医生看吧。我一般都会先打下来顺一顺再说。或许你也可以试一试这样有没有用。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[277ac7606f]"", ""created_at"": ""05-28"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 21:24:27
[1ef14bdc89],[81e8d1c1be],我的1642天 ,[9b2d5b4678],[795d3df347],[9b2d5b4678],,2024-05-28T18:06:32,抑郁症超话,3,8,"[{'id': 5039329982550680, 'created_at': '05-29', 'source': '来自山西', 'user': {'id': 7495364900, 'screen_name': '爱生活的小小小仙女'}, 'text': '可以念念地藏经净化一下磁场', 'like_counts': 0, 'liked': False}, {'id': 5039124170670346, 'created_at': '05-28', 'source': '来自四川', 'user': {'id': 5312398481, 'screen_name': 'SingingZhang'}, 'text': '回复@时_停_:不要放弃', 'reply_id': 5039116826446944, 'reply_text': '回复@SingingZhang: [爱你]', 'like_counts': 0, 'liked': False}, {'id': 5039117790087947, 'created_at': '05-28', 'source': '来自四川', 'user': {'id': 7897115559, 'screen_name': '炊子CHUIZI'}, 'text': '回复@时_停_:嗯嗯 ""[送花花]""', 'reply_id': 5039116686986283, 'reply_text': '回复@炊子CHUIZI:加油 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5039116826446944, 'created_at': '05-28', 'source': '来自浙江', 'user': {'id': 7354052261, 'screen_name': '时_停_'}, 'text': '回复@SingingZhang: [爱你]', 'reply_id': 5039088585412056, 'reply_text': '你真的好厉害 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5039116686986283, 'created_at': '05-28', 'source': '来自浙江', 'user': {'id': 7354052261, 'screen_name': '时_停_'}, 'text': '回复@炊子CHUIZI:加油 [抱抱]', 'reply_id': 5039073504792878, 'reply_text': '我们一起加油… [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5039088585412056, 'created_at': '05-28', 'source': '来自四川', 'user': {'id': 5312398481, 'screen_name': 'SingingZhang'}, 'text': '你真的好厉害 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5039077780884081, 'created_at': '05-28', 'source': '来自甘肃', 'user': {'id': 6199501189, 'screen_name': '小李与快乐'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5039073504792878, 'created_at': '05-28', 'source': '来自四川', 'user': {'id': 7897115559, 'screen_name': '炊子CHUIZI'}, 'text': '我们一起加油… [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-28 18:06:32
[5bac3da1dd],[7885f47c34],分享图片 ,[9b2d5b4678],[ca773e6cb3],[9b2d5b4678],,2024-05-27T19:07:31,抑郁症超话,1,2,"[{""id"": ""[4904bb8a37]"", ""created_at"": ""05-28"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@我是健康自信幸运快乐小美女:我吃饭一吃就停不下来咱家能中和一下就好了 [抱抱]"", ""reply_id"": 5038740795819745, ""reply_text"": ""宝宝我也是 一天之中尤其是早上起来的那段时间很难受 之后又自己好了 但是还是会一天发作好几次 想哭掉眼泪 饭也吃不下 越来越瘦 每天我一吃饭就想吐的时候我就特别想死 但是我舍不得爸爸妈妈"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7fa1988c06]"", ""created_at"": ""05-27"", ""source"": ""来自江苏"", ""user"": {""id"": ""[36192f45a0]"", ""screen_name"": ""[f5b1165536]""}, ""text"": ""宝宝我也是 一天之中尤其是早上起来的那段时间很难受 之后又自己好了 但是还是会一天发作好几次 想哭掉眼泪 饭也吃不下 越来越瘦 每天我一吃饭就想吐的时候我就特别想死 但是我舍不得爸爸妈妈"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 19:07:31
[f814e03d21],[9f12366f94],"抑郁症
 怎么控制暴食啊 一直吃一直吃 吃的实在吃不下了还在吃控制不住往嘴里塞东西 现在吃的胃痛
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-21T20:15:04,抑郁症超话,1,8,"[{""id"": ""[17dadbba30]"", ""created_at"": ""05-21"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""回复@时_停_:那宝先休息一下吧，晚安～ [抱抱]"", ""reply_id"": 5036582408557827, ""reply_text"": ""回复@炊子CHUIZI:动不了一点走两步都好累好痛苦每天只想躺着坐着 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ea9a32775d]"", ""created_at"": ""05-21"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@Blue_繁星满天:好 [爱你]"", ""reply_id"": 5036588109137218, ""reply_text"": ""吃点耐吃的，瓜子，棒棒糖什么的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[940fad752b]"", ""created_at"": ""05-21"", ""source"": ""来自江苏"", ""user"": {""id"": ""[13428f76e1]"", ""screen_name"": ""[b3f3e93a27]""}, ""text"": ""吃点耐吃的，瓜子，棒棒糖什么的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9bf26a7c92]"", ""created_at"": ""05-21"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@炊子CHUIZI:动不了一点走两步都好累好痛苦每天只想躺着坐着 [泪]"", ""reply_id"": 5036576069389749, ""reply_text"": ""回复@时_停_:…宝可以尝试运动下吗？多运动多消化能行吗 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1513fd3389]"", ""created_at"": ""05-21"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""回复@时_停_:…宝可以尝试运动下吗？多运动多消化能行吗 [抱抱]"", ""reply_id"": 5036573748366534, ""reply_text"": ""回复@炊子CHUIZI:我吃了好多主食米面粉 一顿吃的 其实已经很饱了还是想吃 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[10805f986a]"", ""created_at"": ""05-21"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@炊子CHUIZI:我吃了好多主食米面粉 一顿吃的 其实已经很饱了还是想吃 [泪]"", ""reply_id"": 5036572990772333, ""reply_text"": ""宝可以吃的饱腹感比较强的，或者抑制食欲的，但我也不知道有没有用诶… [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[42baf8462a]"", ""created_at"": ""05-21"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""宝可以吃的饱腹感比较强的，或者抑制食欲的，但我也不知道有没有用诶… [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[445f74e09b]"", ""created_at"": ""05-21"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""要死了想yue [跪了]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-21 20:15:04
[881e4d3dc2],[3ecd57debd],"抑郁症
 为什么感觉自己体力越来越差，爬三楼都要喘好久
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-21T08:11:54,抑郁症超话,3,19,"[{""id"": ""[44650a0674]"", ""created_at"": ""05-21"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@轻辙_: [抱抱]"", ""reply_id"": 5036400701606268, ""reply_text"": ""同感。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[14d37a9c90]"", ""created_at"": ""05-21"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@每天都是甜甜的喵:我连下楼都嫌累 [跪了]"", ""reply_id"": 5036401530503425, ""reply_text"": ""我也是，我坐公交车上下天桥都会出虚汗，会喘的不行。所以一般现在都是打车了……实在是太难受了…"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cda9f8b5a5]"", ""created_at"": ""05-21"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@树上的绿叶叶:我也不知道 就是每天都走不动 走两步就累"", ""reply_id"": 5036404616990450, ""reply_text"": ""我之前都是喝咖啡喝茶吊着了 那种无力感真的太难受了 感觉要倒了一样 现在好一点了 应该是一个期限来的吧 有一次就有第二次 [笑cry]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[39997d0b81]"", ""created_at"": ""05-21"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""回复@盏萤:是吃药影响的吗 [泪]"", ""reply_id"": 5036384326784199, ""reply_text"": ""点了，走半小时歇十分钟，以前暴走一天都不带累的，现在体力越来越不好了 [单身狗]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[faf032e0c1]"", ""created_at"": ""05-21"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b1137525ec]"", ""created_at"": ""05-21"", ""source"": ""来自四川"", ""user"": {""id"": ""[bbc46bd57d]"", ""screen_name"": ""[643f93795d]""}, ""text"": ""我之前都是喝咖啡喝茶吊着了 那种无力感真的太难受了 感觉要倒了一样 现在好一点了 应该是一个期限来的吧 有一次就有第二次 [笑cry]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9ad6cd70d7]"", ""created_at"": ""05-21"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0e4357a89]"", ""screen_name"": ""[00c68b3587]""}, ""text"": ""我也是，我坐公交车上下天桥都会出虚汗，会喘的不行。所以一般现在都是打车了……实在是太难受了…"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[742b7d545d]"", ""created_at"": ""05-21"", ""source"": ""来自吉林"", ""user"": {""id"": ""[6624a839f4]"", ""screen_name"": ""[925705e68c]""}, ""text"": ""同感。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f588415f73]"", ""created_at"": ""05-21"", ""source"": ""来自广东"", ""user"": {""id"": ""[2e015a2b3e]"", ""screen_name"": ""[4641556008]""}, ""text"": ""点了，走半小时歇十分钟，以前暴走一天都不带累的，现在体力越来越不好了 [单身狗]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-21 08:11:54
[95d81788ce],[b059a73770],"抑郁症
 又加新药了😇 
上海·上海交通大学医学院附属精神卫生中心(徐汇院区)
 ",[9b2d5b4678],[907ca7f614],[2c27ccbe7f],上海·上海交通大学医学院附属精神卫生中心(徐汇院区),2024-05-19T21:46:52,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-19 21:46:52
[085b8a31c0],[d824351122],"抑郁症
 一直担心的事办好了 可为什么还是高兴不起来为什么 ",[9b2d5b4678],[5e61e93330],[9b2d5b4678],,2024-05-14T11:18:33,抑郁症超话,0,1,"[{""id"": ""[6613c67af9]"", ""created_at"": ""05-14"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-14 11:18:33
[ccc49998e5],[825454e128],"抑郁症
 累了心好累 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-14T11:14:18,抑郁症超话,0,1,"[{""id"": ""[427b41b96d]"", ""created_at"": ""05-14"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6ba03de9f5]"", ""screen_name"": ""[c2870dc01e]""}, ""text"": ""很想想明白一件事情 但是脑子很混乱根本就没办法集中注意力去想 所以越想越难过"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-14 11:14:18
