id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[38adb83a45],[d2d8092448],"第五人格
用完手上的化妆品才能买新的化妆品，五超作证，没用完去买别的就剁手 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T16:59:15,第五人格超话,2,3,"[{""id"": ""[0a8ace7db6]"", ""created_at"": ""18小时前"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6bfac6de7d]"", ""screen_name"": ""[d2d630104b]""}, ""text"": ""回复@这是你所向往的吗:好，一直监督我"", ""reply_id"": 5039776182570931, ""reply_text"": ""我会一直看着你👀"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[8beda454c1]"", ""created_at"": ""20小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[f5cff8123f]"", ""screen_name"": ""[783144d753]""}, ""text"": ""👀"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2f967eccef]"", ""created_at"": ""20小时前"", ""source"": ""来自江西"", ""user"": {""id"": ""[b0327babfc]"", ""screen_name"": ""[6d9ba22463]""}, ""text"": ""我会一直看着你👀"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 16:59:15
[6699d65cbc],[c57c3d49af],"entj
以前的我觉得孤独，执着于找个人倒苦水，以为那样问题就会被解决，其实并不是这样 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T11:08:03,entj超话,1,0,,0,,[9b2d5b4678],2024-05-30 11:08:03
[eb79c48973],[59a56fda86],"第五人格
题外话，1点给好朋友发了消息到现在没回，突然就释怀了，以前都要追着问为什么没回，现在已经无所谓了，带不动一点，有些人根本就不需要好友 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T16:12:07,第五人格超话,0,6,"[{""id"": ""[198454d9ba]"", ""created_at"": ""05-27"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6bfac6de7d]"", ""screen_name"": ""[d2d630104b]""}, ""text"": ""回复@Len不爱次柠檬:分离是常态"", ""reply_id"": 5038678117975714, ""reply_text"": ""我原来也是，后来看开了，还是做朋友，就只是不要那么在意他了。我想发就发，他爱什么时候回什么时候回，我有事的时候也会几个小时不看手机。没有人品问题的话不耽误做朋友"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cf903e0959]"", ""created_at"": ""05-27"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6bfac6de7d]"", ""screen_name"": ""[d2d630104b]""}, ""text"": ""回复@代号夸:点头"", ""reply_id"": 5038677369819697, ""reply_text"": ""回复@恶毒女配杀光主角:你说得太对了！每个人都有自己的生活和节奏，我们不能控制别人，但我们可以掌控自己的心态和行为。做好自己，让自己成为更好的人，这才是最重要的。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ee8cda61b8]"", ""created_at"": ""05-27"", ""source"": ""来自江苏"", ""user"": {""id"": ""[02e0a82473]"", ""screen_name"": ""[baeadfcb82]""}, ""text"": ""我原来也是，后来看开了，还是做朋友，就只是不要那么在意他了。我想发就发，他爱什么时候回什么时候回，我有事的时候也会几个小时不看手机。没有人品问题的话不耽误做朋友"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[60ddcd5eda]"", ""created_at"": ""05-27"", ""source"": ""来自北京"", ""user"": {""id"": ""[bfea3d7b6a]"", ""screen_name"": ""[4283376a89]""}, ""text"": ""回复@恶毒女配杀光主角:你说得太对了！每个人都有自己的生活和节奏，我们不能控制别人，但我们可以掌控自己的心态和行为。做好自己，让自己成为更好的人，这才是最重要的。"", ""reply_id"": 5038677358806084, ""reply_text"": ""回复@代号夸:是呀，做好自己才是最重要的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2a58456f52]"", ""created_at"": ""05-27"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6bfac6de7d]"", ""screen_name"": ""[d2d630104b]""}, ""text"": ""回复@代号夸:是呀，做好自己才是最重要的"", ""reply_id"": 5038676515752785, ""reply_text"": ""有时候，释怀是一种成长，也是一种解脱。不必过于执着于他人的回应，做好自己才是最重要的。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d6c3cf2897]"", ""created_at"": ""05-27"", ""source"": ""来自北京"", ""user"": {""id"": ""[bfea3d7b6a]"", ""screen_name"": ""[4283376a89]""}, ""text"": ""有时候，释怀是一种成长，也是一种解脱。不必过于执着于他人的回应，做好自己才是最重要的。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 16:12:07
[9b53de280f],[9440c91912],"抑郁症
她从来不会对我的成功进行很多的赞美，她对我挖掘到的我觉得牛的东西毫无感觉 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T10:29:46,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-24 10:29:46
[eda8272d48],[71c3f9c510],"抑郁症
因为被人冷漠对待和忽视过，所以自己也成为了这样的人，这不仅仅是找理由，深层原因在于我害怕受伤 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T13:31:56,抑郁症超话,8,10,"[{""id"": ""[869a59d813]"", ""created_at"": ""05-23"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""回复@恶毒女配杀光主角: [抱一抱]"", ""reply_id"": 5037226534635926, ""reply_text"": ""回复@炊子CHUIZI:谢谢 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a80e86a03c]"", ""created_at"": ""05-23"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6bfac6de7d]"", ""screen_name"": ""[d2d630104b]""}, ""text"": ""回复@炊子CHUIZI:谢谢 [抱抱]"", ""reply_id"": 5037205198211442, ""reply_text"": ""但其实这是宝保护自己的一种方式呀…总有一天宝能真正做自己的！ [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[1e31249534]"", ""created_at"": ""05-23"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6bfac6de7d]"", ""screen_name"": ""[d2d630104b]""}, ""text"": ""回复@4440-50-260-650: [抱抱]"", ""reply_id"": 5037210297172796, ""reply_text"": ""很正常 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bfca3e15f1]"", ""created_at"": ""05-23"", ""source"": ""来自广东"", ""user"": {""id"": ""[93ce33ef0d]"", ""screen_name"": ""[8153661da7]""}, ""text"": ""很正常 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e95e516248]"", ""created_at"": ""05-23"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""但其实这是宝保护自己的一种方式呀…总有一天宝能真正做自己的！ [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2c6af483a4]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""回复@恶毒女配杀光主角: [抱一抱]"", ""reply_id"": 5037187701150304, ""reply_text"": ""回复@缘鹄baby: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[56c8d9b247]"", ""created_at"": ""05-23"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6bfac6de7d]"", ""screen_name"": ""[d2d630104b]""}, ""text"": ""回复@缘鹄baby: [抱抱]"", ""reply_id"": 5037187068071115, ""reply_text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[be07898588]"", ""created_at"": ""05-23"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6bfac6de7d]"", ""screen_name"": ""[d2d630104b]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5037186679047323, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f02cef6e48]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e3429f27f3]"", ""created_at"": ""05-23"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 13:31:56
[7805b8b091],[e43682e5dc],"第五人格
别人520晚上在外面约会，你520白天读书上班，回家7点准时第五人格，启动！#第五人格coa6# ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T08:45:07,第五人格超话,4,1,"[{""id"": ""[4161de1bb0]"", ""created_at"": ""05-20"", ""source"": ""来自广东"", ""user"": {""id"": ""[a24446bc88]"", ""screen_name"": ""[488747ad9e]""}, ""text"": ""启动 [允悲]"", ""like_counts"": 0, ""liked"": false}]",0,第五人格coa6,[9b2d5b4678],2024-05-20 08:45:07
[2a8bceb47a],[f7cbf67e68],"抑郁症
你很解气吗，你把自己的脾气都发出来你是爽了，别人的感受呢? ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T10:53:33,抑郁症超话,3,3,"[{""id"": ""[3b66645069]"", ""created_at"": ""05-19"", ""source"": ""来自湖北"", ""user"": {""id"": ""[f1fda9c726]"", ""screen_name"": ""[b6a7cd58bc]""}, ""text"": ""我之前生活很难受，后来遇见了地藏经，遇见了佛的善知识。很后悔没有早点遇见这样的知识，所以我会去评论这些抑郁症的贴子，这样你们会看见🙏，哪怕只是看见🙏，也许你们就能够对生活有帮助🙏，希望大家能生活幸福🙏真不是传销，我只是一个得过很久抑郁症的大学生 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e947c4308d]"", ""created_at"": ""05-19"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[99a2e774ce]"", ""screen_name"": ""[f98bc8ac8e]""}, ""text"": ""反击！！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e6fd421cc5]"", ""created_at"": ""05-19"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""宝…你很好… [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-19 10:53:33
[b91df7c6d4],[c6bcc1be8e],"第五人格
不是，宁芙投票投给谁啊? ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T16:54:46,第五人格超话,29,37,,0,,[9b2d5b4678],2024-05-05 16:54:46
[4a43062a59],[5d3a7ae609],"抑郁症
真心建议不要自己一个人出行 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T09:39:37,抑郁症超话,1,2,"[{""id"": ""[bd4bdb5eb3]"", ""created_at"": ""05-04"", ""source"": ""来自浙江"", ""user"": {""id"": ""[6bfac6de7d]"", ""screen_name"": ""[d2d630104b]""}, ""text"": ""回复@轻辙_:有什么依据吗"", ""reply_id"": 5030251134715302, ""reply_text"": ""尤其是过节"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4e7986605d]"", ""created_at"": ""05-04"", ""source"": ""来自吉林"", ""user"": {""id"": ""[6624a839f4]"", ""screen_name"": ""[925705e68c]""}, ""text"": ""尤其是过节"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 09:39:37
[4966b5385e],[9db8e06256],"estj
如果不能控制好自己的情绪，那和废物有什么区别? ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T01:23:03,estj超话,0,0,,0,,[9b2d5b4678],2024-04-28 01:23:03
