id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[e6d73475e8],[8c57198c5b],又到了奴役妹妹的时候 ,[9b2d5b4678],[5b99dafcd1],[9b2d5b4678],,2024-04-19T11:39:30,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-19 11:39:30
[3abffd8db6],[f659535bc7],这个湿疹折磨死我了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T23:58:34,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-18 23:58:34
[9127ef7267],[7b905a7861],好 ,[9b2d5b4678],[e3466d0bba],[427a30a245],,2024-04-18T22:58:23,iPhone客户端,0,2,"[{""id"": ""[46b55d2590]"", ""created_at"": ""12小时前"", ""source"": ""来自福建"", ""user"": {""id"": ""[0d58bb9d8a]"", ""screen_name"": ""[d3285423f0]""}, ""text"": ""回复@蘸白糖呀:呜呜呜"", ""reply_id"": 5024650327492382, ""reply_text"": ""女人你在玩火 会尿炕"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6d0e689f5e]"", ""created_at"": ""13小时前"", ""source"": ""来自山东"", ""user"": {""id"": ""[96f48a35a9]"", ""screen_name"": ""[13558a6d08]""}, ""text"": ""女人你在玩火 会尿炕"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-18 22:58:23
[3422ad3fc9],[3d5ba77578],烦你吗的死 谁都不要来吵我 都给我滚 全世界都给我滚 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T22:25:28,Xiaomi Civi,0,0,,0,,[9b2d5b4678],2024-04-17 22:25:28
[8ad04c7f22],[df839a4fab],"回到宿舍我室友说我人妻感满满
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T12:41:03,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-17 12:41:03
[2a72c5862c],[66a201c211],以前的领导是我现在学生的家长 给她孩子熬汤的时候会给我熬一份 说老实话 真的很负担 很负担啊 拒绝也不听 我不是不好意思 我是真觉得麻烦 很负担啊 无功不受禄 懂？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T18:48:20,Xiaomi Civi,0,0,,0,,[9b2d5b4678],2024-04-16 18:48:20
[1478469615],[70dc79985a],复发的湿疹开始蔓延 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T18:22:43,iPhone客户端,0,2,"[{""id"": ""[bb0b138da9]"", ""created_at"": ""04-16"", ""source"": ""来自福建"", ""user"": {""id"": ""[0d58bb9d8a]"", ""screen_name"": ""[d3285423f0]""}, ""text"": ""回复@黄淑逗:…这玩意强激素啊"", ""reply_id"": 5023858749345397, ""reply_text"": ""我这个断断续续也是好几年了前段时间用一个叫黑疙瘩的药膏擦好了，淘宝买的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4700b53c6c]"", ""created_at"": ""04-16"", ""source"": ""来自广东"", ""user"": {""id"": ""[18b9f46de7]"", ""screen_name"": ""[3ab0cc0b9c]""}, ""text"": ""我这个断断续续也是好几年了前段时间用一个叫黑疙瘩的药膏擦好了，淘宝买的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-16 18:22:43
[e7ff0bcf96],[b488a7efc6],好戳累啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T08:14:51,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-16 08:14:51
[9cd570bf84],[39df50e11c],莎波xiaozhang好多话要讲啊 讲那么多心灵鸡汤做咩 能听的早就听进去了 我想在上课前吃个早饭啊 烦死了 不愿再当班主任 ,[9b2d5b4678],[2cb0d7ef65],[9b2d5b4678],,2024-04-16T07:57:41,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-16 07:57:41
[fefa073758],[192d28f6f3],"哈哈哈
 ",[9b2d5b4678],[a12ec573c2],[f71fb89421],,2024-04-16T00:50:55,iPhone客户端,1,3,"[{""id"": ""[9d113f891d]"", ""created_at"": ""04-17"", ""source"": ""来自陕西"", ""user"": {""id"": ""[18b5e4364f]"", ""screen_name"": ""[41e7611eee]""}, ""text"": ""女高我亲亲"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6dcb53777d]"", ""created_at"": ""04-16"", ""source"": ""来自福建"", ""user"": {""id"": ""[0d58bb9d8a]"", ""screen_name"": ""[d3285423f0]""}, ""text"": ""回复@西北老汉www:p1去超市购物p2给学生买的奶茶p3昨晚衣架塌了搞到半夜而且还坏了p4换了个发型"", ""reply_id"": 5023712209013411, ""reply_text"": ""这素"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1fa3c75b71]"", ""created_at"": ""04-16"", ""source"": ""来自广西"", ""user"": {""id"": ""[6c7c91056f]"", ""screen_name"": ""[ad785a6da8]""}, ""text"": ""这素"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-16 00:50:55
[1f1b29b1f5],[9802c62cf6],#恋与深空#浩瀚深空，与你携手。即刻开启超现实3D沉浸恋爱互动，感受触手可及的心动！ ,[9b2d5b4678],[73aa725c0e],[9b2d5b4678],,2024-04-16T00:35:17,iPhone客户端,0,0,,0,恋与深空,[9b2d5b4678],2024-04-16 00:35:17
[8f760c58a4],[550995e9ae],#恋与深空#浩瀚深空，与你携手。即刻开启超现实3D沉浸恋爱互动，感受触手可及的心动！ ,[9b2d5b4678],[48df8fbed4],[9b2d5b4678],,2024-04-16T00:33:03,iPhone客户端,1,0,,0,恋与深空,[9b2d5b4678],2024-04-16 00:33:03
[ca2e2f0d3c],[cc5be5d2bb],努力重新爱上自己 ,[9b2d5b4678],[f480725efa],[1f18c5a87c],,2024-04-15T09:58:54,iPhone客户端,3,6,"[{'id': 5023480307518201, 'created_at': '04-15', 'source': '来自福建', 'user': {'id': 5243018230, 'screen_name': '四蛋都怕我'}, 'text': '回复@明犀犀:我在努力 [泪]', 'reply_id': 5023474253037607, 'reply_text': '重新爱自己！', 'like_counts': 1, 'liked': False}, {'id': 5023480271865934, 'created_at': '04-15', 'source': '来自福建', 'user': {'id': 5243018230, 'screen_name': '四蛋都怕我'}, 'text': '回复@蘸白糖呀:我也爱你！', 'reply_id': 5023429990286830, 'reply_text': '老子爱你 ""[老师爱你]""', 'like_counts': 0, 'liked': False}, {'id': 5023474253037607, 'created_at': '04-15', 'source': '来自福建', 'user': {'id': 5949313893, 'screen_name': '明犀犀'}, 'text': '重新爱自己！', 'like_counts': 0, 'liked': False}, {'id': 5023429990286830, 'created_at': '04-15', 'source': '来自山东', 'user': {'id': 5681003792, 'screen_name': '蘸白糖呀'}, 'text': '老子爱你 ""[老师爱你]""', 'like_counts': 0, 'liked': False}, {'id': 5023385216095408, 'created_at': '04-15', 'source': '来自福建', 'user': {'id': 5243018230, 'screen_name': '四蛋都怕我'}, 'text': '回复@西北老汉www:我也爱你', 'reply_id': 5023369864414818, 'reply_text': '我爱你', 'like_counts': 0, 'liked': False}, {'id': 5023369864414818, 'created_at': '04-15', 'source': '来自广西', 'user': {'id': 5383056905, 'screen_name': '西北老汉www'}, 'text': '我爱你', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-15 09:58:54
[2dd487451f],[54ffa71373],什么时候可以改掉忘记拿车钥匙的毛病我请问 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T21:55:42,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-14 21:55:42
[0f7c7ffc84],[53a5ecaef8],感觉今年比去年带初三还苦 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T20:50:08,iPhone客户端,2,1,"[{""id"": ""[75d45706fb]"", ""created_at"": ""04-14"", ""source"": ""来自福建"", ""user"": {""id"": ""[0d58bb9d8a]"", ""screen_name"": ""[d3285423f0]""}, ""text"": ""还有10分钟 好饿啊"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 20:50:08
[ecec745e92],[8982f957c7],不开心的事情离我远点 ,[9b2d5b4678],[1d5385b255],[9b2d5b4678],,2024-04-14T20:11:49,iPhone客户端,2,1,"[{""id"": ""[dae5f44890]"", ""created_at"": ""04-14"", ""source"": ""来自福建"", ""user"": {""id"": ""[0d58bb9d8a]"", ""screen_name"": ""[d3285423f0]""}, ""text"": ""这是我的第5000条微博"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 20:11:49
[4099ad30df],[ec76759c6b],难某 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T20:03:31,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-14 20:03:31
[5510594a24],[160e5a29b2], ,[9b2d5b4678],[6d8ca4e549],[9b2d5b4678],,2024-04-14T17:19:45,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-14 17:19:45
