id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[db8c7e88e5],[db6931354c],求出国留学教程。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T21:24:06,荣耀80 5G,1,9,"[{""id"": ""[6976b9e6b8]"", ""created_at"": ""9小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[7f0bed3906]"", ""screen_name"": ""[5da8e31792]""}, ""text"": ""回复@恨我的人都死了:可以不过我不怎么用微博"", ""reply_id"": 5032242162441333, ""reply_text"": ""回复@电饭锅汉库克:啊啊啊可以互关吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a2b897ff21]"", ""created_at"": ""9小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[fa0556d36e]"", ""screen_name"": ""[d516ad7abc]""}, ""text"": ""回复@电饭锅汉库克:啊啊啊可以互关吗"", ""reply_id"": 5032237429165192, ""reply_text"": ""你是想自己diy吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f4383b4aa6]"", ""created_at"": ""9小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[de3259d234]"", ""screen_name"": ""[8b0f96ead9]""}, ""text"": ""回复@恨我的人都死了:好嘟"", ""reply_id"": 5032238871480368, ""reply_text"": ""回复@十两小鱼干:咱们一起远走高飞"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4abd238c01]"", ""created_at"": ""9小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[fa0556d36e]"", ""screen_name"": ""[d516ad7abc]""}, ""text"": ""回复@十两小鱼干:咱们一起远走高飞"", ""reply_id"": 5032238276937439, ""reply_text"": ""同求。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d684bb95fe]"", ""created_at"": ""9小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[de3259d234]"", ""screen_name"": ""[8b0f96ead9]""}, ""text"": ""同求。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d4bdbbf804]"", ""created_at"": ""9小时前"", ""source"": ""来自北京"", ""user"": {""id"": ""[f559ad785f]"", ""screen_name"": ""[225489269a]""}, ""text"": ""回复@恨我的人都死了:加油，困难只是暂时的。你的坚强会引领你走向成功。"", ""reply_id"": 5032237980454367, ""reply_text"": ""回复@三笠_守护之剑: [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cb9fa0fb18]"", ""created_at"": ""9小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[fa0556d36e]"", ""screen_name"": ""[d516ad7abc]""}, ""text"": ""回复@三笠_守护之剑: [泪]"", ""reply_id"": 5032237562855557, ""reply_text"": ""加油，留学之路定会精彩。你的决心与勇气令人钦佩。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[72e76341a0]"", ""created_at"": ""9小时前"", ""source"": ""来自北京"", ""user"": {""id"": ""[f559ad785f]"", ""screen_name"": ""[225489269a]""}, ""text"": ""加油，留学之路定会精彩。你的决心与勇气令人钦佩。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[499fe245cf]"", ""created_at"": ""9小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[7f0bed3906]"", ""screen_name"": ""[5da8e31792]""}, ""text"": ""你是想自己diy吗"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-09 21:24:06
[c74c58a902],[3f59ce687d],卧槽泥马啊能让我赶紧跑吗。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T21:07:41,荣耀80 5G,0,0,,0,,[9b2d5b4678],2024-05-09 21:07:41
[b842eca1f3],[b46a798dba],"赶紧离开这个傻逼地方吧
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T20:54:54,荣耀80 5G,0,0,,0,,[9b2d5b4678],2024-05-09 20:54:54
[1aac45700b],[416463ff79],好的开始犯病，傻逼药吃了也没用 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T22:19:11,荣耀80 5G,0,0,,0,,[9b2d5b4678],2024-05-08 22:19:11
[949f9d29ec],[47033da72e],"妹子们晚安明天我要去坐牢啦
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T22:01:06,荣耀80 5G,0,1,"[{""id"": ""[c1d3cecaae]"", ""created_at"": ""05-08"", ""source"": ""来自山东"", ""user"": {""id"": ""[e499e17478]"", ""screen_name"": ""[410ceb9d99]""}, ""text"": ""晚安妹子"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-08 22:01:06
[620ec1281c],[857a2ff0e1],傻逼抖音越刷越无聊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T20:59:39,荣耀80 5G,0,0,,0,,[9b2d5b4678],2024-05-08 20:59:39
[fd7ea38392],[3e7449ff80],"我想知道泥们都是怎么画眼线的，我手抖的连眼线笔都握不好
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T20:54:56,荣耀80 5G,0,0,,0,,[9b2d5b4678],2024-05-08 20:54:56
[4102aa2c7e],[aa1c3e4ac2],苯人努力割到脂肪层争取当上合格的地雷女！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T20:54:04,荣耀80 5G,0,0,,0,,[9b2d5b4678],2024-05-08 20:54:04
[13e1a7146e],[6126bdfd20],"妹子们我不装逼活不下去啊
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T20:52:22,荣耀80 5G,0,0,,0,,[9b2d5b4678],2024-05-08 20:52:22
[7239522b5f],[e631350c32],爸妈我不想努力了。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T20:33:32,荣耀80 5G,0,0,,0,,[9b2d5b4678],2024-05-08 20:33:32
[fcf74256b8],[07de45acec],"劳资要难受死了，明天带刀砍同学
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T19:57:38,荣耀80 5G,1,0,,0,,[9b2d5b4678],2024-05-08 19:57:38
[1ff70f8d5a],[7c67073aef],躯体化给我滚………… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T19:57:07,荣耀80 5G,0,0,,0,,[9b2d5b4678],2024-05-08 19:57:07
[968a964971],[491634b0a1],劳资能不能不去上这个比学？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T19:56:00,荣耀80 5G,0,0,,0,,[9b2d5b4678],2024-05-08 19:56:00
[514e7fc91a],[03795286bb],薛晓我恨你 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T19:40:49,荣耀80 5G,1,0,,0,,[9b2d5b4678],2024-05-08 19:40:49
[328a7f200b],[77072e4921],能不能别再让我碰到傻逼了？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T19:22:00,荣耀80 5G,0,0,,0,,[9b2d5b4678],2024-05-08 19:22:00
[5bdb1abe41],[ce0b6c5d10],我不装逼就难受。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T17:32:19,荣耀80 5G,0,0,,0,,[9b2d5b4678],2024-05-08 17:32:19
