id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[4ca34aa94c],[c0e7682c99],"逃离武汉的第一天 
身体累呀
短暂的大口呼吸！ ",[9b2d5b4678],[f5e6ba5e90],[8e93344afa],,2024-06-09T00:02:22,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-09 00:02:22
[5d8de40318],[63175855e1],分享图片 ,[9b2d5b4678],[7129b9b557],[b7019a3543],,2024-06-07T14:33:45,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-07 14:33:45
[318728c37a],[494cb6b141],"我想要爱
和安全感
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T23:49:20,抑郁症超话,1,3,"[{""id"": ""[85baf08701]"", ""created_at"": ""06-06"", ""source"": ""来自山西"", ""user"": {""id"": ""[e0587dfad7]"", ""screen_name"": ""[37b271dc87]""}, ""text"": ""我也想，想要钱、毫无保留的爱和安全感"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9b2f47f521]"", ""created_at"": ""06-06"", ""source"": ""来自天津"", ""user"": {""id"": ""[cf6ad7fe7c]"", ""screen_name"": ""[5ac85469a2]""}, ""text"": ""自己可以给自己"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[22b6a8ea56]"", ""created_at"": ""06-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱给你 [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 23:49:20
[7bbf7e2765],[ce5fc057e7],"忙起来了 贴条跑社区打电话 
每天都被透支 自己的事也没做完
这个没有工资的班
谁过我这样的生活不抑郁啊
我活到现在就很棒了….
我是最棒的
这样的日子马上就要上到头了
 ",[9b2d5b4678],[0654c0ecd4],[dcd9433ea3],,2024-06-05T14:49:08,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-05 14:49:08
[34f00ea844],[020e8cd845],"我哩个豆啊
今天也是超负荷的一天
脑子要爆炸了，身体要累瘫了
但是今天的心情还好，感觉是以前我想太多，真的是多虑了，有一种自虐的倾向其实想想事情也挺简单的，自己的生活也挺快乐的，
并且和别人交流也是一件愉快的事情，不过今天我们的社交能量真的是一点都没有了
我自己就像一滩死水，长时间 ...
全文",[9b2d5b4678],[e8ac3cda9b],[3770c15da7],,2024-05-30T00:15:20,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-30 00:15:20
[58bcb7b56c],[388ebe356e],"累死
我有罪
可以直接让我死 
不这样折磨我可以吗
千言万语汇成一句话 去死 ",[9b2d5b4678],[fdf601a219],[265cea4757],,2024-05-29T10:32:14,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-29 10:32:14
[5ea0506daa],[0efa82a39b],"累死
我有罪
可以直接让我死 
不这样折磨我可以吗
千言万语汇成一句话 去死 ",[9b2d5b4678],[19aa084044],[265cea4757],,2024-05-29T10:32:10,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-29 10:32:10
[52f82017dc],[b7038690ce],"死是最容易的事情吧 两眼一闭什么都不用管了
我只是愧对父母 我不是舍不得
我愧 不忍心 我爸妈辛苦把我养这么大，如果我去死了，他们怎么办？他们余生都要在痛苦中度过了 如果我真的是我不舍得，只有爸妈和妹妹 只有他们都在意我，如果我死了，也不会好过
我不知道怎么面对，每天一睁眼都像打仗 
不仅 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T00:22:07,抑郁症超话,0,1,"[{""id"": ""[4a6bc0ff90]"", ""created_at"": ""05-28"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 00:22:07
[10cfbc6af7],[39c9eb9be1],"真的好难过
不知道以后该怎么办了，感觉天要塌下来了，没有学上了 一天天死累
然后又感觉没有钱花，但是爸妈又确实在没有亏欠我，但是我一花钱就感觉很愧疚，然后我妈又说不应该再多余的书上花多余的钱能省就省，可是我不知道什么是多余的，我就想买衣服吗？一些看似用不着的东西我也能买，但是买了我 ...
全文",[9b2d5b4678],[dc06c210d4],[f7239d182c],,2024-05-27T23:58:53,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-27 23:58:53
[59876c148a],[f3b2dfbc2a],"周六周天反而是最忙的时候 
没有休息的日子
真的从心底到皮囊的累
这样的生活什么时候是个头？
我真的过的好苦 可是没有人理解我
我还得装成正常的样子每天笑眯眯的热爱生活
我已经在崩溃边缘…. ",[9b2d5b4678],[384d2289c3],[f4b4ff2779],,2024-05-26T22:32:19,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-26 22:32:19
[5d6d0e5a90],[bf793d9304],"周六 
累死
想死
毁灭吧 ",[9b2d5b4678],[8499fa2e76],[b405545591],,2024-05-25T23:43:27,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-25 23:43:27
[a6d56a905a],[6a04cdacb5],"周五
好累好累好累
不舍得睡 睡了明天就来了
我现在就像一个行尸走肉
cos人类 一堆事 我一个都不想做
筋疲力尽 我想去
谁能帮我 没人
我生病了好像 
我不想过这样的生活
再来一次 我绝不 走上这样的人生 ",[9b2d5b4678],[60b8fc0e25],[d88ccb6c5a],,2024-05-24T22:03:44,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-24 22:03:44
[9390a562b7],[c9aa0b0bb5],"又是忙碌忙碌的一天
大难临头知道着急了
死到临头知道反省了
完蛋了 感觉这辈子都这样了…
希望五月份之前能投完啊啊啊啊
怎么投啊啊啊啊 
今天吃了一个绵绵冰血糯米 除了绵绵冰其他都好吃
做了一个紫菜海带蛋花虾米豆腐汤！
好喝
还有食堂自选菜
下午出去买食材 买了好多呜呜
中百超市没买东 ...
全文",[9b2d5b4678],[eb4b9ce088],[3ed2fea978],,2024-05-19T23:22:27,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-19 23:22:27
[f933bbc9df],[31cd14a1da],"忙碌周六
一堆任务但是不想动 
完全没有力气
一团乱麻
和表姑聊了好多也思考了好多
总结一句话 珍惜当下 活着就好 热爱生活 不要勉强 拒绝焦虑 珍惜现在 烦恼难免 快乐同在 ",[9b2d5b4678],[eed7a1656c],[ce08539867],,2024-05-18T23:17:22,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-18 23:17:22
[0b5b3cc3eb],[01ab40b937],"今天也好难过。到贴打工的第二天想炸死全世界
晚上回来研究了一下报名，然后又开始内耗了，我觉得自己配不上，但又不甘心，我做了那么多努力，但是离他们还差了好远好远，终究是我不能达到的高度，但是为什么还觉得不甘心呢，是把自己看得太该死的重要了
所以我做的努力有什么用呢
 我一直说我要摆烂， ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T00:01:52,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-17 00:01:52
[8b0b0db5f1],[0a457bcf5a],"我感受到我的活力和精气在一点点都被耗尽，我想做一些事情，但也不知道从什么时候做起，我们没有很多事情，这样忙却一点都动都不想动，我是不是生病了
我越来越失眠，是短命吗
我对生活一点点期盼和动力也没有了，想做什么都可以发生，什么都可以，无论什么坏的消息发生都可以…都可以，怎么样都可以， ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T23:30:01,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-13 23:30:01
[3840e59361],[aab40b5898],太不开心了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T23:25:41,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-13 23:25:41
[9345c4ba2f],[dc2f23c18e],我我我 ,[9b2d5b4678],[cfca7bc0e3],[393766e54c],,2024-05-10T13:59:29,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-10 13:59:29
[763c6a5511],[dcd35eecab],去没有天花板的地方 ,[9b2d5b4678],[dac6ec17af],[b16e5cb15e],,2024-05-10T10:13:48,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-10 10:13:48
[c8661f1f2f],[7ca1fc4c6e],"回家 缓一缓戒断反应
回家吃什么？
妈妈牌烤鸡翅
早餐当然胡辣汤啦
蒜苔炒鸡胗
槐花饺子！烤馍片
卷凉皮和凉粉
还有邻居家的修狗不小心进来了
 ",[9b2d5b4678],[fd2bb45928],[0fe03c8101],,2024-05-08T14:44:31,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-08 14:44:31
[05c5019f31],[ca3963d3f4],"顺德！
这里的吃的也太好吃了！！！随便一家馆子明显感觉到他们的饭菜味道的美味！！煲仔饭 惊艳到我了！还有好大一条鱼！
旅游日人也太多了 玩倒是没有去很多地方 
丽丽姐给我买了两份双皮奶 太开心了 双皮奶好好吃啊啊啊啊啊啊
还吃了钵仔糕下午 又喝了迪子的抹茶  抹茶含量超标！ ...
全文",[9b2d5b4678],[cf135424e6],[7731048148],,2024-05-04T18:49:46,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-04 18:49:46
[1767e71233],[338845f661],"广州
满满一天
吃喝快乐
晚上烧烤 ",[9b2d5b4678],[3fe539d3c5],[cca2eb6094],,2024-05-04T18:40:58,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-04 18:40:58
[1f88504229],[3d01ae576b],"day2
早上随便吃了一家点心 好幸福！！能每天吃到茶点心！
下午去了书院 拍照加暴走还发现了儿童小乐园 被我们占领了去哈哈哈还拍了照片 怎么有些糊呢 并且吃到了钵仔糕！是好吃的呢
晚上一起去吃了一个鱼和小龙虾嘿嘿 小咪和笨笨已经不怕我啦 给笨笨拍丑图
 ",[9b2d5b4678],[62dea2dbc7],[e14dc9c8b2],,2024-05-02T00:12:24,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-02 00:12:24
[650edf4d64],[2cabc17ab6],"day1
逃离学校的空气都是清新的！！
今天吃了肯基基 独享一个冰淇淋的含金量谁懂
还是插空完成了一些学校任务…
晚上 三国杀！第一局努力记住游戏规则 第二局大杀特杀 人多真好玩！
两只小咪太好玩了 手感贼好 根本放不下啊啊 
以后我一定要养一只咪咪！ ",[9b2d5b4678],[9d8c81be71],[9bbe5e94b4],,2024-05-01T19:48:56,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-01 19:48:56
[75dc54afb9],[dff74b22e8],"昨天出去买了糕点！就中午下的最大的时候 我正好被淋
被困达美乐 自己独炫一个披萨的感觉真好！上面的那个 东西刚放上去 还会动 忘了叫什么名字了 什么花？ 章鱼小丸子里也有 
想想自己不已经到想吃什么就吃什么的时候了吗 还可以自己独立出行 好像真的变成了大人了 是小时候羡慕的 ...
全文",[9b2d5b4678],[a99b3d94cd],[fa0c93afaf],,2024-04-29T19:26:03,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-29 19:26:03
[486b57851f],[dfc715e4f7],"今天中午饭做的很失败 ….
但是买了早餐饼做燕麦碗好好吃！ ",[9b2d5b4678],[ec23dc02b1],[4b1c4c77be],,2024-04-25T23:11:19,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-25 23:11:19
[de8a4b1de0],[15fad07b67],"今天又是嘎嘎吃东西的一天！
我爱烤馍片！我爱酸奶
今天吃了酸奶拌麦片 明天早上还有燕麦杯 虽然寒凉吧 偶尔吃一次吧 就当解馋了
明天还打算做吃糖醋鸡胸！
最近看美人心计上头了 想起来小学时候看的了 当时也觉得很好看 现在也是哈哈哈 各个会员都到期了 不开心没东西看了 想续费 没钱 不知道我怎么能 ...
全文",[9b2d5b4678],[ecc9dac01d],[3574701604],,2024-04-24T23:04:40,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-24 23:04:40
[864cc72da0],[5ed8a61438],"我爱蒸饺爱蒸饺 实现了蒸饺自由！如果有花生酱就更美了
今天眼睛不是很舒服 起了一个包或者是被蚊子咬的 直接自然大双眼皮
我的论文可不可以自己写完
 ",[9b2d5b4678],[e63cf89781],[46a42007df],,2024-04-23T14:11:46,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-23 14:11:46
[ed2ed6f822],[9a234daf92],"甜食让人快乐！
我只想吃睡 不想上学  论文 把我害惨了！ ",[9b2d5b4678],[71acd36401],[da49955867],,2024-04-23T14:06:33,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-23 14:06:33
[d5d5fa3405],[87ac9eba6f],"我要烂掉了 
我不想写论文 我是深井冰 
我不敢睡觉 睡了明天就来了 ",[9b2d5b4678],[ad1dd4ddfe],[4e365c00b9],,2024-04-20T23:10:17,iPhone客户端,0,1,"[{""id"": ""[a5ca2ecfc9]"", ""created_at"": ""04-21"", ""source"": ""来自罗伯特贱萌版"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""别怕，一起熬夜写论文吧 [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-20 23:10:17
[de5ccd3c7d],[8fd377630d],"好累好累 
我需要时间 
我想什么也不干
我好累 但是不敢睡 睡了明天就来了
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T22:14:31,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-19 22:14:31
[2973bc7103],[d608817131],"出去玩可以暂时缓解痛苦 回到这个发霉的小屋 我的破烂生活还是这样 
无解 ",[9b2d5b4678],[63b03bc789],[2463fbaa34],,2024-04-19T22:14:10,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-19 22:14:10
[7df469a641],[e8173a95ee],"昨天考完了大学生涯的最后一门考试！奔走相告 这个#%学终于要上到头了
少一项任务就轻松一些，课也慢慢少了 只要再写完三篇课程论文 三篇论文 一系列材料 考个雅思 找个工作 搞完毕业论文 就可以毕业了嘿嘿嘿嘿 依然弥漫着淡淡的肆意
没关系 现在生活依然很好 没事还能出去玩 没事  ...
全文",[9b2d5b4678],[7aaaf2cfd6],[3f227ad7cb],,2024-04-18T08:43:07,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-18 08:43:07
