id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[cd18b2a6c6],[cf6b743256],"sky光遇黑市
 5.18 租号信誉图
自玩三全鸟🉑+ 🛰️：Smithereens0-7 ",[9b2d5b4678],[64e833bbc7],[9b2d5b4678],,2024-05-18T22:14:24,光遇租号交易所超话,0,5,"[{""id"": ""[5e7488bcf7]"", ""created_at"": ""2小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""pic"": {""pid"": ""d4b135dagy1hqfve8v4edj20sg1jidm9"", ""url"": ""https://wx3.sinaimg.cn/orj360/d4b135dagy1hqfve8v4edj20sg1jidm9.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 360, ""height"": 702, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx3.sinaimg.cn/large/d4b135dagy1hqfve8v4edj20sg1jidm9.jpg"", ""geo"": {""width"": ""1024"", ""height"": ""1998"", ""croped"": false}}}, ""text"": ""6.6 第一次包5️⃣天"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7589afae75]"", ""created_at"": ""06-03"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""pic"": {""pid"": ""d4b135dagy1hqc14jqydoj20u0140wie"", ""url"": ""https://wx1.sinaimg.cn/orj360/d4b135dagy1hqc14jqydoj20u0140wie.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 360, ""height"": 480, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx1.sinaimg.cn/large/d4b135dagy1hqc14jqydoj20u0140wie.jpg"", ""geo"": {""width"": ""1080"", ""height"": ""1440"", ""croped"": false}}}, ""text"": ""×3"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[abb4ae48c7]"", ""created_at"": ""06-03"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""pic"": {""pid"": ""d4b135dagy1hqc14a7zkdj20u01400x7"", ""url"": ""https://wx4.sinaimg.cn/orj360/d4b135dagy1hqc14a7zkdj20u01400x7.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 360, ""height"": 480, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx4.sinaimg.cn/large/d4b135dagy1hqc14a7zkdj20u01400x7.jpg"", ""geo"": {""width"": ""1080"", ""height"": ""1440"", ""croped"": false}}}, ""text"": ""×2"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fa8e0348d6]"", ""created_at"": ""06-03"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""pic"": {""pid"": ""d4b135dagy1hqc13m61p6j20u0140gr0"", ""url"": ""https://wx3.sinaimg.cn/orj360/d4b135dagy1hqc13m61p6j20u0140gr0.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 360, ""height"": 480, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx3.sinaimg.cn/large/d4b135dagy1hqc13m61p6j20u0140gr0.jpg"", ""geo"": {""width"": ""1080"", ""height"": ""1440"", ""croped"": false}}}, ""text"": ""图片评论"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[263d8d249d]"", ""created_at"": ""06-03"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""text"": ""往后信誉放这里。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-18 22:14:24
[b13a0c1385],[0e6eb51e9e],"光遇租号交易所
 🥬自玩三全鸟出租押30🐾3.5/h 包夜15 包白40 🉑接包周 现🈳随时上 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T11:49:31,光遇租号交易所超话,0,0,,0,,[9b2d5b4678],2024-06-03 11:49:31
[8f4b060ca3],[2bb1158eaf],"抑郁症
 挺久没吃药了，约摸要有十天。前几天还好，越往后就得等到两点、三点睡再到六点准时醒。忘了哪天熬了通宵，下午四点困的实在受不了睡到晚八点。关了要40天出门取了回快递，走在路上感觉腿脚不属于自己，脚底下的路软绵绵的没有实感，紧绷着迈不开步，得谢谢当天小雨人不多，路不吵。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T19:11:42,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-31 19:11:42
[2718c1a8f7],[420d5de232],"抑郁症
 认识的网上朋友在以说故事的方法开解我。我还是觉得自己就是活在阴沟里不能见光的老鼠，只能和散发臭味的污水跟城市垃圾待一起。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T11:35:51,抑郁症超话,2,5,"[{""id"": ""[cbb5bcfe34]"", ""created_at"": ""05-28"", ""source"": ""来自广西"", ""user"": {""id"": ""[7bf690e642]"", ""screen_name"": ""[d9f055a30d]""}, ""text"": ""不是的 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[38ef078981]"", ""created_at"": ""05-28"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""补药宝…我们永远都会在一起的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[72bcf7019c]"", ""created_at"": ""05-28"", ""source"": ""来自山西"", ""user"": {""id"": ""[7d1e237394]"", ""screen_name"": ""[770acf6440]""}, ""text"": ""宝宝你不是 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b59e51f29f]"", ""created_at"": ""05-28"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 11:35:51
[b9e8901905],[c90dc0630c],"抑郁症
 不得不说一下我今天睡了三小时
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T08:12:10,抑郁症超话,0,2,"[{""id"": ""[544a8ee963]"", ""created_at"": ""05-27"", ""source"": ""来自安徽"", ""user"": {""id"": ""[310fb9519f]"", ""screen_name"": ""[3296982952]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[dea85c60e6]"", ""created_at"": ""05-27"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 08:12:10
[91c32870ed],[844d74dd98],"抑郁症
 有点想说一下我自己，故事很长我简单点来说。我生活在一个经济小康或偏下的家庭，六岁前总生病高烧，是附近医院跟诊所的老客，家里只有妈妈爱我，每晚每晚的凌晨都是她抱着我去骚扰老医师求医。哪年的小学我有了妹妹，妹妹分走了大部分的爱，但没有所谓的嫉妒作祟，因为那是我当时由于 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T11:52:11,抑郁症超话,0,6,"[{""id"": ""[ecb1ac2abb]"", ""created_at"": ""05-20"", ""source"": ""来自天津"", ""user"": {""id"": ""[9bc9f006d3]"", ""screen_name"": ""[52ce44ac57]""}, ""text"": ""真的太不容易了 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[264365ac5d]"", ""created_at"": ""05-20"", ""source"": ""来自山西"", ""user"": {""id"": ""[7d1e237394]"", ""screen_name"": ""[770acf6440]""}, ""text"": ""宝宝，好心疼你…。抱抱你 [悲伤]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e2d4cb153b]"", ""created_at"": ""05-20"", ""source"": ""来自江苏"", ""user"": {""id"": ""[25e81da7aa]"", ""screen_name"": ""[8cf7d1dd9e]""}, ""text"": ""辛苦了 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[41ebb5b1b6]"", ""created_at"": ""05-20"", ""source"": ""来自河南"", ""user"": {""id"": ""[a3ec906b8a]"", ""screen_name"": ""[b909d93b50]""}, ""text"": ""宝宝你受苦了 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[52c8e5ca86]"", ""created_at"": ""05-20"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4026e82f9c]"", ""created_at"": ""05-20"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""text"": ""补充一点，妈妈和妹妹都知道我晕血，现在想想可能就是因为当时留下的阴影导致的。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 11:52:11
[42d3d148b2],[ab480114a3],"抑郁症
 所有人每天都在为生活奔波 为生活劳碌，除了我。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T10:38:23,抑郁症超话,0,3,"[{""id"": ""[2baba46a03]"", ""created_at"": ""05-20"", ""source"": ""来自广东"", ""user"": {""id"": ""[274f832d5b]"", ""screen_name"": ""[128ae22c84]""}, ""text"": ""除了我 [生病]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[31075d1f6c]"", ""created_at"": ""05-20"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[99969ac01c]"", ""created_at"": ""05-20"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""text"": ""果然到最后我还是觉得死了好些。死了办丧顶多三千封顶吧或者再多一点，治病吃药和康复治疗可远远要高于办丧呢。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 10:38:23
[c6389af825],[bce511c179],"抑郁症
 可以向我推荐一首你最爱听的歌吗？我想收集起来慢慢听。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T02:04:19,抑郁症超话,4,21,,0,,[9b2d5b4678],2024-05-20 02:04:19
[86dad55ba4],[fac8afcc85],"sky光遇黑市
 5.16-5.17 租号信誉图。
自玩三全鸟🉑+ 🛰️：Smithereens0-7 ",[9b2d5b4678],[0a4ea8a5b4],[9b2d5b4678],,2024-05-17T18:56:15,sky光遇黑市超话,0,0,,0,,[9b2d5b4678],2024-05-17 18:56:15
[6196aed6bb],[540313bcd1],"抑郁症
 确诊的第30天，感觉胸口烫烫的。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T01:08:50,抑郁症超话,0,10,"[{""id"": ""[7ec6f2208b]"", ""created_at"": ""05-18"", ""source"": ""来自江西"", ""user"": {""id"": ""[dace0b1c25]"", ""screen_name"": ""[82eb3fd21b]""}, ""text"": ""回复@21America:相信我，你只是生病了而已，你还是一个很好很好的孩子。日有所思，夜有所梦。不做梦说明潜意识里没有需要担心的事情，这样也挺好的"", ""reply_id"": 5034956965020147, ""reply_text"": ""回复@云边的猫喵喵:是这样。胸口、心脏像被谁攥起来窒息那样的疼，知道这样不行但就是爬不出泥沼在里面越陷越深，哈哈，什么时候可以无知无觉在梦里一睡不醒，搞笑的是我连做梦都没资格做。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[00a8c3cf55]"", ""created_at"": ""05-17"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@21America: [心]"", ""reply_id"": 5034957045236082, ""reply_text"": ""回复@要长记性的木子: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[de2233d018]"", ""created_at"": ""05-17"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5034941662366546, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4d2f4a85c7]"", ""created_at"": ""05-17"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""text"": ""回复@云边的猫喵喵:是这样。胸口、心脏像被谁攥起来窒息那样的疼，知道这样不行但就是爬不出泥沼在里面越陷越深，哈哈，什么时候可以无知无觉在梦里一睡不醒，搞笑的是我连做梦都没资格做。"", ""reply_id"": 5034881432421220, ""reply_text"": ""正常的，宝宝，我是重度抑郁，如果你也是那大概率你发病的时候会先胸口疼，然后头昏脑涨，最后会止不住流泪。哭完会觉得好多了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7df8196f47]"", ""created_at"": ""05-17"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""text"": ""回复@半夜林黛玉:没有这种。药会带给你很多副作用但还不能做到失忆跟忘记。"", ""reply_id"": 5034857520693704, ""reply_text"": ""什么药可以让自己失忆或者忘记？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c489703fa9]"", ""created_at"": ""05-17"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c6a05efe6b]"", ""created_at"": ""05-17"", ""source"": ""来自江西"", ""user"": {""id"": ""[dace0b1c25]"", ""screen_name"": ""[82eb3fd21b]""}, ""text"": ""正常的，宝宝，我是重度抑郁，如果你也是那大概率你发病的时候会先胸口疼，然后头昏脑涨，最后会止不住流泪。哭完会觉得好多了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b89e673a53]"", ""created_at"": ""05-17"", ""source"": ""来自安徽"", ""user"": {""id"": ""[2e33eb5c4c]"", ""screen_name"": ""[65438bb185]""}, ""text"": ""什么药可以让自己失忆或者忘记？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[affd9ca708]"", ""created_at"": ""05-17"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""text"": ""回复@21America:好像是要找东西还是找资料，但绝对不是上来记录自己。"", ""reply_id"": 5034826579314602, ""reply_text"": ""吃了药好想吐，忘记自己刚刚要做什么了。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d3b2be4d47]"", ""created_at"": ""05-17"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""text"": ""吃了药好想吐，忘记自己刚刚要做什么了。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-17 01:08:50
