id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[f1c14116dc],[9e07f3a7bc],"#王一浩0517生日快乐# #王一浩# 
亲爱的浩哥，生日快乐！
愿你每一天都徜徉在自己的热爱里，愿时光永远善待真诚又努力的你，无论晴天雨天，麦宝永远伴你左右，与你同行。
麦宝们祝@MIC王一浩Phibian 先生生日快乐，永远快乐！
最后仅代表创作团队@宝妮儿05  @小声哼哼C  ...
全文",[9b2d5b4678],[9b2d5b4678],[e4e1a087db],,2024-05-17T00:00:40,MIC男团超话,238,56,,17,"王一浩0517生日快乐,王一浩",[7d965d24c7],2024-05-17 00:00:40
[db5479f091],[e2fdb201e1],"MIC男团#mic男团# 
大朋友们，六一儿童节快乐呀。
愿我们所有愿望都可以实现。
 ...
全文",[9b2d5b4678],[121072a7bc],[9b2d5b4678],,2024-06-01T00:20:07,MIC男团超话,25,6,"[{""id"": ""[82eb2b8769]"", ""created_at"": ""06-01"", ""source"": ""来自江苏"", ""user"": {""id"": ""[2bd482cc49]"", ""screen_name"": ""[d5d47911d8]""}, ""text"": ""回复@杰西-缇:漂亮 [爱你]"", ""reply_id"": 5040483422699600, ""reply_text"": ""我整了套图三配色的衣服 [笑cry]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d601e28e9c]"", ""created_at"": ""06-01"", ""source"": ""来自广东"", ""user"": {""id"": ""[c18aa4ca81]"", ""screen_name"": ""[45aaeebcfe]""}, ""text"": ""我整了套图三配色的衣服 [笑cry]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[b696ddf222]"", ""created_at"": ""06-01"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[88f196330e]"", ""screen_name"": ""[ebae5412b7]""}, ""text"": ""儿童节快乐 [打call]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[cbb861df38]"", ""created_at"": ""06-01"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[f1b3ca0786]"", ""screen_name"": ""[0282e5edd6]""}, ""text"": ""所有美好都奔向你 [鲜花]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[84fa8220d7]"", ""created_at"": ""06-01"", ""source"": ""来自浙江"", ""user"": {""id"": ""[eb8c7abf8f]"", ""screen_name"": ""[8a6cd5bbd0]""}, ""text"": ""儿童节快乐🤗"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[0df9a49674]"", ""created_at"": ""06-01"", ""source"": ""来自山西"", ""user"": {""id"": ""[d0356b9e5f]"", ""screen_name"": ""[921a2648c1]""}, ""text"": ""儿童节快乐 [嘻嘻]"", ""like_counts"": 1, ""liked"": false}]",0,mic男团,[9b2d5b4678],2024-06-01 00:20:07
[7d7231bd35],[9be9853037],"MIC男团
Date with CJ.@MIC池约翰CJ ",[9b2d5b4678],[2e6a44cddf],[9b2d5b4678],,2024-05-21T13:29:46,MIC男团超话,10,1,"[{""id"": ""[0581747611]"", ""created_at"": ""05-21"", ""source"": ""来自山西"", ""user"": {""id"": ""[d0356b9e5f]"", ""screen_name"": ""[921a2648c1]""}, ""text"": ""买了买了 [抱一抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[5bc0a452b9],2024-05-21 13:29:46
[53ae301e64],[41316522e4],"周深
zs#周深# 
重来几次才能清楚
每段岔路与每个事故
每条没有尽头旅途
用满身尘土 换渺小幸福
I'm ready now
I'm ready now I'm ready now I'm ready now
分享周深的单曲《重启》
网页链接
 （@酷狗音乐）@卡布叻_周深 ",[9b2d5b4678],[73209bd80e],[9b2d5b4678],,2024-05-20T23:55:25,周深超话,5,2,"[{""id"": ""[778f6d005a]"", ""created_at"": ""05-20"", ""source"": ""来自广东"", ""user"": {""id"": ""[6053fcbece]"", ""screen_name"": ""[2edb0f38e2]""}, ""text"": "" [心]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[7f881d4755]"", ""created_at"": ""05-20"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[d2da63cb0d]"", ""screen_name"": ""[bc3f7f90c9]""}, ""text"": "" [抱一抱]"", ""like_counts"": 1, ""liked"": false}]",0,周深,[60cf4b1178],2024-05-20 23:55:25
[5a5f5fda2e],[e236cf6a0a],"MIC男团
给浩哥录生日祝福视频的麦麦们，615线下来抓我，我们准备了很多小卡，票根，手幅。包括上次录生日祝福视频的麦麦也来可以找我拿。先到先得。（615场我们只准备了驻京三人组的应援物）
还有要录浩哥生日祝福视频的嘛，今天最后一天啦，要截止了，具体要求看我的主页置顶微博。
最后感谢 ...
全文",[9b2d5b4678],[b632dcd9e7],[9b2d5b4678],,2024-05-13T01:56:14,MIC男团超话,31,14,"[{'id': 5033496871702011, 'created_at': '05-13', 'source': '来自江西', 'user': {'id': 7870192540, 'screen_name': '麦吃布丁喜欢绎夏'}, 'text': 'up [喵喵]', 'like_counts': 2, 'liked': False}, {'id': 5033472392167706, 'created_at': '05-13', 'source': '来自山西', 'user': {'id': 7557006633, 'screen_name': '小妖小莫'}, 'text': ' [抱一抱]', 'like_counts': 1, 'liked': False}, {'id': 5033472035391428, 'created_at': '05-13', 'source': '来自上海', 'user': {'id': 1776618267, 'screen_name': '及时行乐的鸿姐姐'}, 'text': ' ""[666]""', 'like_counts': 1, 'liked': False}, {'id': 5033465159877111, 'created_at': '05-13', 'source': '来自浙江', 'user': {'id': 5843446482, 'screen_name': '沉默的瞬间76727'}, 'text': ' [打call]', 'like_counts': 2, 'liked': False}]",0,,[9b2d5b4678],2024-05-13 01:56:14
[2489cc5348],[7e1e261ecc],"#王一浩0517生日快乐# #王一浩# 
浩哥生日快到啦，现征集祝福语视频。收录在我们的一个视频中。作为送给浩哥的生日礼物。欢迎大家积极参与。私信我发送视频即可。
如有好的创意，可私信，我们会酌情考虑是否采纳。采纳后，可加入整活小组。
截止到5月13日晚上11点，结束征集。麻烦大家了。
要求 ...
全文",[9b2d5b4678],[58afafb047],[9b2d5b4678],,2024-05-05T13:38:48,MIC男团超话,70,33,,2,"王一浩0517生日快乐,王一浩",[9b2d5b4678],2024-05-05 13:38:48
[9c63108aac],[36bea6040d],"#赵泳鑫新歌愿世间的美好都奔向你# steelo#赵泳鑫时隔12年再吹萨克斯#只要我们在一起，一切都是最美好的样子。愿世间的美好都奔向你。@新领秀_XlX @MIC赵泳鑫Steelo 
Q音：
愿世间的美好都奔向你
酷狗：
网页链接
酷我：
网页链接
 
新领秀_XlX的微博视频
 ",[9b2d5b4678],[21e0500a3a],[2a676b76b7],,2024-04-28T11:35:39,赵泳鑫超话,7,2,"[{""id"": ""[f4e871d5cb]"", ""created_at"": ""04-28"", ""source"": ""来自四川"", ""user"": {""id"": ""[40cbf90575]"", ""screen_name"": ""[99e717f04a]""}, ""text"": ""你在我面前永远都闪闪发光，就像整个宇宙的星光都洒在你身上@MIC赵泳鑫Steelo"", ""like_counts"": 0, ""liked"": false}]",0,"赵泳鑫新歌愿世间的美好都奔向你,赵泳鑫时隔12年再吹萨克斯",[6f6e17bb7a],2024-04-28 11:35:39
[160d2c7473],[fb8ac05b7b],"#腾讯音乐由你榜# steelo
 #赵泳鑫XlX一胎诞生#恭喜新领秀XlX一胎顺利诞生，期待更多好的作品哦。
QQ音乐：
愿世间的美好都奔向你@MIC赵泳鑫Steelo@新领秀_XlX ",[9b2d5b4678],[74b7b607bb],[9b2d5b4678],,2024-04-28T10:52:49,赵泳鑫超话,8,2,"[{""id"": ""[647dd60566]"", ""created_at"": ""04-28"", ""source"": ""来自四川"", ""user"": {""id"": ""[40cbf90575]"", ""screen_name"": ""[99e717f04a]""}, ""text"": ""你在我面前永远都闪闪发光，就像整个宇宙的星光都洒在你身上@MIC赵泳鑫Steelo"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[6a4345eed7]"", ""created_at"": ""04-28"", ""source"": ""来自山东"", ""user"": {""id"": ""[598005dd9b]"", ""screen_name"": ""[954fc72e86]""}, ""text"": ""这世间最烈的酒，是你低头浅笑的温柔@MIC赵泳鑫Steelo"", ""like_counts"": 2, ""liked"": false}]",0,"腾讯音乐由你榜,赵泳鑫XlX一胎诞生",[1cd03e9a20],2024-04-28 10:52:49
[d51024305b],[87f19228d5],"#腾讯音乐由你榜#  Steelo #赵泳鑫愿世间的美好都奔向你# 
鑫歌是真的很好听啊，我的赵大才子，愿世间的美好都奔向你。@MIC赵泳鑫Steelo@赵泳鑫工作室 @新领秀_XlX 
QQ音乐：
愿世间的美好都奔向你
酷我音乐：
网页链接
 
酷狗音乐：
愿世间的美好都奔向你
 ",[9b2d5b4678],[7d8c5068ba],[9b2d5b4678],,2024-04-28T02:30:55,赵泳鑫超话,13,6,"[{""id"": ""[8d81aab3bc]"", ""created_at"": ""04-28"", ""source"": ""来自江苏"", ""user"": {""id"": ""[2bd482cc49]"", ""screen_name"": ""[d5d47911d8]""}, ""text"": ""回复@取名字太难了呜呜呜呜呜呜:我向来三分钟热度，一天有1440分钟，所以因为你，我每天都沸腾480遍"", ""reply_id"": 5028059692665952, ""reply_text"": ""上帝的珠宝掉落一地，所以我看见满天繁星和你的眼睛。@MIC赵泳鑫Steelo"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0466cfea6a]"", ""created_at"": ""04-28"", ""source"": ""来自江苏"", ""user"": {""id"": ""[2bd482cc49]"", ""screen_name"": ""[d5d47911d8]""}, ""text"": ""回复@戒不掉咬嘴皮:今天我去跑步了，你知道我跑了多远吗？我跑了一个爱你的形状💗"", ""reply_id"": 5028050036854368, ""reply_text"": ""日落是甜的，海浪是柔软的，喜欢你是不会停止的@MIC赵泳鑫Steelo"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[a7a377fe7f]"", ""created_at"": ""04-28"", ""source"": ""来自江苏"", ""user"": {""id"": ""[2bd482cc49]"", ""screen_name"": ""[d5d47911d8]""}, ""text"": ""回复@一健倾鑫L兴:想说些漂亮的话哄你，可是想来想去最漂亮的只有你了"", ""reply_id"": 5028017908744668, ""reply_text"": ""奔赴于你，览满天繁星，都不及你，愿世间的美好都奔向你@MIC赵泳鑫Steelo"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9a78264fc2]"", ""created_at"": ""04-28"", ""source"": ""来自四川"", ""user"": {""id"": ""[40cbf90575]"", ""screen_name"": ""[99e717f04a]""}, ""text"": ""上帝的珠宝掉落一地，所以我看见满天繁星和你的眼睛。@MIC赵泳鑫Steelo"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[22dff9925d]"", ""created_at"": ""04-28"", ""source"": ""来自广东"", ""user"": {""id"": ""[e7a1120fb3]"", ""screen_name"": ""[c27dfd5341]""}, ""text"": ""日落是甜的，海浪是柔软的，喜欢你是不会停止的@MIC赵泳鑫Steelo"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[eaaf5dff60]"", ""created_at"": ""04-28"", ""source"": ""来自云南"", ""user"": {""id"": ""[640e426f34]"", ""screen_name"": ""[2156c72855]""}, ""text"": ""奔赴于你，览满天繁星，都不及你，愿世间的美好都奔向你@MIC赵泳鑫Steelo"", ""like_counts"": 2, ""liked"": false}]",0,"腾讯音乐由你榜,赵泳鑫愿世间的美好都奔向你",[aed8d7161a],2024-04-28 02:30:55
[4d8b6dddd7],[a04b292d7c],"#电视剧水龙吟#我已成功预约@电视剧水龙吟 ，龙吟云起，邀你一起共赴江湖！ 
水龙吟
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T13:51:28,荣耀Play6T,2,1,"[{""id"": ""[41c59b9781]"", ""created_at"": ""04-27"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""你好，你感兴趣的“电视剧水龙吟”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 电视剧水龙吟官方[超话]"", ""like_counts"": 0, ""liked"": false}]",0,电视剧水龙吟,[2dff62b3d2],2024-04-27 13:51:28
