id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[d52f0e90bd],[668f269716],"壶鱼辣椒原著丨「我在无限游戏里封神」广播剧 第一季·主题曲·默示录
最近听这个好上头 循环又换了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T14:09:19,小辞笔下为你写的情诗,0,0,,0,,[9b2d5b4678],2024-06-03 14:09:19
[881033b07c],[d0e9cb8ae8],我好像真的失去你了 ,[9b2d5b4678],[cd4272e9e2],[9b2d5b4678],,2024-06-03T08:04:23,小辞笔下为你写的情诗,6,17,"[{""id"": ""[97765bf419]"", ""created_at"": ""14小时前"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d9f16aa0ba]"", ""screen_name"": ""[ff833ae2c8]""}, ""text"": ""抱抱……"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2afcecf320]"", ""created_at"": ""14小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b046b6a8e6]"", ""screen_name"": ""[f7fed64fd8]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f7665f74b4]"", ""created_at"": ""14小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[367bf43592]"", ""screen_name"": ""[8a2657325f]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4b9ec2c228]"", ""created_at"": ""15小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[23b3a94531]"", ""screen_name"": ""[d8603d2a89]""}, ""text"": ""回复@窝要晕啦: [悲伤]"", ""reply_id"": 5041093540577511, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[51c9bd0800]"", ""created_at"": ""15小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[23b3a94531]"", ""screen_name"": ""[d8603d2a89]""}, ""text"": ""回复@山山山今在:她是不是真的轻生了……"", ""reply_id"": 5041093726962486, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[033a41c2d3]"", ""created_at"": ""15小时前"", ""source"": ""来自浙江"", ""user"": {""id"": ""[2a79a69233]"", ""screen_name"": ""[3f4a1be5ec]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[5d94f98e0a]"", ""created_at"": ""15小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[cb15018d63]"", ""screen_name"": ""[2328d6e471]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 08:04:23
[4623571031],[dc4ca894aa],重男轻女的家庭能不能别生女孩 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T22:41:29,小辞笔下为你写的情诗,3,1,"[{""id"": ""[83af564706]"", ""created_at"": ""昨天 22:42"", ""source"": ""来自安徽"", ""user"": {""id"": ""[b1f467d841]"", ""screen_name"": ""[121f62c9ee]""}, ""text"": ""抱抱"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-06-02 22:41:29
[cadd34db3c],[6b37aa60f6],"有人用过康奈尔笔记法吗 好用吗
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T21:08:45,小辞笔下为你写的情诗,0,2,"[{""id"": ""[077d4fef4a]"", ""created_at"": ""昨天 22:02"", ""source"": ""来自中国台湾"", ""user"": {""id"": ""[3bff833258]"", ""screen_name"": ""[3696395cad]""}, ""text"": ""小学用到现在 [来]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[32dd28c8eb]"", ""created_at"": ""昨天 22:02"", ""source"": ""来自中国台湾"", ""user"": {""id"": ""[3bff833258]"", ""screen_name"": ""[3696395cad]""}, ""text"": ""反正我喜欢这种的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-02 21:08:45
[8cea8d9270],[0a4b6bc557],也不知道自己干了什么就过了那么久 ,[9b2d5b4678],[17c8987e42],[9b2d5b4678],,2024-06-02T20:40:54,小辞笔下为你写的情诗,3,1,"[{""id"": ""[857d4fdef3]"", ""created_at"": ""昨天 21:08"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b046b6a8e6]"", ""screen_name"": ""[f7fed64fd8]""}, ""text"": ""我也是"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-02 20:40:54
[d24f56d151],[8d5a841af5],"想问问大家感觉时间不够用 事情好多怎么办 焦虑
  我一焦虑到一定程度就摆烂 
三编 谢谢你们 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T20:36:18,小辞笔下为你写的情诗,1,12,"[{""id"": ""[7ebadc657a]"", ""created_at"": ""昨天 20:41"", ""source"": ""来自中国台湾"", ""user"": {""id"": ""[3bff833258]"", ""screen_name"": ""[3696395cad]""}, ""text"": ""一边焦虑一边做"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5aa17efb3b]"", ""created_at"": ""昨天 20:38"", ""source"": ""来自四川"", ""user"": {""id"": ""[a6d85003c4]"", ""screen_name"": ""[1624d156b6]""}, ""text"": ""一件一件事慢慢来"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-02 20:36:18
[cd71dec11a],[1c6edd7cc1],睡了 抱歉 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T23:54:08,小辞笔下为你写的情诗,2,6,"[{""id"": ""[6f29ccd3b4]"", ""created_at"": ""昨天 20:35"", ""source"": ""来自中国台湾"", ""user"": {""id"": ""[3bff833258]"", ""screen_name"": ""[3696395cad]""}, ""text"": ""原谅你了 [来]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7269c615a4]"", ""created_at"": ""昨天 14:52"", ""source"": ""来自河南"", ""user"": {""id"": ""[bdaf1cb21a]"", ""screen_name"": ""[2e88581a82]""}, ""text"": ""中午好呀 [鼓掌]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2ab7b6ce4b]"", ""created_at"": ""昨天 00:17"", ""source"": ""来自河北"", ""user"": {""id"": ""[2a78434093]"", ""screen_name"": ""[a89e52b738]""}, ""text"": ""嗯"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d16f70e05d]"", ""created_at"": ""06-01"", ""source"": ""来自重庆"", ""user"": {""id"": ""[a5aef15200]"", ""screen_name"": ""[2f79d3fc61]""}, ""text"": ""晚安呀晚安"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[786209b1ec]"", ""created_at"": ""06-01"", ""source"": ""来自湖北"", ""user"": {""id"": ""[5724901514]"", ""screen_name"": ""[a784e441f3]""}, ""text"": ""好好"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5eb3bdfb0d]"", ""created_at"": ""06-01"", ""source"": ""来自江苏"", ""user"": {""id"": ""[cb15018d63]"", ""screen_name"": ""[2328d6e471]""}, ""text"": ""晚安呀"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 23:54:08
[fbb36d60d9],[2a7d1e48a8],我要疯了聊了半天一开始就说要最后因为邮费超出预算不要了我特么都包好了浪费我时间手都抖 跟我说挂就挂吧 推荐给我说用小程序 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T17:38:49,小辞笔下为你写的情诗,1,13,"[{""id"": ""[254e109ddf]"", ""created_at"": ""06-01"", ""source"": ""来自广东"", ""user"": {""id"": ""[5ab1ea8915]"", ""screen_name"": ""[86d891e13e]""}, ""text"": ""用小程序的我一律拒绝 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[067e7d0e8f]"", ""created_at"": ""06-01"", ""source"": ""来自广东"", ""user"": {""id"": ""[23b3a94531]"", ""screen_name"": ""[d8603d2a89]""}, ""text"": ""我特么能不能骂人"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3b984d9f6d]"", ""created_at"": ""06-01"", ""source"": ""来自广东"", ""user"": {""id"": ""[23b3a94531]"", ""screen_name"": ""[d8603d2a89]""}, ""text"": ""还说什么一开始真的是信任我 [费解]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 17:38:49
[414920ff35],[aa31dc31f3],"我去huq一下少四个
？
之前看很多huq都这样 我怎么也是
误伤找我啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 ",[9b2d5b4678],[7dea47f761],[9b2d5b4678],,2024-06-01T10:35:58,小辞笔下为你写的情诗,7,17,"[{'id': 5040417934417018, 'created_at': '06-01', 'source': '来自中国台湾', 'user': {'id': 7456488340, 'screen_name': '莫崽JM'}, 'text': '我扩到暗恋姐', 'like_counts': 0, 'liked': False}, {'id': 5040414373451734, 'created_at': '06-01', 'source': '来自福建', 'user': {'id': 7624481284, 'screen_name': 'msiugdo'}, 'text': '还在', 'like_counts': 0, 'liked': False}, {'id': 5040404901400341, 'created_at': '06-01', 'source': '来自江苏', 'user': {'id': 7553498513, 'screen_name': '星桃儿_'}, 'text': '还在～', 'like_counts': 0, 'liked': False}, {'id': 5040404456802054, 'created_at': '06-01', 'source': '来自广东', 'user': {'id': 7659240367, 'screen_name': '听诗闻言-'}, 'text': '回复@薄荷巧克力味的青蛙:我看很多huq修了几个就少了几个huq 没想到我也是 ""[融化]""', 'reply_id': 5040404328091386, 'reply_text': '我靠', 'like_counts': 0, 'liked': False}, {'id': 5040404328091386, 'created_at': '06-01', 'source': '来自天津', 'user': {'id': 7197031854, 'screen_name': '薄荷巧克力味的青蛙'}, 'text': '我靠', 'like_counts': 0, 'liked': False}, {'id': 5040404199638257, 'created_at': '06-01', 'source': '来自江苏', 'user': {'id': 7790597794, 'screen_name': '秋凉语-Milky'}, 'text': '我在 [抱一抱]', 'like_counts': 0, 'liked': False}, {'id': 5040404024269460, 'created_at': '06-01', 'source': '来自四川', 'user': {'id': 7364248958, 'screen_name': '一眼啵'}, 'text': '呕吼', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-01 10:35:58
[92873e5ac2],[e5731036c2],取关+移除到底会不会伤啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T09:49:00,小辞笔下为你写的情诗,2,10,"[{'id': 5040507803144542, 'created_at': '06-01', 'source': '来自湖南', 'user': {'id': 7569178367, 'screen_name': '锦书予思'}, 'text': '不知道哇', 'like_counts': 0, 'liked': False}, {'id': 5040423108088645, 'created_at': '06-01', 'source': '来自重庆', 'user': {'id': 7862054166, 'screen_name': '庄凡心请别烦心'}, 'text': '回复@听诗闻言-:还有一次 ""[看书]""', 'reply_id': 5040400540633643, 'reply_text': '回复@庄凡心请别烦心:夜读id改名次数是不是用完了', 'like_counts': 0, 'liked': False}, {'id': 5040403755828824, 'created_at': '06-01', 'source': '来自广东', 'user': {'id': 7761639501, 'screen_name': '我真的不搞姬'}, 'text': '感觉短时间或者批量大会', 'like_counts': 0, 'liked': False}, {'id': 5040402547346791, 'created_at': '06-01', 'source': '来自天津', 'user': {'id': 7197031854, 'screen_name': '薄荷巧克力味的青蛙'}, 'text': '不知道呢', 'like_counts': 0, 'liked': False}, {'id': 5040400746157608, 'created_at': '06-01', 'source': '来自广东', 'user': {'id': 7659240367, 'screen_name': '听诗闻言-'}, 'text': '回复@春日小雨刊:有人说多久都会', 'reply_id': 5040394844772786, 'reply_text': '短时间内关注的会吧', 'like_counts': 0, 'liked': False}, {'id': 5040400540633643, 'created_at': '06-01', 'source': '来自广东', 'user': {'id': 7659240367, 'screen_name': '听诗闻言-'}, 'text': '回复@庄凡心请别烦心:夜读id改名次数是不是用完了', 'reply_id': 5040392949203431, 'reply_text': '不知道o', 'like_counts': 0, 'liked': False}, {'id': 5040394844772786, 'created_at': '06-01', 'source': '来自山东', 'user': {'id': 7763892966, 'screen_name': '春日小雨刊'}, 'text': '短时间内关注的会吧', 'like_counts': 0, 'liked': False}, {'id': 5040392949203431, 'created_at': '06-01', 'source': '来自重庆', 'user': {'id': 7862054166, 'screen_name': '庄凡心请别烦心'}, 'text': '不知道o', 'like_counts': 0, 'liked': False}, {'id': 5040392756268187, 'created_at': '06-01', 'source': '来自广东', 'user': {'id': 7659240367, 'screen_name': '听诗闻言-'}, 'text': '回复@序寒知橘葑_:噢 我huq说取关+移除不是双 因为伤', 'reply_id': 5040392619164560, 'reply_text': '七天内会', 'like_counts': 1, 'liked': False}, {'id': 5040392619164560, 'created_at': '06-01', 'source': '来自江苏', 'user': {'id': 7464845035, 'screen_name': '序寒知橘葑_'}, 'text': '七天内会', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-01 09:49:00
