id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[76bd0c7ccd],[cc6cffd83a],"抑郁症
 有点厌蠢了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T13:05:39,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-05-24 13:05:39
[145d2a7e3c],[3f9a57b3c1],"抑郁症
 作业多到我要崩溃了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T22:20:27,抑郁症超话,1,7,"[{""id"": ""[00ed1abfb7]"", ""created_at"": ""05-20"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@飞飞可以很棒嘟: [心]"", ""reply_id"": 5036245572393585, ""reply_text"": ""回复@要长记性的木子: [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[708f5b7cf9]"", ""created_at"": ""05-20"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@要长记性的木子: [抱一抱]"", ""reply_id"": 5036235647098955, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d60190e133]"", ""created_at"": ""05-20"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@Blue_繁星满天:谢谢 [抱一抱]"", ""reply_id"": 5036237488394052, ""reply_text"": ""加油！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e1e8898723]"", ""created_at"": ""05-20"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@墨温_余: [抱一抱]"", ""reply_id"": 5036244259572792, ""reply_text"": ""辛苦啦 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bd6fc6bc30]"", ""created_at"": ""05-20"", ""source"": ""来自江苏"", ""user"": {""id"": ""[319e5674a7]"", ""screen_name"": ""[5bfaa8d983]""}, ""text"": ""辛苦啦 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6216067a63]"", ""created_at"": ""05-20"", ""source"": ""来自江苏"", ""user"": {""id"": ""[13428f76e1]"", ""screen_name"": ""[b3f3e93a27]""}, ""text"": ""加油！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3c8280249d]"", ""created_at"": ""05-20"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 22:20:27
[5572f9c323],[64e30d87ad],"抑郁症
 都会变好的
 ",[9b2d5b4678],[53a9b5985e],[9b2d5b4678],,2024-05-19T00:20:21,抑郁症超话,9,9,"[{""id"": ""[2912135bab]"", ""created_at"": ""05-19"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@kiko阿花:谢谢～ [抱一抱]"", ""reply_id"": 5035558697173240, ""reply_text"": ""拍得好漂亮"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cac94feb9d]"", ""created_at"": ""05-19"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@不想听紧箍咒:谢谢 [心]"", ""reply_id"": 5035559498548026, ""reply_text"": ""拍的好好看"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c3a403608f]"", ""created_at"": ""05-19"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@鞠玖卿:是呀～～"", ""reply_id"": 5035587254092551, ""reply_text"": ""那边风景好好啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b82f710b52]"", ""created_at"": ""05-19"", ""source"": ""来自重庆"", ""user"": {""id"": ""[b0e818e5bd]"", ""screen_name"": ""[5d78d9ed75]""}, ""text"": ""那边风景好好啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4768167491]"", ""created_at"": ""05-19"", ""source"": ""来自山东"", ""user"": {""id"": ""[769e22da57]"", ""screen_name"": ""[8596ec8d45]""}, ""text"": ""拍的好好看"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[adb79a16ea]"", ""created_at"": ""05-19"", ""source"": ""来自河南"", ""user"": {""id"": ""[570c57904f]"", ""screen_name"": ""[fe685db7f0]""}, ""text"": ""拍得好漂亮"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ec4c051395]"", ""created_at"": ""05-19"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""回复@飞飞可以很棒嘟:晚安 [睡]"", ""reply_id"": 5035543668984960, ""reply_text"": ""回复@炊子CHUIZI:晚安 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[832e77e4e3]"", ""created_at"": ""05-19"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@炊子CHUIZI:晚安 [心]"", ""reply_id"": 5035540757874077, ""reply_text"": ""是的是的…会好的晚安～ [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[08b28a904c]"", ""created_at"": ""05-19"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""是的是的…会好的晚安～ [抱一抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-19 00:20:21
[cadc2d78e6],[38a3a89a86],"抑郁症
 忍了很久很久又开始割了。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-15T00:46:45,抑郁症超话,1,5,"[{""id"": ""[9191544536]"", ""created_at"": ""05-17"", ""source"": ""来自江苏"", ""user"": {""id"": ""[319e5674a7]"", ""screen_name"": ""[5bfaa8d983]""}, ""text"": ""回复@飞飞可以很棒嘟:抱抱～ [抱抱]"", ""reply_id"": 5034973118334731, ""reply_text"": ""回复@墨温_余: [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6a7cd8fa3e]"", ""created_at"": ""05-17"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@墨温_余: [抱一抱]"", ""reply_id"": 5034776896212634, ""reply_text"": ""抱抱 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[de0f1bb128]"", ""created_at"": ""05-16"", ""source"": ""来自江苏"", ""user"": {""id"": ""[319e5674a7]"", ""screen_name"": ""[5bfaa8d983]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a1f3bec22b]"", ""created_at"": ""05-15"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@航咧咧: [抱一抱]"", ""reply_id"": 5034213889803340, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e76fced788]"", ""created_at"": ""05-15"", ""source"": ""来自河北"", ""user"": {""id"": ""[0baa628eb8]"", ""screen_name"": ""[fd85acc653]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-15 00:46:45
[137dfc1adc],[28b608bf9f],"抑郁症
 每天都很崩溃。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-15T00:45:33,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-15 00:45:33
[dca96e631e],[29b3ab27ea],"抑郁症
 讨厌夏天 因为夏天会露手臂 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T22:35:09,抑郁症超话,0,7,"[{""id"": ""[ed036c29f0]"", ""created_at"": ""05-14"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@爱在日落黄昏时爱在黎明破晓前:好的呢"", ""reply_id"": 5033720763384978, ""reply_text"": ""可以穿长袖体恤"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5058daa023]"", ""created_at"": ""05-14"", ""source"": ""来自天津"", ""user"": {""id"": ""[a68bb7621d]"", ""screen_name"": ""[b9f8c325c0]""}, ""text"": ""可以穿长袖体恤"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[af33dc9715]"", ""created_at"": ""05-13"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@冤尾yw:还是谢谢你哦 [心]"", ""reply_id"": 5033703426756430, ""reply_text"": ""宝宝如果不介意的话可以和我聊聊天哦"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1774bd0111]"", ""created_at"": ""05-13"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@冤尾yw:好的 我有需要找你 我现在不想说话 [抱一抱]"", ""reply_id"": 5033703426756430, ""reply_text"": ""宝宝如果不介意的话可以和我聊聊天哦"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7343569c87]"", ""created_at"": ""05-13"", ""source"": ""来自海南"", ""user"": {""id"": ""[49e3350a73]"", ""screen_name"": ""[7ad4a085ee]""}, ""text"": ""宝宝如果不介意的话可以和我聊聊天哦"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b78277548d]"", ""created_at"": ""05-13"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@冤尾yw: [允悲]"", ""reply_id"": 5033699889911176, ""reply_text"": ""我手臂上也都是伤，直接一年四季穿长袖 [笑cry]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cb4ff3c5b0]"", ""created_at"": ""05-13"", ""source"": ""来自海南"", ""user"": {""id"": ""[49e3350a73]"", ""screen_name"": ""[7ad4a085ee]""}, ""text"": ""我手臂上也都是伤，直接一年四季穿长袖 [笑cry]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-13 22:35:09
[7b287583d8],[74bf6544ea],"抑郁症
 我好像被全世界抛弃了…. ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T22:32:22,抑郁症超话,3,10,"[{""id"": ""[b95c0e5d20]"", ""created_at"": ""05-14"", ""source"": ""来自山西"", ""user"": {""id"": ""[9d7bae455b]"", ""screen_name"": ""[8e5797b20e]""}, ""text"": ""回复@飞飞可以很棒嘟: [抱抱]"", ""reply_id"": 5033954686275664, ""reply_text"": ""回复@荒厨316:谢谢 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[202607deed]"", ""created_at"": ""05-14"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@爱这悲惨世界: [抱一抱]"", ""reply_id"": 5033779886555225, ""reply_text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[855c592446]"", ""created_at"": ""05-14"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@荒厨316:谢谢 [抱一抱]"", ""reply_id"": 5033884599716217, ""reply_text"": ""会好起来的 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a174823ef8]"", ""created_at"": ""05-14"", ""source"": ""来自山西"", ""user"": {""id"": ""[9d7bae455b]"", ""screen_name"": ""[8e5797b20e]""}, ""text"": ""会好起来的 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8242b3736a]"", ""created_at"": ""05-14"", ""source"": ""来自江苏"", ""user"": {""id"": ""[319e5674a7]"", ""screen_name"": ""[5bfaa8d983]""}, ""text"": ""回复@飞飞可以很棒嘟:抱抱 [抱抱]"", ""reply_id"": 5033755972207209, ""reply_text"": ""回复@墨温_余: [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5cccd7e009]"", ""created_at"": ""05-14"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[8e8ec9913c]"", ""screen_name"": ""[913758660d]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1420d6e7ab]"", ""created_at"": ""05-14"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@墨温_余: [抱一抱]"", ""reply_id"": 5033728559024237, ""reply_text"": ""没有啊 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[a95a2f773d]"", ""created_at"": ""05-14"", ""source"": ""来自江苏"", ""user"": {""id"": ""[319e5674a7]"", ""screen_name"": ""[5bfaa8d983]""}, ""text"": ""没有啊 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e6937a854b]"", ""created_at"": ""05-13"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@要长记性的木子:真的这样感觉…."", ""reply_id"": 5033700672930212, ""reply_text"": ""不是的 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9c0923eca6]"", ""created_at"": ""05-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""不是的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-13 22:32:22
[9ee8877afb],[e860fd23a4],"抑郁症
 所以生病了也是我的错吗….. ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T22:01:43,抑郁症超话,2,8,"[{""id"": ""[149bb1b296]"", ""created_at"": ""05-14"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@在蹦家迷妹:好不起来的…"", ""reply_id"": 5033728728632433, ""reply_text"": ""不是 任何一个人都有可能生病的 好好吃药 会好起来的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[86ec600ba5]"", ""created_at"": ""05-14"", ""source"": ""来自广东"", ""user"": {""id"": ""[0302658877]"", ""screen_name"": ""[39cd1303d5]""}, ""text"": ""不是 任何一个人都有可能生病的 好好吃药 会好起来的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[578c2ec6d8]"", ""created_at"": ""05-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@飞飞可以很棒嘟: [心]"", ""reply_id"": 5033696459751497, ""reply_text"": ""回复@要长记性的木子:哎 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[47edb02a6f]"", ""created_at"": ""05-13"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@要长记性的木子:哎 [抱一抱]"", ""reply_id"": 5033692929989636, ""reply_text"": ""不是的 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cdf1e04b30]"", ""created_at"": ""05-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""不是的 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ab8aaa0c4b]"", ""created_at"": ""05-13"", ""source"": ""来自江苏"", ""user"": {""id"": ""[319e5674a7]"", ""screen_name"": ""[5bfaa8d983]""}, ""text"": ""回复@飞飞可以很棒嘟:没事 [抱抱]"", ""reply_id"": 5033691124075034, ""reply_text"": ""回复@墨温_余:谢谢你 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5284cc03ab]"", ""created_at"": ""05-13"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@墨温_余:谢谢你 [抱一抱]"", ""reply_id"": 5033691063779823, ""reply_text"": ""不是你的错，抱抱 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[7dfbc6fa15]"", ""created_at"": ""05-13"", ""source"": ""来自江苏"", ""user"": {""id"": ""[319e5674a7]"", ""screen_name"": ""[5bfaa8d983]""}, ""text"": ""不是你的错，抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-13 22:01:43
[adc78b7e24],[046b5c7d3c],"抑郁症
 抽烟有用吗 我太难受了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T21:58:05,抑郁症超话,6,22,,0,,[9b2d5b4678],2024-05-13 21:58:05
[9b4634885c],[9127ef7ce7],"抑郁症
 每周天都很崩溃 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T22:34:46,抑郁症超话,1,7,"[{""id"": ""[00677935de]"", ""created_at"": ""05-13"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@欢抑:哪里有哪都棒"", ""reply_id"": 5033368674894219, ""reply_text"": ""回复@飞飞可以很棒嘟:不喜欢上课啊飞飞，特长生有想过吗，因为我感觉你哪都挺棒的，尤其是跳舞，飒呢 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bc2b0c6a93]"", ""created_at"": ""05-13"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@欢抑:不喜欢上课但是为了学历还是得硬撑 特长生也很难呢"", ""reply_id"": 5033368674894219, ""reply_text"": ""回复@飞飞可以很棒嘟:不喜欢上课啊飞飞，特长生有想过吗，因为我感觉你哪都挺棒的，尤其是跳舞，飒呢 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3fe01be165]"", ""created_at"": ""05-13"", ""source"": ""来自河北"", ""user"": {""id"": ""[3debe9c759]"", ""screen_name"": ""[61cce8e55f]""}, ""text"": ""回复@飞飞可以很棒嘟:不喜欢上课啊飞飞，特长生有想过吗，因为我感觉你哪都挺棒的，尤其是跳舞，飒呢 [抱抱]"", ""reply_id"": 5033364073222047, ""reply_text"": ""回复@欢抑:是的而且周六还上课 就休了一天 [悲伤]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d739ca9c54]"", ""created_at"": ""05-13"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@欢抑:是的而且周六还上课 就休了一天 [悲伤]"", ""reply_id"": 5033361338794531, ""reply_text"": ""因为周一开学吗 [doge]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[791c91e70a]"", ""created_at"": ""05-13"", ""source"": ""来自河北"", ""user"": {""id"": ""[3debe9c759]"", ""screen_name"": ""[61cce8e55f]""}, ""text"": ""因为周一开学吗 [doge]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e736f8b84e]"", ""created_at"": ""05-12"", ""source"": ""来自福建"", ""user"": {""id"": ""[7f1f2cb4d6]"", ""screen_name"": ""[d8a360557f]""}, ""text"": ""回复@Xue_译: [心]"", ""reply_id"": 5033338217693601, ""reply_text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a9a11ed612]"", ""created_at"": ""05-12"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-12 22:34:46
