id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[b2e5f83e73],[4c409fbed7],最近又是睡眠不好的煎熬。。。国粹…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T09:23:52,Android,0,1,"[{""id"": ""[604869f60e]"", ""created_at"": ""04-22"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""同感啊，我也经常失眠"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-22 09:23:52
[c685fa0c3b],[7f07c570df],这个世界真的很热闹哎！！！ ,[9b2d5b4678],[8e67616752],[9b2d5b4678],,2024-04-20T08:51:22,Android,0,3,"[{""id"": ""[a4c90b680b]"", ""created_at"": ""04-21"", ""source"": ""来自上海"", ""user"": {""id"": ""[064bd2ed66]"", ""screen_name"": ""[ab04f2dd10]""}, ""text"": ""回复@晴天突然下起了大雨:到处都是俊男靓女 [并不简单]"", ""reply_id"": 5025526504228387, ""reply_text"": ""回复@愿望是英年早逝:到处都是欢声笑语 [摊手]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d9e228da2c]"", ""created_at"": ""04-21"", ""source"": ""来自天津"", ""user"": {""id"": ""[97f72348b1]"", ""screen_name"": ""[de06455d30]""}, ""text"": ""回复@愿望是英年早逝:到处都是欢声笑语 [摊手]"", ""reply_id"": 5025230458192896, ""reply_text"": ""比如"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1148505598]"", ""created_at"": ""04-20"", ""source"": ""来自上海"", ""user"": {""id"": ""[064bd2ed66]"", ""screen_name"": ""[ab04f2dd10]""}, ""text"": ""比如"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-20 08:51:22
[c223c5f7e0],[4b1c83f4cd],"感觉我的人生太踏马荒谬了，一直持续性痛苦无助绝望内耗，刚刚翻之前的东西，居然发现那时候还挺好，明明当时的我也是觉得无比痛苦的，真踏马，在更深的痛苦面前，回头看之前的浅表痛苦也都是踏马幸福的，我无时无刻都几把痛苦的想死，操这个世界，更操我的人生。
 ",[9b2d5b4678],[f18b85a7d1],[9b2d5b4678],,2024-04-13T08:21:52,Android,1,5,"[{'id': 5023013202300335, 'created_at': '04-14', 'source': '来自上海', 'user': {'id': 6360989431, 'screen_name': '愿望是英年早逝'}, 'text': '回复@晴天突然下起了大雨:人家从来不说脏话～～～ [并不简单]', 'reply_id': 5022973232939984, 'reply_text': '回复@愿望是英年早逝:很艹蛋  东北话怎么说……', 'like_counts': 0, 'liked': False}, {'id': 5022973310799190, 'created_at': '04-14', 'source': '来自天津', 'user': {'id': 7278338412, 'screen_name': '晴天突然下起了大雨'}, 'text': '回复@sullihw: ""[第五人格]""', 'reply_id': 5022645674574045, 'reply_text': '唉 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5022973232939984, 'created_at': '04-14', 'source': '来自天津', 'user': {'id': 7278338412, 'screen_name': '晴天突然下起了大雨'}, 'text': '回复@愿望是英年早逝:很艹蛋  东北话怎么说……', 'reply_id': 5022694174886925, 'reply_text': '今天很烂，但又清楚的知道明天比今天还烂 [吐]', 'like_counts': 0, 'liked': False}, {'id': 5022694174886925, 'created_at': '04-13', 'source': '来自上海', 'user': {'id': 6360989431, 'screen_name': '愿望是英年早逝'}, 'text': '今天很烂，但又清楚的知道明天比今天还烂 [吐]', 'like_counts': 0, 'liked': False}, {'id': 5022645674574045, 'created_at': '04-13', 'source': '来自中国', 'user': {'id': 7635133962, 'screen_name': 'sullihw'}, 'text': '唉 [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-13 08:21:52
[9d140cd568],[2de82ab48c],"牢狱的鬼
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T07:53:19,Android,1,0,,0,,[9b2d5b4678],2024-04-10 07:53:19
[62457e0ca0],[30d0c85a47],"仔细想一下，人生本身就是一个慢性自杀的过程，所以是不是就不用太在意这短短的一天。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-24T09:03:46,Android,0,2,"[{""id"": ""[f1bbae9d44]"", ""created_at"": ""03-29"", ""source"": ""来自天津"", ""user"": {""id"": ""[97f72348b1]"", ""screen_name"": ""[de06455d30]""}, ""text"": ""回复@柒玖等于零:嗯  过一天算一天"", ""reply_id"": 5016225132058676, ""reply_text"": ""过一天是一天"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e35d3f0715]"", ""created_at"": ""03-26"", ""source"": ""来自湖北"", ""user"": {""id"": ""[1cee900085]"", ""screen_name"": ""[5758961c3c]""}, ""text"": ""过一天是一天"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-24 09:03:46
[8cad5c529d],[dc97aae976],我讨厌这样病态的自己  注定永远缺爱 ,[9b2d5b4678],[7d758b3d21],[9b2d5b4678],,2024-03-16T22:30:45,Android,1,6,"[{""id"": ""[fbab75ea8b]"", ""created_at"": ""03-24"", ""source"": ""来自天津"", ""user"": {""id"": ""[97f72348b1]"", ""screen_name"": ""[de06455d30]""}, ""text"": ""回复@愿望是英年早逝: [抱一抱]"", ""reply_id"": 5012874145828439, ""reply_text"": ""回复@晴天突然下起了大雨:入睡失败 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ae4129ba1d]"", ""created_at"": ""03-17"", ""source"": ""来自河南"", ""user"": {""id"": ""[7624fe1564]"", ""screen_name"": ""[8695259e07]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[511a993eac]"", ""created_at"": ""03-17"", ""source"": ""来自上海"", ""user"": {""id"": ""[064bd2ed66]"", ""screen_name"": ""[ab04f2dd10]""}, ""text"": ""回复@晴天突然下起了大雨:入睡失败 [泪]"", ""reply_id"": 5012846658455113, ""reply_text"": ""回复@愿望是英年早逝:你那么晚还在啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[69d88278da]"", ""created_at"": ""03-17"", ""source"": ""来自天津"", ""user"": {""id"": ""[97f72348b1]"", ""screen_name"": ""[de06455d30]""}, ""text"": ""回复@愿望是英年早逝:你那么晚还在啊"", ""reply_id"": 5012745445180603, ""reply_text"": ""手挺白（调戏）"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[aa3757aa36]"", ""created_at"": ""03-17"", ""source"": ""来自上海"", ""user"": {""id"": ""[064bd2ed66]"", ""screen_name"": ""[ab04f2dd10]""}, ""text"": ""手挺白（调戏）"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c0dcaae9a9]"", ""created_at"": ""03-16"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""别难过 你可以慢慢改变"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-16 22:30:45
[c932b60efc],[56fe35da5b],晚点了 ,[9b2d5b4678],[6aa3274ad5],[9b2d5b4678],,2024-02-22T12:02:04,Android,0,1,"[{""id"": ""[5a63c81451]"", ""created_at"": ""03-01"", ""source"": ""来自湖北"", ""user"": {""id"": ""[1cee900085]"", ""screen_name"": ""[5758961c3c]""}, ""text"": ""去哪儿？"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-02-22 12:02:04
[f802e77f5c],[85836745bc],"今天碰到一件及其奇葩又恶心的事
 ",[9b2d5b4678],[21ed7e2b13],[9b2d5b4678],,2024-02-22T11:53:25,Android,1,16,"[{'id': 5004976994913579, 'created_at': '02-24', 'source': '来自天津', 'user': {'id': 7278338412, 'screen_name': '晴天突然下起了大雨'}, 'text': '回复@愿望是英年早逝:你形容的真贴切 ""[苦涩]""', 'reply_id': 5004258339197476, 'reply_text': '回复@晴天突然下起了大雨:我之前也遇到过类似的，真是有种吃了屎的感觉', 'like_counts': 0, 'liked': False}, {'id': 5004258339197476, 'created_at': '02-22', 'source': '来自吉林', 'user': {'id': 6360989431, 'screen_name': '愿望是英年早逝'}, 'text': '回复@晴天突然下起了大雨:我之前也遇到过类似的，真是有种吃了屎的感觉', 'reply_id': 5004238786661736, 'reply_text': '回复@愿望是英年早逝:我是敷衍着他说的啊  没想到他继续追问……', 'like_counts': 0, 'liked': False}, {'id': 5004238786661736, 'created_at': '02-22', 'source': '来自河北', 'user': {'id': 7278338412, 'screen_name': '晴天突然下起了大雨'}, 'text': '回复@愿望是英年早逝:我是敷衍着他说的啊  没想到他继续追问……', 'reply_id': 5004218083838904, 'reply_text': '回复@晴天突然下起了大雨:大佬竟然是研究生只有我是菜狗的世界达成了 [单身狗]', 'like_counts': 0, 'liked': False}, {'id': 5004218083838904, 'created_at': '02-22', 'source': '来自吉林', 'user': {'id': 6360989431, 'screen_name': '愿望是英年早逝'}, 'text': '回复@晴天突然下起了大雨:大佬竟然是研究生只有我是菜狗的世界达成了 [单身狗]', 'reply_id': 5004197012966353, 'reply_text': '回复@愿望是英年早逝: ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5004197012966353, 'created_at': '02-22', 'source': '来自河南', 'user': {'id': 7278338412, 'screen_name': '晴天突然下起了大雨'}, 'text': '回复@愿望是英年早逝: ""[苦涩]""', 'reply_id': 5004193943260865, 'reply_text': '？你？', 'like_counts': 0, 'liked': False}, {'id': 5004193943260865, 'created_at': '02-22', 'source': '来自吉林', 'user': {'id': 6360989431, 'screen_name': '愿望是英年早逝'}, 'text': '？你？', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-02-22 11:53:25
[5b1d21ea0e],[58191225f2],"真是烦透了   抢了一天的票没抢到   基本上没停过  就这么难买吗
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-21T23:17:13,Android,0,0,,0,,[9b2d5b4678],2024-02-21 23:17:13
[0145c625db],[8a7545065f],我真的很烦  我讨厌过年！！！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-09T00:32:31,Android,1,0,,0,,[9b2d5b4678],2024-02-09 00:32:31
