id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[5d977798c4],[2a1844ca48],呼呼呼 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-29T00:57:50,vivo S18,0,0,,0,,[9b2d5b4678],2024-04-29 00:57:50
[d2429ec662],[4c792eeee6],分享图片 ,[9b2d5b4678],[990eec7d5f],[9b2d5b4678],,2024-04-28T19:23:45,vivo S18,2,0,,0,,[9b2d5b4678],2024-04-28 19:23:45
[063d437ff6],[884e01fa55],"抑郁症
今天怎么也想不起来一些事情了，我感觉我的记忆在相互予盾 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T00:33:32,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-28 00:33:32
[c3ef73d934],[22bc04adc7],"抑郁症
抱一抱我，我快碎了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T23:22:28,vivo S18,0,1,"[{""id"": ""[7ec6ed6502]"", ""created_at"": ""04-23"", ""source"": ""来自天津"", ""user"": {""id"": ""[1825a41f10]"", ""screen_name"": ""[3722beda4d]""}, ""text"": ""你怎么了 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-23 23:22:28
[b6eb1d543a],[559f47247b],我不太爱吃甜点，也不太爱吃糯叽叽的东西，我喜欢吃土豆茄子辣椒焖子外加一碗熟米饭，最好是夏天的时候再加一盆辣菜，太香了，我也喜欢酱牛肉，炖牛肉，牛口条，牛胸口，烧卖，羊汤，羊肝，酱苦肠，我爱咸香菜的一切，我也爱世间所有的面食，不爱面包，不爱预制菜，不爱甜甜的一切 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T00:38:43,vivo S18,2,0,,0,,[9b2d5b4678],2024-04-13 00:38:43
[b8ad52b092],[2ff75513f5],"美剧男人找女人三要素
容易↑，花费少，住得近 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T00:12:14,vivo S18,1,0,,0,,[9b2d5b4678],2024-04-10 00:12:14
[f43005f841],[322669f337],"抑郁症
如果父母在外人面前说你的不好，而且你也还在，你会不会因为父母说的话而焦虑
？
我是真的会，有没有什么好的方法缓解一下焦虑 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-10T21:56:59,抑郁症超话,0,2,"[{""id"": ""[7de02bd7b6]"", ""created_at"": ""03-10"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b6817c3717]"", ""screen_name"": ""[44eda581ca]""}, ""text"": ""你敢不敢当面抗议呢？如果不敢，就没有好办法了。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[154aa5ab70]"", ""created_at"": ""03-10"", ""source"": ""来自广东"", ""user"": {""id"": ""[97b3c6e1ef]"", ""screen_name"": ""[90a5ef1b31]""}, ""text"": ""不会只会生气。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-10 21:56:59
[f75f5c81bb],[00d0c1c55e],"抑郁症
晚上怎么也睡不着觉，肩膀一直紧绷，脑袋木木的，呼吸急促，四肢像沼泽里，越紧绷陷得越深，躯体化真的很难受 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-09T01:26:49,抑郁症超话,2,3,"[{""id"": ""[a4041e984a]"", ""created_at"": ""03-09"", ""source"": ""来自河北"", ""user"": {""id"": ""[865987c8eb]"", ""screen_name"": ""[7a7ec866ea]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[80f8c78111]"", ""created_at"": ""03-09"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[454474c19f]"", ""screen_name"": ""[dffaddab85]""}, ""text"": ""回复@Xue_译: [泪]"", ""reply_id"": 5009825438631279, ""reply_text"": ""抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[45569ea11f]"", ""created_at"": ""03-09"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": ""抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-09 01:26:49
[3d595bb62a],[b91f662dfc],"抑郁症
焦虑，焦虑不安，脑袋
疼得要爆开 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-03T23:37:22,抑郁症超话,0,2,"[{""id"": ""[fc81e9caef]"", ""created_at"": ""03-04"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[454474c19f]"", ""screen_name"": ""[dffaddab85]""}, ""text"": ""回复@Xue_译: [抱一抱]"", ""reply_id"": 5007992582045777, ""reply_text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6b92d0ecff]"", ""created_at"": ""03-04"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-03 23:37:22
[9cb65f2938],[19ba56e832],"抑郁症
好焦虑啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-01T03:04:33,抑郁症超话,1,1,"[{'id': 5006983441416305, 'created_at': '03-01', 'source': '来自北京', 'user': {'id': 5516143239, 'screen_name': '请实现吧'}, 'text': ' ""[苦涩]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-03-01 03:04:33
