id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[105d747059],[f5bbef47eb],"抑郁症
洗胃真痛苦，拿个那老粗的管子给你灌药水，翻来覆去好几次。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T16:51:21,抑郁症超话,0,5,"[{'id': 5036227964702724, 'created_at': '05-20', 'source': '来自辽宁', 'user': {'id': 6288202296, 'screen_name': '可可首席真爱粉'}, 'text': '回复@吃粒氟西汀_:我也是半夜去的，一直处于半醉半醒的状态 ""[苦涩]""', 'reply_id': 5036195069297094, 'reply_text': '回复@可可首席真爱粉:我那时候是直接扎滞留针挂盐水，然后洗完胃后残余的安眠药成分让我昏过去了，再醒来就是第二天早上在家了，因为我当时是半夜去急诊洗胃的 [生病]', 'like_counts': 0, 'liked': False}, {'id': 5036195069297094, 'created_at': '05-20', 'source': '来自河北', 'user': {'id': 7256894921, 'screen_name': '吃粒氟西汀_'}, 'text': '回复@可可首席真爱粉:我那时候是直接扎滞留针挂盐水，然后洗完胃后残余的安眠药成分让我昏过去了，再醒来就是第二天早上在家了，因为我当时是半夜去急诊洗胃的 [生病]', 'reply_id': 5036194396115528, 'reply_text': '回复@吃粒氟西汀_:折腾一宿，还挂了好几个小时吊瓶，感觉得换好几瓶了，我瞅着又是葡糖糖又是消炎药又是生理盐水的 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5036194396115528, 'created_at': '05-20', 'source': '来自辽宁', 'user': {'id': 6288202296, 'screen_name': '可可首席真爱粉'}, 'text': '回复@吃粒氟西汀_:折腾一宿，还挂了好几个小时吊瓶，感觉得换好几瓶了，我瞅着又是葡糖糖又是消炎药又是生理盐水的 ""[苦涩]""', 'reply_id': 5036193055507779, 'reply_text': '对，护士还按着你，等你吐完发现病床周边都是呕吐物 [生病]', 'like_counts': 0, 'liked': False}, {'id': 5036193055507779, 'created_at': '05-20', 'source': '来自河北', 'user': {'id': 7256894921, 'screen_name': '吃粒氟西汀_'}, 'text': '对，护士还按着你，等你吐完发现病床周边都是呕吐物 [生病]', 'like_counts': 0, 'liked': False}, {'id': 5036173699318693, 'created_at': '05-20', 'source': '来自广东', 'user': {'id': 7278163632, 'screen_name': '惜雪1'}, 'text': '是的 [生病]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-20 16:51:21
[a9864c2b91],[af1bd49323],-2cos4θ+sin^5θ/12❤️ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T13:47:34,华为手机,0,0,,0,,[9b2d5b4678],2024-05-17 13:47:34
[1ff1710082],[ca697ed7d7],"抑郁症
希望可以撑到冬天，去滑雪，不留遗憾。 ",[9b2d5b4678],[a04ee6c2e6],[9b2d5b4678],,2024-05-13T08:32:10,抑郁症超话,0,3,"[{""id"": ""[bcab1b2ec7]"", ""created_at"": ""05-13"", ""source"": ""来自广西"", ""user"": {""id"": ""[5739ba91b1]"", ""screen_name"": ""[19df8cf597]""}, ""text"": ""回复@可可首席真爱粉:遗体捐献它不包括你放弃你的生命，你认为这是你想做的事，了结自己却又想留下什么，为什么不能自己留下什么，身体的痛苦还是精神上的痛苦。就像新生儿落地的哭声不是欣喜而是他是在畏惧这个世界，从温暖的母胎降落人间的恐惧，但又在睁眼看到这个世界的绮丽的笑脸，人从是适应和恐惧这个世界，"", ""reply_id"": 5033556567392859, ""reply_text"": ""回复@深巷的人01:我已经签署了遗体捐献，我的离去可以让器官给需要的人，也是一种新生"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[778ddb85f6]"", ""created_at"": ""05-13"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[7f58446b86]"", ""screen_name"": ""[e01828ca24]""}, ""text"": ""回复@深巷的人01:我已经签署了遗体捐献，我的离去可以让器官给需要的人，也是一种新生"", ""reply_id"": 5033505385875138, ""reply_text"": ""我希望12之后不是终点，终点也可以不是离去，是重生，生老病死是自然，悲观离合只是种态度，人所能承受的可能会更多，"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d362ced96f]"", ""created_at"": ""05-13"", ""source"": ""来自广西"", ""user"": {""id"": ""[5739ba91b1]"", ""screen_name"": ""[19df8cf597]""}, ""text"": ""我希望12之后不是终点，终点也可以不是离去，是重生，生老病死是自然，悲观离合只是种态度，人所能承受的可能会更多，"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-13 08:32:10
[af06b1e355],[b718b0dab5],"抑郁症
这莫名发冷又是什么鬼，26℃的气温，外面套了个外套和风衣，还浑身发抖手脚冰凉
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-10T16:58:37,抑郁症超话,1,1,"[{""id"": ""[3a933cd7d6]"", ""created_at"": ""05-10"", ""source"": ""来自上海"", ""user"": {""id"": ""[766dd7022e]"", ""screen_name"": ""[0967372307]""}, ""text"": ""宝宝这周去看看吧 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-10 16:58:37
[21bb5f9602],[804481a3d7],"抑郁症
从厌食到厌世 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T10:07:42,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-09 10:07:42
[b0241cb7d4],[ab5b1e9a6f],"抑郁症
感觉这个副作用好大
 ",[9b2d5b4678],[d75831fe92],[9b2d5b4678],,2024-05-07T15:15:01,抑郁症超话,1,4,"[{""id"": ""[7befdade51]"", ""created_at"": ""05-07"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[99a2e774ce]"", ""screen_name"": ""[f98bc8ac8e]""}, ""text"": ""挺过一个星期就好了，我现在只有上午的时候感觉没有力气了，不感觉想吐了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[12b3e4b957]"", ""created_at"": ""05-07"", ""source"": ""来自北京"", ""user"": {""id"": ""[64037ef19f]"", ""screen_name"": ""[47b93ec18b]""}, ""text"": ""感觉这类药都差不多，试过好多副作用也是五花八门一个不落，大概1-3个月后会好点"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2b948dbc1d]"", ""created_at"": ""05-07"", ""source"": ""来自湖南"", ""user"": {""id"": ""[365498cc5b]"", ""screen_name"": ""[0cb524b56e]""}, ""text"": ""复诊的时候告诉医生你的症状，临床上不止这个药，可以换的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3d532efd42]"", ""created_at"": ""05-07"", ""source"": ""来自湖南"", ""user"": {""id"": ""[72b141f09f]"", ""screen_name"": ""[ff21ba6d72]""}, ""text"": ""我感觉还好吧，可能和你的不一样，我的药盒不是这样的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-07 15:15:01
[5d244b6a05],[e6e6a634d2],"抑郁症
手抖是躯体化症状吗。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T06:39:09,抑郁症超话,0,3,"[{""id"": ""[2fa3169b1a]"", ""created_at"": ""05-07"", ""source"": ""来自湖南"", ""user"": {""id"": ""[365498cc5b]"", ""screen_name"": ""[0cb524b56e]""}, ""text"": ""是发生了什么吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7d045c6abb]"", ""created_at"": ""05-07"", ""source"": ""来自湖南"", ""user"": {""id"": ""[72b141f09f]"", ""screen_name"": ""[ff21ba6d72]""}, ""text"": ""是"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[04391928f4]"", ""created_at"": ""05-07"", ""source"": ""来自福建"", ""user"": {""id"": ""[162336ca45]"", ""screen_name"": ""[4937e7a30e]""}, ""text"": ""是吧"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-07 06:39:09
[71143f9e80],[422dc61a39],"抑郁症
又活了一天呢
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T23:04:17,抑郁症超话,1,1,"[{""id"": ""[98712eead2]"", ""created_at"": ""05-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""真棒"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 23:04:17
[fb186e4639],[34814a37cb],"抑郁症
你们不开心多久了？我好像有3年了。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T14:00:03,抑郁症超话,0,1,"[{""id"": ""[10e8f635cb]"", ""created_at"": ""05-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""很久很久"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 14:00:03
[d3306baafb],[c4e65dc642],"抑郁症
一个月能去四趟市精神卫生中心，我没好转，感觉院长被我唠疯了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T22:09:47,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-04 22:09:47
