id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[763884c146],[1ca17a7406],"1000➕
 ",[9b2d5b4678],[6ed7a24065],[9b2d5b4678],,2024-05-19T20:13:18,Xiaomi Pad 5 Pro,0,0,,0,,[9b2d5b4678],2024-05-19 20:13:18
[4e503dd128],[78c3aa33e9],"抑郁症
今天又请假了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T11:59:07,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-18 11:59:07
[c6c5e56b56],[5eff5834ae],这是我做过的史上最简单的有机大题 ,[9b2d5b4678],[be06fe12d8],[9b2d5b4678],,2024-05-17T20:17:40,vivo X21屏幕指纹手机,1,1,"[{""id"": ""[22ffb06861]"", ""created_at"": ""05-17"", ""source"": ""来自北京"", ""user"": {""id"": ""[d0cccf2cc6]"", ""screen_name"": ""[b383d2765d]""}, ""text"": ""666，这题我会了 [给力]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-17 20:17:40
[70d7899484],[9ddbe508f2],"抑郁症
前几天一直都是机器回复
今天突然活了
申请退款不成功
真无语
总共三袋就发了一袋真的66666666
有气没地方撒 ",[9b2d5b4678],[d2118ce345],[9b2d5b4678],,2024-05-16T17:25:30,抑郁症超话,1,1,"[{""id"": ""[9b026911ca]"", ""created_at"": ""05-16"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""申请客服介入"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-16 17:25:30
[fba0d6f735],[9ae0ff4dcd],"抑郁症
今天碰到了神经病
外面吃快餐，一个男的背着很大的包撞到了我，要是没我爸扶着我我就摔地上了，可能他没感觉到，也没和我道歉。我就哎呦了一声，我爸嘀咕了一句“怎么走路的”，然后那男的老婆开始破口大骂，“你怎么讲话的，说什么呢，怎么那么没素质”
然后我一下子火气上来了，手都在 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-15T19:24:34,抑郁症超话,0,4,"[{""id"": ""[e7b5038716]"", ""created_at"": ""05-15"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[53c2211c03]"", ""created_at"": ""05-15"", ""source"": ""来自湖北"", ""user"": {""id"": ""[28978e016b]"", ""screen_name"": ""[4bbdbb99a4]""}, ""text"": ""回复@LH数理化生是信仰:你非常棒啦，加油，不要给自己任何压力，依然随心 一切都会好起来的"", ""reply_id"": 5034393188175612, ""reply_text"": ""回复@海底到天空的距离:刚休学的我也是这样，没日没夜的哭，饭也不吃哭到吐，吃了药我开始缓过来了，但是开始躁狂了，现在能坚持每天去学校就已经是我的极限了，也马上高考了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8003479621]"", ""created_at"": ""05-15"", ""source"": ""来自浙江"", ""user"": {""id"": ""[169be474b2]"", ""screen_name"": ""[e122d8801d]""}, ""text"": ""回复@海底到天空的距离:刚休学的我也是这样，没日没夜的哭，饭也不吃哭到吐，吃了药我开始缓过来了，但是开始躁狂了，现在能坚持每天去学校就已经是我的极限了，也马上高考了"", ""reply_id"": 5034391470607384, ""reply_text"": ""我昨天哭了两个多小时，哭的鼻涕眼泪一把了，手脚都麻了，就差没哭晕过去了，好想就这样哭死过去也算是解脱了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b4d9fa60e0]"", ""created_at"": ""05-15"", ""source"": ""来自湖北"", ""user"": {""id"": ""[28978e016b]"", ""screen_name"": ""[4bbdbb99a4]""}, ""text"": ""我昨天哭了两个多小时，哭的鼻涕眼泪一把了，手脚都麻了，就差没哭晕过去了，好想就这样哭死过去也算是解脱了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-15 19:24:34
[228e803f92],[cb187760ab],吓死我了以为at ,[9b2d5b4678],[9d55fe6b7c],[9b2d5b4678],,2024-05-13T22:36:33,vivo X21屏幕指纹手机,1,0,,0,,[9b2d5b4678],2024-05-13 22:36:33
[90677c457c],[11ddc314ed],"抑郁症
胖的好自卑裂开了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T17:36:10,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-13 17:36:10
[6d8f019831],[c8f2760bd8],24天 ,[9b2d5b4678],[4e9833c06a],[9b2d5b4678],,2024-05-13T17:12:30,vivo X21屏幕指纹手机,0,0,,0,,[9b2d5b4678],2024-05-13 17:12:30
[0803dbbf3f],[2413dbc9b9],long time no see 是可以的吗 ,[9b2d5b4678],[b25190e7b5],[9b2d5b4678],,2024-05-11T20:10:19,Xiaomi Pad 5 Pro,0,0,,0,,[9b2d5b4678],2024-05-11 20:10:19
[3a7be55531],[e4ba742ea1],"今天是自己回家的第四天
阴天，有点凉快
离高考还有28天 ",[9b2d5b4678],[07251b3df0],[9b2d5b4678],,2024-05-09T17:08:00,vivo X21屏幕指纹手机,0,0,,0,,[9b2d5b4678],2024-05-09 17:08:00
[bff998ba8e],[d948459c1a],"准备高考后入手
 ",[9b2d5b4678],[2d9b869a11],[9b2d5b4678],,2024-05-06T20:05:17,vivo X21屏幕指纹手机,2,0,,0,,[9b2d5b4678],2024-05-06 20:05:17
[3ed6a3a689],[fcda72ed0c],终于，只错一个了。向听力全对进发！ ,[9b2d5b4678],[63dc1fc7d0],[9b2d5b4678],,2024-05-04T22:21:27,vivo X21屏幕指纹手机,2,0,,0,,[9b2d5b4678],2024-05-04 22:21:27
[fcbfa834de],[819b1ff22d],"抑郁症
腰粗了好多
以前的裤子腰感觉紧了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T17:58:10,抑郁症超话,0,1,"[{""id"": ""[c8c93a7b58]"", ""created_at"": ""05-02"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""我也是 [二哈]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-02 17:58:10
