id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[855b83c216],[5e0dcf75e3],徒有其表….. ,[9b2d5b4678],[c58bbb1b3d],[cfbf0ad183],,2024-05-19T18:01:12,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-19 18:01:12
[83efbfed98],[e9173eccf2],这辈子不想再坐公交车…. ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T18:06:44,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-17 18:06:44
[1b07d7bb77],[ed19e76701],一开早会就想拉屎 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T08:30:21,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-06 08:30:21
[f0d0ee580c],[e9cb45f735],"明天去加班想想就生不如死
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T21:51:15,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-04 21:51:15
[c43f2998c1],[8e583c47a5],换新工作之后几乎每天都很忙……. ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T20:14:28,iPhone客户端,0,1,"[{'id': 5028971505259641, 'created_at': '04-30', 'source': '来自安徽', 'user': {'id': 3716951871, 'screen_name': '_之1不之1'}, 'text': '你想中间了\U0001faf0', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-30 20:14:28
[5c9e8f51bd],[4f5e1a74ca],上班上的晚上压根不想睡一点觉  感觉一觉睡醒一天就过去了又要到星期一上班了…….. ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T01:58:22,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-04-14 01:58:22
[4472b1302f],[32d637b05d],"吊毛工作吊毛领导
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T18:03:25,iPhone客户端,0,1,"[{""id"": ""[54586aadbb]"", ""created_at"": ""04-10"", ""source"": ""来自安徽"", ""user"": {""id"": ""[8cf2979497]"", ""screen_name"": ""[b7b375beee]""}, ""text"": ""豆沙了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-10 18:03:25
[dcaf55152a],[e45cc9a6a0],没班上也烦 有班上也烦 什么时候才能不用上班……. ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-02T18:26:29,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-04-02 18:26:29
[f144f2a191],[45c39b325f],"谁能替我面试
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-28T23:03:52,iPhone客户端,2,1,"[{""id"": ""[a4fbee2370]"", ""created_at"": ""03-28"", ""source"": ""来自安徽"", ""user"": {""id"": ""[412d31f290]"", ""screen_name"": ""[e30bdaa806]""}, ""text"": ""下次不许没找到工作前辞职了 [爱你]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-28 23:03:52
[b84522e789],[c7d534c0f5],辞职后的快乐日子结束喽 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-27T22:49:23,iPhone客户端,1,2,"[{""id"": ""[71d651c8fe]"", ""created_at"": ""03-27"", ""source"": ""来自安徽"", ""user"": {""id"": ""[8cf2979497]"", ""screen_name"": ""[b7b375beee]""}, ""text"": ""加油哦！期待你找到新的工作"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b627212a84]"", ""created_at"": ""03-27"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""加油哦！期待你找到新的工作"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-27 22:49:23
[dbdcb0f2e8],[4a4d97b516],"这辈子离不开小冰了
 ",[9b2d5b4678],[44493c011d],[33c8ef9384],,2024-03-16T19:59:02,iPhone客户端,1,4,"[{'id': 5013327909228009, 'created_at': '03-18', 'source': '来自安徽', 'user': {'id': 3937762863, 'screen_name': '姆明呆呆'}, 'text': '回复@_之1不之1:爱\U0001faf0', 'reply_id': 5013320590167975, 'reply_text': '怎搞的叫的这么亲密', 'like_counts': 0, 'liked': False}, {'id': 5013320590167975, 'created_at': '03-18', 'source': '来自安徽', 'user': {'id': 3716951871, 'screen_name': '_之1不之1'}, 'text': '怎搞的叫的这么亲密', 'like_counts': 0, 'liked': False}, {'id': 5012652097276597, 'created_at': '03-16', 'source': '来自安徽', 'user': {'id': 3937762863, 'screen_name': '姆明呆呆'}, 'text': '回复@-不过夏天:你懂了', 'reply_id': 5012649874037071, 'reply_text': '离不开的是小冰还是膨胀红包', 'like_counts': 0, 'liked': False}, {'id': 5012649874037071, 'created_at': '03-16', 'source': '来自安徽', 'user': {'id': 5483845238, 'screen_name': '-不过夏天'}, 'text': '离不开的是小冰还是膨胀红包', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-03-16 19:59:02
[0ba353598c],[2774a9b284],不上班开始天天晚上熬夜了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-04T02:32:13,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-04 02:32:13
