id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[2b960d5427],[5942e22d1a],"抑郁症
今天凌晨和同学发微信的时候得知，隔壁班一个连句话都没有和我说过的女生骂我死胖子，说我怎么胖怎么还不去死
为什么人的恶意总是可以那么莫名其妙。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T06:35:19,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-05 06:35:19
[e668af429e],[17d9f48533],"抑郁症
看到这张照片突然想起来 那天我坐在位子上玩刀片 他走过来说“没收了，不准玩刀片”我就问他为什么呢他说“我怕你zc”我就看向他的眼睛说“为什么怕我zc”“因为我不想你s”谁懂
记了好久 ",[9b2d5b4678],[41ff620561],[9b2d5b4678],,2024-04-29T22:17:49,抑郁症超话,0,3,"[{""id"": ""[bd7276a92a]"", ""created_at"": ""04-30"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""回复@小狗失约的冬天:嗯嗯！加油 [打call]"", ""reply_id"": 5028741319229978, ""reply_text"": ""回复@炊子CHUIZI:好 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f1b296326f]"", ""created_at"": ""04-30"", ""source"": ""来自浙江"", ""user"": {""id"": ""[5f4de6ab3b]"", ""screen_name"": ""[e3bfe67397]""}, ""text"": ""回复@炊子CHUIZI:好 [抱抱]"", ""reply_id"": 5028624505509515, ""reply_text"": ""宝世界上真的有很多温暖的人呢很多人都会关心着你，包括我！希望宝越来越开心呢！哪怕只有自己，我们也要加油呀！ [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[be7b285008]"", ""created_at"": ""04-29"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""宝世界上真的有很多温暖的人呢很多人都会关心着你，包括我！希望宝越来越开心呢！哪怕只有自己，我们也要加油呀！ [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-29 22:17:49
[3b7be2faad],[cf263505c5],"宋亚轩周边中转站
40断出今天特权 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T11:02:11,宋亚轩周边中转站超话,1,7,"[{'id': 5025200303506589, 'created_at': '04-20', 'source': '来自贵州', 'user': {'id': 7794211966, 'screen_name': '宋穎欣_syx'}, 'text': '回复@宋穎欣_syx:好嘟', 'reply_id': 5025191761543544, 'reply_text': '老师我收', 'like_counts': 0, 'liked': False}, {'id': 5025200213066083, 'created_at': '04-20', 'source': '来自江苏', 'user': {'id': 6555946855, 'screen_name': '稀里糊涂鱼s'}, 'text': '还在嘛，可秒', 'like_counts': 0, 'liked': False}, {'id': 5025199521793155, 'created_at': '04-20', 'source': '来自浙江', 'user': {'id': 7779667339, 'screen_name': '小狗失约的冬天'}, 'text': '回复@宋穎欣_syx:回我', 'reply_id': 5025191761543544, 'reply_text': '老师我收', 'like_counts': 0, 'liked': False}, {'id': 5025191761543544, 'created_at': '04-20', 'source': '来自贵州', 'user': {'id': 7794211966, 'screen_name': '宋穎欣_syx'}, 'text': '老师我收', 'like_counts': 0, 'liked': False}, {'id': 5025191115627407, 'created_at': '04-20', 'source': '来自江苏', 'user': {'id': 7684022337, 'screen_name': '嶋守鮎'}, 'text': '我收', 'like_counts': 0, 'liked': False}, {'id': 5025190186588416, 'created_at': '04-20', 'source': '来自广东', 'user': {'id': 7741623317, 'screen_name': 'xox酒'}, 'text': '老师互关', 'like_counts': 0, 'liked': False}, {'id': 5025190155128376, 'created_at': '04-20', 'source': '来自重庆', 'user': {'id': 6008086406, 'screen_name': '集音帛'}, 'text': '我收 ""[举手]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-20 11:02:11
[dfed7e1c5f],[aee2c4502e],"时代少年团周边中转站
出4号特权码，3优先 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T10:56:26,时代少年团周边中转站超话,0,2,"[{""id"": ""[760cfe695d]"", ""created_at"": ""04-20"", ""source"": ""来自浙江"", ""user"": {""id"": ""[5f4de6ab3b]"", ""screen_name"": ""[e3bfe67397]""}, ""text"": ""回复@开花沼泽w:45买断"", ""reply_id"": 5025188970499716, ""reply_text"": ""问价"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c2ea8468fc]"", ""created_at"": ""04-20"", ""source"": ""来自湖北"", ""user"": {""id"": ""[fc3a714a49]"", ""screen_name"": ""[3c9ec85ab6]""}, ""text"": ""问价"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-20 10:56:26
[c20832fa5a],[cd063c9912],"宋亚轩周边中转站
出4号滴特权码 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T10:52:17,宋亚轩周边中转站超话,0,1,"[{""id"": ""[8be6312391]"", ""created_at"": ""04-20"", ""source"": ""来自浙江"", ""user"": {""id"": ""[48f9fd163e]"", ""screen_name"": ""[4dbdcd9d7d]""}, ""text"": ""问价"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-20 10:52:17
[390ff23779],[9ba4113ec7],"时代少年团周边中转站
今天特权码价位多少啊，我出 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T10:45:56,时代少年团周边中转站超话,0,18,"[{'id': 5025186404895272, 'created_at': '04-20', 'source': '来自河南', 'user': {'id': 7264424229, 'screen_name': '小恩椰子汁_'}, 'text': '宝宝50买断出吗 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5025186248131913, 'created_at': '04-20', 'source': '来自江西', 'user': {'id': 7816399228, 'screen_name': '雲間甜餅'}, 'text': '我收宝宝，四十可吗', 'like_counts': 0, 'liked': False}, {'id': 5025186216149103, 'created_at': '04-20', 'source': '来自广东', 'user': {'id': 7565909365, 'screen_name': '摩摩摩尔芝士'}, 'text': '40收3号的 ""[举手]""', 'like_counts': 0, 'liked': False}, {'id': 5025186068040766, 'created_at': '04-20', 'source': '来自四川', 'user': {'id': 7781567295, 'screen_name': '刘马的小张'}, 'text': '回复@刘马的小张:四十买断', 'reply_id': 5025186035794148, 'reply_text': '我要我要', 'like_counts': 0, 'liked': False}, {'id': 5025186049688541, 'created_at': '04-20', 'source': '来自湖南', 'user': {'id': 6619167177, 'screen_name': '小羊布焦绿'}, 'text': '3号还在吗？45买', 'like_counts': 0, 'liked': False}, {'id': 5025186035794148, 'created_at': '04-20', 'source': '来自四川', 'user': {'id': 7781567295, 'screen_name': '刘马的小张'}, 'text': '我要我要', 'like_counts': 0, 'liked': False}, {'id': 5025186032125639, 'created_at': '04-20', 'source': '来自四川', 'user': {'id': 7717284781, 'screen_name': '服务员小新亚亚亚_'}, 'text': '35出吗宝宝 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5025186031863364, 'created_at': '04-20', 'source': '来自江苏', 'user': {'id': 7892495294, 'screen_name': '蓝月湾贝斯手'}, 'text': '蹲', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-20 10:45:56
[cc0d762738],[f1368ddca3],"抑郁症
很累，很困，但就是睡不着 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T00:01:03,抑郁症超话,2,1,"[{""id"": ""[eafcfbd716]"", ""created_at"": ""04-18"", ""source"": ""来自河北"", ""user"": {""id"": ""[865987c8eb]"", ""screen_name"": ""[7a7ec866ea]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-18 00:01:03
[2df7d7da80],[cf29adf223],"宋亚轩周边中转站
08付款已发货 ",[9b2d5b4678],[50fa4301e9],[9b2d5b4678],,2024-04-13T15:27:30,宋亚轩周边中转站超话,3,0,,0,,[9b2d5b4678],2024-04-13 15:27:30
[20a60763c4],[d385d797d5],"时代少年团周边中转站
两天买断基本什么价？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-09T21:23:19,时代少年团周边中转站超话,2,2,"[{""id"": ""[dab4fa9ba8]"", ""created_at"": ""04-09"", ""source"": ""来自广东"", ""user"": {""id"": ""[466ae71ec5]"", ""screen_name"": ""[de199adb37]""}, ""text"": ""60-70"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[30d3cb1436]"", ""created_at"": ""04-09"", ""source"": ""来自浙江"", ""user"": {""id"": ""[5f4de6ab3b]"", ""screen_name"": ""[e3bfe67397]""}, ""text"": ""11"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-09 21:23:19
[0bcc6d68ed],[1a218878a0],"抑郁症
昨天出车祸了，脚韧带扭伤了
刚准备减肥又泡汤了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T16:37:39,抑郁症超话,0,5,"[{""id"": ""[27db8f6541]"", ""created_at"": ""04-08"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[078d60b163]"", ""screen_name"": ""[a8af464cab]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7ecc5e80f0]"", ""created_at"": ""04-08"", ""source"": ""来自浙江"", ""user"": {""id"": ""[5f4de6ab3b]"", ""screen_name"": ""[e3bfe67397]""}, ""text"": ""回复@YuanDi老吕:好 [抱抱]"", ""reply_id"": 5020933393223990, ""reply_text"": ""人没事就好了一定要注意安全哦～ [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[025fa9fd77]"", ""created_at"": ""04-08"", ""source"": ""来自江苏"", ""user"": {""id"": ""[d67c2c9909]"", ""screen_name"": ""[a69ce16356]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9550654874]"", ""created_at"": ""04-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[387f77d1de]"", ""created_at"": ""04-08"", ""source"": ""来自福建"", ""user"": {""id"": ""[7896afe84c]"", ""screen_name"": ""[aceb8963f9]""}, ""text"": ""人没事就好了一定要注意安全哦～ [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 16:37:39
