id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[18b91b7c31],[6077d52878],"抑郁症
如何幸福 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T01:21:28,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-09 01:21:28
[af344c3001],[142d19d5f6],"抑郁症
好難過啊
人生和心情也是 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T19:34:49,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-08 19:34:49
[50cc047329],[53d1e2ce02],"抑郁症
健康的身體
健康的情緒
我都是沒有的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T19:10:10,抑郁症超话,0,4,"[{'id': 5031929630163165, 'created_at': '7小时前', 'source': '来自中国香港', 'user': {'id': 6123924959, 'screen_name': '如果消失df'}, 'text': '回复@SingingZhang:我生病去醫院然後發生醫療事故了 ""[苦涩]""', 'reply_id': 5031887389853549, 'reply_text': '回复@如果消失df:生病了而已 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5031887389853549, 'created_at': '9小时前', 'source': '来自四川', 'user': {'id': 5312398481, 'screen_name': 'SingingZhang'}, 'text': '回复@如果消失df:生病了而已 [抱抱]', 'reply_id': 5031872663651553, 'reply_text': '回复@SingingZhang:為什麼呀', 'like_counts': 0, 'liked': False}, {'id': 5031872663651553, 'created_at': '10小时前', 'source': '来自中国香港', 'user': {'id': 6123924959, 'screen_name': '如果消失df'}, 'text': '回复@SingingZhang:為什麼呀', 'reply_id': 5031850168815116, 'reply_text': '一样 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5031850168815116, 'created_at': '12小时前', 'source': '来自四川', 'user': {'id': 5312398481, 'screen_name': 'SingingZhang'}, 'text': '一样 [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-08 19:10:10
[66e9ccaa30],[9572305342],"抑郁症
我不奢求幸福了
我不要再難過便好了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T19:06:32,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-08 19:06:32
[1f3225473a],[4b8391aeee],"抑郁症
死不去
可是我也活不下去了
我不知道還能怎麼辦 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T00:43:56,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-08 00:43:56
[66235897f1],[120b68db62],"华晨宇
香港站分下午晚上場嗎 分別是幾點 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T10:03:39,华晨宇超话,1,1,"[{""id"": ""[02fd66a9d0]"", ""created_at"": ""05-06"", ""source"": ""来自广东"", ""user"": {""id"": ""[a0e33cf5cf]"", ""screen_name"": ""[b65527efc0]""}, ""text"": ""4点演唱会开始，进场后不能出来"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 10:03:39
[fb792e6332],[179f56776c],"华晨宇
請問香港那幾場980是內場還是外場？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T00:56:45,华晨宇超话,2,2,"[{""id"": ""[fae86c7a82]"", ""created_at"": ""05-06"", ""source"": ""来自广东"", ""user"": {""id"": ""[a0e33cf5cf]"", ""screen_name"": ""[b65527efc0]""}, ""text"": ""回复@大梨yuu:980应该是场中吧"", ""reply_id"": 5030473624191449, ""reply_text"": ""内场噢"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[013413656f]"", ""created_at"": ""05-05"", ""source"": ""来自广东"", ""user"": {""id"": ""[7b83f042be]"", ""screen_name"": ""[0064c8ea69]""}, ""text"": ""内场噢"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 00:56:45
[4aa800ba4a],[85ee380c86],"抑郁症
想消失 再也沒意識 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T18:39:45,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-04 18:39:45
[4a89e7026b],[4cecf1e8d6],"华晨宇
明天最好幾點到啊 幾點可以進場呀
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T00:00:43,华晨宇超话,3,1,"[{""id"": ""[515dd48478]"", ""created_at"": ""05-01"", ""source"": ""来自浙江"", ""user"": {""id"": ""[41928391be]"", ""screen_name"": ""[7e406bfcd8]""}, ""text"": ""别问可不可以 只说开不开心，其它都别在意，你在 曙光照进来的生命里，变得如此美丽。——@华晨宇yu《走，一起去看日出吧》"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-01 00:00:43
[234b0bf75a],[5ab14419ee],"#华晨宇#我的媽呀 好期待
 ",[9b2d5b4678],[6e6992bf90],[9b2d5b4678],,2024-04-29T09:54:52,iQOO Z5 性能先锋,0,0,,0,华晨宇,[9b2d5b4678],2024-04-29 09:54:52
