id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[c1e01aacf2],[853f749614],"抑郁症
感觉脑子要炸掉了。呼吸好困难。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T18:45:01,抑郁症超话,0,1,"[{""id"": ""[42cbacc0d0]"", ""created_at"": ""05-04"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 18:45:01
[dbb5d1c5e8],[1bf4dadf42],"抑郁症
不想去学校。想④。。。。一提到学校就害怕 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T17:51:59,抑郁症超话,2,5,"[{""id"": ""[0feb13cc71]"", ""created_at"": ""05-04"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[b898cdc554]"", ""screen_name"": ""[650969edab]""}, ""text"": ""呜呜抱抱宝子，我也是现在就已经开始难过了 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c6145a1718]"", ""created_at"": ""05-04"", ""source"": ""来自广西"", ""user"": {""id"": ""[bd52baca52]"", ""screen_name"": ""[cb222c8021]""}, ""text"": ""给自己找点事做吧，出去散散步，看看风景什么的 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ba432f8950]"", ""created_at"": ""05-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[865987c8eb]"", ""screen_name"": ""[7a7ec866ea]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[697c4edd63]"", ""created_at"": ""05-04"", ""source"": ""来自河南"", ""user"": {""id"": ""[8167b24144]"", ""screen_name"": ""[66b5171ccb]""}, ""text"": ""我也是啊啊啊啊啊，一直在哭"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7b7fb06516]"", ""created_at"": ""05-04"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[83f50ffcf3]"", ""screen_name"": ""[a48435f10f]""}, ""text"": ""抱抱宝宝 我也是 去学校的前一天就开始难受"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 17:51:59
[d4dec62ec2],[2a7a90d674],"抑郁症
想发疯，想尖叫。。。。想睡觉，。。。困。累。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T00:52:22,抑郁症超话,1,1,"[{""id"": ""[a208df44a9]"", ""created_at"": ""05-03"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[8e8ec9913c]"", ""screen_name"": ""[913758660d]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 00:52:22
[211d46f037],[faddb5c241],"抑郁症
其实我知道自己挺贱的，但有时候又不想承认。。嗯。我还是死掉好了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T00:38:19,抑郁症超话,1,1,"[{""id"": ""[30cfba54bc]"", ""created_at"": ""05-03"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[8e8ec9913c]"", ""screen_name"": ""[913758660d]""}, ""text"": ""抱抱别这么说自己 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 00:38:19
[dc015f5ee0],[84d443fd38],"抑郁症
好困。。好想睡觉。又不敢睡。。睡醒了明天就去学校了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T20:35:08,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-02 20:35:08
[eb2b99a677],[fd4d544919],"抑郁症
莫名其妙的，崩溃。想哭。我也不知道自己怎么了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T20:30:37,抑郁症超话,1,2,"[{""id"": ""[5e2374c015]"", ""created_at"": ""05-02"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[dca776b01b]"", ""created_at"": ""05-02"", ""source"": ""来自北京"", ""user"": {""id"": ""[f8484f65b7]"", ""screen_name"": ""[ffc4a59ca7]""}, ""text"": ""( ´･･)ﾉ(._.`)"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-02 20:30:37
[f2b19971b1],[421443c0eb],"抑郁症
全世界就我这么一个烂人。我讨厌自己，我恨自己。我不配活着。我又不敢死。我就是贱。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T20:13:01,抑郁症超话,0,3,"[{""id"": ""[1f8579a37d]"", ""created_at"": ""04-27"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@闵-027:不哭不哭抱抱"", ""reply_id"": 5027874853099503, ""reply_text"": ""回复@要长记性的木子: [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[816ca8cd01]"", ""created_at"": ""04-27"", ""source"": ""来自河北"", ""user"": {""id"": ""[767c0155c3]"", ""screen_name"": ""[e7cde5b8db]""}, ""text"": ""回复@要长记性的木子: [泪]"", ""reply_id"": 5027873695468160, ""reply_text"": ""抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0441f55855]"", ""created_at"": ""04-27"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-27 20:13:01
[d0b15e95bc],[c5886115b6],"抑郁症
 ",[9b2d5b4678],[384c83bed8],[9b2d5b4678],,2024-04-27T20:05:25,抑郁症超话,0,2,"[{'id': 5029681976050896, 'created_at': '05-02', 'source': '来自河北', 'user': {'id': 7494372560, 'screen_name': '闵-027'}, 'text': '回复@一个小乐色桶:谢谢宝宝……我发泄的时候大部分也是一块一块乱七八糟滴🥺👉🏻👈🏻', 'reply_id': 5027878264374629, 'reply_text': '你的字好好看，而且好厉害我想发泄的时候字都是一大块一大块的 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5027878264374629, 'created_at': '04-27', 'source': '来自广东', 'user': {'id': 7249863113, 'screen_name': '一个小乐色桶'}, 'text': '你的字好好看，而且好厉害我想发泄的时候字都是一大块一大块的 ""[苦涩]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-27 20:05:25
[92d79581fd],[817288f248],"抑郁症
其实我没病，我心情不好装的，我躯体化装的，我头疼装的，我呼吸不了装的。我什么都是装的。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T20:03:49,抑郁症超话,2,1,"[{""id"": ""[04ecab008c]"", ""created_at"": ""04-27"", ""source"": ""来自云南"", ""user"": {""id"": ""[113c30d9c7]"", ""screen_name"": ""[57da9c64ab]""}, ""text"": ""未经他人苦，莫劝他人善。感同身受只限于有同样或相似经历的人。好好爱自己，努力让自己好起来 [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-27 20:03:49
[3946ba61bf],[470e8a9f6a],"抑郁症
讨厌内耗。 ",[9b2d5b4678],[8ea5034361],[9b2d5b4678],,2024-04-27T20:01:15,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-27 20:01:15
