id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[beea0af011],[c0786818f3],我真的是疯了，甚至想跟我弟说…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T20:51:27,Redmi Note 12 Pro,1,1,"[{""id"": ""[39c5541d3e]"", ""created_at"": ""05-28"", ""source"": ""来自安徽"", ""user"": {""id"": ""[286aac7e49]"", ""screen_name"": ""[a30b58379d]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 20:51:27
[60cf03f1c5],[f77226f599],今年特别不想活，要不就死在今年算了…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T20:48:13,Redmi Note 12 Pro,0,0,,0,,[9b2d5b4678],2024-05-28 20:48:13
[26d6d3ad4a],[f3bfeb6098],我有时候真的很担心我能不能活完今年，今年怎么会破事儿那么多？想死的次数一次比一次频繁…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T20:46:59,Redmi Note 12 Pro,0,0,,0,,[9b2d5b4678],2024-05-28 20:46:59
[c37b7af94e],[03f5e231ac],怎么感觉本命年那么难熬…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T20:45:25,Redmi Note 12 Pro,1,0,,0,,[9b2d5b4678],2024-05-28 20:45:25
[eb8cbbbf1b],[9a05b94086],好想喝酒…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T20:44:41,Redmi Note 12 Pro,0,0,,0,,[9b2d5b4678],2024-05-28 20:44:41
[e24430a2bc],[843e18b13d],"棣月系
哈哈哈哈哈哈我真的笑了
桃花坞一开播，什么cp都能开始跑到词条底下ky拉踩了！
看得出来，唯一的真神来了！所有cp组合的粉丝都很有危机感了！！！
哈哈哈哈你们这样搞真的会让我觉得更磕到了
好好好，成为我们家Play的一环
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T23:39:43,棣月系超话,50,4,"[{""id"": ""[1c60bae0cd]"", ""created_at"": ""05-27"", ""source"": ""来自河南"", ""user"": {""id"": ""[14d65aa4c8]"", ""screen_name"": ""[e823ab9f64]""}, ""text"": ""回复@ZHEN-_-moon:哈哈哈哈哈问就是别家破防了！别家有危机感了 [doge]"", ""reply_id"": 5038432296634999, ""reply_text"": ""问就是正宫"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[69dc53aba3]"", ""created_at"": ""05-27"", ""source"": ""来自河南"", ""user"": {""id"": ""[77d8a49c26]"", ""screen_name"": ""[3fa784a9fa]""}, ""text"": ""问就是正宫"", ""like_counts"": 7, ""liked"": false}, {""id"": ""[bc663558e6]"", ""created_at"": ""05-26"", ""source"": ""来自河南"", ""user"": {""id"": ""[14d65aa4c8]"", ""screen_name"": ""[e823ab9f64]""}, ""text"": ""谁说只有唯粉会对“真嫂子”破防？cp粉也会对双方最有cp感的搭档🈶危机感！哈哈哈哈哈哈 [doge]"", ""like_counts"": 9, ""liked"": false}, {""id"": ""[f0de12a2e2]"", ""created_at"": ""05-26"", ""source"": """", ""user"": {""id"": ""[87db97ef36]"", ""screen_name"": ""[0ad1f23e07]""}, ""pic"": {""pid"": ""0078QgIRly1hpxbqb1lh5j30ji06sjvw"", ""url"": ""https://wx1.sinaimg.cn/orj360/0078QgIRly1hpxbqb1lh5j30ji06sjvw.jpg"", ""size"": ""orj360"", ""geo"": {""width"": ""702"", ""height"": ""244"", ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx1.sinaimg.cn/large/0078QgIRly1hpxbqb1lh5j30ji06sjvw.jpg"", ""geo"": {""width"": ""702"", ""height"": ""244"", ""croped"": false}}}, ""text"": ""嘿！你也在关注“桃花坞”吗？快戳网页链接进入专题页查看并关注相关博主吧，包含@宋丹丹 、@王传君 等16位博主哦，热门精彩内容不错过！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-26 23:39:43
[0739fb18d2],[9732d3b929],"我真的是好粗心的主人，汤圆的脖子被伊丽莎白圈磨的红彤彤的，脖领一圈的毛都磨断了，皮也快磨破了我才发现
…… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T22:36:10,Redmi Note 12 Pro,1,1,"[{""id"": ""[9100632ad4]"", ""created_at"": ""05-26"", ""source"": ""来自河南"", ""user"": {""id"": ""[14d65aa4c8]"", ""screen_name"": ""[e823ab9f64]""}, ""text"": ""我是真该死！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-26 22:36:10
[160ad98840],[1c3f42eaf8],"抑郁症
我之所以无法与我妈共情是因为她永远会把我当成她的“继承者”而不是“同盟者”。
她会把我看成是比她“更弱小，更好掌控”的下一位“选项”
她永远不会意识到生活中的一些琐事不是只属于女人的责任也同样属于男人，她只觉得家庭里男性成员的“坐享其成”是理所当然的。
我没有张开双手 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T13:30:07,抑郁症超话,4,1,"[{""id"": ""[8d15d98c7f]"", ""created_at"": ""05-18"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""我们都在的…我们都爱着你呢… [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-18 13:30:07
[4c483675b2],[3996b99e8a],🌿！没一件好事儿，能不能有一件好事儿！啊？！没完没了！能不能有一件顺心的事儿了？！！！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T00:08:10,Redmi Note 12 Pro,0,3,"[{""id"": ""[79d4060f5c]"", ""created_at"": ""05-18"", ""source"": ""来自河南"", ""user"": {""id"": ""[14d65aa4c8]"", ""screen_name"": ""[e823ab9f64]""}, ""text"": ""我特么的恨所有人！所有事！🌿！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6e099e56c6]"", ""created_at"": ""05-18"", ""source"": ""来自河南"", ""user"": {""id"": ""[14d65aa4c8]"", ""screen_name"": ""[e823ab9f64]""}, ""text"": ""我恨死的狗b世界了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6a425c32f9]"", ""created_at"": ""05-18"", ""source"": ""来自河南"", ""user"": {""id"": ""[14d65aa4c8]"", ""screen_name"": ""[e823ab9f64]""}, ""text"": ""🌿你妈，倒霉不能光逮着我一个人薅吧！！！世上的人都死光了还是怎么了？就光他妈怼着我一个人嚯嚯"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-18 00:08:10
[0fb41b3544],[66b7d6ff58],"这段时间是我除了当时抑郁最严重的时候自鲨念头最明显的一段时间了，我偶尔会焦虑到根本坐不住。
现在已经开始开启自救模式了，已经在想如果有工资发下来再有焦虑情况出现就去医院卖药了，但我又怕一旦吃药，到时候戒断又是一次痛苦的轮回……
戒药的经历不想再经历第二次了，感觉那段记忆都是重影的， ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-10T19:49:02,Redmi Note 12 Pro,1,3,"[{""id"": ""[183aeb0d68]"", ""created_at"": ""05-10"", ""source"": ""来自安徽"", ""user"": {""id"": ""[286aac7e49]"", ""screen_name"": ""[a30b58379d]""}, ""text"": ""宝贝阿姊人生是自己的，不要太在意他人 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c8022e6c70]"", ""created_at"": ""05-10"", ""source"": ""来自河南"", ""user"": {""id"": ""[8368396982]"", ""screen_name"": ""[70a22f40bd]""}, ""text"": ""原生家庭永远的坎 [跪了]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4d800463bb]"", ""created_at"": ""05-10"", ""source"": ""来自河南"", ""user"": {""id"": ""[14d65aa4c8]"", ""screen_name"": ""[e823ab9f64]""}, ""text"": ""哈哈哈哈因为给汤圆治了腿，我妈现在在冷暴力我，随便吧！生我干嘛，以为我想被生下来哦吗哈哈哈哈哈，好笑……"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-10 19:49:02
