id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[ae0b01f105],[1ecb703bc4],忘了你这个上古战神了 ,[9b2d5b4678],[432776b2ca],[9b2d5b4678],,2024-05-31T14:41:10,极禹女儿Android,2,0,,0,,[9b2d5b4678],2024-05-31 14:41:10
[7c95076631],[87a0cc20b6],#时代峰峻#你能把周边先发货吗 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T18:45:35,极禹女儿Android,1,0,,0,时代峰峻,[9b2d5b4678],2024-05-30 18:45:35
[4223b5d925],[ee4ea8bc2b],说的我好爽@你吃曲奇吗7 ,[9b2d5b4678],[4d27b5f77a],[9b2d5b4678],,2024-05-29T23:35:43,极禹女儿Android,1,1,"[{'id': 5039513206523355, 'created_at': '05-29', 'source': '来自四川', 'user': {'id': 7915810634, 'screen_name': '你吃曲奇吗7'}, 'text': '^o^ ""[爱慕]""', 'like_counts': 0, 'liked': False}]",0,,[e9d9a13a31],2024-05-29 23:35:43
[be33db6048],[28874ed900],"张泽禹周边中转站
出张泽禹圈 65包可🔪 走pt 现在就能发货 ",[9b2d5b4678],[d2137f0cda],[9b2d5b4678],,2024-05-29T18:04:15,张泽禹周边中转站超话,0,0,,0,,[9b2d5b4678],2024-05-29 18:04:15
[6c3c1bbd42],[df6640b14d],"极禹周边中转站
出张泽禹圈 70包可🔪 走pt ",[9b2d5b4678],[09e5223ade],[9b2d5b4678],,2024-05-29T18:01:07,极禹周边中转站超话,0,0,,0,,[9b2d5b4678],2024-05-29 18:01:07
[9191291d67],[f893dced67],"极禹周边中转站
出张泽禹圈75包可🔪 走pt ",[9b2d5b4678],[4cab89843d],[9b2d5b4678],,2024-05-29T14:50:45,极禹周边中转站超话,0,2,"[{'id': 5039395088107030, 'created_at': '05-29', 'source': '来自四川', 'user': {'id': 7649807265, 'screen_name': '-江南椰汁芋-'}, 'text': '回复@我超爱吃花椒油_Lee:是的 ""[举手]""', 'reply_id': 5039389579151707, 'reply_text': '冒昧问一下 这是真的吗因为怕有假的 ""[老师好]""', 'like_counts': 0, 'liked': False}, {'id': 5039389579151707, 'created_at': '05-29', 'source': '来自浙江', 'user': {'id': 5286954268, 'screen_name': '我超爱吃花椒油_Lee'}, 'text': '冒昧问一下 这是真的吗因为怕有假的 ""[老师好]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-29 14:50:45
[28eae00c44],[5572fdac49],"张泽禹周边中转站
出出 p1 20包  p2 75包可🔪 当天拍当天发货！走pt ",[9b2d5b4678],[d70e252f3b],[9b2d5b4678],,2024-05-29T14:40:23,张泽禹周边中转站超话,0,2,"[{'id': 5039378508024260, 'created_at': '05-29', 'source': '来自四川', 'user': {'id': 7649807265, 'screen_name': '-江南椰汁芋-'}, 'text': '回复@小狗宝宝眨眨眼Y:可以！', 'reply_id': 5039378369873032, 'reply_text': 'p1无瑕换绑吗 ""[举手]""', 'like_counts': 0, 'liked': False}, {'id': 5039378369873032, 'created_at': '05-29', 'source': '来自河北', 'user': {'id': 7870212018, 'screen_name': '小狗宝宝眨眨眼Y'}, 'text': 'p1无瑕换绑吗 ""[举手]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-29 14:40:23
[16f645559c],[9217d41d89],两天瘦两斤 也是资格 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T13:19:46,极禹女儿Android,0,0,,0,,[9b2d5b4678],2024-05-28 13:19:46
[b3f85011c4],[0b05ccc98c],"极禹周边中转站
出出 欢迎来问价 来者不拒 在线秒回 走pt 当天拍当天发货哦 ",[9b2d5b4678],[2686178863],[9b2d5b4678],,2024-05-27T14:53:09,极禹周边中转站超话,0,0,,0,,[9b2d5b4678],2024-05-27 14:53:09
[fbe48d7a8c],[626f04b791],"TF家族三代周边中转站
出出 欢迎来问价哦来者不拒 走pt 当天拍当天发货 ",[9b2d5b4678],[efeddeca70],[9b2d5b4678],,2024-05-27T14:51:56,TF家族三代周边中转站超话,0,0,,0,,[9b2d5b4678],2024-05-27 14:51:56
[89b00e712b],[66fe6eab68],"张泽禹周边中转站
出出 欢迎来问价或者自带价哦 走pt 当天拍当天发货 ",[9b2d5b4678],[7dd4008e36],[9b2d5b4678],,2024-05-27T14:49:43,张泽禹周边中转站超话,0,0,,0,,[9b2d5b4678],2024-05-27 14:49:43
[1e9f975e57],[ea33ecf2a0],"张泽禹周边中转站
自带价来呀 来者不拒给钱就出 走pt 一直在线哦 ",[9b2d5b4678],[dea9490914],[9b2d5b4678],,2024-05-27T14:41:45,张泽禹周边中转站超话,0,0,,0,,[9b2d5b4678],2024-05-27 14:41:45
[258746c287],[ae97e77ee5],#男孩模仿和平精英从3楼跳下#我嘞个鸡蛋啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T23:02:04,极禹女儿Android,1,0,,0,男孩模仿和平精英从3楼跳下,[9b2d5b4678],2024-05-26 23:02:04
[8068c3e990],[ad9bb17cb5],#骑手正在攻击你的外卖#哈哈哈哈哈哈笑死我了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T22:58:21,极禹女儿Android,1,0,,0,骑手正在攻击你的外卖,[9b2d5b4678],2024-05-26 22:58:21
[98ea00a6f9],[88f8342c46],"极禹
【童话世界掰头补贴】大家积极参与呀！掰头在这:
网页链接
补贴:
1. 5.2r*5
2. 3.2r*10
3. 1.5r*15
抽三十个人
要求：
1.本ch等级≥7
2.本次攒🍬≥32
3.🧱+
+🍎
欢迎大家积极参与呀！明晚9:30开奖哟 手动抽 抽到补贴的宝宝需要提供要求中的截图我们来审核 9:40找 ...
全文",[9b2d5b4678],[5a30efe152],[9b2d5b4678],,2024-05-25T19:55:57,极禹超话,99,109,,67,,[9b2d5b4678],2024-05-25 19:55:57
[e1c30f217e],[8e1497eaf7],"抑郁症
感觉自己的一段时间没吃药症状越来越严重了 老是感觉自己背后有人 喊我名字然后把我sha了 我越来越不能接受现在的自己 ",[9b2d5b4678],[e463e74de9],[9b2d5b4678],,2024-05-24T12:56:17,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-24 12:56:17
[914e6667d8],[f11463dc8a],昨天晚上梦到我去公演了 梦到王浩了 然后公司搞了个抽奖 抽到就可以跟自担说话就像签售会 我抽到了 跟他说了好多话 还拍了照。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T10:49:08,极禹女儿Android,0,0,,0,,[9b2d5b4678],2024-05-23 10:49:08
[ee6ee12a1d],[db792d8087],"#左邓读信#我嘞个左邓读信啊
 不磕但爱看戏 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T22:10:54,极禹女儿Android,1,0,,0,左邓读信,[9b2d5b4678],2024-05-22 22:10:54
[1d7c844f1c],[fd1076c30f],"小马宝莉周边中转站
出柔柔cr45半包 走pt ",[9b2d5b4678],[1c70c95f3d],[9b2d5b4678],,2024-05-20T21:17:09,小马宝莉周边中转站超话,2,6,"[{""id"": ""[8859b2010b]"", ""created_at"": ""05-25"", ""source"": ""来自四川"", ""user"": {""id"": ""[4e896ac43c]"", ""screen_name"": ""[eb67a2381a]""}, ""text"": ""回复@谁偷了我的富贵生活:不在了宝"", ""reply_id"": 5037685397523750, ""reply_text"": ""还在吗？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[61856a73c3]"", ""created_at"": ""05-24"", ""source"": ""来自河南"", ""user"": {""id"": ""[869b9b1b62]"", ""screen_name"": ""[ae0bdd2862]""}, ""text"": ""还在吗？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5f8df7861f]"", ""created_at"": ""05-21"", ""source"": ""来自河北"", ""user"": {""id"": ""[5c2dd78bb9]"", ""screen_name"": ""[15b0295eab]""}, ""text"": ""宝宝我又想收了还在吗 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[dc0d37d79b]"", ""created_at"": ""05-20"", ""source"": ""来自四川"", ""user"": {""id"": ""[4e896ac43c]"", ""screen_name"": ""[eb67a2381a]""}, ""text"": ""回复@虞_思琦:宝宝我出不换 [泪]"", ""reply_id"": 5036216900129971, ""reply_text"": ""宝宝换卡吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[23a04df680]"", ""created_at"": ""05-20"", ""source"": ""来自河北"", ""user"": {""id"": ""[5c2dd78bb9]"", ""screen_name"": ""[15b0295eab]""}, ""text"": ""换卡吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ad8dfb09d0]"", ""created_at"": ""05-20"", ""source"": ""来自河北"", ""user"": {""id"": ""[5c2dd78bb9]"", ""screen_name"": ""[15b0295eab]""}, ""text"": ""宝宝换卡吗"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 21:17:09
[daefc8dda0],[52979620a1],"小马宝莉周边中转站
出柔柔cr 50包 有意者私 走pt哦 ",[9b2d5b4678],[98e6147ca4],[9b2d5b4678],,2024-05-20T20:13:35,小马宝莉周边中转站超话,0,0,,0,,[9b2d5b4678],2024-05-20 20:13:35
[f8e4399b4e],[0c7f026d00],"小马宝莉周边中转站
出柔柔的cr 55半包可小🔪 ",[9b2d5b4678],[e7f04ebcab],[9b2d5b4678],,2024-05-20T19:52:48,小马宝莉周边中转站超话,0,0,,0,,[9b2d5b4678],2024-05-20 19:52:48
[1d95b1872b],[5f8a665a3b],"谁是你的心动crush？ 
网页链接
张极 我的点评：[苹果][苹果][苹果][苹果][苹果]#心动crush超会评# ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T00:05:44,追星BOT超话,0,0,,0,心动crush超会评,[9b2d5b4678],2024-05-20 00:05:44
[c31684cdff],[5622e9e22f],"谁是你的心动crush？ 
网页链接
张泽禹 我的点评：[苹果][苹果][苹果][苹果][苹果]#心动crush超会评# ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T00:05:40,追星BOT超话,0,0,,0,心动crush超会评,[9b2d5b4678],2024-05-20 00:05:40
[0b33b1b113],[99a91cdb80],欧巴和你一起520@TF家族-王Hao ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T00:04:09,极禹女儿Android,0,0,,0,,[7a9ab2fb33],2024-05-20 00:04:09
[bc2e15b071],[1d5bb762f7],"我能和你过520了
 ",[9b2d5b4678],[6355ac61ca],[9b2d5b4678],,2024-05-19T23:23:30,极禹女儿Android,0,0,,0,,[9b2d5b4678],2024-05-19 23:23:30
[9a001aef7b],[2a48700e3b],"四代你们是真牛逼 让我这么快就当上了毒妇
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T21:23:18,极禹女儿Android,0,0,,0,,[9b2d5b4678],2024-05-18 21:23:18
[094185ac9e],[1c2553996a],#TF家族传声筒#王浩的回应呢？请贵公司正面回应粉丝诉求❗❗王浩不是拿给你们当垫背的❗❗@TF家族fans传声筒 ,[9b2d5b4678],[9fa79ab3c7],[9b2d5b4678],,2024-05-14T20:18:41,极禹女儿Android,1,0,,0,TF家族传声筒,[12cbbb422c],2024-05-14 20:18:41
[cc7119c0bf],[7e92e42884],#王浩声纹对比#贵公司给王浩发澄清 对你们这个狗公司无语了 王浩给你们当垫背的吗@TF家族 ,[9b2d5b4678],[14d1ad80fe],[9b2d5b4678],,2024-05-14T16:03:58,极禹女儿Android,3,0,,0,王浩声纹对比,[b1b22100d0],2024-05-14 16:03:58
[6e489491b9],[f402a72a62],"分享视频 
-江南椰汁芋-的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[fd9d3c7222],,2024-05-12T21:09:58,极禹女儿Android,1,1,"[{""id"": ""[4ce7e1f9bf]"", ""created_at"": ""05-12"", ""source"": ""来自四川"", ""user"": {""id"": ""[4f4f87a6fa]"", ""screen_name"": ""[e9d9a13a31]""}, ""text"": ""我最爱你了 你知道的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-12 21:09:58
[03ea785a73],[5b36e7a3fe],和见过三次自担的小姐姐见面了aaa@你吃曲奇吗7 ,[9b2d5b4678],[4608221d07],[a127cf0e4a],,2024-05-12T13:41:04,iPhone 13,1,1,"[{""id"": ""[2dc54e7a59]"", ""created_at"": ""05-12"", ""source"": ""来自四川"", ""user"": {""id"": ""[4f4f87a6fa]"", ""screen_name"": ""[e9d9a13a31]""}, ""text"": ""ok"", ""like_counts"": 0, ""liked"": false}]",0,,[e9d9a13a31],2024-05-12 13:41:04
[1259e1846e],[eb3c9296fe],"8天后和谁过520最幸福? 
◻海王   ◻渣女   ◻舔狗
◻海后   ◻小丑    ✅-江南椰汁芋- ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T11:17:57,极禹女儿Android,0,2,"[{""id"": ""[6acb7a2452]"", ""created_at"": ""05-12"", ""source"": ""来自四川"", ""user"": {""id"": ""[4f4f87a6fa]"", ""screen_name"": ""[e9d9a13a31]""}, ""text"": ""傻狗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[569493306c]"", ""created_at"": ""05-12"", ""source"": """", ""user"": {""id"": ""[f0cda98768]"", ""screen_name"": ""[ffeae26bfe]""}, ""text"": ""快来体验优质博文加热器，让更多人看你所想&gt;&gt;网页链接"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-12 11:17:57
