id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[681ccd16e0],[c8675903fa],"金喵儿
59进去就显示人数过多了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T20:02:30,金喵儿超话,0,0,,0,,[9b2d5b4678],2024-05-20 20:02:30
[5dc8028f81],[947f91ce4b],烦 难受 胸口好闷。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T10:13:34,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-20 10:13:34
[4eef4f255c],[85611d0b1f],"欢脱的小水母
520快乐
看我抽的水母背饰 ",[9b2d5b4678],[b07664a058],[9b2d5b4678],,2024-05-20T08:32:47,欢脱的小水母超话,5,1,"[{'id': 5036081095643341, 'created_at': '05-20', 'source': '来自广西', 'user': {'id': 6767030182, 'screen_name': '山间自由'}, 'text': '好看 ""[送花花]""', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-05-20 08:32:47
[67165ad737],[3c88876aa3],"CV水漫金山
拯救世界原来是这个意思 ",[9b2d5b4678],[62889024dd],[9b2d5b4678],,2024-05-03T13:10:24,CV水漫金山超话,86,3,"[{""id"": ""[64bfc9cd01]"", ""created_at"": ""05-03"", ""source"": ""来自河南"", ""user"": {""id"": ""[6ef25f770d]"", ""screen_name"": ""[54f5810eca]""}, ""text"": ""拯救她的全世界 [doge]"", ""like_counts"": 9, ""liked"": false}, {""id"": ""[93fe5329b4]"", ""created_at"": ""05-03"", ""source"": ""来自广东"", ""user"": {""id"": ""[45b08125a6]"", ""screen_name"": ""[0f32fa7ec2]""}, ""text"": ""顾重就是她的全世界 [馋嘴]"", ""like_counts"": 11, ""liked"": false}, {""id"": ""[aff39973f4]"", ""created_at"": ""05-03"", ""source"": ""来自广东"", ""user"": {""id"": ""[b889899651]"", ""screen_name"": ""[ea6e37c5ad]""}, ""text"": ""拯救顾重，怎么不算拯救世界呢 [喵喵]"", ""like_counts"": 13, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 13:10:24
[4f03f2bebc],[df419d8d12],"今天生日🎂
没想到居然活到22岁了
我也太厉害了叭
许个愿
希望你们都能开心 ",[9b2d5b4678],[d9c682dbd3],[9b2d5b4678],,2024-04-22T22:58:18,抑郁症超话,27,28,,0,,[9b2d5b4678],2024-04-22 22:58:18
[6c805961ed],[9d6e201dca],"抑郁症
真烦死，我能不能莫名其妙哑掉啊，和人说话交流是真的累。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-01T21:14:36,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-01 21:14:36
[0589721871],[ff2b868e04],"抑郁症
晚上果然容易想很多，好难受啊，又要想不通了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-19T01:25:35,抑郁症超话,0,2,"[{""id"": ""[0e7a30de06]"", ""created_at"": ""03-19"", ""source"": ""来自湖南"", ""user"": {""id"": ""[f88c702ad4]"", ""screen_name"": ""[b7a0845c8b]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9ec875469d]"", ""created_at"": ""03-19"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-19 01:25:35
[84822fc2d7],[73309d5d89],"抑郁症
睡不着，吃过药还是睡不着，头痛的要炸了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-15T04:46:02,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-15 04:46:02
[e5402c6625],[7c468a17e8],"好烦，最近不知道怎么，情绪很暴躁，和我说两句话就很不耐烦。
晚上爷爷和我说话，不太记得问了什么（大概是和我哥有关的，是我不太喜欢的话题），当时只觉得很吵，很烦，所以脾气很不好，一直都很不耐烦，爷爷问是不是讨厌他了，我说没有（语气还是不太好），爷爷接着说了句“不可以讨厌爷爷啊”，就 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-06T03:25:27,抑郁症超话,3,5,"[{""id"": ""[49077cd558]"", ""created_at"": ""03-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1a0b50f58d]"", ""created_at"": ""03-06"", ""source"": ""来自广西"", ""user"": {""id"": ""[ab0d82ede1]"", ""screen_name"": ""[eb7dd95675]""}, ""text"": ""回复@-江枫余火-: [抱抱]"", ""reply_id"": 5008776439267971, ""reply_text"": ""我的爷爷去世了 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5bc32c38d8]"", ""created_at"": ""03-06"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d90475fffd]"", ""screen_name"": ""[af07940ca0]""}, ""text"": ""我的爷爷去世了 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1b27be8850]"", ""created_at"": ""03-06"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[d90475fffd]"", ""screen_name"": ""[af07940ca0]""}, ""text"": ""抱抱你 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6acbf96d85]"", ""created_at"": ""03-06"", ""source"": ""来自广西"", ""user"": {""id"": ""[ab0d82ede1]"", ""screen_name"": ""[eb7dd95675]""}, ""text"": ""突然发现，爷爷好像和我说过很多次“是不是讨厌爷爷了” 为数不多不会放弃我的人，我怎么会讨厌你 [跪了]"", ""like_counts"": 2, ""liked"": false}]",0,,[9b2d5b4678],2024-03-06 03:25:27
[8c78d3a99e],[d29b37e32c],好烦好烦 好难受 胸口好闷 好吵 听到声音就好烦 好恶心 要死了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-03T19:52:38,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-03 19:52:38
[149d148baf],[11224edd34],"好烦 睡不着 感觉我要死掉了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-03T07:20:15,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-03 07:20:15
