id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[186475acd5],[b4001b25be],"GFriend
重温了一下shyBoy的舞台 好漂亮的三个芭比娃娃
最好的Gfriend ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T22:46:23,GFriend超话,1,0,,0,,[9b2d5b4678],2024-04-18 22:46:23
[c3948c1395],[7b4b382305],"Les表白墙
颜控慎入。。。交友恋爱都可以 可以秒谈 ",[9b2d5b4678],[7081b1c2ea],[9b2d5b4678],,2024-04-17T22:32:50,Les表白墙超话,1,2,"[{""id"": ""[802b315bac]"", ""created_at"": ""04-17"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[8827a4fb51]"", ""screen_name"": ""[ece395323b]""}, ""text"": ""回复@郑在炫饭aa:私 [抱抱]"", ""reply_id"": 5024276937442286, ""reply_text"": ""我！！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3138ce0481]"", ""created_at"": ""04-17"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[9f8e307849]"", ""screen_name"": ""[85efc7a4d4]""}, ""text"": ""我！！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 22:32:50
[203782ad61],[6bb71e6162],"抑郁症
好崩溃啊为什么要怪我 月考考不好是我的问题吗
我明明已经很努力了 是你不带我去看医生让我躯体化加重导致现在这样 为什么要怪我啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T20:56:10,抑郁症超话,0,1,"[{""id"": ""[4ec209d82d]"", ""created_at"": ""04-15"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱你已经很棒了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 20:56:10
[76ad8cfa0f],[8a1e68233e],"抑郁症
好累 感觉一辈子也就这样了 不想活下去了 破碎的原生家庭 情绪不稳定的父母 稀碎的成绩 岌岌可危的人际关系 我好像真的一事无成 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T00:45:26,抑郁症超话,1,2,"[{""id"": ""[82de229c42]"", ""created_at"": ""04-15"", ""source"": ""来自河南"", ""user"": {""id"": ""[ec44a02373]"", ""screen_name"": ""[fa0dfa8c67]""}, ""text"": ""我们好像 [doge]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9f10107960]"", ""created_at"": ""04-15"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 00:45:26
[e27556aed1],[135a00b152],"抑郁症
好难受 为什么没有人理解我 没有人愿意爱我 没有人愿意听我说话
好痛苦啊 好崩溃但我还要上学 哪怕胳膊已经血淋淋的了我还得笑 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T23:55:59,抑郁症超话,0,3,"[{""id"": ""[29d9db09aa]"", ""created_at"": ""04-13"", ""source"": ""来自广西"", ""user"": {""id"": ""[7bf690e642]"", ""screen_name"": ""[d9f055a30d]""}, ""text"": ""还有我们呢 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[18d4abc53c]"", ""created_at"": ""04-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""爱你爱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c4cc4edf7e]"", ""created_at"": ""04-13"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[8827a4fb51]"", ""screen_name"": ""[ece395323b]""}, ""text"": ""我不知道该怎么办了 吃不下东西 上课的时候突然跑出去吐 心悸胃痛头痛耳鸣折磨的我根本上不好课 今天考月考又考砸了 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 23:55:59
[c1af856b86],[edddcd9fd1],好难受 睡不着 最后一次试试抽血 再扎不出我就真的要再用刀了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T00:13:15,抑郁症超话,0,1,"[{""id"": ""[9c36f5d45f]"", ""created_at"": ""04-12"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": ""不要伤害自己 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 00:13:15
[5dce515d0f],[befee50010],"抑郁症
鼓起勇气报了艺术节 被家人说像僵尸的舞原来很好看啊 我唱歌原来也是能被夸好听的
大家真的要多出去尝试尝试 真的会接收到意想不到的善意和惊喜 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-11T20:53:36,抑郁症超话,1,1,"[{""id"": ""[bd1270ab88]"", ""created_at"": ""04-11"", ""source"": ""来自广西"", ""user"": {""id"": ""[ec8a00ed54]"", ""screen_name"": ""[c77acaeb9d]""}, ""text"": ""很棒呀 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-11 20:53:36
[ddf8bda1f9],[2e832e3475],"抑郁症
怎么办啊父母不带我去看医生了 很久之前就私自断药了 现在躯体化一天比一天重 还被老师同学阴阳 我该怎么办啊
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T23:05:24,抑郁症超话,1,4,"[{""id"": ""[48b6fcd6bd]"", ""created_at"": ""04-09"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[8e8ec9913c]"", ""screen_name"": ""[913758660d]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[08376c6587]"", ""created_at"": ""04-08"", ""source"": ""来自浙江"", ""user"": {""id"": ""[3903944109]"", ""screen_name"": ""[84e48a48d0]""}, ""text"": ""自己去看 私自断药真的不可取！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b2878093a7]"", ""created_at"": ""04-08"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[8827a4fb51]"", ""screen_name"": ""[ece395323b]""}, ""text"": ""回复@-小七七七七七-:有点难过 真的不知道该怎么办了 不想上学但是谢谢宝宝的安慰 [泪]"", ""reply_id"": 5021024244732550, ""reply_text"": ""宝宝我不知道怎么安慰你，我没有遇到过这种情况，那就抱一抱吧 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7369c2b275]"", ""created_at"": ""04-08"", ""source"": ""来自山西"", ""user"": {""id"": ""[cff65c1bd9]"", ""screen_name"": ""[66d4defd45]""}, ""text"": ""宝宝我不知道怎么安慰你，我没有遇到过这种情况，那就抱一抱吧 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 23:05:24
[378a976a45],[6fd9977fd6],#金秋天#猜你想看 ,[9b2d5b4678],[ccc90618a5],[9b2d5b4678],,2024-04-06T14:27:50,OPPO A57 5G,1,0,,1,金秋天,[9b2d5b4678],2024-04-06 14:27:50
[c4b208ba23],[f29c47d41d],#金秋天#精致漂亮的小松鼠谁能不爱 ,[9b2d5b4678],[615ec31af4],[9b2d5b4678],,2024-04-06T14:26:57,OPPO A57 5G,2,0,,1,金秋天,[9b2d5b4678],2024-04-06 14:26:57
