id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[f31132f235],[b23fa4c763],我靠话题的男的恶心的让人想吐，能不能死一死我服了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T16:12:25,Android,0,0,,0,,[9b2d5b4678],2024-06-08 16:12:25
[b005bc7997],[1bf68251f0],天天被不知所谓的各种负能量吞噬，解决其中一种往往意味着带来另一种 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T04:15:16,Android,0,0,,0,,[9b2d5b4678],2024-06-08 04:15:16
[b610955664],[ab24b7fdc3],分不清是哭到过呼吸痛苦还是怎么也哭不出来痛苦 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T00:44:51,Android,0,0,,0,,[9b2d5b4678],2024-06-06 00:44:51
[03d8f1d2b4],[2faab0573d],告诉我怎么获取正面情绪，一吃东西就暴食然后狂吐，一画画就因为水平差的要死画不动，打游戏刷视频会病态沉迷，买新衣服自己穿上都丑的要死，永远在被家里人骂，朋友根本不喜欢听精神病说话，睡觉只是为了逃避幻听，生各种病吃药像吃饭还要被骂花钱，起码我割还能爽几分钟 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T23:24:55,Android,0,0,,0,,[9b2d5b4678],2024-06-05 23:24:55
[ba7a393758],[8c1ba25572],嗯，，，其实我不知道你们到底有没有看见，因为我特别容易热所以其实不太想遮 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T22:38:26,Android,0,0,,0,,[9b2d5b4678],2024-06-04 22:38:26
[d7b5dbd994],[8953d8f9ae],短袖out ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T00:26:27,Android,0,0,,0,,[9b2d5b4678],2024-06-04 00:26:27
[dceeb3ccdc],[d9fec20d2c],"还我碎玻璃片
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T00:08:53,Android,0,0,,0,,[9b2d5b4678],2024-06-04 00:08:53
[f9280a1316],[c90301dadb],不是藏我刀就算了藏我药是要干嘛 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T06:33:08,Android,0,0,,0,,[9b2d5b4678],2024-06-03 06:33:08
[0cdc5b5a87],[630c555408],不是藏我刀干嘛 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T23:25:30,Android,0,0,,0,,[9b2d5b4678],2024-06-02 23:25:30
[bc17ba004f],[c76f7aedf7],对不起对不起对不起 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T06:35:40,Android,0,0,,0,,[9b2d5b4678],2024-05-31 06:35:40
[5e8fb45261],[a3a96a1117],有时候真的很好奇，为什么一个高中生连吹牛都吹得特别幼稚，有种幻视我小学四年级混网会说的话，一个快成年的人心智怎么会那么低龄，小姐姐你吹的牛是真的只有不上网的山顶洞人才会信的程度。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T23:29:49,Android,1,0,,0,,[9b2d5b4678],2024-05-24 23:29:49
[2384322c36],[8fac301c8f],疼得想把肚子这块肉和肠胃切下来丢掉 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T06:39:35,Android,0,0,,0,,[9b2d5b4678],2024-05-20 06:39:35
[9b536a551b],[a7b0b847d8],说起来挺恶心但是但是现在感觉喉咙口全是胃酸，呕呕呕呕呕呕呕呕呕呕呕呕呕呕呕呕呕呕呕呕呕 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T06:27:08,Android,0,0,,0,,[9b2d5b4678],2024-05-20 06:27:08
[172ac89506],[2ccea78885],呕呕呕呕呕呕呕呕呕呕呕呕呕呕呕呕就让我烂死吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T06:46:41,Android,0,0,,0,,[9b2d5b4678],2024-05-13 06:46:41
[f86ed6cc98],[ead344daa6],为什么为什么到底为什么，我真的很想知道为什么，我知道我该死所以到底为什么 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T00:34:28,Android,0,0,,0,,[9b2d5b4678],2024-04-27 00:34:28
[ba19a77128],[fae209caa1],不是你们真的能够无条件被人关心的吗？我可是像死人一样什么都没干也要被人背刺的啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T00:33:13,Android,0,0,,0,,[9b2d5b4678],2024-04-27 00:33:13
[84ecfa7413],[8d91805b4c],疼疼疼疼疼疼疼疼疼疼疼呕呕呕呕呕呕呕呕呕 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T03:36:00,Android,0,0,,0,,[9b2d5b4678],2024-04-14 03:36:00
