id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[553ea90d5b],[1759ce741a],"亲爱的x，有时候，我下意识的把自己活成了配角。总是在定制繁重的计划，看着最后期限过日子。像是一位辛苦的外卖员，一单又一单地累积幸福。亲爱的，幸福真的是积累出来的吗？老一辈常强调“省”的概念，我认为也有道理。可到今天，我认为幸福不是省出来的，而是“放”出来的。亲爱的，我无意鼓励你疯 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T15:33:50,vivo手机,1,1,"[{""id"": ""[da43afc15f]"", ""created_at"": ""昨天 00:48"", ""source"": ""来自江西"", ""user"": {""id"": ""[545df1c2d7]"", ""screen_name"": ""[f21fd62b8b]""}, ""text"": ""睡莲老师视频里的 [跪了]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 15:33:50
[c65785a877],[1211aee550],"抑郁症
感觉自己不应该活着。。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T00:57:43,抑郁症超话,0,1,"[{""id"": ""[4d1300dbff]"", ""created_at"": ""05-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[58342cc361]"", ""screen_name"": ""[b5ac66cf73]""}, ""text"": ""明天会更好的 加油"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 00:57:43
[ce0e0dc2f2],[70beb51baa],杨震！！！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T23:24:17,vivo手机,1,0,,0,,[9b2d5b4678],2024-05-01 23:24:17
[b41155f405],[c0c57c651b],"抑郁症
六岁发生的事十六岁又来一次，十岁尝到的酸楚二十岁也还是同一种，长大后失去了好多人，我的身上到处布满了隐秘的痛处，一牵扯到就丝丝拉拉地疼，只能时时有意地去略过它们，这个世界永远不会好，我也不会好 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T23:09:49,抑郁症超话,1,1,"[{""id"": ""[13cf7bfbfa]"", ""created_at"": ""04-26"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[8e8ec9913c]"", ""screen_name"": ""[913758660d]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 23:09:49
[c8699a411d],[4ff8f538c7],"抑郁症
我怎么会忘记你把我丢在雨里说我连畜牲都不如时的下午呢 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T19:45:03,抑郁症超话,0,1,"[{""id"": ""[b558e02e02]"", ""created_at"": ""04-25"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 19:45:03
[5c0113b593],[2b822f56f9],我是不是更加适合一个人走…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T20:03:19,vivo手机,1,0,,0,,[9b2d5b4678],2024-04-21 20:03:19
[0e1070c591],[820d8148b2],"抑郁症
好内疚，朋友住院了我都不知道。我还想对方帮忙介绍工作，我太不是人了呜呜
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T23:10:30,抑郁症超话,0,1,"[{""id"": ""[f0c921d713]"", ""created_at"": ""04-15"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 23:10:30
[18ebd63139],[dbbd8809f8],好烦人，真是的，别人都住院了，我还想让别人帮忙找工作，天杀的，我怎么不死了算了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T23:09:42,vivo手机,0,0,,0,,[9b2d5b4678],2024-04-14 23:09:42
[4133e2d12e],[2f8bf1cf34],再视奸我，出门不顺哦小解解 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T19:20:51,vivo手机,1,0,,0,,[9b2d5b4678],2024-04-13 19:20:51
[f3afde828f],[6cb7716faf],"好嘛好嘛好嘛好嘛好嘛好嘛
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T18:38:14,vivo手机,0,0,,0,,[9b2d5b4678],2024-04-10 18:38:14
[055ca4c9a5],[d5746afa31],想去跳楼#抑郁症# ,[9b2d5b4678],[7e7e0cb1ff],[9b2d5b4678],,2024-04-07T23:08:52,vivo手机,0,0,,0,抑郁症,[9b2d5b4678],2024-04-07 23:08:52
[cfc0b2d1af],[57613fc8ac],"南昌
找工作！！求内推，不考虑电销和煮波职位
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T22:44:34,南昌超话,1,5,"[{'id': 5027185294051418, 'created_at': '04-25', 'source': '来自江西', 'user': {'id': 6333586779, 'screen_name': '春日要叙'}, 'text': '回复@单单单晋晋晋:我也不知道怎么说', 'reply_id': 5027133548663019, 'reply_text': '回复@单单单晋晋晋:啥工作呀  还招人吗', 'like_counts': 0, 'liked': False}, {'id': 5027133548663019, 'created_at': '04-25', 'source': '来自江西', 'user': {'id': 7836502506, 'screen_name': '单单单晋晋晋'}, 'text': '回复@单单单晋晋晋:啥工作呀  还招人吗', 'reply_id': 5026283116038220, 'reply_text': '找到了吗 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5027133317716114, 'created_at': '04-25', 'source': '来自江西', 'user': {'id': 6333586779, 'screen_name': '春日要叙'}, 'text': '回复@单单单晋晋晋:在试岗 ""[苦涩]""', 'reply_id': 5026283116038220, 'reply_text': '找到了吗 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5026283116038220, 'created_at': '04-23', 'source': '来自江西', 'user': {'id': 7836502506, 'screen_name': '单单单晋晋晋'}, 'text': '找到了吗 [泪]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-04 22:44:34
[512ac0a644],[d608df241b],"谁把我电瓶车镜子偷了
 ",[9b2d5b4678],[c6a6f1c0dc],[9b2d5b4678],,2024-03-31T18:55:02,vivo手机,0,0,,0,,[9b2d5b4678],2024-03-31 18:55:02
[3085c143ba],[f638a867aa],"抑郁症
不伴有神经病症状的抑郁症是好事吧 ",[9b2d5b4678],[2818bec06c],[9b2d5b4678],,2024-03-25T17:59:52,抑郁症超话,13,22,,0,,[9b2d5b4678],2024-03-25 17:59:52
[14dbc8d0b8],[e6d4496938],够了，他妈的，深井，又不是我该死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-25T17:51:33,vivo手机,0,0,,0,,[9b2d5b4678],2024-03-25 17:51:33
