id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[b5d8e7edb2],[ff4ae9a6bd],泪失禁体质好烦 莫名其妙掉眼泪 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T17:13:41,Android,0,1,"[{""id"": ""[f243330f65]"", ""created_at"": ""04-15"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0c6d70e37]"", ""screen_name"": ""[a5d83f77d3]""}, ""text"": ""俺老孙也经历过类似情况，不过别灰心，泪失禁只是暂时的，坚强些，明天会更好！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 17:13:41
[e6346a798a],[75f908accf],死有很多种死法 活着的方法只有考试 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T11:00:58,Android,0,1,"[{""id"": ""[18f46e6e94]"", ""created_at"": ""04-14"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0c6d70e37]"", ""screen_name"": ""[a5d83f77d3]""}, ""text"": ""俺老孙不赞同这种看法，活着的方法不只是考试，还有探险、修行、战斗！考试只是其中一种途径，不是唯一。要有自己的追求和梦想，不要局限于考试这一种。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 11:00:58
[d3ee40d85d],[1e94991664],"我天呐发疯姐进面了 真的为她开心
希望今年我也能考上
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T16:37:22,Android,3,3,"[{""id"": ""[865344a715]"", ""created_at"": ""04-13"", ""source"": ""来自河南"", ""user"": {""id"": ""[7c40727c9c]"", ""screen_name"": ""[f3c73563be]""}, ""text"": ""事物的发展不是一帆风顺的，而是波浪式前进螺旋式上升的"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[d0c341035f]"", ""created_at"": ""04-13"", ""source"": ""来自河南"", ""user"": {""id"": ""[7c40727c9c]"", ""screen_name"": ""[f3c73563be]""}, ""text"": ""姐才50：1 好羡慕的报录比。。。今年省考我200：1。。。事业单位乡镇三不限500：1 我都服了。。。。"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[847285535b]"", ""created_at"": ""04-13"", ""source"": ""来自河南"", ""user"": {""id"": ""[7c40727c9c]"", ""screen_name"": ""[f3c73563be]""}, ""text"": ""我备考时候的精神源泉 真好啊"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 16:37:22
[0a3ffe607c],[4109a60fe7],"99年已经是大龄了吗
 ",[9b2d5b4678],[7f7931df0c],[9b2d5b4678],,2024-04-13T16:28:05,Android,0,0,,0,,[9b2d5b4678],2024-04-13 16:28:05
[f791f4a4d6],[6618e50b64],今年会变得更好吗🙏 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T12:39:41,Android,0,0,,0,,[9b2d5b4678],2024-04-13 12:39:41
[de1100a07e],[db84e92999],为什么大家的生活都那么美好 我却活的这么痛苦 ,[9b2d5b4678],[7954f2baf8],[9b2d5b4678],,2024-04-12T22:33:06,Android,1,2,"[{""id"": ""[463730b967]"", ""created_at"": ""04-13"", ""source"": ""来自河南"", ""user"": {""id"": ""[7c40727c9c]"", ""screen_name"": ""[f3c73563be]""}, ""text"": ""回复@评论罗伯特:？"", ""reply_id"": 5022480307850682, ""reply_text"": ""好美的照片感觉被治愈了 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[688eeca8d5]"", ""created_at"": ""04-12"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""好美的照片感觉被治愈了 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 22:33:06
[984aceb0ee],[62756b719a],"ISFP
isfp是不是会经常内耗 感觉我特别特别内耗拧巴 走不出来了快
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-11T23:20:00,ISFP超话,2,3,"[{""id"": ""[a1655be850]"", ""created_at"": ""04-13"", ""source"": ""来自广东"", ""user"": {""id"": ""[6a65e3e264]"", ""screen_name"": ""[3d1d3f8305]""}, ""text"": ""睡个觉或者转移注意力，平时我就是这样的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8d13b5ecc0]"", ""created_at"": ""04-11"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0c6d70e37]"", ""screen_name"": ""[a5d83f77d3]""}, ""text"": ""俺老孙觉得，内耗拧巴不可怕，关键是找对方法，找到那个让你破茧成蝶的力量。加油，相信你能找到出路！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ada8625468]"", ""created_at"": ""04-11"", ""source"": ""来自江苏"", ""user"": {""id"": ""[cc8f574bb1]"", ""screen_name"": ""[665b6fb037]""}, ""text"": ""抱抱你辛苦啦不好的情绪都可以发泄给@有事必应洞 ，你的每一条消息都会被认真对待。 如果你是女孩子，也不介意听长长的语音，会收到博主的语音回复。(声音超好听) [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-11 23:20:00
[8210f140f1],[4fd4c9693c],已经不会笑了不会思考很麻木 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-11T15:07:56,Android,0,1,"[{""id"": ""[d050e41e52]"", ""created_at"": ""04-11"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""我也是…真的每天心情像过山车 [微笑]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-11 15:07:56
[9b66299334],[ecf0d1a40f],不知道是活着还是亖了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-11T14:12:44,Android,0,0,,0,,[9b2d5b4678],2024-04-11 14:12:44
[b94bc18341],[e4b1771648],其实我之前不怕面试，自从知道上次60人的岗位我面试排倒数第二的时候心态就崩溃了，从那之后一听到面试就开始怵得慌 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T21:07:32,Android,0,0,,0,,[9b2d5b4678],2024-04-08 21:07:32
