id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[ccf81f3bc2],[4bab32309e],650的快乐是看过thw都会夸的。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T19:16:26,,0,0,,0,,[9b2d5b4678],2024-06-03 19:16:26
[ce68da57d5],[5c6123d162],可是即使梦回偶练 他还会回到偶练那个时期嘛 还记得自己的初心。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T18:55:07,,0,0,,0,,[9b2d5b4678],2024-06-03 18:55:07
[ca6cc9b309],[5746c10367],#汪苏泷 好听#啊啊啊啊啊啊啊啊啊啊啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T21:35:35,,0,0,,0,汪苏泷 好听,[9b2d5b4678],2024-05-31 21:35:35
[5702c8bf03],[ebdd1ede0d],"抑郁症
为什么要这样子 入学两年来我一直都是那种不怎么说话特立独行的人也和同学们不熟 因为我害怕 
一年前因为要每个月去精卫复查配药的原因 我爸爸和班主任（一个中年男子）说了我症状并让他保密 结果男班主任却在我请假的时候给班级里开会说我有精神病说了我一些难听的话 还到处在背地里 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T17:47:30,抑郁症超话,3,4,"[{'id': 5040209425077118, 'created_at': '05-31', 'source': '来自上海', 'user': {'id': 7909075581, 'screen_name': '疯癫小棺材-'}, 'text': '回复@让我擦亮宇宙生命尊严:谢谢宝宝 [泪]', 'reply_id': 5040168955023061, 'reply_text': '回复@疯癫小棺材-:大部分大人都是不合格的出生，抱抱你，过去了，都过去了 ""[汪洋海蓝比心]""', 'like_counts': 0, 'liked': False}, {'id': 5040168955023061, 'created_at': '05-31', 'source': '来自陕西', 'user': {'id': 7842920827, 'screen_name': '让我擦亮宇宙生命尊严'}, 'text': '回复@疯癫小棺材-:大部分大人都是不合格的出生，抱抱你，过去了，都过去了 ""[汪洋海蓝比心]""', 'reply_id': 5040166532287831, 'reply_text': '回复@让我擦亮宇宙生命尊严: [泪]', 'like_counts': 0, 'liked': False}, {'id': 5040166532287831, 'created_at': '05-31', 'source': '来自上海', 'user': {'id': 7909075581, 'screen_name': '疯癫小棺材-'}, 'text': '回复@让我擦亮宇宙生命尊严: [泪]', 'reply_id': 5040155650687567, 'reply_text': '他没有师德是他做人的失败，最难的那段日子已经过去，在回忆起来这种耻辱，不断内耗，是在惩罚自己。  抑郁症患者只是情绪不好，躯体化，生病了而已。是个成年人都不会瞧不起生病的人，他不配做你的老师。', 'like_counts': 0, 'liked': False}, {'id': 5040155650687567, 'created_at': '05-31', 'source': '来自陕西', 'user': {'id': 7842920827, 'screen_name': '让我擦亮宇宙生命尊严'}, 'text': '他没有师德是他做人的失败，最难的那段日子已经过去，在回忆起来这种耻辱，不断内耗，是在惩罚自己。  抑郁症患者只是情绪不好，躯体化，生病了而已。是个成年人都不会瞧不起生病的人，他不配做你的老师。', 'like_counts': 1, 'liked': False}]",1,,[9b2d5b4678],2024-05-31 17:47:30
[1ef6e993ba],[7946a6ec17],"唐JOJO周边市场
有没有老师会开10cmjojo的棉娃 想蹲蹲 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T16:32:42,唐JOJO周边市场超话,0,0,,0,,[9b2d5b4678],2024-05-31 16:32:42
[c743434fef],[c0d75ca4be],"爱你不会jojo有吻戏吧 打咩啊啊啊
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T14:36:27,,0,0,,0,,[9b2d5b4678],2024-05-27 14:36:27
[6ce8647020],[758984c827],啊啊啊蘑菇头月月梦回陈小希 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T19:06:41,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-23 19:06:41
[178e97c422],[d2b941980e],小芒你死啦 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T19:03:08,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-23 19:03:08
[433f107eba],[e183aa4d24],我要被老婆cos的朱蒂美哭了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T19:03:01,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-23 19:03:01
[2c527c3276],[62ef6ed59a],"唐九洲
宝宝们想问问上海新天地jojo的人生四格是一直都在的嘛 还想问问乐华抽卡机在上海哪里呀暑假想和朋友去 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-21T21:40:21,唐九洲超话,4,5,"[{'id': 5036717114131830, 'created_at': '05-22', 'source': '来自上海', 'user': {'id': 7909075581, 'screen_name': '疯癫小棺材-'}, 'text': '回复@懒羊羊别偷懒:好好谢谢宝宝 ""[举手]""', 'reply_id': 5036589468094517, 'reply_text': '上海 黄浦区马当路245号新天地时尚B115 静安区大悦城北区n605室Fingerella', 'like_counts': 0, 'liked': False}, {'id': 5036623627031701, 'created_at': '05-22', 'source': '来自广东', 'user': {'id': 7832957391, 'screen_name': '泡泡飞啦_'}, 'text': '回复@沈青柠_:乐华合作的一个类似大头贴 就是可以和jojo合拍 ""[春游家族]""', 'reply_id': 5036621799886842, 'reply_text': '啥？人生四格是啥 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5036621799886842, 'created_at': '05-22', 'source': '来自山东', 'user': {'id': 7646672253, 'screen_name': '沈青柠_'}, 'text': '啥？人生四格是啥 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5036589468094517, 'created_at': '05-21', 'source': '来自湖北', 'user': {'id': 6257450466, 'screen_name': '懒羊羊别偷懒'}, 'text': '上海 黄浦区马当路245号新天地时尚B115 静安区大悦城北区n605室Fingerella', 'like_counts': 1, 'liked': False}, {'id': 5036585332773870, 'created_at': '05-21', 'source': '来自上海', 'user': {'id': 7909075581, 'screen_name': '疯癫小棺材-'}, 'text': ' ""[举手]""', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-05-21 21:40:21
[95aa780c94],[b795c96488],暑假我要去新天地拍唐九洲人生四格啊啊啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-21T19:34:43,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-21 19:34:43
[1d50594a30],[88493cd193],"梦想还是要有的这不实现了么！感谢金主@南波万的课代表，感谢@微博抽奖平台！一起分享我的喜悦吧>>> 
微博抽奖平台
 ",[9b2d5b4678],[f0c4ccca41],[9b2d5b4678],,2024-05-20T12:15:15,微博抽奖平台,0,0,,0,,[7a27dd0d84],2024-05-20 12:15:15
[a964b36227],[d24bacdafc],"宋雨琦和她粉丝真的好好啊啊啊 好想搞漂亮姐姐呢。。韩娱到底怎么追啊啊啊 怎么翻墙啊啊啊
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T10:20:50,HUAWEI P30,0,1,"[{""id"": ""[29598474f0]"", ""created_at"": ""05-20"", ""source"": ""来自上海"", ""user"": {""id"": ""[936716bf76]"", ""screen_name"": ""[f3cb137453]""}, ""text"": ""看pn路透雨琦粉丝好有素质 还清理垃圾 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 10:20:50
[f89ff2e6e3],[b95b4b3bd7],破肉可瑞特 发现我的人生笔刷了。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T18:26:39,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-19 18:26:39
[55d1e89b11],[1b5e9fbac2],芒果能不能放过我担们 我担们都遭了什么罪啊 我造了什么罪。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T22:15:19,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-18 22:15:19
[785d86d271],[973748d641],"好喜欢安成民宋雨琦 啊啊雨琦红毛美哭了谁懂 她的性格我真的喜欢。。但素混不明白韩娱的追星方式
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T21:02:43,HUAWEI P30,0,1,"[{""id"": ""[8fb1ec7d73]"", ""created_at"": ""05-18"", ""source"": ""来自上海"", ""user"": {""id"": ""[936716bf76]"", ""screen_name"": ""[f3cb137453]""}, ""text"": ""安成民是个特别萌萌的小女孩。。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-18 21:02:43
[35f70d4a52],[019c1fc76d],我真的好喜欢翟潇闻的颜。。到现在都觉得他是我们俩翻唱版最好听的之一qwq。。四年前就算是路人好感粉。。现在怎么越来越帅了。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T20:55:15,HUAWEI P30,0,2,"[{""id"": ""[a134b01fee]"", ""created_at"": ""05-18"", ""source"": ""来自上海"", ""user"": {""id"": ""[936716bf76]"", ""screen_name"": ""[f3cb137453]""}, ""text"": ""说实话男宝选秀vocal实力就他和徐子未还有陈立农我最喜欢了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3ceb2e254c]"", ""created_at"": ""05-18"", ""source"": ""来自上海"", ""user"": {""id"": ""[936716bf76]"", ""screen_name"": ""[f3cb137453]""}, ""text"": ""谁懂他在快本场比唱我们俩的含金量啊啊啊啊啊"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-18 20:55:15
[a7280e8535],[727d41828d],"沈月汪苏泷我直接双厨狂喜 美美看桃花坞（btw小何的魔方新世界还没看 还欠了全员也没看
） ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T14:28:35,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-18 14:28:35
[8846f76105],[82169e90c2],芒果你真的很烂 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T09:46:22,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-18 09:46:22
[882baa46f8],[5eb9f4f1b5],遇到贞洁瑶 虞姬我呀刚开局还很可以单杀后面我要碎掉了qwq ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T01:10:38,HUAWEI P30,0,1,"[{""id"": ""[dc241bebe7]"", ""created_at"": ""05-18"", ""source"": ""来自上海"", ""user"": {""id"": ""[936716bf76]"", ""screen_name"": ""[f3cb137453]""}, ""text"": ""打野哥你挂机还被红buff攻击着 我不来你要被红buff大鼠了 [微笑]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-18 01:10:38
[b54949fc35],[823140d764],"感觉这节目真的好委屈 普华也被骂的。。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T23:56:12,HUAWEI P30,0,1,"[{""id"": ""[28625c3b54]"", ""created_at"": ""05-17"", ""source"": ""来自上海"", ""user"": {""id"": ""[936716bf76]"", ""screen_name"": ""[f3cb137453]""}, ""text"": ""？我都没带大名都可以刚发来这么高ydl"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-17 23:56:12
[f549017764],[1da03adb2e],送一首《对话》 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T23:53:28,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-17 23:53:28
[0ea022b61d],[9160d45630],我这键盘怎么回事老是打错字。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T23:53:19,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-17 23:53:19
[3681d98ae3],[98afe31bde],感觉我们泷酱去gs想去渡劫一样 黑稿不断 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T23:45:41,HUAWEI P30,1,0,,0,,[9b2d5b4678],2024-05-17 23:45:41
[2dc2d69e94],[aac6744103],跳楼卖惨哥都可以报名成功歌手的话 能不能让同时期选修的徐子未也报名成功啊啊啊 老师他唱歌超好听的。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T21:21:57,HUAWEI P30,2,4,"[{'id': 5035165532031256, 'created_at': '05-17', 'source': '来自上海', 'user': {'id': 7909075581, 'screen_name': '疯癫小棺材-'}, 'text': '回复@落款是北:啊啊啊宝宝我也不知道我不是徐子未粉丝 只是单纯觉得他值得被选中', 'reply_id': 5035146618867862, 'reply_text': '在哪能给他投票啊姐妹我没搜到 [跪了]', 'like_counts': 1, 'liked': False}, {'id': 5035165342764867, 'created_at': '05-17', 'source': '来自安徽', 'user': {'id': 7562971117, 'screen_name': '喂未是企鹅_zv'}, 'text': '回复@落款是北:这个链接点进去 往下翻就能看到“@湖南卫视歌手：歌手徐子未，恭喜您报名成功！您的作品已在网页链接 专区发布。#歌手2024#” 祝愿您在音乐舞台绽放耀眼的光芒！ ""[努力]""', 'reply_id': 5035146618867862, 'reply_text': '在哪能给他投票啊姐妹我没搜到 [跪了]', 'like_counts': 0, 'liked': False}, {'id': 5035146618867862, 'created_at': '05-17', 'source': '来自北京', 'user': {'id': 6545038642, 'screen_name': '落款是北'}, 'text': '在哪能给他投票啊姐妹我没搜到 [跪了]', 'like_counts': 0, 'liked': False}, {'id': 5035130899140398, 'created_at': '05-17', 'source': '来自上海', 'user': {'id': 7909075581, 'screen_name': '疯癫小棺材-'}, 'text': '选秀选秀什么烂手机键盘 [泪]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-17 21:21:57
[ab0079d7e8],[aaa9ddcf7d],i6律的命也是命 一个小女孩轻轻的碎掉了 小芒你。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T21:19:23,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-17 21:19:23
[e8af9b5672],[9f297a8e22],@李思睿_Music 哥们上班 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T21:17:54,HUAWEI P30,0,0,,0,,[478a1c21d7],2024-05-17 21:17:54
[4f78a1be73],[592917348e],"我说你们别太狠我们泷酱了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T21:13:08,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-17 21:13:08
[95bc1a6e12],[2fe9a2f4fc],我爸竟然在听石凯的空白 不可思议！！！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T13:55:13,HUAWEI P30,1,4,"[{""id"": ""[ccbf49c750]"", ""created_at"": ""05-17"", ""source"": ""来自上海"", ""user"": {""id"": ""[936716bf76]"", ""screen_name"": ""[f3cb137453]""}, ""text"": ""回复@黄子弘凡圈外女友6120:哈哈哈哈我八岁的妹妹也跟着我爱上了院人 甚至还给她同学安利 [亲亲]"", ""reply_id"": 5035019532240094, ""reply_text"": ""回复@饼灵棺材:没事，我妈跟着我爱上了石凯"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f74fe3206d]"", ""created_at"": ""05-17"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b32718353c]"", ""screen_name"": ""[0fdbac26d6]""}, ""text"": ""回复@饼灵棺材:二巡我带她去，给她做了五张小卡去发"", ""reply_id"": 5035018218635674, ""reply_text"": ""我在看客厅大侦探 我爸在房间斗地主听歌 就说这个歌怎么这么熟悉 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d04dbfe567]"", ""created_at"": ""05-17"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b32718353c]"", ""screen_name"": ""[0fdbac26d6]""}, ""text"": ""回复@饼灵棺材:没事，我妈跟着我爱上了石凯"", ""reply_id"": 5035018218635674, ""reply_text"": ""我在看客厅大侦探 我爸在房间斗地主听歌 就说这个歌怎么这么熟悉 [允悲]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[ad198da86d]"", ""created_at"": ""05-17"", ""source"": ""来自上海"", ""user"": {""id"": ""[936716bf76]"", ""screen_name"": ""[f3cb137453]""}, ""text"": ""我在看客厅大侦探 我爸在房间斗地主听歌 就说这个歌怎么这么熟悉 [允悲]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-17 13:55:13
[2ddf8653ae],[a16ce7cd8e],又有天赐又有歌手 感觉耳朵有福了。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T12:27:55,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-17 12:27:55
[ae01ba467d],[aeabbc02b0],王者什么癫公游戏 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T10:50:43,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-17 10:50:43
[0dc89ec44a],[80ed2f7e85],"下一季名学是不是可以见到明明了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T19:55:20,HUAWEI P30,0,1,"[{""id"": ""[a3293001b5]"", ""created_at"": ""05-16"", ""source"": ""来自上海"", ""user"": {""id"": ""[936716bf76]"", ""screen_name"": ""[f3cb137453]""}, ""text"": ""蜜桃！！还想看明明去跳地 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-16 19:55:20
[173be20aa7],[1eabe63f4c],"明明回家了明明回家了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T19:54:57,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-16 19:54:57
[100cd27458],[3ad552f967],"我是助教邵明明
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T17:26:29,HUAWEI P30,0,0,,0,,[9b2d5b4678],2024-05-16 17:26:29
