id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[c21d0bf806],[106f641809],"抑郁症
关于我睡不着的那些二三事！
！麻木且无奈！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T02:08:54,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-19 02:08:54
[e409fb6808],[6e24dcb17a],"抑郁症
每天希望有人可以和我聊天！但又不希望有人找我！其实打开微信一个人都没有！不过都是是我自作多情罢了！
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T19:09:58,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-18 19:09:58
[86ca6f9d77],[e47e0dd2c4],"抑郁症
顶着一只半死不活的眼准备通宵了！
！想死！真的想死啊！
 ",[9b2d5b4678],[ba87867a63],[9b2d5b4678],,2024-04-16T23:24:17,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-16 23:24:17
[48b54116ec],[a3c500156e],"抑郁症
现在的我都还没睡，那我指定要通宵了！累了！
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T22:14:49,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-16 22:14:49
[3be1b353f4],[2919062d47],"抑郁症
果然啊！影子都比我好看！累了
 ",[9b2d5b4678],[6db26c2803],[9b2d5b4678],,2024-04-16T15:58:03,抑郁症超话,6,12,"[{""id"": ""[6e5c574876]"", ""created_at"": ""04-16"", ""source"": ""来自河南"", ""user"": {""id"": ""[84fead50d6]"", ""screen_name"": ""[0683b98741]""}, ""text"": ""影子都比我的好看...我还怎么活啊（崩溃大哭）"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d240afcb93]"", ""created_at"": ""04-16"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""人也很美"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-16 15:58:03
[d84834d915],[e4a02f078f],"抑郁症
如果我明天没来签到发状态的话，我大概在医院医院洗胃呢吧！谁知道呢！好累啊！活不动了！
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T18:48:33,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-15 18:48:33
[5d95f94975],[d4786bbe78],"抑郁症
我果然什么都干不好！我就是个废物啊！我还是应该去死！累了
 ",[9b2d5b4678],[a3c4c6ad81],[9b2d5b4678],,2024-04-09T19:37:55,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-09 19:37:55
[62007c839b],[5764ce945b],"抑郁症
我死了！我的灵魂死了！死在十三岁的那个夜晚！我还活着！我的肉体活着！活在十八岁的那个清晨！太阳初升之时！我累了，是我的肉体累了，我的肉体无法拖着我的灵魂继续向前！所以我停留在了十八岁的那个清晨！
（纪实仿写） ",[9b2d5b4678],[96b3184691],[9b2d5b4678],,2024-04-08T19:08:18,抑郁症超话,4,0,,0,,[9b2d5b4678],2024-04-08 19:08:18
[8d879033a7],[69afed75cd],"抑郁症
为什么❓一烦躁就想花钱💸！真该死啊！我还是死了算了！又花出去一笔！该死啊！
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T11:28:45,抑郁症超话,3,10,"[{""id"": ""[7224bf7077]"", ""created_at"": ""04-07"", ""source"": ""来自河北"", ""user"": {""id"": ""[e0453cedf0]"", ""screen_name"": ""[a719658b47]""}, ""text"": ""我也是 控制不住 [怒]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3771fd63ca]"", ""created_at"": ""04-07"", ""source"": ""来自山东"", ""user"": {""id"": ""[de4a94737b]"", ""screen_name"": ""[f4151bc178]""}, ""text"": ""回复@管制丧尸101-顾许:哈哈真好 [微笑]"", ""reply_id"": 5020500415221223, ""reply_text"": ""这两天烦的（还有半夜烧到三十八度三又来月经的加持)网上买的花了100…一个多星期的饭钱啊…我这是又穷事有多 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e4a86db315]"", ""created_at"": ""04-07"", ""source"": ""来自河南"", ""user"": {""id"": ""[0f9721a69b]"", ""screen_name"": ""[357305c0b7]""}, ""text"": ""回复@今天的风很大_:哈哈，也不白跑，我陪她，给她提东西，她买的吃的分我一口……各取所需穷货没资本提脾气 [委屈]"", ""reply_id"": 5020557920177378, ""reply_text"": ""回复@管制丧尸101-顾许:辛苦你了陪同学逛！还一天四五趟！我可能会直接杀了他！烦躁会害死人啊！ [微笑]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[05ec36b221]"", ""created_at"": ""04-07"", ""source"": ""来自山东"", ""user"": {""id"": ""[de4a94737b]"", ""screen_name"": ""[f4151bc178]""}, ""text"": ""回复@管制丧尸101-顾许:辛苦你了陪同学逛！还一天四五趟！我可能会直接杀了他！烦躁会害死人啊！ [微笑]"", ""reply_id"": 5020556082023488, ""reply_text"": ""回复@管制丧尸101-顾许:不是一趟，是四趟…… [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4e0ea93079]"", ""created_at"": ""04-07"", ""source"": ""来自河南"", ""user"": {""id"": ""[0f9721a69b]"", ""screen_name"": ""[357305c0b7]""}, ""text"": ""回复@管制丧尸101-顾许:不是一趟，是四趟…… [允悲]"", ""reply_id"": 5020555959076570, ""reply_text"": ""回复@今天的风很大_:摸摸，因为我平时是很抠的人……毕竟我真的有点儿穷陪同学一天逛一趟超市，我都能做到，万花丛中过，片叶不沾身。这回真是冲动消费没钱了 [跪了]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1a5e12c742]"", ""created_at"": ""04-07"", ""source"": ""来自河南"", ""user"": {""id"": ""[0f9721a69b]"", ""screen_name"": ""[357305c0b7]""}, ""text"": ""回复@今天的风很大_:摸摸，因为我平时是很抠的人……毕竟我真的有点儿穷陪同学一天逛一趟超市，我都能做到，万花丛中过，片叶不沾身。这回真是冲动消费没钱了 [跪了]"", ""reply_id"": 5020553285472429, ""reply_text"": ""回复@管制丧尸101-顾许:那我是纯烦躁乱花钱没钱吃饭了 [微笑]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[13c0e854ae]"", ""created_at"": ""04-07"", ""source"": ""来自山东"", ""user"": {""id"": ""[de4a94737b]"", ""screen_name"": ""[f4151bc178]""}, ""text"": ""回复@管制丧尸101-顾许:那我是纯烦躁乱花钱没钱吃饭了 [微笑]"", ""reply_id"": 5020502861809839, ""reply_text"": ""回复@今天的风很大_:买完那一大堆才反应过来是来月经的激素干的……后悔死了还我钱呜呜呜（但是自己的错自己受着，不好意思退款） [跪了]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[860d79ea1a]"", ""created_at"": ""04-07"", ""source"": ""来自河南"", ""user"": {""id"": ""[0f9721a69b]"", ""screen_name"": ""[357305c0b7]""}, ""text"": ""回复@今天的风很大_:买完那一大堆才反应过来是来月经的激素干的……后悔死了还我钱呜呜呜（但是自己的错自己受着，不好意思退款） [跪了]"", ""reply_id"": 5020501830010201, ""reply_text"": ""回复@管制丧尸101-顾许:穷且事多啊！！累死了 [微笑]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[418da31736]"", ""created_at"": ""04-07"", ""source"": ""来自山东"", ""user"": {""id"": ""[de4a94737b]"", ""screen_name"": ""[f4151bc178]""}, ""text"": ""回复@管制丧尸101-顾许:穷且事多啊！！累死了 [微笑]"", ""reply_id"": 5020500415221223, ""reply_text"": ""这两天烦的（还有半夜烧到三十八度三又来月经的加持)网上买的花了100…一个多星期的饭钱啊…我这是又穷事有多 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[09b23bc129]"", ""created_at"": ""04-07"", ""source"": ""来自河南"", ""user"": {""id"": ""[0f9721a69b]"", ""screen_name"": ""[357305c0b7]""}, ""text"": ""这两天烦的（还有半夜烧到三十八度三又来月经的加持)网上买的花了100…一个多星期的饭钱啊…我这是又穷事有多 [允悲]"", ""like_counts"": 0, ""liked"": false}]",1,,[9b2d5b4678],2024-04-07 11:28:45
[ab8717892e],[0be18d43f7],"抑郁症
人要怎样才能不痛不痒的死掉啊！好累啊！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T14:48:45,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-06 14:48:45
