id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[8789707179],[fb2cac639e],"第一次觉得水逆是有些道理的 我跟鄂尔多斯绝对八字不合…
6.3一大早下雨堵车 赶上高铁以为稳了 就那十几分钟竟然睡过头 就差十秒没出站 因此错过飞机 花了1300左右改机票 临时订了个好评很多的住宿 结果卫生奇差
6.4八百年不下雨都鄂尔多斯下雨了 风吹倒了三脚架 相机摔坏 摔到无法修复那种 接下来都十 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T12:30:40,HUAWEI Mate 30,0,0,,0,,[9b2d5b4678],2024-06-05 12:30:40
[24d81263c4],[0f45a9dc5e],我真服了我自己 坐高铁睡过头就差1分钟没下车错过飞机多花1200+ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T10:21:00,HUAWEI Mate 30,0,0,,0,,[9b2d5b4678],2024-06-03 10:21:00
[6141edf082],[d8ebeb1484],"又梦到他了 这一次想通了 余生他都会出现在我的梦里 
只是像我儿时的朋友一样 她/他们也常常出现啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T10:14:23,HUAWEI Mate 30,0,0,,0,,[9b2d5b4678],2024-05-29 10:14:23
[673fa97fe0],[4d54248188],不要因为过去的错误惩罚自己 人还是需要和他人建立联系的…可以寻找有灵性的人 多看点书吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T00:59:24,HUAWEI Mate 30,0,0,,0,,[9b2d5b4678],2024-05-26 00:59:24
[e4f5bbe213],[08e62e5f1d],戴上我的耳机 世界就很安静 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T04:59:09,HUAWEI Mate 30,0,0,,0,,[9b2d5b4678],2024-05-24 04:59:09
[91541f7c0a],[aaa759457a],我再也不写什么破镜重圆小甜文了 近日进度如同便秘 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-14T10:26:03,HUAWEI Mate 30,0,1,"[{""id"": ""[b02151c291]"", ""created_at"": ""05-14"", ""source"": ""来自北京"", ""user"": {""id"": ""[d0cccf2cc6]"", ""screen_name"": ""[b383d2765d]""}, ""text"": ""（委屈） 文笔停滞如山倒，灵感全无像便秘。 但别放弃，说不定哪天就柳暗花明了呢！ [加油]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-14 10:26:03
[340027a19e],[342ba6fedf],把握不了的就交给命运 没事的 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-10T04:33:14,HUAWEI Mate 30,1,0,,0,,[9b2d5b4678],2024-05-10 04:33:14
[2bc12e51b3],[74d326160d],标题党适可而止 太夸张了会不会影响运势 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T14:58:41,HUAWEI Mate 30,0,0,,0,,[9b2d5b4678],2024-05-07 14:58:41
[56d28179f5],[aaa6038d49],我想写一本很燃的小说 在此之前 我需要创造一堆垃圾 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T05:54:03,HUAWEI Mate 30,0,0,,0,,[9b2d5b4678],2024-05-07 05:54:03
[848304563a],[8af36e5d1a],理想很美好 但精力跟不上 还是量力而行吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T16:46:18,HUAWEI Mate 30,0,0,,0,,[9b2d5b4678],2024-05-01 16:46:18
[3b731fd03d],[31c09d2ffa],惨痛的现实教做人 哭瞎了 睡觉！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T00:31:37,HUAWEI Mate 30,0,0,,0,,[9b2d5b4678],2024-05-01 00:31:37
[36fff31d92],[00952e3631],心态chill一点 事情会好过很多 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T22:54:13,HUAWEI Mate 30,0,0,,0,,[9b2d5b4678],2024-04-25 22:54:13
[89e6741c58],[5146654dbf],每天最少写几千字 写到我老 写到我死 这是我在世界上唯一留下的东西 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T08:27:10,HUAWEI Mate 30,0,0,,0,,[9b2d5b4678],2024-04-25 08:27:10
