id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[db640a5ac9],[1fb8b7d801],"“不管心情有多糟糕
         都要和爱的人好好说话” ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T10:48:40,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-05-30 10:48:40
[d7506dbfb7],[10205f7c8c],奔赴要值得，放弃要利落 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T10:45:00,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-05-30 10:45:00
[07a3dc251b],[ad5b4b9235],"☀️在这复杂的世界里
🎡一定要懂得保护自己
🎐知道的不说，听到的不
信
✉️晚风吹人醒，万事藏于
心！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T14:25:47,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-05-25 14:25:47
[92f5d48ae8],[f96d53aa1a],"旧人不知我近况 新人不知我过往
近况不该旧人知 过往不与新人讲 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T14:32:29,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-05-17 14:32:29
[55cf7e495c],[727ed613fb],"真正供养生命的是灵魂，是思想的滋润，是追求内心的自由，是繁华似锦。
人们需要的并不是一个异性，而是可以相互沟通的灵魂，有着相同的价值观眼界和格局，还有其他人不可能给予的安宁。
只有频率相同的人，才能理解你的万里山河，月明风清。 ",[9b2d5b4678],[299774092d],[9b2d5b4678],,2024-05-07T07:34:41,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-05-07 07:34:41
[7d6f145cc3],[25eb351ad8],“磁场相同，同频共振”。磁场对了，哪怕素未蒙面，也会灵魂相吸；磁场不对，哪怕朝夕相处，也会心力交瘁。 ,[9b2d5b4678],[6d137dc806],[9b2d5b4678],,2024-04-26T07:31:18,HarmonyOS设备,0,1,"[{'id': 5027311701983606, 'created_at': '04-26', 'source': '来自罗伯特', 'user': {'id': 5762999670, 'screen_name': '评论罗伯特'}, 'text': '各种各样的美好 ""[送花花]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-26 07:31:18
[45376632f7],[7436e7a010],真心的，我也特别羡慕那种真的生活无忧的人：对经济困难的最高想象力是吃麦当劳缺钱，贼难受。在地铁里，我真想凑上去支个招：更便宜的沙县真的可以吃饱。而我知道的最便宜填饱肚皮的则是，馒头加白开水，如果有酱油则非常完美。  （ 复制翻译驴的微博） ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T08:12:39,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-04-24 08:12:39
[4fc1d54cb0],[ec3abb07f6],"学生时期的人际关系和成年后不太一样
平时多帮助其他人 关键时刻你需要别人才会帮你 不然关键时刻你连个人儿都找不到
干活的家里的顶梁柱在没有个帮手的白手起家再有个拖后腿的更是辛苦 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T16:38:01,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-04-22 16:38:01
[e6cebdd904],[aabff2c4ad],"人类的悲喜并不会相通。有的人的苦难是有发小没有好的前途，有的专家的苦难是理解不了人均存款11万为啥不消费，有的老板的苦难是被顾客买走的产品居然没有强制报废制度，有的未成年人的苦难是把同学杀了第二天无法去上学，有的人的苦难是一个月换一个女朋友但找不到真爱，有的人的苦难是理解不了穷人为 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T17:51:23,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-04-21 17:51:23
[c0ac066b3d],[cc37febb18],生命所需甚少，无非是简约的人际、朴素的衣食、彼此珍重的爱。 ,[9b2d5b4678],[50e2a6c9a6],[9b2d5b4678],,2024-04-19T11:51:34,HarmonyOS设备,0,1,"[{""id"": ""[edeb1b49d4]"", ""created_at"": ""04-19"", ""source"": ""来自罗伯特聪明版"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""在繁华中自律 在落魄中自愈 谋生的路上不抛弃良知 谋爱的过程中不失尊严"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-19 11:51:34
