id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[8e6e8cc36f],[fa6afb8477],"抑郁症
抗抑郁的第一百零八天，消失已久的笑容终于又再次浮现在了我的脸上。今天我跟我的偶像一起去看日出了，又疯狂又浪漫。在此之前我都没怎么出门，更别提自己一个人独自跨越两千多公里来到外地。在那一刻困扰我已久的负面情绪，仿佛消失了一样，在那里无拘无束无忧无虑。但也像一场梦一样， ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T18:27:28,抑郁症超话,0,1,"[{""id"": ""[856f1b98e9]"", ""created_at"": ""05-04"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 18:27:28
[ac89987d59],[8abe02e68d],"华晨宇#华晨宇 我们真的做到了#好感动那一刻，眼泪真的绷不住了。本来看日出只是火星人看直播的时候，随口一说的玩笑话他却牢牢的记在了心上。为了实现这个约定，走遍了全国多个省份看了无数次日出，开了无数次会议，只为带给火星人一次最难忘的日出演唱会！华晨宇真的是浪漫的代名词，能成为 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T16:31:36,华晨宇超话,3,1,"[{""id"": ""[134ed9727b]"", ""created_at"": ""05-04"", ""source"": ""来自山东"", ""user"": {""id"": ""[81f31cbb8a]"", ""screen_name"": ""[918c26fc1b]""}, ""text"": ""曾经我 悲观 孤单 遗憾 不堪 感叹 疲倦 辗转 难安 看淡 释然 放慢 长谈 期盼 远看 了断 勇敢——@华晨宇yu《好想我回来啊》"", ""like_counts"": 0, ""liked"": false}]",0,华晨宇 我们真的做到了,[9b2d5b4678],2024-05-04 16:31:36
[4e050285d1],[618765b0f2],"华晨宇#和华晨宇一起去看日出##华晨宇日出演唱会#  渔人码头的一群社牛火姐！ 
熬夜小公主yu的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[a19b962f89],,2024-05-03T15:47:38,华晨宇超话,1,2,"[{""id"": ""[8935fd7ac6]"", ""created_at"": ""05-03"", ""source"": ""来自山东"", ""user"": {""id"": ""[eb02415f89]"", ""screen_name"": ""[69e8952ac7]""}, ""text"": ""And if forever lasts till now，Alright。——华晨宇《For Forever》 @华晨宇yu"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[988850726e]"", ""created_at"": ""05-03"", ""source"": ""来自山东"", ""user"": {""id"": ""[604646f7cf]"", ""screen_name"": ""[4485a463a7]""}, ""text"": ""不想在这个破地球呆了！我要去火星演唱会打工（您好～火姐喝点什么）（火星特饮是吧）（拿起杯子）（蘸一圈草莓酱和花瓣）（加一勺熬制好的草莓酱）（加雪碧）（加几块冰）（倒入石榴汁）（雪碧封杯）（再加点花瓣）（盖上盖子）（大喊）（207号火姐你的火星特饮好了！）@华晨宇yu"", ""like_counts"": 0, ""liked"": false}]",0,"和华晨宇一起去看日出,华晨宇日出演唱会",[9b2d5b4678],2024-05-03 15:47:38
[7d10bf53dd],[d14fffada1],"#华晨宇化成雨也熄灭不了的火焰#这个词条是谁想的呀，看上去感觉好沙雕啊。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-29T14:24:45,,0,0,,0,华晨宇化成雨也熄灭不了的火焰,[9b2d5b4678],2024-04-29 14:24:45
[2151b20cb0],[c5402839aa],#和华晨宇一起去看日出#这是我去年十五岁生日的时候，在江边拍下的。那时我就想我一定要坚持下去好好活着，跟你一起去看日出。现在我们的约定终于要实现了，我终于看到了久违的晴朗。@华晨宇yu 走一起去看日出吧！ ,[9b2d5b4678],[97b3219ea5],[9b2d5b4678],,2024-04-28T14:35:32,,1,0,,0,和华晨宇一起去看日出,[edd459ecc1],2024-04-28 14:35:32
[bbc472e78b],[105c5d3eb7],"华晨宇
这大半夜的我命都被吓没了半条，我看花花微博突然设置半年可见了，还把之前发的全都给删了，我还以为他出什么事儿了呢，我在想他是不是又emo了。还好只是虚惊一场！新浪你真该好好反思一下@微博管理员 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T01:59:37,华晨宇超话,3,2,"[{""id"": ""[4df415de55]"", ""created_at"": ""04-27"", ""source"": ""来自安徽"", ""user"": {""id"": ""[b992a55c22]"", ""screen_name"": ""[fde0602e54]""}, ""text"": "" [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[24636d84a7]"", ""created_at"": ""04-27"", ""source"": ""来自北京"", ""user"": {""id"": ""[8ec608c1e5]"", ""screen_name"": ""[7c919e248c]""}, ""text"": ""“我慌张奔走 多像你来去无踪，世界如此宽广 我们，终究要登上哪座山峰。”——@华晨宇yu《风之海》 [抓狂]"", ""like_counts"": 0, ""liked"": false}]",0,,[c41585f599],2024-04-27 01:59:37
[eec797b3f8],[2987760e56],#张亮华晨宇李晨#别来碰瓷！ ,[9b2d5b4678],[2e15f584b2],[9b2d5b4678],,2024-04-20T19:29:47,,0,0,,0,张亮华晨宇李晨,[9b2d5b4678],2024-04-20 19:29:47
[482ae3671b],[23598c63a9],"华晨宇
看到有的火星人四号的票都已经出来了，为什么我二号的还没看到分区呢？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T03:42:09,华晨宇超话,0,1,"[{""id"": ""[7860494323]"", ""created_at"": ""04-18"", ""source"": ""来自吃瓜罗伯特"", ""user"": {""id"": ""[a62cc587f6]"", ""screen_name"": ""[7a599876e9]""}, ""text"": ""别急，火星人二号正在准备发射"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-18 03:42:09
[15019172ce],[4fb1a17a18],"呜呜呜呜呜呜呜没抢到日出场的票，毁灭吧！老天爷你为什么要如此待我！我不想活了，天台上见吧！
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T16:05:22,,0,0,,0,,[9b2d5b4678],2024-04-14 16:05:22
[cbeda7f7be],[5f2a7d9821],"抑郁症
抗抑郁的第82天！我已经很久没有吃过药了，我爸也早已忘记了我抑郁症的事情。最近我的生活真的很乱，我的精神状态也非常不好。我真的觉得好累，真的快要撑不下去了。以前我还有个信念感，还有一根稻草拉着我让我别放弃。可是现在这根稻草已经断了，只剩我自己跟内心做斗争。也许我已经等 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T21:58:18,抑郁症超话,2,3,"[{""id"": ""[3123b57dc5]"", ""created_at"": ""04-12"", ""source"": ""来自澳大利亚"", ""user"": {""id"": ""[a6390d89b5]"", ""screen_name"": ""[e2cdf65744]""}, ""text"": ""好好爱自己哦 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[70e3e8d629]"", ""created_at"": ""04-08"", ""source"": ""来自浙江"", ""user"": {""id"": ""[2bc1baf871]"", ""screen_name"": ""[f9ffe738b8]""}, ""text"": ""抱抱 火姐加油，一定要撑住，我们在火星等你回家 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6eb1a513a5]"", ""created_at"": ""04-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 21:58:18
