id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[eff3247ec4],[47d996a32d],"抑郁症
 祝我自己生日快乐 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T21:31:07,抑郁症超话,3,31,,0,,[9b2d5b4678],2024-06-03 21:31:07
[60e3c84e26],[93bc030c02],"抑郁症
 祝大家六一快乐 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T01:07:57,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-06-01 01:07:57
[a17c6c893f],[f08d243516],"抑郁症
 烦死了天天吵架 有意思吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T21:40:12,抑郁症超话,2,1,"[{""id"": ""[40973c87dd]"", ""created_at"": ""05-30"", ""source"": ""来自福建"", ""user"": {""id"": ""[06c0e2d919]"", ""screen_name"": ""[db523f9432]""}, ""text"": ""不理他们，干自己的事，他们处理不好什么东西是他们自己的事。"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 21:40:12
[91dd982a01],[d7a4bcc94f],"抑郁症
 今天又请假了，好难受，妈妈又骂我，对不起妈妈。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T07:13:17,抑郁症超话,4,5,"[{""id"": ""[95bbc39545]"", ""created_at"": ""05-23"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[99a2e774ce]"", ""screen_name"": ""[f98bc8ac8e]""}, ""text"": ""没关系的好好睡一觉吧 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9b49aada3c]"", ""created_at"": ""05-23"", ""source"": ""来自四川"", ""user"": {""id"": ""[84a4069cd8]"", ""screen_name"": ""[e5eb783cb0]""}, ""text"": ""你没有对不起任何人 宝宝要开心 [心]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[abc7c9af74]"", ""created_at"": ""05-23"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7117412123]"", ""screen_name"": ""[d5bd8549d1]""}, ""text"": ""不要自责呀宝宝 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[51fcffca02]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""宝贝你没有做错什么，你只是不舒服而已不要给自己太大的压力啦，要对自己好一点呐 [抱一抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[762a091e7c]"", ""created_at"": ""05-23"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 07:13:17
[6e15863a70],[532234c114],"翔霖
 💕💙#翔霖 内娱第一真# 💕#翔霖 破镜重圆# ",[9b2d5b4678],[cf453781fd],[9b2d5b4678],,2024-05-19T13:18:11,翔霖超话,1,3,"[{""id"": ""[faaccabd39]"", ""created_at"": ""05-19"", ""source"": ""来自湖南"", ""user"": {""id"": ""[2af3b537d3]"", ""screen_name"": ""[84a6404b07]""}, ""text"": ""6799 互评最新"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3762de45d9]"", ""created_at"": ""05-19"", ""source"": ""来自加拿大"", ""user"": {""id"": ""[d23440a35a]"", ""screen_name"": ""[42b055bb82]""}, ""text"": ""6799【互最新】 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e62311cd02]"", ""created_at"": ""05-19"", ""source"": ""来自河北"", ""user"": {""id"": ""[abf82343f8]"", ""screen_name"": ""[f8afa1be09]""}, ""text"": ""6799"", ""like_counts"": 0, ""liked"": false}]",0,"翔霖 内娱第一真,翔霖 破镜重圆",[9b2d5b4678],2024-05-19 13:18:11
[d14ff30d93],[5aec5fcfa7],"翔霖
 💗#翔霖 浪漫夏日# 💙#翔霖 陶园双生# 
“相遇即是分别 重逢即是避嫌．” ",[9b2d5b4678],[dae4fa15a4],[9b2d5b4678],,2024-05-19T13:16:12,翔霖超话,1,0,,0,"翔霖 浪漫夏日,翔霖 陶园双生",[9b2d5b4678],2024-05-19 13:16:12
[b40dc9c124],[8f57a02a05],"抑郁症
 我都不敢和朋友聊天了 怕他们嫌我烦
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T20:39:46,抑郁症超话,1,7,"[{'id': 5031531045981252, 'created_at': '05-07', 'source': '来自云南', 'user': {'id': 5265083508, 'screen_name': '柒月_light'}, 'text': '回复@SingingZhang: [抱抱]', 'reply_id': 5031529881539882, 'reply_text': '回复@柒月_light: [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5031529881539882, 'created_at': '05-07', 'source': '来自四川', 'user': {'id': 5312398481, 'screen_name': 'SingingZhang'}, 'text': '回复@柒月_light: [抱抱]', 'reply_id': 5031525076965942, 'reply_text': '回复@SingingZhang:我也是这么想的 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5031525076965942, 'created_at': '05-07', 'source': '来自云南', 'user': {'id': 5265083508, 'screen_name': '柒月_light'}, 'text': '回复@SingingZhang:我也是这么想的 ""[苦涩]""', 'reply_id': 5031509620950393, 'reply_text': '总不能一直给朋友传递负能量啊 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5031509620950393, 'created_at': '05-07', 'source': '来自四川', 'user': {'id': 5312398481, 'screen_name': 'SingingZhang'}, 'text': '总不能一直给朋友传递负能量啊 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5031497754738725, 'created_at': '05-07', 'source': '来自北京', 'user': {'id': 7736738846, 'screen_name': '一桃许蓁心'}, 'text': '我也 [单身狗]', 'like_counts': 0, 'liked': False}, {'id': 5031496937375752, 'created_at': '05-07', 'source': '来自安徽', 'user': {'id': 5935284385, 'screen_name': 'kkkkkkkkk仔尘'}, 'text': '一样', 'like_counts': 0, 'liked': False}, {'id': 5031496681001137, 'created_at': '05-07', 'source': '来自吉林', 'user': {'id': 7406434325, 'screen_name': '用户7406434325'}, 'text': '不会的，朋友怎么会嫌你烦呢？ [doge]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-07 20:39:46
[9dd243e0ea],[443959f1d8],"抑郁症
 下周去研学 还要一起住宿 不能请假
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T15:17:45,抑郁症超话,1,1,"[{""id"": ""[84be2a1295]"", ""created_at"": ""05-03"", ""source"": ""来自山西"", ""user"": {""id"": ""[0cab627b39]"", ""screen_name"": ""[5339578d80]""}, ""text"": ""认识新的伙伴是好事 没事的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 15:17:45
[3a921305b4],[8a22f3758d],气死 ,[9b2d5b4678],[909fa44c83],[0eee09b3ba],,2024-05-02T14:02:44,iPhone客户端,3,0,,0,,[9b2d5b4678],2024-05-02 14:02:44
[9e26b75ff7],[107a092d4f],"抑郁症
 今天下了一天雨 头好痛 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T19:40:50,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-30 19:40:50
