id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[e6003fb63c],[d2b17bf7d2],"我把所有的王源说电子版都存下来了。（评论区自取王源说电子版）
我努力挣钱吧，争取买到之后的环球人物杂志之前的确实是学生时代没钱买。总是买了这头那头又不够了，我努力的找工作挣钱，争取所有代言周边我通通拿下哈哈哈。我打算用这些图片去做成一本，王源说合集，但是要激光打印才会清晰我之前在 ...
全文",[9b2d5b4678],[ae62cc0a4f],[9b2d5b4678],,2023-10-18T01:12:28,王源老婆的Android,8,6,"[{'id': 4971292282851950, 'created_at': '2023-11-23', 'source': '来自重庆', 'user': {'id': 7066099232, 'screen_name': '王源和王俊凯总要上一个吧'}, 'text': '通过百度网盘分享的文件：王源说 链接:网页链接\xa0 提取码:85vx 复制这段内容打开「百度网盘APP 即可获取」', 'like_counts': 0, 'liked': False}, {'id': 4971233323781345, 'created_at': '2023-11-23', 'source': '来自美国', 'user': {'id': 7384276466, 'screen_name': 'Cyf_3'}, 'text': '可以发我一份吗？', 'like_counts': 0, 'liked': False}, {'id': 4969540854745260, 'created_at': '2023-11-18', 'source': '来自山东', 'user': {'id': 6600914583, 'screen_name': '威尼斯在逃南瓜车'}, 'text': '我也想要电子版 [泪]', 'like_counts': 0, 'liked': False}, {'id': 4962197057307580, 'created_at': '2023-10-29', 'source': '来自重庆', 'user': {'id': 7066099232, 'screen_name': '王源和王俊凯总要上一个吧'}, 'text': '回复@帝国女孩2013:我私你吧', 'reply_id': 4962150025528946, 'reply_text': '可以把电子版的发我一份吗？*^_^*', 'like_counts': 0, 'liked': False}, {'id': 4962150125666405, 'created_at': '2023-10-29', 'source': '来自山东', 'user': {'id': 7746952170, 'screen_name': '帝国女孩2013'}, 'text': '可以把电子版的发我一份吗？', 'like_counts': 0, 'liked': False}, {'id': 4962150025528946, 'created_at': '2023-10-29', 'source': '来自山东', 'user': {'id': 7746952170, 'screen_name': '帝国女孩2013'}, 'text': '可以把电子版的发我一份吗？*^_^*', 'like_counts': 0, 'liked': False}]",1,,[9b2d5b4678],2023-10-18 01:12:28
[d14b45c9e9],[eb889196ea],"TFBOYS
这里是盛夏巡游记-赓续绵延 TFBOYS十一周年线下活动武汉站欢迎大家参加。
此活动为散粉举办，活动明细公开透明会在活动开始前发出来的。
活动时间五月二十五号，地址暂定在江汉区一酒吧（在洽谈中）礼包不强制购买全凭自愿。欢迎大家咨询 ",[9b2d5b4678],[5eab4edcdd],[9b2d5b4678],,2024-04-15T12:56:09,TFBOYS超话,3,2,"[{""id"": ""[cb5da62b6b]"", ""created_at"": ""1小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[ca7889da38]"", ""screen_name"": ""[1ae1443a06]""}, ""text"": ""需要推广，认证，粉丝，曝光                                            ➕微：287306486                                                        ➕QQ：287306486                                                        ➕QQ：2514057945[圣诞老人111]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1250579bb0]"", ""created_at"": ""2小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[033a17b8da]"", ""screen_name"": ""[83feaf144b]""}, ""text"": ""需要推广，认证，粉丝，曝光                                            ➕微：287306486                                                        ➕QQ：287306486                                                        ➕QQ：2514057945 [神马]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 12:56:09
[b4644ef925],[5d05b3d37c],好无聊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T19:53:19,荣耀50 SE 5G,1,0,,0,,[9b2d5b4678],2024-04-08 19:53:19
[69ad5a5d63],[2d9a8e2b60],"抑郁症
我整个人现在都很烦，然后我说话就很大声啊，因为我本来就很烦，我奶奶叫我不要跟她生气，我跟她生气了吗？我是自己很烦，我说我想要出去，我想要出去就是想要冷静冷静，她说外面太冷就晚上就别出去了，那行我就说我不不出去了。很好啊，发泄的方式就只剩下我的刀了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-02T17:58:11,抑郁症超话,0,1,"[{""id"": ""[adc03c3e2e]"", ""created_at"": ""04-02"", ""source"": ""来自江西"", ""user"": {""id"": ""[43f583004c]"", ""screen_name"": ""[b6a91cdd56]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-02 17:58:11
[eaa6fa64f2],[1e638a49d9],"抑郁症
尊嘟假嘟，有个帖子说梵高没错就是那个著名的画家梵高，说他有双相… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-01T17:10:12,抑郁症超话,0,1,"[{""id"": ""[7497af72be]"", ""created_at"": ""04-01"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b6817c3717]"", ""screen_name"": ""[44eda581ca]""}, ""text"": ""是真的，&quot;世界双相情感障碍日&quot;就是为了纪念他，以他的生日(3月30日)设立的。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-01 17:10:12
[4e9f067092],[23bb69b43d],"抑郁症
最近真的乱发脾气的次数越来越多了。有药但是不想吃，因为只有药其他的啥也没有，家里人也从来不去了解抑郁症，也不说怎么去治疗，从来就是我找我爸要钱去重新拿药，其他的治疗就一点都没有了。其实心理咨询挺贵的但是完全没必要在我身上浪费这个钱不是吗？我想他们也这么觉得吧。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-27T14:43:53,抑郁症超话,36,16,"[{""id"": ""[df0a0fbc3a]"", ""created_at"": ""04-01"", ""source"": ""来自广西"", ""user"": {""id"": ""[6424b59d34]"", ""screen_name"": ""[05ec4231f2]""}, ""text"": ""我家里人也是，而且他们要我自己内心克服，我要是能克服得了，我还会得这个病吗？ [泪]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[b2e6c32052]"", ""created_at"": ""03-29"", ""source"": ""来自河北"", ""user"": {""id"": ""[3c3b083aa0]"", ""screen_name"": ""[4fec2db46b]""}, ""text"": ""多晒太阳"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[ea7d230a10]"", ""created_at"": ""03-29"", ""source"": ""来自湖北"", ""user"": {""id"": ""[8cfd6adc76]"", ""screen_name"": ""[9eecf9b471]""}, ""text"": ""父母那一代很难接受自己的孩子有抑郁症，亲身经历过，但是他们打从心底一定是希望你好的，可以试着一点点跟他们交流，不要觉得他们不爱你 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[48fe3ca20c]"", ""created_at"": ""03-27"", ""source"": ""来自湖北"", ""user"": {""id"": ""[56384955e3]"", ""screen_name"": ""[fbd909e363]""}, ""text"": ""回复@光63323:谢谢"", ""reply_id"": 5016597930181873, ""reply_text"": ""当然不是啊小宝，父母肯定希望咱们健健康康开开心心的，他们不曾接受有关这方面的专业知识，他们只知道你不开心，但不知道你为什么会这样，可能他们也不知道该怎么做 尝试着跟他们讲讲，现在药物对自己帮助不太大，自己需要一个心理医生，这样能让自己好受一点"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5fdd548fa6]"", ""created_at"": ""03-27"", ""source"": ""来自山东"", ""user"": {""id"": ""[64e52ab38b]"", ""screen_name"": ""[69abd10fc7]""}, ""text"": ""当然不是啊小宝，父母肯定希望咱们健健康康开开心心的，他们不曾接受有关这方面的专业知识，他们只知道你不开心，但不知道你为什么会这样，可能他们也不知道该怎么做 尝试着跟他们讲讲，现在药物对自己帮助不太大，自己需要一个心理医生，这样能让自己好受一点"", ""like_counts"": 2, ""liked"": false}]",0,,[9b2d5b4678],2024-03-27 14:43:53
[10416a6baf],[158773c194],"王俊凯
丫头，听说你觉得自己不够俊俏，别怕，因为你的俊来了！（丫头文学给我们小凯安排上！）@TFBOYS-王俊凯 ",[9b2d5b4678],[0f50bdfce4],[9b2d5b4678],,2024-03-26T23:01:20,王俊凯超话,7,3,"[{""id"": ""[00fcf1d02c]"", ""created_at"": ""03-26"", ""source"": ""来自河南"", ""user"": {""id"": ""[d782583630]"", ""screen_name"": ""[e0f3e33cfd]""}, ""text"": "" [爱你]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[fa4edea540]"", ""created_at"": ""03-26"", ""source"": ""来自云南"", ""user"": {""id"": ""[8aacbeaa0f]"", ""screen_name"": ""[39860a0f09]""}, ""text"": ""王俊凯"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[af6a7643ed]"", ""created_at"": ""03-26"", ""source"": ""来自江苏"", ""user"": {""id"": ""[7a9fcf1797]"", ""screen_name"": ""[b205da0de1]""}, ""text"": ""王俊凯吃早饭🍞🧀🍳🥞🍼wjk吃午饭🍗🥙🍛🍲🍱🍹三字弟弟吃下午茶🍰🍦🍮🍾王俊凯吃晚饭🍗🥕🍕🥗🍙wjk吃零食🌰🍬🍫🍭🍿三字弟弟吃水果🍉🍊🍎🍓🍇🍌🍐🍈🍒🍑王俊凯吃夜宵🍡🍢🍔🍖🌭"", ""like_counts"": 0, ""liked"": false}]",1,,[52ae7fb351],2024-03-26 23:01:20
[76ec9aee2b],[6f98b4d33b],"星卡里
贴纸保存大法！在🍠王源和王俊凯总要上一个吧。发了视频大家可以去看看。谢谢啦！#江宸天街星卡里华中首展##星卡里##王俊凯# ",[9b2d5b4678],[434e39b149],[9b2d5b4678],,2024-03-26T17:58:01,星卡里超话,2,0,,0,"江宸天街星卡里华中首展,星卡里,王俊凯",[9b2d5b4678],2024-03-26 17:58:01
[3c53e3e350],[9d40d45fa7],"抑郁症
这个是尊嘟假嘟，抑郁症不可以考驾照吗？我还没开始学科目一呢。家里人希望我早点考个驾照，但是我有点担心给人家教练车撞垮了。 ",[9b2d5b4678],[5d42171a82],[9b2d5b4678],,2024-03-26T15:07:34,抑郁症超话,31,58,,1,,[9b2d5b4678],2024-03-26 15:07:34
[fb9463c563],[f2655f40b6],"抑郁症
我真的哭死。奶奶去叔叔家就在隔壁的一栋九楼。我昨天问我爸能不能把无人机借我玩，我爸今天来奶奶这边给我了，然后我就趁着这个时间我叫奶奶去阳台上等我，然后然后我刚飞过去，你知道吗？这个无人机我还没飞到那呢，我在调整角度，因为他确实离人家阳台的防盗网太近，我害怕打到防盗网 ...
全文",[9b2d5b4678],[72085bf914],[9b2d5b4678],,2024-03-22T17:07:58,抑郁症超话,2,1,"[{""id"": ""[559c19c47a]"", ""created_at"": ""03-22"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b6817c3717]"", ""screen_name"": ""[44eda581ca]""}, ""text"": ""实话实说就好了，你也不是故意的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-22 17:07:58
