id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[cf3270ae3c],[b3db99b899],吃了麻辣烫和鸡腿，心情依然一般。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T20:20:37,5G自拍手机vivo S6,1,1,"[{""id"": ""[86444194cc]"", ""created_at"": ""06-01"", ""source"": ""来自河北"", ""user"": {""id"": ""[8eeadcc8ad]"", ""screen_name"": ""[fc1488baae]""}, ""text"": ""想亖是一种持续的状态"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 20:20:37
[03fa87e423],[181cf53004],"抑郁症
有只能让自己看见自己写的文字的软件吗？不想用vb了，想弄一个新的。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T14:33:55,抑郁症超话,0,4,"[{""id"": ""[1399265c0f]"", ""created_at"": ""05-31"", ""source"": ""来自河北"", ""user"": {""id"": ""[8eeadcc8ad]"", ""screen_name"": ""[fc1488baae]""}, ""text"": ""回复@让我擦亮宇宙生命尊严:不能弄那些，因为有时候工作需要用那些软件。而且我比较注重隐私，实在是麻烦。"", ""reply_id"": 5040162842871673, ""reply_text"": ""回复@偏爱奔地小行星:石墨文档，纯纯写作，汤圆写作，WPS便签，手机自带便签，腾讯文档，WPS文档，甚至是word都可以"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[dabebdb46b]"", ""created_at"": ""05-31"", ""source"": ""来自陕西"", ""user"": {""id"": ""[04c9a89b40]"", ""screen_name"": ""[a683f1097f]""}, ""text"": ""回复@偏爱奔地小行星:石墨文档，纯纯写作，汤圆写作，WPS便签，手机自带便签，腾讯文档，WPS文档，甚至是word都可以"", ""reply_id"": 5040162400897015, ""reply_text"": ""回复@让我擦亮宇宙生命尊严:不怎么玩QQ了。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5f82669e2f]"", ""created_at"": ""05-31"", ""source"": ""来自河北"", ""user"": {""id"": ""[8eeadcc8ad]"", ""screen_name"": ""[fc1488baae]""}, ""text"": ""回复@让我擦亮宇宙生命尊严:不怎么玩QQ了。"", ""reply_id"": 5040153946489573, ""reply_text"": ""QQ空间设为私密仅自己可见？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5a2b829811]"", ""created_at"": ""05-31"", ""source"": ""来自陕西"", ""user"": {""id"": ""[04c9a89b40]"", ""screen_name"": ""[a683f1097f]""}, ""text"": ""QQ空间设为私密仅自己可见？"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 14:33:55
[ee5e4174ad],[7448f948cc],不想h了，内心在流泪。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T14:08:58,5G自拍手机vivo S6,0,0,,0,,[9b2d5b4678],2024-05-31 14:08:58
[229447208d],[1deeb11108],"抑郁症
经常想亖怎么办？什么计划都执行不了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T01:54:30,抑郁症超话,2,2,"[{""id"": ""[2ad1d9ac38]"", ""created_at"": ""05-31"", ""source"": ""来自天津"", ""user"": {""id"": ""[8800248867]"", ""screen_name"": ""[6b80ffc2a4]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ec923f5ee7]"", ""created_at"": ""05-31"", ""source"": ""来自广东"", ""user"": {""id"": ""[554397bfe3]"", ""screen_name"": ""[d732ccd690]""}, ""text"": ""抱抱你你想死的念头是因为疾病产生的，不是真实的你的想法，你要学会跟这些想法对抗，无视它，慢慢的，那些想法就会离开你 [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 01:54:30
[f7564e8712],[0d9c4cda2a],我觉得我自己被全世界屏蔽一样，SB的课程一个解释的人都没，乱七八糟的讲课。狗屎的课件和教材根本不匹配没法听。什么狗屎带背，河北不是还没开吗？山东开的那种是什么？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T21:36:39,5G自拍手机vivo S6,0,0,,0,,[9b2d5b4678],2024-05-27 21:36:39
[e6d02134e1],[e2ab43f0d6],不想h了，每天都不想h了。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T10:09:20,5G自拍手机vivo S6,0,0,,0,,[9b2d5b4678],2024-05-27 10:09:20
[3793ddd0f4],[5c1528ec4f],"抑郁症
不想h了。每天都不想h了，这种想法已经持续了两三年了。啥时候我真的能挂了啊!从现在开始我就是半活半亖人，肉体活着，心灵半活半亖。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T09:57:31,抑郁症超话,1,2,"[{""id"": ""[8e2f4fa0fa]"", ""created_at"": ""05-27"", ""source"": ""来自山西"", ""user"": {""id"": ""[1df2c2a0f8]"", ""screen_name"": ""[f87abc325c]""}, ""text"": ""我也差不多"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d27172d74d]"", ""created_at"": ""05-27"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 09:57:31
[c863382e44],[9ec90494e2],"抑郁症
前置提醒，纯抱怨，有点长。真厌蝻会时常yy这句话，今天我又在女权博主评论区看到共识了。领导经常说让我开心点，多笑笑。但是，我就是快乐不起来啊!我永远不会真正的快乐。我觉得即使我换了一个环境，即使我到了蝻拳吃女最轻微的地方——冰岛，我也不会长期快乐，我最多短暂快乐一会儿 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T02:08:04,5G自拍手机vivo S6,0,4,"[{""id"": ""[280836d66e]"", ""created_at"": ""05-27"", ""source"": ""来自河北"", ""user"": {""id"": ""[8eeadcc8ad]"", ""screen_name"": ""[fc1488baae]""}, ""text"": ""回复@幺鲁达yoyo:没听明白什么意思。 [doge]"", ""reply_id"": 5038578998970175, ""reply_text"": ""不知道你能不能看见，我有个例子或许可以帮到你，我小时候在推特冲浪的时候误入一个白男讨论贴，里面全部都是对亚洲人进行人身攻击的，而且还举了很多的论文来论证黄女骨盆窄小、所以东亚病夫体质差之类的。可见国人或者说国男整天宣传的农村包围城市、黄男天下第一受人嫉妒爱戴的说法那只是自以为"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b155a9ce6f]"", ""created_at"": ""05-27"", ""source"": ""来自上海"", ""user"": {""id"": ""[211f031d7b]"", ""screen_name"": ""[69bc11a52f]""}, ""text"": ""不知道你能不能看见，我有个例子或许可以帮到你，我小时候在推特冲浪的时候误入一个白男讨论贴，里面全部都是对亚洲人进行人身攻击的，而且还举了很多的论文来论证黄女骨盆窄小、所以东亚病夫体质差之类的。可见国人或者说国男整天宣传的农村包围城市、黄男天下第一受人嫉妒爱戴的说法那只是自以为"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 02:08:04
[1d9cc91ac3],[6e92e54ee5],"无语，遇见剑奴了，比坦妹有过之而无不及。骂完同性就走了，真有💰，怎么不给我爆金币。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T23:40:26,5G自拍手机vivo S6,0,1,"[{""id"": ""[c5624fda00]"", ""created_at"": ""05-22"", ""source"": ""来自河北"", ""user"": {""id"": ""[8eeadcc8ad]"", ""screen_name"": ""[fc1488baae]""}, ""text"": ""高奴贱驴，中产也有破产的一天 [怒]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 23:40:26
[e3c8a8713c],[d09ba9b874],"抑郁症
我现在看开了，我能做到现在这样已经很不错了。因为在蛆权社会，一切都是围着蛆转的，它们一直致力于把女性驯化成男性的非人附属品，它们根本不在意这样做的结果女性会遭受何种代价。蛆权吃女既然如此严重，所以代代都有女性反抗。对蛆权的抵抗。例如，不服美役和不造夫造父等。这些行都 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T07:36:33,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-18 07:36:33
