id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[6b1a557aef],[e3fc0e4da7],"抑郁症
电休克后有什么感觉，会痛苦吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T09:53:30,抑郁症超话,1,6,"[{""id"": ""[52288d9397]"", ""created_at"": ""15小时前"", ""source"": ""来自吉林"", ""user"": {""id"": ""[6624a839f4]"", ""screen_name"": ""[925705e68c]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b1fe267064]"", ""created_at"": ""22小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[9723d85dbb]"", ""screen_name"": ""[6649d56d29]""}, ""text"": ""回复@摸摸我的头嘛:我也是，家里不让我再入院治疗了，所以我也没有想到，上一次mect居然会是我最后一次mect了，我没有机会再接受mect了"", ""reply_id"": 5042838156869721, ""reply_text"": ""回复@buyaozhaodaowo88:我还想继续做 我觉得对我挺有效的 但家里人不让了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7adc5f2213]"", ""created_at"": ""23小时前"", ""source"": ""来自浙江"", ""user"": {""id"": ""[c0e60620c0]"", ""screen_name"": ""[51175c5bfb]""}, ""text"": ""回复@buyaozhaodaowo88:我还想继续做 我觉得对我挺有效的 但家里人不让了"", ""reply_id"": 5042833986159564, ""reply_text"": ""不会，感觉很好，很喜欢这种三秒失去意识的感觉"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3d45cceffd]"", ""created_at"": ""23小时前"", ""source"": ""来自浙江"", ""user"": {""id"": ""[c0e60620c0]"", ""screen_name"": ""[51175c5bfb]""}, ""text"": ""回复@buyaozhaodaowo88:➕1"", ""reply_id"": 5042833986159564, ""reply_text"": ""不会，感觉很好，很喜欢这种三秒失去意识的感觉"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cb3ab0eaaa]"", ""created_at"": ""23小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[c855dc951f]"", ""screen_name"": ""[3b692444d8]""}, ""text"": ""感觉后遗症有点严重"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ea7e6b7a8c]"", ""created_at"": ""23小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[9723d85dbb]"", ""screen_name"": ""[6649d56d29]""}, ""text"": ""不会，感觉很好，很喜欢这种三秒失去意识的感觉"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-07 09:53:30
[81c1142fb0],[5f555d2aff],"第五人格交易
想收个有信使和富江的号，逆位审判和补天裂加分，收安卓的，什么渠道都可以 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T08:38:17,第五人格交易超话,0,5,"[{'id': 5042744862967814, 'created_at': '06-07', 'source': '来自吉林', 'user': {'id': 7424994014, 'screen_name': '永忠伊德海拉'}, 'text': '回复@木薯啵啵茶:抱歉了宝', 'reply_id': 5042677257078188, 'reply_text': '回复@永忠伊德海拉:500', 'like_counts': 0, 'liked': False}, {'id': 5042677257078188, 'created_at': '06-07', 'source': '来自四川', 'user': {'id': 7359605702, 'screen_name': '木薯啵啵茶'}, 'text': '回复@永忠伊德海拉:500', 'reply_id': 5042669659359851, 'reply_text': '回复@木薯啵啵茶:问问价', 'like_counts': 0, 'liked': False}, {'id': 5042669659359851, 'created_at': '06-07', 'source': '来自黑龙江', 'user': {'id': 7424994014, 'screen_name': '永忠伊德海拉'}, 'text': '回复@木薯啵啵茶:问问价', 'reply_id': 5042654609937680, 'reply_text': '请问单信使看不丫 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5042654609937680, 'created_at': '06-07', 'source': '来自四川', 'user': {'id': 7359605702, 'screen_name': '木薯啵啵茶'}, 'text': '请问单信使看不丫 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5042620411153267, 'created_at': '06-07', 'source': '来自河南', 'user': {'id': 7880347464, 'screen_name': '小然天使降临'}, 'text': '宝我大号竟然完美满足哈哈哈祝宝早收 ""[苦涩]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-07 08:38:17
[81605b470c],[cc3effd3f7],"第五人格
想让网易增加排位时候又不想增加，(我是监管玩家，仅我的看法)增加了排位时间分上的快，屠夫七阶排一局等待时间十多分钟，增加了会更久 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T07:28:08,第五人格超话,2,6,"[{'id': 5042190439154200, 'created_at': '06-06', 'source': '来自吉林', 'user': {'id': 7424994014, 'screen_name': '永忠伊德海拉'}, 'text': '回复@方糖布丁丶:人类的话会，包括榜上的分都会升，牌子的分会升很多。屠夫不一定，我没见过几个屠夫能真正混上七阶的', 'reply_id': 5042182627788459, 'reply_text': '排的更久了真的会上分快吗，我感觉是只有更加费时间了分还是那样 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5042182627788459, 'created_at': '06-06', 'source': '来自广东', 'user': {'id': 5846374681, 'screen_name': '方糖布丁丶'}, 'text': '排的更久了真的会上分快吗，我感觉是只有更加费时间了分还是那样 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5042174783654322, 'created_at': '06-06', 'source': '来自辽宁', 'user': {'id': 7732318302, 'screen_name': '咩瑞今天有新衣服了吗'}, 'text': '我建议六阶以下延长到现在五阶以下的时间 ""[开学季]""', 'like_counts': 0, 'liked': False}, {'id': 5042171546174597, 'created_at': '06-06', 'source': '来自浙江', 'user': {'id': 6012012956, 'screen_name': '没树枝之后精神状态好多了'}, 'text': '有一说一我个人感觉增加了，没有一起集中排位，等待的时间可能会更久 [跪了]', 'like_counts': 1, 'liked': False}, {'id': 5042168773215954, 'created_at': '06-06', 'source': '来自山东', 'user': {'id': 7742410969, 'screen_name': '蹇无冕'}, 'text': '增加的话打牌子会累很多的感觉', 'like_counts': 0, 'liked': False}, {'id': 5042168755913834, 'created_at': '06-06', 'source': '来自山东', 'user': {'id': 7452199443, 'screen_name': '喜欢青月的海恶呀'}, 'text': '支持多延长一些', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-06 07:28:08
[207edbd536],[efc26cf5e1],"第五人格交易
xyt. 保女巫C牌。手机要坏了，何时能买新的  
专栏 · xq第五xyt
 ",[9b2d5b4678],[92669fc88f],[9b2d5b4678],,2024-06-03T17:00:35,第五人格交易超话,1,0,,0,,[9b2d5b4678],2024-06-03 17:00:35
[84f760e46a],[77799715d9],"第五人格交易
xyt. 一周低保。不能接多单子，头疼  
专栏 · xq第五xyt
 ",[9b2d5b4678],[cc4339bc19],[9b2d5b4678],,2024-06-03T16:57:20,第五人格交易超话,0,0,,0,,[9b2d5b4678],2024-06-03 16:57:20
[bf88dbbf97],[d1f9db3ecd],"第五人格交易
xyt. 一周低保。红温了。  
专栏 · xq第五xyt
 ",[9b2d5b4678],[c079b97763],[9b2d5b4678],,2024-06-03T16:50:17,第五人格交易超话,0,0,,0,,[9b2d5b4678],2024-06-03 16:50:17
[ab9a2533a0],[709603e16b],"第五人格交易
xyt. 几天低保，讨厌网卡，讨厌网卡。  
专栏 · xq第五xyt
 ",[9b2d5b4678],[70ef328780],[9b2d5b4678],,2024-06-03T16:44:28,第五人格交易超话,0,0,,0,,[9b2d5b4678],2024-06-03 16:44:28
[b307a5da26],[fb0380a62d],"第五人格交易
xyt.周上加低保. 讨厌网卡  
专栏 · xq第五xyt
 ",[9b2d5b4678],[f181f6eca1],[9b2d5b4678],,2024-06-03T16:39:01,第五人格交易超话,1,0,,0,,[9b2d5b4678],2024-06-03 16:39:01
[442fa1e707],[a1833ce3fb],"第五人格交易
xyt. 周上限，好多图都没了，好烦  
专栏 · xq第五xyt
 ",[9b2d5b4678],[27365b731d],[9b2d5b4678],,2024-06-03T16:33:11,第五人格交易超话,0,0,,0,,[9b2d5b4678],2024-06-03 16:33:11
[2ffb648698],[62ab3495a9],"第五人格代打
 ",[9b2d5b4678],[377f894e4e],[9b2d5b4678],,2024-06-03T11:57:56,第五人格代打超话,1,0,,0,,[9b2d5b4678],2024-06-03 11:57:56
