id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[767b166484],[aa44ae5737],"抑郁症
据说我们的平均寿命比没生病的人短，是真的吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T22:31:34,抑郁症超话,0,1,"[{""id"": ""[5d54c6461a]"", ""created_at"": ""05-02"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""有这个报道，我看到过。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-02 22:31:34
[bc2324d6e1],[f8cdad8cf5],"抑郁症
help me ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T12:29:34,抑郁症超话,0,2,"[{""id"": ""[eeaae70bc3]"", ""created_at"": ""05-01"", ""source"": ""来自山东"", ""user"": {""id"": ""[962ea5c9f6]"", ""screen_name"": ""[adff0523a1]""}, ""text"": ""去知某乎看看风铃再行老师的文章吧，不要放弃，这就是希望，抱抱你，风铃拖着你呢"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f868409ba1]"", ""created_at"": ""05-01"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-01 12:29:34
[107c2ec6fd],[bfc34867ca],"抑郁症
快高考了，状态很糟糕，怎么办…………😭😭😭有没有过来人指点一下，我真的快要碎了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T12:28:24,抑郁症超话,0,2,"[{""id"": ""[ebfacb604d]"", ""created_at"": ""05-01"", ""source"": ""来自广西"", ""user"": {""id"": ""[7bf690e642]"", ""screen_name"": ""[d9f055a30d]""}, ""text"": ""趁放假好好休息 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[29d5f32a8b]"", ""created_at"": ""05-01"", ""source"": ""来自江苏"", ""user"": {""id"": ""[1795483ed5]"", ""screen_name"": ""[fe1e8d595d]""}, ""text"": ""在吗！不知道你现在怎么样……我可能来晚啦！虽然我没能参加高考！但是我希望你的高中生活不会因为一个分数而变得满是遗憾.也不要因为一堆数字让你觉得生活黯淡无光……那句话怎么说来着:高考可以重来.人生只有一次！ 最后祝你:人生！易如反掌！ [打call]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-01 12:28:24
[f1512c12ad],[11385187d7],"抑郁症
明明能考到班级前五的。就因为生病了。所以我的成绩只能掌握在病的手上。而不在于我自己。再聪明有什么用呢。没有了记忆的能力，再聪明也是傻子一个。让一个傲娇的人变成一个自卑的人，得让她经历什么呢？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T22:07:27,抑郁症超话,0,2,"[{""id"": ""[d933ac7969]"", ""created_at"": ""04-30"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[754289a3d5]"", ""created_at"": ""04-30"", ""source"": ""来自山西"", ""user"": {""id"": ""[0cab627b39]"", ""screen_name"": ""[5339578d80]""}, ""text"": ""抱抱会好的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-30 22:07:27
[1fb37f0782],[a58fc50f81],"抑郁症
我服了,从年初一直脑袋疼到现在几个月了都没好，今天又疼的不行了，我就喊了句我的脑袋好疼啊，然后我爸非常郑重的跟我说，让我不要给我弟传递负能量，让我在乎一点我弟的感受，让我在乎在乎他们的感受，不是，他有病吧他？是我三观有问题了还是他的三观有问题啊？再这样下去我都要怀疑 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T22:05:50,抑郁症超话,0,1,"[{""id"": ""[bb2b9e02c4]"", ""created_at"": ""04-30"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-30 22:05:50
[a638e29033],[92cb5d6f8c],"抑郁症
我看你年纪都七八十了，给你点面子，就算你说的是我不爱听的话也搭你两句话，但那是我尊重老人不是尊重你，更不是让你跑到我面前汪汪狗叫来的，神经病一样
还外婆，我看你是颠婆八婆
你跟我妈有什么区别吗？你俩彼此彼此，不愧是一家人 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T12:17:00,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-19 12:17:00
[82e27ec6da],[02bffe7803],"抑郁症
快高考了，每天都在焦虑
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T22:09:48,抑郁症超话,2,5,"[{'id': 5019902492544060, 'created_at': '04-05', 'source': '来自辽宁', 'user': {'id': 7510639214, 'screen_name': '1-妳的诺'}, 'text': '宝宝加油 我也是从当时抑郁焦虑熬过来的 很痛苦 尽力而为', 'like_counts': 0, 'liked': False}, {'id': 5019592021771012, 'created_at': '04-05', 'source': '来自河南', 'user': {'id': 7283591728, 'screen_name': '因风起柳絮飘'}, 'text': '我也是 ""[锦鲤附体]""', 'like_counts': 0, 'liked': False}, {'id': 5019588303785481, 'created_at': '04-05', 'source': '来自山东', 'user': {'id': 7478447613, 'screen_name': '断了桅杆的船'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5019577566367225, 'created_at': '04-04', 'source': '来自四川', 'user': {'id': 7274167288, 'screen_name': '小璇每天都要开心'}, 'text': '+1', 'like_counts': 0, 'liked': False}, {'id': 5019561904833521, 'created_at': '04-04', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '尽力就好 [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-04 22:09:48
[4a6b9f7a61],[290f8b82d2],"抑郁症
靠，我自己都要心疼我自己了（而且刚开始吃药的大半年并没有收集在内）
我都经历了点什么啊…… ",[9b2d5b4678],[6d5a5e4a63],[9b2d5b4678],,2024-04-04T17:51:47,抑郁症超话,1,2,"[{""id"": ""[369a827a1a]"", ""created_at"": ""04-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[5e4908c9c6]"", ""screen_name"": ""[feb80d1ba9]""}, ""text"": ""回复@漫冬澈:谢谢你 [抱一抱]"", ""reply_id"": 5019514827969198, ""reply_text"": ""宝宝有在好好吃药哎 超级棒的 看到那么多药盒我们也会心疼 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6d22e89e9c]"", ""created_at"": ""04-04"", ""source"": ""来自浙江"", ""user"": {""id"": ""[fe1957d9b8]"", ""screen_name"": ""[b1ee140b61]""}, ""text"": ""宝宝有在好好吃药哎 超级棒的 看到那么多药盒我们也会心疼 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-04 17:51:47
[57f7e6feed],[e1aac07512],"小鬼王琳凯
既然最近有很多新粉，那就让我来发一下我们的百变小琳吧！
（ps今年高考完，准备去音乐节看小鬼。夜排是什么意思呢？VIP前排的票价大概是多少呢？想要在靠前的地方亲眼看到小鬼需不需要很早去往前排呀。有什么需要注意的呢？） ",[9b2d5b4678],[08bca40660],[9b2d5b4678],,2024-04-03T22:46:40,小鬼王琳凯超话,10,3,"[{'id': 5019324429108600, 'created_at': '04-04', 'source': '来自天津', 'user': {'id': 7518031059, 'screen_name': '夏天微微凉0520'}, 'text': '好看 ""[哇]""', 'like_counts': 0, 'liked': False}, {'id': 5019208931084339, 'created_at': '04-03', 'source': '来自江苏', 'user': {'id': 7287807419, 'screen_name': '琳琳d58块腹肌'}, 'text': '夜排是指为了占到更好的位置提前一晚上去排队（大概是这样，音乐节我还没去过呢，太累了感觉）', 'like_counts': 0, 'liked': False}, {'id': 5019207706611593, 'created_at': '04-03', 'source': '来自河南', 'user': {'id': 7403078313, 'screen_name': '什么妖八灵'}, 'text': '夜排是指提前一天晚上或更早 去现场排队直到检票入场 通常是为了抢前排', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-04-03 22:46:40
[7206b42a94],[a266343a3f],"抑郁症
头疼，发痒 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-02T09:25:03,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-02 09:25:03
