id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[0efcde55fa],[a45faca24a],很难佩服那些不被世俗所困惑的人，是除了自身，任何世俗之物 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T18:01:09,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-05-29 18:01:09
[26d3c4fa43],[96ad287648],花钱的本质是满足我们的精神世界 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T23:26:20,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-05-25 23:26:20
[d589918ec2],[8a470d7e1a],人类好像机器，重复做着一些事情，而我是坏掉的机器，就坏在那了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T09:12:48,真我GT5 性能无双,0,0,,0,,[9b2d5b4678],2024-05-24 09:12:48
[89b2408ae2],[cb60b52dd1],晚风 ,[9b2d5b4678],[a72c076de4],[9b2d5b4678],,2024-05-23T21:59:24,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-05-23 21:59:24
[cb20b9ad25],[520543c523],真的觉得物价越来越贵，物价都涨了，工资能不能涨点 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T11:58:12,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-05-23 11:58:12
[61d78ec73d],[6d16ca367b],提升自己才是最最重要的，其他的都是浮云，戒骄戒躁，沉下心 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T22:45:56,真我GT5 性能无双,0,0,,0,,[9b2d5b4678],2024-05-19 22:45:56
[58ad33d377],[574fa1df7d],"九张快乐合集🖇🖇 
黄山·排云亭
 ",[9b2d5b4678],[26c9af0fe8],[9b2d5b4678],黄山·排云亭,2024-05-15T23:08:36,真我GT5 性能无双,0,0,,0,,[9b2d5b4678],2024-05-15 23:08:36
[aaca6d00a6],[8e878b9b62],严谨 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T18:41:57,真我GT5 性能无双,3,0,,0,,[9b2d5b4678],2024-05-01 18:41:57
[6096f54c87],[dc9bbdfd31],唉 ,[9b2d5b4678],[8e60872154],[9b2d5b4678],,2024-04-26T21:54:37,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-04-26 21:54:37
[49ff76bf6c],[9a230d1f3d],"疲惫
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T21:52:48,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-04-26 21:52:48
[32015d3be2],[fa51fa6da7],"日常🌅 
深圳
 ",[9b2d5b4678],[35001317b7],[9b2d5b4678],深圳,2024-04-23T21:36:32,真我GT5 性能无双,0,0,,0,,[9b2d5b4678],2024-04-23 21:36:32
[8822b42cd3],[4d2fc24420],社会戾气太重了，身在其中，不自觉的被沾染 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T00:15:18,真我GT5 性能无双,2,1,"[{""id"": ""[dd714926b4]"", ""created_at"": ""04-17"", ""source"": ""来自广西"", ""user"": {""id"": ""[dcee3aa4d8]"", ""screen_name"": ""[a75e8765be]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 00:15:18
[3157c50368],[2b5ab873a5],物极必反，否极泰来。 ,[9b2d5b4678],[351629591f],[9b2d5b4678],,2024-04-17T00:13:17,真我GT5 性能无双,0,0,,0,,[9b2d5b4678],2024-04-17 00:13:17
[ee4a520505],[f35f69ce59],我的人生还那么长，还有那么多时间，我一定会完成我的梦想 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T23:39:14,真我GT5 性能无双,0,1,"[{""id"": ""[59c9799f68]"", ""created_at"": ""04-08"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""加油！我相信你一定可以实现的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 23:39:14
[bcc941c4a4],[dbaa28a8a1],这是一个巨大的牢笼，人类都被困在这，我使劲看这天啊，始终看不破。一个高智慧生命随手创造的宇宙。 ,[9b2d5b4678],[6920ed478c],[9b2d5b4678],,2024-04-07T23:50:53,真我GT5 性能无双,2,0,,0,,[9b2d5b4678],2024-04-07 23:50:53
[c300e0aa8c],[67c902aa9a],11个平行宇宙，无数个不同的人生 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T19:52:23,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-04-06 19:52:23
[1a52cab6a2],[ae821142f6],在某个夜晚，正准备躺下休息，忽然想到多年前因为一件事情说了极端的话。原来那种痛苦依旧存在 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T00:48:10,真我GT5 性能无双,0,0,,0,,[9b2d5b4678],2024-04-05 00:48:10
[5f499ce07b],[b7a249efee],救苦救难观世音菩萨南无阿弥陀佛，万事顺心健康平安 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T09:39:50,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-04-04 09:39:50
[2ba2d2b6f1],[b78a550e88],"刷动态，突然想到一个道理：父母一边打压你不花钱培养你，等自己长大了还要说自己没本事，挣不到钱
抑郁症
双相情感障碍
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-29T22:20:14,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-03-29 22:20:14
[8554c4fbbc],[df43fd4a72],活在人世间凡事不可强求，就像人各有志不可雷同一样，我们要做到不违心做事，尊重别人的感受，己所不欲勿施于人，凡事皆有定数，一切随缘就好…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-27T16:40:33,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-03-27 16:40:33
[975eaa580a],[b0297483bb],"毛不易《无名的人》（《雄狮少年》电影主题曲）
无名的人
 @QQ音乐 ",[9b2d5b4678],[6312814c33],[9b2d5b4678],,2024-03-24T21:30:16,QQ音乐,2,0,,0,,[3ef42060a2],2024-03-24 21:30:16
[137484aeeb],[687eb40247],长路漫漫... ,[9b2d5b4678],[c45ad12d80],[9b2d5b4678],,2024-03-19T20:21:07,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-03-19 20:21:07
[6a2ec69c05],[b064b7ecb2],何时能清醒一些，不那么木讷。 ,[9b2d5b4678],[aa2fec500f],[9b2d5b4678],,2024-03-17T23:58:39,真我GT5 性能无双,0,0,,0,,[9b2d5b4678],2024-03-17 23:58:39
[8f5e3cc262],[8c49ea1c9e],谁也无法逃出时间的荒野，年轻可真好啊，可同时也迷茫着 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-14T21:25:18,真我GT5 性能无双,0,1,"[{""id"": ""[006d542d99]"", ""created_at"": ""03-14"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""但人终究要回归自己的生活轨道上 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-14 21:25:18
[71a19a60c4],[1b30592231],疯了，疯了，这世界还能不能好了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-14T17:01:15,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-03-14 17:01:15
[a078c90519],[e378f52d83],为什么一到晚上就饿 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-13T23:02:44,真我GT5 性能无双,0,0,,0,,[9b2d5b4678],2024-03-13 23:02:44
[4207e9b99c],[a5bbfc386c],恁时候能成角 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-06T16:01:39,真我GT5 性能无双,0,0,,0,,[9b2d5b4678],2024-03-06 16:01:39
[5971abcd89],[848b475d55],人生要学会沉淀，沉淀经验，沉淀心情，沉淀自己沉淀再沉淀，然后成为一个温柔而强大的人时间是沉淀的良药 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-06T16:00:42,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-03-06 16:00:42
[91465f634f],[296d5695b9],枯木逢春 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-02T22:25:34,真我GT5 性能无双,1,0,,0,,[9b2d5b4678],2024-03-02 22:25:34
[e901ece44e],[840eac700d],又是崩溃的一天呢嘻嘻嘻 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-29T22:53:17,真我GT5 性能无双,0,0,,0,,[9b2d5b4678],2024-02-29 22:53:17
[1fdefa30db],[a2fb401cde],别让欲望占据了内心 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-28T23:04:03,真我GT5 性能无双,2,0,,0,,[9b2d5b4678],2024-02-28 23:04:03
[55da6b9243],[19837e7b03],在自己所处的阶段，自己正拥有什么，便珍惜什么。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-28T22:59:11,真我GT5 性能无双,0,0,,0,,[9b2d5b4678],2024-02-28 22:59:11
