id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[4bc73c1316],[88eb1dd581],自由的休息 不用靠药物就能睡着的时光真是太美好了 ,[9b2d5b4678],[26a301c72d],[9b2d5b4678],,2024-04-18T11:01:36,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-18 11:01:36
[4ee5ee93cc],[eb42f57bb9],感受到身体一些坏方向的变化 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T23:08:27,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-17 23:08:27
[cace1c498d],[b0ed67d495],日落✅ ,[9b2d5b4678],[83615a3ab5],[bc46098762],,2024-04-15T18:00:48,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-15 18:00:48
[449822c1ba],[437d4362ee],"在宿舍午睡被吵醒了 想骂人
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T12:12:13,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-15 12:12:13
[61cbb970ad],[3cdf63924d],在邻居家门口蹲着看了半小时小猫 ,[9b2d5b4678],[17fbe2aab6],[879620ab26],,2024-04-13T21:55:26,iPhone客户端,0,3,"[{'id': 5023919094633231, 'created_at': '04-16', 'source': '来自福建', 'user': {'id': 5664017905, 'screen_name': '被偷了的安娜'}, 'text': '回复@芝士榴莲pizza:哈哈哈哈哈哈也不是不行', 'reply_id': 5023333376853413, 'reply_text': '这么多偷抱一只回家 [doge]', 'like_counts': 0, 'liked': False}, {'id': 5023333376853413, 'created_at': '04-15', 'source': '来自福建', 'user': {'id': 7272953516, 'screen_name': '芝士榴莲pizza'}, 'text': '这么多偷抱一只回家 [doge]', 'like_counts': 0, 'liked': False}, {'id': 5022818129413780, 'created_at': '04-13', 'source': '来自罗伯特', 'user': {'id': 5762999670, 'screen_name': '评论罗伯特'}, 'text': '好可爱！猫猫都超级可爱的 ""[哇]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-13 21:55:26
[6a73dfbbee],[6aa21671f3],"抑郁症
 我 好痛苦，明天又要回学校了，不知道怎么表达自己的心情，不是说学校多坏，只是觉得说不自由了，有很多身不由自，果然孔乙己的长衫穿了就脱不下来了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T22:39:07,抑郁症超话,3,4,"[{""id"": ""[c6544f0caf]"", ""created_at"": ""04-08"", ""source"": ""来自福建"", ""user"": {""id"": ""[157370bc01]"", ""screen_name"": ""[d4b3453865]""}, ""text"": ""别难过，来了约饭吃 [兔子]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9041802c51]"", ""created_at"": ""04-08"", ""source"": ""来自江苏"", ""user"": {""id"": ""[2b6af04cb1]"", ""screen_name"": ""[63051fcd55]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[14a9dbc343]"", ""created_at"": ""04-08"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3c9f3609ff]"", ""created_at"": ""04-07"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-07 22:39:07
[c8f7f786a6],[a5542c1364],"开始戒断
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T22:15:52,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-07 22:15:52
[51b96b9f36],[ea66b22aef],🍴😋 ,[9b2d5b4678],[a26d280eea],[87c93c37d1],,2024-04-02T22:50:35,iPhone客户端,3,0,,0,,[9b2d5b4678],2024-04-02 22:50:35
[c3ef0fc0d5],[1bee381f8d],"抑郁症
 我也想 从明天起就不要再难过不要再哭也不要再流血 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-31T22:42:34,抑郁症超话,3,4,"[{'id': 5018401581828031, 'created_at': '04-01', 'source': '来自福建', 'user': {'id': 5664017905, 'screen_name': '被偷了的安娜'}, 'text': '回复@小羊丹尼爱睡觉:大大的\U0001fac2', 'reply_id': 5018127899297902, 'reply_text': '抱抱 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5018401525467832, 'created_at': '04-01', 'source': '来自福建', 'user': {'id': 5664017905, 'screen_name': '被偷了的安娜'}, 'text': '回复@bsfzu:嗯嗯！', 'reply_id': 5018118776684689, 'reply_text': '可以的 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5018127899297902, 'created_at': '03-31', 'source': '来自山东', 'user': {'id': 6337912379, 'screen_name': '小羊丹尼爱睡觉'}, 'text': '抱抱 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5018118776684689, 'created_at': '03-31', 'source': '来自福建', 'user': {'id': 7272953516, 'screen_name': '芝士榴莲pizza'}, 'text': '可以的 [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-03-31 22:42:34
[915dcfb283],[8d3e37c5c4],分享图片 ,[9b2d5b4678],[a0bd7cc6fe],[81cbf52038],,2024-03-31T17:07:24,iPhone客户端,3,0,,0,,[9b2d5b4678],2024-03-31 17:07:24
