X_post:我要请假。。。咳的我后脑勺疼;Y_reply:哎 感冒真的好难受
X_post:这周上6天，比什么都难熬;Y_reply:我也觉得 真的好累
X_post:抑郁症讨厌期待感和欲望 我好痛苦;Y_reply:[抱一抱]
X_post:今天下午摆摊坐那几个小时一分钱东西没卖，今晚买东西一下花了21?谁懂这种心情;Y_reply:哈哈哈哈哈哈哈哈哈哈哈哈哈哈 [哈哈]
X_post:预言一波下个月我妈进组，如果不准当我没说;Y_reply:我蹲 [偷笑]
X_post:要想人前显贵,就得背后遭罪;Y_reply:所以咱要努力！ [打call]
X_post:抑郁症 伤口就是伤口，它不会帮助任何人成长;Y_reply:[抱抱]
X_post:抑郁症 好久没来了最近一直躁狂期暴饮暴食胖了十斤难评;Y_reply:我也 [泪]
X_post:玩一个觉得没意思的游戏可以随时关掉我的人生也是这么没意思，我不想玩下去了;Y_reply:人生就像一场游戏，有时候我们也需要按下“重新开始”按钮 [加油]
X_post:抑郁症又陷入了死循环  真是失败;Y_reply:[抱一抱]
X_post:九尾XXZ明天卡位赛加油哦！在S组好好呆着吧！包相信你的呀@LGDNBW-九尾;Y_reply:包相信的
X_post:最近是不是压力太大了，想吃特别多东西。事实也是一吃就吃很多;Y_reply:确实如此，有时候压力大了就会想要通过吃东西来缓解一下
X_post:我也好累，但我不知道该怎么说，我好害怕拒绝别人，好担心被觉得不够关心别人，好害怕帮不上忙;Y_reply:你已经做得很好了，不要害怕拒绝和寻求帮助
X_post:我开心了;Y_reply:哇哦
X_post:假的 醒了有点睡不着;Y_reply:咋了？
X_post:#bilibili# 弓长老板_的视频【张月铭cover】特别的人｜出道三周年啦！;Y_reply:你好，你感兴趣的“bilibili”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; bilibili[超话]
X_post:潮汐tide 摸鱼摸了;Y_reply:可可爱爱 [鲜花]
X_post:时代少年团演唱会有没有宝宝是五月一号出发k507车的，我从洛阳出发，蹲个搭子;Y_reply:我29号 [裂开]
X_post:#iPhone16价格#所以多少钱;Y_reply:这个我还真不知道
X_post:为什么我不幸福;Y_reply:幸福！
X_post:张极周边中转站出出出，小礼物多多;Y_reply:哇哦 好羡慕
X_post:抑郁症 上班一直断断续续，主要受不了那种压抑的环境，还有同事也不喜欢，不上班又不行房租，生活开销，真的很难过！！每天都过的好压抑，想哭都哭不出来，回家又要被唠叨，亲戚还一直问在哪里上班，感觉都在哪里看笑话一样;Y_reply:[抱抱]
X_post:僵僵的道哥枕头～#梦幻新诛仙手游##梦幻新诛仙#;Y_reply:我也想要一个这么可爱的枕头
X_post:抑郁症现在总是有人假装自己是抑郁症来钓鱼或者是博同情，正是因为这些人才导致现在大家都对抑郁症患者有偏见，不知道他们到底想怎么样？不过没关系，他们以及会恶意攻击抑郁症患者的人都会替我们挡灾的。;Y_reply:您好可以请教你个问题么，我这不能私信 [泪]
X_post:希望所有人都好好的，只是我应该得早点去死了;Y_reply:一起，路上有个伴
X_post:抑郁症早上主治医生问完状态后晚上就加药了，希望能在生日之前出院，祝一切安好。近期唯一的好事就是因为难受吃不下饭之前死活健身减肥不下来这次瘦了很多x;Y_reply:回复@五号海棠实验基地:辛苦了 [泪]
X_post:抑郁症别人总觉得我什么事都无所谓，我却连自己都不知道自己到底想怎样;Y_reply:[抱一抱]
X_post:喻言 yy#星愿生日企划# yy#给喻言许个星愿# 你始终陌生，却允许诸多浪漫想象，成为我理想@喻言_Yuyan;Y_reply:"[哇]"
X_post:抑郁症 喘不上气啊;Y_reply:[抱一抱]
X_post:一口气喝两杯冰咖啡;Y_reply:这么能喝
X_post:梦到明侦病娇本了……特别刺激特别好玩故事特别牛;Y_reply:好巧啊！我也是 [抱一抱]
X_post:光遇陪玩糟了，要被蛐蛐了;Y_reply:蛐蛐回去 "[举手]"
X_post:抑郁症真的很不舒服，也说不清楚具体是哪，就感觉胸闷濒死感，烦躁想哭，我真忍不了了，我都纠结了一个星期要不要去医院;Y_reply:是在心脏胸闷，然后蔓延到脖颈的那种感觉吗？宝宝最近是不是在想一些事情？然后让自己感到很纠结很郁闷，可以试着深呼吸或者去做一些解压的事情，听歌睡一觉或者什么样的，或者好好的哭一顿，哭出来没关系的（抱抱）有些情绪是要泄出来的，希望你快点脱离你难受的状态
X_post:何故 晚安乖宝;Y_reply:早安 [兔子]
X_post:MOA交易处慢蹲收;Y_reply:sc5还在
X_post:抑郁症才一周怪贵的;Y_reply:我住了十天八千多了
X_post:真饿了;Y_reply:我说话有点难听我先走了 [微笑]
X_post:双相情感障碍特别想发疯的时候总想来一句“我精神病你有本事来打我啊” 后来想了想 还是算了;Y_reply:我就是这样[淚]还想打人 想砸东西 但是我一直忍[淚]
X_post:失眠我真是服了今天都开药给我的是疏肝解郁只给我一个盒子里面就一板半吃这个没用的还是睡不着？我妈又不让我开只让医生开这个那个医生说我认识你天天来这;Y_reply:相信医生，积极配合治疗，逐渐就会好起来的
X_post:感觉两个都适合嘘罗纳德拉……鳏夫罗纳（合十）;Y_reply:哈哈 确实都很合适
X_post:抑郁症 失眠 像梦被囚禁在身体里 那些未流下的眼泪最终去了哪里 可能蔓延至全身的血管里吧 因为我感受到了血的苦涩 面孔的模糊可是那起伏的跳动的声响又在说什么呢 她不过是一缕风 爱本就是风 再浓烈 也无法扎根于大地 她说她快承受不住了 但她又必须继续撑下去泪水啊 请再次青睐我的眼 ...全文;Y_reply:[抱抱]
X_post:抑郁症 一到晚上就跟渡劫一样 失眠睡不着觉…;Y_reply:今晚的熬夜冠军是我哦
X_post:跟朋友绝交了，我跟我妈说我今天休学，明年复读一年，这样就不会看见我所熟悉的人了，我怕我去学校看见她我忍不住哭，难受真的好难受哭了好长时间，我想歇会儿我累了，我怕去学校忍不住跳下去我真的会做出来，我怕我抑郁转双相，我怕他们讨厌我，我怕他们不喜欢我，我讨厌他们议论我，我讨厌！我妈说过 ...全文;Y_reply:没有人会讨厌你宝宝也不要怕别人不喜欢你 你本身已经够好啦 [抱抱]
X_post:抑郁症生病之后字体像变了一个人写的。这什么狗屎表达。我的脑子完了。我的字还得重新练，TMD。写不好字了好烦躁啊我草想死;Y_reply:我也是，还老写错，或者下一秒就忘记要写什么 [笑cry]
X_post:抑郁症 你看 我正在想办法活着   只是想活着而已  去新的地方 要伪装自己 伪装自己是正常人 伪装自己很健康   伪装自己很开朗 撕掉药名就很心酸  呵呵。;Y_reply:要好好的。还有好多好多值得期待的东西没见过啊。
X_post:逆水寒手游交易出逆水寒手游肯德基联名兑换码。;Y_reply:多少钱出
X_post:发现一颗立在江中的树?;Y_reply:这个角度真的很独特
X_post:抑郁症现在这个颓废的样子，看着自己以前曾经喜欢的纸片人，影视剧角色，感觉好惭愧好惭愧，不敢点开关于你们的信息，明明当时想着要成为和你们一样优秀的人的;Y_reply:说不定他们也在等待着你的回信呢！别放弃！正在突破次元壁来和你相遇的他们很努力！你也一样啊！ [微笑]
X_post:抑郁症就取点钱整天跑这跑那的，好烦;Y_reply:[抱抱]
X_post:抑郁症突然兴致很高的收拾了房间，现在又低落了;Y_reply:我有时候也是，会突然很高兴想干点什么或和人聊天，但是没多久就会情绪低落 [跪了]
X_post:#水千丞[超话]# 失眠了…;Y_reply:[抱一抱]
X_post:神经;Y_reply:原来你也还没审核 [doge]
X_post:此刻想参加线下的心蹦到了极点真想改签去北京见欣欣疯啦;Y_reply:我买了票来上海了结果说欣欣去北京了 [泪]
X_post:#虞书欣[超话]##超话星愿池# 啊啊啊啊啊啊啊啊啊宝宝你越来越好看啦！;Y_reply:愿我们和爱的人一起浪费人生，热泪盈眶?
X_post:何故 咕咕中午好;Y_reply:晚上好宝宝 [心]
X_post:何故 咕咕 下午好;Y_reply:早上好宝宝[吃馕]
X_post:仙女;Y_reply:仙女妈咪 [舔屏]
X_post:轮博我一辈子懂不了。。;Y_reply:回复@朱砂芝酱:小于500fo只能砖30条左右 大于500fo能砖1000左右（还要满足能瓶29条）
X_post:抑郁症开心啦～我感觉我已经好了哈哈哈;Y_reply:啊啊啊啊啊啊啊啊啊啊啊啊啊啊全球高考！！！！！ [心]
X_post:抑郁症休学在家不知道干嘛了 书也看不进;Y_reply:听音乐叠星星，叠了一玻璃瓶了! [坏笑]
X_post:抑郁症 昨天哭了一晚上，今天头好痛;Y_reply:回复@松本秋菊:交个朋友嘛 [抱抱]
X_post:白玉蜗牛大农还活着，就是状态不好，一直在壳里缩着，下午回来看到又出了些血#明珠蜗牛#;Y_reply:是不是年龄大了，寿命到了？
X_post:何故 咕咕晚上好;Y_reply:早安 [兔子]
X_post:以闪亮之名 故山萘的微博视频;Y_reply:我真的好爱这次的 "[送花花]"
X_post:抑郁症到猫头山了 吹着海风 内心非常的平静 #旅行# 威海·猫头山;Y_reply:超赞 [抱抱]
X_post:抑郁症我也会有心酸和委屈,可是我说给谁听,可谁又会听我说呢;Y_reply:宝宝，大家都在这里。
X_post:右耳朵打上了;Y_reply:疼不疼 [允悲]
X_post:周震南#周震南实体专开箱# zzn#周震南新专辑fff# @周震南全球星友汇 开箱来啦看来我与亲签无缘了??? 抹茶味的果汁软糖的微博视频;Y_reply:极昼之间，遇见即是幸运，喜欢便是浪漫。周震南@VvvVvV周震南
X_post:抑郁症世界就是一个巨大的形式主义;Y_reply:[抱抱]
X_post:以闪亮之名一录视频就糊，但拍照完全没问题@喵憩小姐的双马尾  故山萘的微博视频;Y_reply:设置那里的视频画质拉最高？
X_post:#朱志鑫[超话]# zzx#朱志鑫 三代第一主舞#  zzx#朱志鑫断层c位出道#  "枫叶飘向九月的乡野，我怀揣着心动与你邂逅""??? ????? ?????? ????? ?? ??? ????? ?????."@TF家族-朱志鑫;Y_reply:朱志鑫
X_post:我真的特别讨厌天气不好 因为天气不好我就感觉自己灵魂被剥离了 我就特别容易emo好奇怪啊 特别是天气不好加夜晚我真的会难过;Y_reply:天气不好，心情也会跟着阴沉起来呢但是别忘了，晴天总会到来的，就像美好的事情一样加油，明天又是新的一天 [太阳]
X_post:宋居寒 寒寒晚上好;Y_reply:回复@g寒故: [女孩儿]
X_post:抑郁症有太多太多事情没有朝着我预期的完美方向发展了，我该怎么办，我是真的受不了了;Y_reply:[抱抱]
X_post:#WCBA联赛# 我已为@杨舒予YSY  送出花瓣！新赛季我与你同在~WCBA球员势力榜;Y_reply:你好，你感兴趣的“WCBA联赛”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; WCBA联赛[超话]
X_post:抑郁症 请大家看花花??鲜花和春天都是免费的，快乐也是;Y_reply:超赞 [赞]
X_post:瞌睡的要死 但是闭上眼睛就是睡不着;Y_reply:[悲伤]
X_post:抑郁症难受;Y_reply:抱抱宝宝 [抱一抱]
X_post:叶罗丽出卡换卡全出，多收就?，要的私聊;Y_reply:宝宝白换情换吗 [鲜花]
X_post:抑郁症我活到现在的原因，不敢死，高中休学的那会就该死了，一直苟延残喘到现在;Y_reply:[抱抱]
X_post:春天就像世界末日一样;Y_reply:对 [单身狗]
X_post:不必祝她开花，不必教会她爱她不必勇敢，不必慷慨，不必乖祝她鼎沸好了，祝她有留白祝她把世俗的目光，一裁再裁祝她在人生海海，尽兴，开怀不必祝她明朗，不必教她世故她不必成功，不必灿烂，不必人声鼎沸祝她快乐好了，祝她有明天祝她以乐观者的姿态走向悲观的行程祝她热烈，祝她想哭就哭， ...全文;Y_reply:能开心就好
X_post:杨舒予 4.3 广东队平安完赛哦;Y_reply:顺利完赛 [打call]
X_post:抑郁症除了我的母亲，我从不畏惧任何人的离开;Y_reply:对，还有妈妈 [抱抱]
X_post:#水千丞[超话]# 晚安?;Y_reply:早上好
X_post:解忧游戏铺 2024.4.13谁这么幸运啊开播做了双人动作和忧一起玩乐园了原来是我;Y_reply:又幸福了小姐姐 "[送花花]"
X_post:抑郁症早晚都要死的幸不幸福都无所谓了这些年过得怎么样只有我自己清楚真的太痛了凌晨一两的点天花板四五点的太阳一支支不断燃烧的烟;Y_reply:[抱抱]
X_post:在我的眼里感觉大于性别 只要我喜欢你带给我的感觉 就算你是第三性别我也不会在意 因为我喜欢的是你这个人 无关性别;Y_reply:说得非常好！爱情应该是超越性别的
X_post:抑郁症 我真的最讨厌已读不回;Y_reply:我也是。巨讨厌
X_post:#微博渔场#快跟我一起当个快乐的渔场主吧！微博渔场;Y_reply:你好，你感兴趣的“微博渔场”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 微博渔场[超话]
X_post:踏马的，我是真泥马想死啊;Y_reply:每天都在想死
X_post:走出抑郁症有没有在青岛的友友啊？我想去大海看看;Y_reply:回复@前往远方的我:不适合定居 但是适合去玩玩是么
X_post:抑郁症我的未来可能要被自己毁了，我同学明天就答辩而我直到现在论文还没写出来，我真的不敢去干任何事我活的这几个月也很痛苦我不知道该怎么办，我不敢去做我也不敢出门我不敢社交太害怕了吃药也没有想很多很痛苦;Y_reply:我也是，我也是因为毕设不会写，加重焦虑，一夜夜失眠睡不着，别人都写完了，我却无从下手，整天担惊受怕 [泪]
X_post:宝宝们刷到能给点建议或者鼓励吗明天就要去考高二半期啦，人生第一次很多没学就去考。从初中开始就对考试很焦虑，还因为这个休过半年学。以前要么不考要么在家学好了再去，高中就没考差过，但总是解决不了问题，躯体化越来越严重，越来越怕考差。这次实在是有些忍受不了了，朋友给我的建议是干脆 ...全文;Y_reply:加油加油，考差就考差，没关系的宝宝 [抱抱]
X_post:一天发多少帖会炸号;Y_reply:我连续八个就会好像
X_post:抑郁症可能我根本不配被爱，就是敏感多疑，就爱揪着一件事不放，就爱翻旧账就嘴硬说反话，可是真的控制不住对身边亲的人还老发脾气;Y_reply:天秤座？不用慌，大把人跟你一样。
X_post:如果太阳可以是蓝色的。;Y_reply:怎么样啊
X_post:早安早八人 一早就开始要地铁了 坚持加油;Y_reply:早安打工人，打工魂，打工都是人上人
X_post:抑郁症吃奥沙西畔睡觉会睡一会醒一次大喊大叫吗;Y_reply:吃了三个多月，会连续做梦和早醒
X_post:因尧而志_向尧看齐接受一切你不想接受的，包括你自己。;Y_reply:你不论变成什么样子，都要去勇于接受自己，如果不满意并努力去改正。
X_post:抑郁症好多人都想在睡梦中嘎，我试过了，我也想这样，不过根本行不通;Y_reply:一氧化碳中毒吗 [抱抱]
X_post:天呐几百年没见过这么大的乌云了;Y_reply:有点吓人 [傻眼]
X_post:抑郁症我的意识是不是又错乱了;Y_reply:随缘心理开导，执证上岗，希望可以和你结缘。
X_post:抑郁症今天确诊了，妄想状态真好！;Y_reply:确诊什么？
